GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AJXHE001,AJXHE002,AJXHE003,AJXHE004,AJXHE005,AJXHE006,AJXHE007,AJXHE008,AJXHE009,AJXHE010,AJXHE011,AJXHE012,AJXHE013,AJXHE014,AJXHE015,AJXHE016,AJXHE017,AJXHE018,AJXHE019,AJXHE020,AJXHE021,AJXHE022,AJXHE023,AJXHE024,AJXHE025,AJXHE026,AJXHE027,AJXHE028,AJXHE029,AJXHE030,AJXHE031,AJXHE032,AJXHE033,AJXHE034,AJXHE035,AJXHE036,AJXHE037,AJXHE038,NAME_M,AJXHM001,AJXHM002,AJXHM003,AJXHM004,AJXHM005,AJXHM006,AJXHM007,AJXHM008,AJXHM009,AJXHM010,AJXHM011,AJXHM012,AJXHM013,AJXHM014,AJXHM015,AJXHM016,AJXHM017,AJXHM018,AJXHM019,AJXHM020,AJXHM021,AJXHM022,AJXHM023,AJXHM024,AJXHM025,AJXHM026,AJXHM027,AJXHM028,AJXHM029,AJXHM030,AJXHM031,AJXHM032,AJXHM033,AJXHM034,AJXHM035,AJXHM036,AJXHM037,AJXHM038
"G340","2014-2018",,,"New Jersey","34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Jersey",8881845,8697059,7477375,2222368,1185070,1037298,1645216,2788817,2666258,47169,75390,165180,108548,151230,40518,36426,137746,181326,18340,22561,81989,3903,54533,1219684,990994,436243,345053,91190,554751,484291,70460,228690,19957,72005,95679,1235,39814,184786,"New Jersey",0,0,8021,7874,7073,6016,9175,7635,8629,1908,2500,3996,3722,3995,1493,1612,4442,3236,1309,1497,2206,632,1819,8021,5740,3431,3716,1942,4308,4222,1649,4948,1672,3409,2205,370,1954,0
"G350","2014-2018",,,"New Mexico","35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Mexico",2092434,2049476,1696686,492776,252835,239941,342650,633095,590294,13798,29003,69386,28931,29281,5780,11675,31816,51296,3888,6427,26531,1585,12865,352790,282875,136335,110175,26160,146540,126198,20342,69915,7024,23009,28811,324,10747,42958,"New Mexico",0,0,5135,3146,2952,2965,3268,4584,4790,1073,1601,2475,1616,1799,701,938,2243,1895,597,832,1030,599,1003,5135,3530,2453,2143,1178,1999,1948,862,2717,1220,1819,984,151,1063,0
"G360","2014-2018",,,"New York","36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New York",19618453,19043605,15622065,4634204,2318620,2315584,3229136,5743048,5497702,99033,146313,424291,278281,330670,64572,88359,363052,466452,60115,72006,181783,9182,143366,3421540,2682333,1200947,925334,275613,1481386,1251053,230333,739207,73228,302239,261630,1658,100452,574848,"New York",0,0,14736,14232,11586,7051,16740,12478,13106,2966,3776,5972,6203,6030,2030,2037,6800,6179,2751,2879,2956,964,3506,14737,8450,6002,5401,3888,6762,6158,3091,10861,3681,8065,3480,434,3093,0
"G370","2014-2018",,,"North Carolina","37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Carolina",10155624,9882910,8187719,2573526,1323149,1250377,1885839,2878059,2692042,67287,118730,247205,105120,107118,26044,32501,126157,206150,14972,32989,95860,7092,55237,1695191,1345071,604987,477039,127948,740084,636509,103575,350120,30897,144052,124925,1238,49008,272714,"North Carolina",0,0,9779,10078,8632,6057,11821,8551,9078,2348,3374,4500,3727,3402,1392,1483,4275,5104,1028,2009,2739,692,2342,9779,5616,4888,4278,2109,4544,4502,2394,6823,2187,4876,2336,411,2490,0
"G380","2014-2018",,,"North Dakota","38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Dakota",752201,726653,566499,188288,103711,84577,150900,191331,178996,4839,7496,8312,4612,2768,659,782,4910,13937,1030,1539,7834,611,2923,160154,126615,69369,52083,17286,57246,46762,10484,33539,3322,11678,14324,91,4124,25548,"North Dakota",0,0,2596,1839,1666,1616,1921,2152,2323,506,573,673,729,435,224,203,579,1003,321,411,798,209,460,2596,1999,1590,1447,941,1196,1184,655,1486,572,1196,858,67,661,0
"G390","2014-2018",,,"Ohio","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ohio",11641879,11327784,9227188,2953760,1504289,1449471,2144723,3277376,3058824,72800,145752,244687,95372,94879,22645,32181,106720,254845,14864,28448,135434,8620,67479,2100596,1700315,805209,642245,162964,895106,768503,126603,400281,27062,133809,178300,957,60153,314095,"Ohio",0,0,9177,9256,7622,6837,11570,8730,9323,2120,3769,4093,3557,3167,1417,1166,4056,4772,1211,1485,2392,939,2335,9177,6649,4981,4154,2508,5803,5663,2082,6300,1783,3916,2394,272,2193,0
"G400","2014-2018",,,"Oklahoma","40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oklahoma",3918137,3808014,3179742,975462,506668,468794,718464,1136916,1033701,36467,66748,103559,40134,37154,9875,17238,51323,89617,6115,13576,40183,4986,24757,628272,499158,238778,189211,49567,260380,225357,35023,129114,13064,49124,44080,829,22017,110123,"Oklahoma",0,0,5026,3716,3183,3446,3553,4303,4803,1549,1781,2332,1650,1274,656,809,1962,2066,636,1099,1049,504,1197,5026,3020,2199,2134,1321,2141,1903,1085,3201,1304,2396,934,210,1281,0
"G410","2014-2018",,,"Oregon","41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oregon",4081943,3993967,3188989,1005869,516531,489338,772245,1066128,986432,29468,50228,69889,39939,41952,11106,18588,44311,118962,12938,24515,45216,4719,31574,804978,585966,270654,192731,77923,315312,246362,68950,219012,19640,91418,80500,818,26636,87976,"Oregon",0,0,6696,4521,4225,3868,5363,5595,5430,1431,1580,2266,1802,2082,984,914,2450,2977,1026,1496,1429,770,1677,6696,3544,2652,2373,2014,3043,2629,1581,4675,1827,3007,2184,340,1983,0
"G420","2014-2018",,,"Pennsylvania","42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pennsylvania",12791181,12366049,10141330,3232070,1686920,1545150,2406749,3551769,3337964,80821,132984,251122,110775,130144,32259,38157,129718,258567,20510,27077,132740,8277,69963,2224719,1793062,819908,649697,170211,973154,834749,138405,431657,34321,144089,188776,1442,63029,425132,"Pennsylvania",0,0,10587,10250,8101,6945,13125,8489,8595,2494,3370,4493,4009,4007,1364,1544,3883,4793,1482,1738,2351,770,2201,10587,6911,4408,3728,2683,5621,5926,2110,6517,2432,3935,2876,589,2652,0
"G440","2014-2018",,,"Rhode Island","44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rhode Island",1056611,1014869,818541,255666,125682,129984,181983,293962,275967,8035,9960,18946,12188,14206,3056,4148,11737,22649,2271,2821,11514,784,5259,196328,155219,69218,54282,14936,86001,72379,13622,41109,3386,14728,17075,224,5696,41742,"Rhode Island",0,0,3250,1962,2125,1945,2113,2594,2577,866,898,1353,1119,1017,380,480,1081,1077,417,612,709,256,668,3250,1993,1487,1333,894,1558,1379,815,2014,608,1400,816,127,850,0
"G450","2014-2018",,,"South Carolina","45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"South Carolina",4955925,4819128,4010241,1249795,630875,618920,892470,1404894,1306994,34820,63080,151674,60445,56466,12534,17599,68615,95749,7872,14155,43830,3421,26471,808887,644916,294731,236507,58224,350185,305810,44375,163971,16275,69605,55272,237,22582,136797,"South Carolina",0,0,8349,7097,5455,4828,7102,6541,6754,2025,2549,4052,2756,2560,1083,1226,3194,2829,815,1276,1525,519,1831,8349,4817,3419,3006,1668,3550,3379,1536,4996,1757,3211,1736,140,1741,0
"G460","2014-2018",,,"South Dakota","46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"South Dakota",864289,830281,675404,216985,114741,102244,170010,233642,217406,6784,9452,16322,6660,3938,736,1567,7695,17849,1115,2973,9145,1017,3599,154877,124580,62949,49803,13146,61631,52639,8992,30297,2277,12106,11840,141,3933,34008,"South Dakota",0,0,2598,1903,1950,1645,1755,1952,1990,623,630,817,708,575,207,223,654,892,270,523,530,283,486,2598,1794,1281,1157,678,1365,1275,500,1619,435,948,710,100,634,0
"G470","2014-2018",,,"Tennessee","47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tennessee",6651089,6496195,5406312,1695846,876672,819174,1241388,1874865,1728617,51621,94627,188657,69982,70451,17322,27451,84054,136296,11409,20204,59037,4413,41233,1089883,871215,402292,320192,82100,468923,402093,66830,218668,19342,85383,79002,667,34274,154894,"Tennessee",0,0,8805,7095,6563,4703,8947,7649,7796,2783,3218,4260,2856,2726,953,1379,3197,3944,996,1467,1889,682,2233,8805,5669,3754,3063,2118,4628,4387,2068,5295,1813,3265,2058,253,1838,0
"G480","2014-2018",,,"Texas","48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Texas",27885195,27285450,23527965,6629325,3463734,3165591,4809971,9116950,8518026,183892,415032,820694,398630,418878,105210,172096,484691,571520,51195,94185,252491,14308,159341,3757485,2923721,1428355,1124220,304135,1495366,1273323,222043,833764,89409,353047,263749,2925,124634,599745,"Texas",0,0,19119,19105,18641,10488,25159,16266,17942,4463,7151,9766,9464,8147,3380,3639,11164,6889,2689,2837,3755,1064,4486,19119,10635,9008,7880,4363,7377,7056,3231,13096,4079,8432,3619,602,4132,0
"G490","2014-2018",,,"Utah","49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Utah",3045350,2998673,2655546,716884,398510,318374,587198,1098298,1024080,30874,43344,65123,32575,26862,8664,19906,38069,61967,10621,13166,20095,1207,16878,343127,240735,117903,86020,31883,122832,98628,24204,102392,12635,54603,23567,129,11458,46677,"Utah",0,0,5275,3150,3551,2932,4160,4241,4679,1652,2242,2309,1841,1549,736,963,2048,2389,1005,1105,1096,275,1255,5275,2787,2117,1860,1286,2161,1990,902,3357,1502,2332,994,78,991,0
"G500","2014-2018",,,"Vermont","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vermont",624977,599602,467830,158406,78036,80370,125000,147129,136350,5410,5369,8605,3512,3322,1179,1728,3787,15162,2073,1530,7020,534,4005,131772,101183,45811,33658,12153,55372,43723,11649,30589,2883,9854,14203,134,3515,25375,"Vermont",0,0,2510,1581,1374,1242,1400,1737,1748,539,513,727,428,425,260,240,515,821,369,266,494,161,469,2510,1621,1085,916,650,1087,862,703,1285,472,926,721,94,515,0
"G510","2014-2018",,,"Virginia","51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Virginia",8413774,8169581,6798502,2085245,1108351,976894,1576875,2394100,2246468,52846,94786,179410,93843,105940,30745,32411,120071,179862,24994,35149,64867,3855,50997,1371079,1043170,468913,359416,109497,574257,484447,89810,327909,35506,144912,100594,879,46018,244193,"Virginia",0,0,8789,7640,6959,5113,10446,7721,7999,1998,2805,3227,3405,3145,1475,1601,4355,4274,1896,2162,1613,628,2207,8789,5291,3651,3337,2566,4374,4249,1857,6443,2257,4330,2368,293,2336,0
"G530","2014-2018",,,"Washington","53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Washington",7294336,7151776,5824884,1813296,974937,838359,1407208,2001444,1862025,52839,86580,124767,69259,75959,23568,29837,84178,195368,23304,41318,77018,5852,47876,1326892,987127,481352,349851,131501,505775,401614,104161,339765,31577,143236,127196,887,36869,142560,"Washington",0,0,9372,6110,6129,4721,8943,6555,7189,2067,2955,3120,2421,2594,1302,1234,3245,3719,1603,2190,1855,751,1806,9372,5461,3891,3731,2386,3904,3662,2259,6313,2465,4696,2394,244,1987,0
"G540","2014-2018",,,"West Virginia","54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"West Virginia",1829054,1781035,1461303,475835,243346,232489,358878,472795,433238,14361,25196,52432,14660,15678,3731,8221,17392,41681,2347,4379,19981,1955,13019,319732,258841,122141,99018,23123,136700,118899,17801,60891,3817,18419,26345,424,11886,48019,"West Virginia",0,0,3932,3141,2961,2834,2981,3160,3060,1181,1285,1969,1028,1191,521,784,1220,1808,442,639,971,423,1037,3933,2963,2135,2050,974,2128,1921,925,1936,735,1365,1178,234,1071,0
"G550","2014-2018",,,"Wisconsin","55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wisconsin",5778394,5631740,4532164,1484455,782732,701723,1145971,1572791,1474594,35901,62296,74220,41505,36357,7701,11242,37410,120512,7456,13144,64097,3335,32480,1099576,858674,414613,317321,97292,444061,366127,77934,240902,17446,84938,106360,710,31448,146654,"Wisconsin",0,0,5799,5606,4935,4464,6664,6495,7045,1470,1899,2212,2103,1649,593,715,1791,2454,625,884,1403,422,1504,5799,4359,3141,3120,1752,3297,3270,1566,3945,1573,2859,1709,249,1562,0
"G560","2014-2018",,,"Wyoming","56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wyoming",581836,567639,463039,148692,77879,70813,118963,158214,144749,4229,9236,10079,3717,3674,955,1589,4720,12436,1339,2081,5854,384,2778,104600,81938,43101,33738,9363,38837,31787,7050,22662,1885,8339,9201,68,3169,14197,"Wyoming",0,0,2468,1582,1555,1404,1709,1926,2186,669,856,950,564,527,263,344,605,1027,435,509,619,152,468,2468,1699,1322,1267,693,1177,1099,559,1439,442,1004,762,58,592,0
"G720","2014-2018",,,"Puerto Rico","72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Puerto Rico",3386941,3349697,2914371,827819,379957,447862,462847,1190328,1129773,14244,46311,144434,57178,51654,7824,30165,58171,83951,3442,5245,63708,918,10638,435326,377256,163073,139372,23701,214183,191498,22685,58070,3593,11484,36802,209,5982,37244,"Puerto Rico",0,0,4104,4328,3889,3971,3813,7433,7514,1218,2167,3792,2614,2176,777,1364,2640,2339,527,601,1774,287,937,4104,3592,2437,2413,1201,2721,2680,973,2012,601,1197,1398,112,825,0
