GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AJXHE001,AJXHE002,AJXHE003,AJXHE004,AJXHE005,AJXHE006,AJXHE007,AJXHE008,AJXHE009,AJXHE010,AJXHE011,AJXHE012,AJXHE013,AJXHE014,AJXHE015,AJXHE016,AJXHE017,AJXHE018,AJXHE019,AJXHE020,AJXHE021,AJXHE022,AJXHE023,AJXHE024,AJXHE025,AJXHE026,AJXHE027,AJXHE028,AJXHE029,AJXHE030,AJXHE031,AJXHE032,AJXHE033,AJXHE034,AJXHE035,AJXHE036,AJXHE037,AJXHE038,NAME_M,AJXHM001,AJXHM002,AJXHM003,AJXHM004,AJXHM005,AJXHM006,AJXHM007,AJXHM008,AJXHM009,AJXHM010,AJXHM011,AJXHM012,AJXHM013,AJXHM014,AJXHM015,AJXHM016,AJXHM017,AJXHM018,AJXHM019,AJXHM020,AJXHM021,AJXHM022,AJXHM023,AJXHM024,AJXHM025,AJXHM026,AJXHM027,AJXHM028,AJXHM029,AJXHM030,AJXHM031,AJXHM032,AJXHM033,AJXHM034,AJXHM035,AJXHM036,AJXHM037,AJXHM038
"G130","2014-2018",,,"Georgia","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Georgia",10297484,10037150,8491451,2501768,1260856,1240912,1767656,3172455,2961762,66752,143941,295480,139494,138804,32907,44221,180770,217896,21502,34762,91417,6597,63618,1545699,1207720,551862,433214,118648,655858,564765,91093,337979,38473,141441,105766,1607,50692,260334,"Georgia",0,0,9675,10024,8810,6694,11858,10085,10198,2623,4262,5527,4405,4406,1609,1991,5617,5510,1350,2176,3015,863,2994,9675,6444,4580,4465,2518,5591,5587,2097,6725,2486,4797,2166,472,2523,0
"G150","2014-2018",,,"Hawaii","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hawaii",1422029,1377998,1194942,319069,170876,148193,237266,388924,367228,8950,12746,64374,26072,28633,8248,20429,49887,52040,10322,8444,13143,597,19534,183056,137713,68111,52670,15441,69602,56236,13366,45343,5910,16342,14933,123,8035,44031,"Hawaii",0,0,3005,2269,2071,2097,2332,3080,3208,818,944,2378,1287,1249,859,944,2357,2045,1093,808,887,195,1208,3005,2144,1549,1410,780,1426,1418,776,1578,834,1315,867,64,851,0
"G160","2014-2018",,,"Idaho","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Idaho",1687809,1657779,1398397,418688,221078,197610,335955,519177,480554,13239,25384,29720,13875,15760,4458,6768,16774,37222,5061,6091,14398,647,11025,259382,199643,95758,75425,20333,103885,88124,15761,59739,6664,24089,19280,11,9695,30030,"Idaho",0,0,4643,3035,3123,2617,3297,3505,3960,1098,1538,1541,1237,1495,528,624,1496,1965,840,797,952,189,1092,4643,2602,2092,1859,1035,1990,1865,901,2790,882,1893,946,19,1346,0
"G170","2014-2018",,,"Illinois","17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Illinois",12821497,12523597,10375692,3117333,1644585,1472748,2298518,3866440,3662066,76828,127546,275541,153690,160645,36485,46190,169229,251621,19344,29846,120056,7974,74401,2147905,1712705,795428,629931,165497,917277,787077,130200,435200,50582,159165,164747,1135,59571,297900,"Illinois",0,0,11060,10480,8947,6578,12065,9110,9866,2299,2994,5079,4464,4903,1281,1535,4700,4667,1154,1516,2231,722,2608,11064,7059,5018,4269,2595,4978,4791,2412,7142,2911,4544,2777,295,2679,0
"G180","2014-2018",,,"Indiana","18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Indiana",6637426,6449747,5331420,1668393,879880,788513,1238641,1929733,1781871,50254,97608,140516,53663,55959,15008,19261,61836,148410,10380,16630,74365,5216,41819,1118327,885425,421911,332671,89240,463514,393977,69537,232902,19254,79715,95149,750,38034,187679,"Indiana",0,0,6629,7212,6485,4538,7924,7686,7882,2184,2584,3720,2585,2387,1085,1000,2756,3158,1067,1164,1857,784,1731,6629,5005,3580,3709,1889,3703,3829,1860,4223,1562,3073,2235,222,1876,0
"G190","2014-2018",,,"Iowa","19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Iowa",3132499,3032415,2451024,800510,427398,373112,633518,848657,787734,22705,38218,38005,19654,16432,3915,6093,19569,64671,4079,7061,35664,1853,16014,581391,456345,220641,168500,52141,235704,198768,36936,125046,9665,49055,50118,126,16082,100084,"Iowa",0,0,4627,3560,3426,2839,4153,4645,4936,1325,1803,1540,1296,1089,534,496,1221,1736,479,694,1290,386,999,4627,3148,2182,2219,1449,2711,2497,1083,3042,1354,2181,1398,61,1104,0
"G200","2014-2018",,,"Kansas","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kansas",2908776,2828708,2335159,731657,391980,339677,571102,842426,776724,25985,39717,48400,24006,20459,5601,8684,24555,58269,4564,9033,29059,3713,11900,493549,392892,186506,149592,36914,206386,176116,30270,100657,9331,43009,35732,714,11871,80068,"Kansas",0,0,3935,3633,3243,3215,4104,4124,4225,1273,1622,1785,1641,1164,554,634,1769,1993,535,888,1196,531,812,3936,2898,2046,2037,1136,2399,2219,1116,2794,1222,2350,1106,271,924,0
"G210","2014-2018",,,"Kentucky","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kentucky",4440204,4309065,3567809,1135709,583607,552102,836192,1219300,1120515,34368,64417,122497,38986,40211,8987,17463,50211,98253,6970,10553,46459,4877,29394,741256,592972,278089,220786,57303,314883,271211,43672,148284,11142,48133,61472,660,26877,131139,"Kentucky",0,0,6579,4851,4851,4518,6176,5602,5792,2003,2327,3173,2055,1712,761,1054,2222,2946,770,712,1577,655,1640,6579,4575,3332,3028,1729,2852,2925,1408,3857,1008,2224,1850,229,1978,0
"G220","2014-2018",,,"Louisiana","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Louisiana",4663616,4534221,3756693,1113951,528522,585429,751902,1431578,1340439,27693,63446,154525,61845,49323,8490,17566,71352,96161,7386,12728,47316,1951,26780,777528,622070,291767,236686,55081,330303,287646,42657,155458,12649,59677,57307,899,24926,129395,"Louisiana",0,0,7593,6866,5590,4344,5589,6948,8141,1617,2730,4211,2875,2507,856,1090,3011,3282,1064,1088,1897,457,1694,7593,4899,3171,2854,1883,3505,3393,1262,4502,1593,3003,1840,401,1580,0
"G230","2014-2018",,,"Maine","23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maine",1332813,1296802,1027753,347959,177680,170279,272083,319780,293968,10292,15520,20035,7095,9137,2648,4977,8864,35175,3061,3324,17990,1438,9362,269049,208996,93622,69618,24004,115374,93496,21878,60053,5084,15215,31548,112,8094,36011,"Maine",0,0,3607,2274,1861,2306,2204,2421,2592,875,995,1132,612,652,410,472,690,1464,403,433,913,360,723,3607,2375,1466,1388,864,1815,1656,1035,2118,713,1389,992,94,732,0
