ID,ADDRESS,CITY,STATE,ZIP,Longitude,Latitude,Match Score
8052AL35010,P.O. BOX 705,ALEXANDER CITY,AL,35010,-85.94697009999999,32.94387830000005,98
9574AL36202,331 EAST EIGHTH AVENUE,ANNISTON,AL,36202,-85.82320389609004,33.65447733255786,92.1
4147AL36504,313 NORTH MAIN,ATMORE,AL,36504,-87.4938420893131,31.02807967971455,96.39
3860AL35020,1830 THIRD AVENUE,BESSEMER,AL,35020,-86.95420001968832,33.40187362245112,99.55
0940AL35222,3600 EIGHTH AVENUE SOUTH,BIRMINGHAM,AL,35222,-86.77660204785722,33.51525090332864,100
2988AL35234,1216 NORTH 25TH STREET,BIRMINGHAM,AL,35234,-86.80781524945421,33.53099496733904,99.89
4549AL35206,7612 FIRST AVENUE NORTH,BIRMINGHAM,AL,35206,-86.72956079557987,33.560802817140186,100
7986AL35294,1700 SEVENTH AVENUE SOUTH,BIRMINGHAM,AL,35294,-86.80379373942938,33.504043899199225,99.52
6445AL35203,309 23RD STREET NORTH,BIRMINGHAM,AL,35203,-86.80278722088653,33.518375851494625,100
9413AL35203,2127 SEVENTH AVENUE NORTH,BIRMINGHAM,AL,35203,-86.80790330179103,33.521227116768365,100
9148AL35294,UNIVERSITY STATION,BIRMINGHAM,AL,35294,-86.79395949335618,33.507154992390824,89.98
4319AL35233,3015 SEVENTH AVENUE SOUTH,BIRMINGHAM,AL,35233,-86.78563183625262,33.51255473049112,100
0622AL35233,1701 AVENUE D ENSLEY,BIRMINGHAM,AL,35233,-86.89663064987236,33.5153641847499,97.75
9055AL35150,P.O. DRAWER F,CHILDERSBURG,AL,35150,-86.33149366322267,33.23783883133104,87.14
3030AL35601,HIGHWAY 31 SOUTH,DECATUR,AL,35601,-86.9733521206789,34.56428700697557,100
5262AL36302,104 PREVATT,DOTHAN,AL,36302,-85.37289210076162,31.196217745861837,90.11
9873AL36027,P.O. BOX 270,EUFAULA,AL,36027,-85.14400039999998,31.89074400000004,98
4975AL36532,318 1/2 MAGNOLIA AVENUE,FAIRHOPE,AL,36532,-87.90439347037146,30.524349756456854,100
0378AL35555,TEMPLE AVENUE,FAYETTE,AL,35555,-87.82450964688256,33.70648785113781,99.4
6467AL35903,101 HOKE,GADSDEN,AL,35903,-85.98263859096106,34.002112533898114,98.82
2868AL35570,ROUTE 1,HAMILTON,AL,35570,-87.9814538706869,34.16934986431702,100
6560AL35801,660 GALLATIN STREET,HUNTSVILLE,AL,35801,-86.58389013125804,34.72501459257208,99.55
9724AL35501,13 HIGHWAY 78 WEST,JASPER,AL,35501,-87.2771576643108,33.84916360141109,100
7644AL36617,507 STANTON ROAD,MOBILE,AL,36617,-88.09535436569371,30.704331117190804,100
0451AL36606,P.O. BOX 66711,MOBILE,AL,36606,-88.08706999999998,30.675125000000037,98
6549AL36460,,MONROEVILLE,AL,36460,-87.32548109999999,31.52216550000003,100
2751AL36101,838 SOUTH COURT STREET,MONTGOMERY,AL,36101,-86.30872203330921,32.36535592114802,99.52
9039AL36057,P.O. BOX 75,MOUNT MEIGS,AL,36057,-86.09340999999995,32.36545000000007,98
6549AL36560,,MOUNT VERNON,AL,36560,-88.00910999999996,31.092025000000035,100
3706AL36801,1101 FITZPATRICK AVENUE,OPELIKA,AL,36801,-85.39093523537315,32.64778280753997,100
5274AL36701,910 JEFFERSON DAVIS AVENUE,SELMA,AL,36701,-87.02907999999996,32.41915000000006,85
8493AL35150,P.O. BOX 1248,SYLACAUGA,AL,35150,-86.25222999999994,33.17241000000007,98
0137AL36081,1305 SOUTH BRUNDIDGE STREET,TROY,AL,36081,-85.96463049108391,31.78900083610274,100
4189AL35401,STATION 3,TUSCALOOSA,AL,35401,-87.56345999999996,33.205340000000035,87.2
3395AL35401,1915 SIXTH STREET,TUSCALOOSA,AL,35401,-87.5617859640912,33.21058351696026,100
2680AL35674,ROUTE 2,TUSCUMBIA,AL,35674,-87.75997500381874,34.709821234520355,99.39
