HEROP_ID,GEOID,TotPop,TotUnits,Age18_64,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age45_54,Age55_59,Age60_64,AgeOv65,Age15_24P,Und45P,Ovr65P,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,NoHsP,ChildrenP,PovP,UnempP,VacantP
050US01083,01083,46005,16372,26803,3526,7958,4536,3969,20851,4710,2178,1877,4905,18.49,70.29,10.66,85.54,14.21,0.62,0.08,0.09,0.01,0.07,49.31,31.08,16.96,8.76,6.19
050US01085,01085,13253,4163,6464,1351,2810,1688,1091,5496,1031,519,509,1537,20.97,72.87,11.6,24.93,74.98,1.61,0.02,0.04,0,0.04,57.49,39.63,44.99,12,10.35
050US01087,01087,26829,9222,15293,1926,4464,3219,3271,12210,2035,1330,1229,3635,24.19,69.33,13.55,15.04,84.16,1.29,0.1,0.23,0.03,0.44,45.74,29.45,32.98,10.87,10.29
050US01089,01089,196966,71033,124829,13572,32234,20975,20051,98339,22437,9295,6857,14232,20.83,73.18,7.23,78.58,19.84,1.06,0.22,0.72,0.04,0.59,29.89,29.4,13.83,7.9,5.56
050US01091,01091,25047,8881,13080,2140,4700,2539,1912,10109,2402,1122,1120,3454,17.77,67.67,13.79,46.56,53.28,2.18,0.04,0.06,0.02,0.03,51.81,33.99,33.38,6.38,8.6
050US01093,01093,30041,11596,17168,2092,5056,2675,2294,12873,3090,1435,1424,4071,16.54,66.65,13.55,97.37,2.33,0.58,0.12,0.12,0,0.07,57.73,29.3,16.06,7.99,6.93
050US01095,01095,65622,25780,38820,4394,10749,6091,5291,28856,7174,3350,3190,7909,17.34,67.05,12.05,98.2,1.55,0.55,0.09,0.1,0,0.05,49.91,28.79,16.55,7.62,8.89
050US01097,01097,364980,131301,215114,31131,61794,35752,35546,170042,34437,17656,14750,35170,19.53,72.05,9.64,67.59,31.45,1.05,0.32,0.32,0.02,0.3,38.35,31.43,18.84,7.09,6.1
050US01099,01099,22651,7980,11855,2008,4378,2291,1660,9309,2063,943,1000,2950,17.44,69.29,13.02,56.28,43.01,0.78,0.53,0.13,0.01,0.04,49.37,34.64,25.89,8,9.25
050US01101,01101,197038,73694,117482,15555,32891,18981,19527,92614,18911,9313,7906,19848,19.54,71.59,10.07,59.83,39.39,0.93,0.1,0.35,0.02,0.3,33.19,30.3,19.4,6.6,7.09
050US01103,01103,90231,33778,53701,6789,15247,8585,7364,41442,9501,4323,3905,9024,17.68,70.35,10,89.91,9.77,0.63,0.11,0.11,0.01,0.09,40.08,30.48,13.86,8.05,7.13
050US01105,01105,15012,5018,7596,1350,2775,1841,1188,6031,1299,608,664,2285,20.18,67.65,15.22,39.77,60.08,1.14,0.05,0.05,0.02,0.03,56.86,34.18,43.78,7.6,8.43
