HEROP_ID,STATEFP,TotPop,TotUnits,ChildrenP,Age18_64,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age45_49,Age50_54,Age55_59,Age60_64,AgeOv65,Age15_24P,Und45P,Ovr65P,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,NoHsP,DisbP,PovP,UnempP,VacantP
040US01,1,4447100,1963711,25.26,2743880,295992,635597,324580,306865,1919972,315173,285036,225450,190082,579798,14.2,64.12,13.04,71.12,25.99,1.7,0.5,0.7,0.03,1.68,24.73,43.04,16.1,6.2,11.54
040US02,2,626932,260978,30.42,400516,47591,110432,50094,39892,293508,53515,41437,27423,17327,35699,14.35,72.02,5.69,69.31,3.48,4.13,15.64,4.01,0.53,7.57,11.67,25.69,9.4,9.03,15.09
040US04,4,5130632,2189189,26.64,3095846,382386,768080,367722,362860,2242051,331903,296001,238675,203697,667839,14.24,66.12,13.02,75.5,3.1,25.25,4.99,1.8,0.13,14.62,19.03,33.5,13.91,5.63,13.15
040US05,5,2673400,1173043,25.45,1619012,181585,380159,198765,181598,1131335,181913,167606,139393,117390,374019,14.23,63.33,13.99,80,15.67,3.25,0.67,0.76,0.06,2.91,24.69,43.92,15.84,6.09,11.11
040US06,6,33858509,12214549,27.31,21017937,2486074,5294705,2449900,2380317,15540673,2330811,1998989,1466645,1146380,3594230,14.27,68.88,10.62,59.54,6.69,32.38,0.98,10.92,0.34,21.87,23.21,33.81,14.22,7.01,5.83
040US08,8,4301261,1808037,25.59,2784392,297505,619925,307239,306238,2014326,334854,279271,194723,144584,416073,14.26,68.16,9.67,82.77,3.84,17.1,1.03,2.21,0.11,10.15,13.08,27.74,9.26,4.31,8.28
040US09,9,3400219,1385975,24.71,2090428,222956,484947,216318,187311,1434666,252360,227697,176679,131440,469473,11.87,63.01,13.81,81.64,9.1,9.4,0.28,2.41,0.04,6.56,16.01,29.69,7.86,5.27,6.08
040US10,10,783600,343072,24.83,487287,51531,111087,55632,51665,343738,54775,49224,39320,32199,101726,13.69,64.62,12.98,74.63,19.23,4.76,0.35,2.08,0.03,3.72,17.4,31.46,9.21,5.17,12.92
040US11,11,572059,274845,20.1,387169,32536,65403,37867,51823,279129,39397,35913,27803,21980,69898,15.68,65.91,12.22,30.78,60.01,7.86,0.3,2.66,0.06,6.25,22.17,38,20.22,10.8,9.64
040US12,12,15969908,7302947,22.82,9521043,945139,2087175,1013323,927674,6506799,1084526,983287,820849,736893,2805239,12.15,59.73,17.57,77.99,14.62,16.78,0.33,1.67,0.05,5.39,20.14,38.38,12.51,5.57,13.21
040US13,13,8186453,3281737,26.5,5231944,595150,1223343,596277,592196,3841237,573017,506975,375651,285805,785275,14.52,69.14,9.59,65.07,28.7,5.32,0.27,2.12,0.05,3.84,21.43,34.73,12.99,5.49,8.39
040US15,15,1195812,460542,24.42,745304,77143,165968,79976,82236,519739,89303,79572,59795,45805,158488,13.57,63.79,13.25,24.31,1.81,7.24,0.29,41.53,9.38,32.06,15.43,31.08,10.71,6.26,12.44
040US16,16,1293953,527824,28.52,779007,97643,205364,110858,93994,567253,92172,78076,60024,47505,145916,15.83,67.26,11.28,90.98,0.42,7.86,1.36,0.92,0.1,6.31,15.28,29.99,11.77,5.78,11.02
040US17,17,12419293,4885615,26.13,7673817,876549,1834955,894002,850843,5540389,873812,752930,577747,462886,1500025,14.05,66.44,12.08,73.48,15.11,12.32,0.25,3.41,0.04,7.75,18.57,30.77,10.68,6.05,6.02
040US18,18,6078796,2532319,25.89,3752242,423094,886436,453355,425623,2670328,436997,379637,294087,235607,752611,14.46,65.47,12.38,87.5,8.38,3.53,0.26,0.97,0.03,2.88,17.87,32.92,9.49,4.9,7.74
040US19,19,2926324,1232511,25.07,1756473,188413,413150,226420,203663,1238342,212663,180131,139052,118360,436213,14.7,62.87,14.91,93.93,2.11,2.82,0.31,1.25,0.04,2.4,13.9,28.33,9.13,4.17,6.75
040US20,20,2688418,1131200,26.52,1619196,188708,399592,210118,190167,1169489,192679,161468,121645,98608,356229,14.89,65.38,13.25,86.07,5.74,7,0.93,1.74,0.05,5.53,13.98,30.31,9.9,4.25,8.25
040US21,21,4041769,1750927,24.61,2542158,265901,558739,289004,283032,1782809,293976,262956,204483,168112,504793,14.15,64.51,12.49,90.08,7.32,1.48,0.21,0.74,0.04,1.65,25.88,44.62,15.82,5.73,9.15
040US22,22,4468976,1847181,27.29,2732248,317392,684692,365945,325571,1984644,315768,270503,208761,170287,516929,15.47,66.83,11.57,63.91,32.49,2.41,0.57,1.23,0.03,1.8,25.19,39,19.64,7.32,10.35
040US23,23,1274923,651901,23.63,790283,70726,175274,89485,69656,529738,101921,90675,68490,54697,183402,12.48,60.85,14.39,96.95,0.53,0.73,0.56,0.72,0.03,1.25,14.63,35.39,10.92,4.76,20.51
040US24,24,5294616,2145283,25.61,3339853,353281,783198,355996,314017,2334133,399248,355515,268553,201655,599033,12.65,65.55,11.31,64.03,27.9,4.3,0.29,3.98,0.04,3.8,16.17,30.1,8.49,4.71,7.66
040US25,25,6342192,2621989,23.63,3984728,396913,861232,415350,404029,2807262,461334,410855,309602,236096,858896,12.92,64.1,13.54,84.53,5.41,6.76,0.23,3.76,0.04,6.07,15.24,31.77,9.34,4.56,6.8
040US26,26,9938444,4234279,26.12,6123659,672005,1492193,719867,643839,4324250,734905,633034,485895,377144,1219018,13.72,65.29,12.27,80.15,14.22,3.26,0.59,1.78,0.03,3.27,16.58,33.18,10.53,5.79,10.59
040US27,27,4919479,2065946,26.16,3038319,329594,730889,374362,322483,2194165,364247,301449,226857,178012,594266,14.17,66.16,12.08,89.44,3.49,2.91,1.12,2.89,0.04,3.06,12.05,25.77,7.94,4.06,8.27
040US28,28,2844658,1161953,27.25,1725948,204364,435662,233188,212947,1253305,192111,169870,132202,113621,343523,15.68,66.56,12.08,61.38,36.34,1.39,0.41,0.65,0.02,1.21,27.14,44.16,19.93,7.4,9.94
040US29,29,5595211,2442017,25.52,3412140,369898,810978,413296,369498,2409096,395616,346846,279073,228325,755379,13.99,64.16,13.5,84.86,11.25,2.12,0.45,1.1,0.06,2.34,18.68,33.95,11.74,5.3,10.13
040US30,30,902195,412633,25.5,551184,54869,131261,71310,58379,374909,73398,61690,47174,37945,120949,14.37,62.19,13.41,90.58,0.3,2,6.21,0.52,0.05,2.39,12.84,30.47,14.61,6.31,13.08
040US31,31,1711263,722668,26.31,1028826,117048,252379,134909,120331,742347,122714,103040,77584,63956,232195,14.92,64.97,13.57,89.6,4,5.52,0.87,1.28,0.05,4.25,13.42,27.15,9.71,3.55,7.82
040US32,32,1998257,827457,25.61,1267529,145817,288515,127169,130006,885747,140214,128836,105057,85142,218929,12.87,66.06,10.96,75.16,6.78,19.71,1.32,4.52,0.42,12.22,19.34,34.13,10.48,6.22,9.22
040US33,33,1235786,547024,25.05,778254,75685,181792,86688,68766,536694,98117,85869,62664,46995,147970,12.58,64.26,11.97,96.04,0.73,1.66,0.24,1.29,0.03,1.7,12.59,28.35,6.55,3.77,13.24
040US34,34,8398015,3310275,24.81,5204608,562745,1192891,524288,479319,3623410,610288,546538,422516,329920,1109704,11.95,64.05,13.21,72.51,13.59,13.29,0.23,5.72,0.04,7.95,17.93,31.27,8.5,5.8,7.42
040US35,35,1819046,780579,27.96,1098247,130628,288480,145751,121291,783142,131000,114819,87140,71612,212225,14.68,66.09,11.67,66.75,1.89,42.08,9.54,1.06,0.08,20.76,21.15,36.11,18.44,7.33,13.15
040US36,36,18967702,7679307,24.72,11832354,1238856,2683175,1287003,1243686,8359410,1340543,1211264,931593,755619,2447241,13.34,64.75,12.9,67.96,15.88,15.11,0.44,5.5,0.05,10.23,20.94,36.13,14.59,7.09,8.1
040US37,37,8049313,3523944,24.4,5116218,539509,1113920,539931,577508,3617974,570411,514739,400207,323505,969048,13.88,65.49,12.04,72.11,21.59,4.71,1.24,1.41,0.05,3.65,21.86,37.27,12.28,5.32,11.12
040US38,38,642200,289677,25.05,386873,39400,90446,53618,50503,279012,47436,37995,28926,24507,94478,16.21,63.67,14.71,92.37,0.61,1.21,4.88,0.56,0.04,1.58,16.14,27.65,11.86,4.6,11.23
040US39,39,11353140,4783051,25.44,6957044,754930,1644157,816868,728928,4871006,834831,731553,553174,455732,1507757,13.62,64.04,13.28,84.96,11.46,1.91,0.22,1.17,0.02,2.2,17.03,32.42,10.6,4.97,7.05
040US40,40,3450654,1514400,25.86,2102344,236353,496554,269373,247165,1491707,240805,212956,173199,143130,455950,14.97,64.47,13.21,76.17,7.56,5.2,7.92,1.35,0.07,6.99,19.39,39.17,14.72,5.32,11.36
040US41,41,3421399,1452709,24.74,2136696,223005,476572,244427,230406,1472102,271315,235840,173008,131380,438177,13.88,63.47,12.81,86.56,1.63,8.05,1.32,2.96,0.23,7.53,14.87,33.55,11.61,6.47,8.19
040US42,42,12281054,5249750,23.79,7439668,727804,1691794,850986,746086,5105634,908650,796382,619969,511656,1919165,13,61.28,15.63,85.37,9.97,3.21,0.15,1.79,0.03,2.72,18.1,32.72,10.98,5.66,9
