HEROP_ID,GEOID,TotPop,TotUnits,Age18_64,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age45_49,Age50_54,Age55_59,Age60_64,AgeOv65,Age15_24P,Und45P,Ovr65P,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,NoHsP,ChildrenP,PovP,UnempP,VacantP
040US13,13,6478216,2638418,4096643,495535,950566,497152,522634,3210380,374918,294033,259735,238779,654270,15.74,71.88,10.1,71.01,26.96,1.68,0.21,1.14,0.03,0.65,29.07,26.66,14.65,5.74,10.3
040US15,15,1092831,389810,693159,82083,152745,71478,89405,534631,61107,46160,44739,48053,123314,14.72,70.41,11.28,33.37,2.44,7.35,0.46,47.16,14.66,1.9,19.95,25.29,8.25,3.52,8.6
040US16,16,1006749,413327,577079,80193,180229,80438,65792,448198,54547,44360,39407,38550,121265,14.52,70.39,12.05,94.41,0.33,5.26,1.37,0.84,0.09,2.96,20.26,30.63,13.25,6.15,12.73
040US17,17,11430602,4506275,7047691,848141,1633087,818001,860087,5371417,636487,530240,485581,489104,1436545,14.68,68.7,12.57,78.32,14.82,7.91,0.19,2.47,0.02,4.16,23.8,25.78,11.91,6.64,6.75
040US18,18,5544159,2246046,3391999,398656,816976,427579,417635,2579484,311088,259703,239692,242364,696196,15.25,68.45,12.56,90.56,7.79,1.78,0.23,0.66,0.02,0.74,24.36,26.26,10.68,5.74,8.04
040US19,19,2776755,1143669,1631769,193203,413555,199416,196419,1219775,146052,128376,122335,127353,426106,14.26,65.78,15.35,96.63,1.73,1.18,0.26,0.9,0.02,0.46,19.91,25.89,11.48,4.53,6.94
040US20,20,2477574,1044112,1473389,188390,375454,172176,180087,1126762,128598,106790,103821,105188,342571,14.22,68.24,13.83,90.09,5.77,3.78,0.89,1.24,0.04,1.97,18.73,26.7,11.48,4.7,9.52
040US21,21,3685296,1506845,2264357,250871,540744,285161,277307,1721650,206883,175483,162821,159999,466845,15.26,68.2,12.67,92.04,7.13,0.6,0.16,0.46,0.02,0.19,35.39,25.89,19.03,7.37,8.43
040US22,22,4219973,1716241,2523713,334650,700820,332140,324170,1966168,221362,185078,171927,170977,468991,15.55,71.13,11.11,67.28,30.79,2.21,0.44,0.95,0.02,0.52,31.69,29.08,23.58,9.65,12.64
040US23,23,1227928,587045,755553,85722,173085,87927,86040,572547,69043,55708,54216,54234,163373,14.17,67.7,13.3,98.41,0.42,0.56,0.49,0.53,0.02,0.14,21.17,25.16,10.8,6.65,20.74
040US24,24,4779455,1891917,3100453,357680,629301,310532,369462,2356418,293115,228470,202074,195195,517200,14.23,69.95,10.82,70.98,24.89,2.62,0.27,2.89,0.03,0.94,21.58,24.31,8.27,4.3,7.55
040US25,25,6010522,2472711,3840578,412074,725406,409641,513351,2940847,336340,263197,253197,261282,818180,15.36,67.85,13.61,89.84,4.99,4.78,0.2,2.37,0.02,2.58,20.01,22.49,8.93,6.71,9.12
040US26,26,9295297,3847926,5728071,702554,1358617,696803,705318,4382823,523730,424389,392787,401936,1108461,15.08,69.33,11.92,83.44,13.9,2.17,0.6,1.11,0.01,0.94,23.22,26.45,13.12,8.24,11.14
040US27,27,4375099,1848445,2661382,336800,659137,297609,316046,2059482,237050,191410,173066,171220,546934,14.03,69.84,12.5,94.41,2.17,1.23,1.14,1.76,0.02,0.5,17.64,26.67,10.22,5.14,10.85
040US28,28,2573216,1010423,1505171,195365,425223,222879,196640,1169103,131627,116118,107784,106712,321284,16.3,69.55,12.49,63.48,35.56,0.62,0.33,0.49,0.01,0.12,35.72,29.02,25.21,8.43,9.8
040US29,29,5117073,2199129,3084566,369244,739331,362817,360625,2310255,284337,238840,228556,228829,717681,14.14,66.81,14.03,87.67,10.71,1.21,0.39,0.77,0.04,0.42,26.08,25.69,13.34,6.16,10.82
040US30,30,799065,368081,470464,59257,128276,56813,47769,354408,45133,37173,34005,34316,106497,13.09,67.82,13.33,92.75,0.3,1.52,5.97,0.5,0.04,0.45,19,27.8,16.06,6.95,15.3
040US31,31,1578385,660621,926305,119606,243784,112860,108649,707529,80668,68721,67281,67728,223068,14.03,67.85,14.13,93.8,3.64,2.34,0.79,0.76,0.03,0.99,18.18,27.18,11.14,3.65,8.82
040US32,32,1201833,518858,777254,92217,161570,74160,87946,576398,74228,61772,54681,53336,127631,13.49,69.08,10.62,84.26,6.55,10.35,1.64,2.93,0.24,4.38,21.23,24.71,10.16,6.19,10.13
040US33,33,1109252,503904,705468,84565,152366,76464,82962,546881,63908,48307,44703,43493,125029,14.37,70.66,11.27,98.03,0.65,1.02,0.19,0.82,0.02,0.28,17.85,25.13,6.42,6.22,18.4
040US34,34,7720603,3075310,4893361,531993,972819,504811,566042,3625380,465966,376137,355289,363041,1029980,13.87,66.45,13.34,79.29,13.42,9.58,0.19,3.51,0.02,3.57,23.33,23.28,7.58,5.75,9.12
040US35,35,1515069,632058,905266,125878,252691,113938,106058,704462,80790,66658,62038,59490,163062,14.52,71.48,10.76,75.64,2,38.23,8.87,0.88,0.05,12.56,24.93,29.49,20.61,8.02,14.14
040US36,36,17990113,7226891,11366944,1255746,2318153,1230110,1408872,8501722,1042295,871585,811841,825095,2363677,14.67,67.12,13.14,74.4,15.89,12.31,0.35,3.83,0.02,5.5,25.19,23.68,13.03,6.89,8.13
040US37,37,6628637,2818193,4218147,458955,876461,497830,553956,3203272,381727,316978,295739,291164,804341,15.87,68.47,12.13,75.56,21.97,1.16,1.21,0.75,0.03,0.48,30.04,24.23,12.97,4.79,10.69
040US38,38,638800,276340,372360,47845,100852,46668,47873,288576,30635,26449,26268,27120,91055,14.8,68.45,14.25,94.57,0.55,0.73,4.06,0.52,0.02,0.28,23.31,27.46,14.38,5.3,12.83
040US39,39,10847115,4371945,6640410,785149,1561957,793919,795137,5000099,599373,514070,482526,496980,1406961,14.65,67.73,12.97,87.78,10.65,1.29,0.19,0.83,0.01,0.54,24.33,25.81,12.54,6.6,6.51
040US40,40,3145585,1406499,1884365,226523,476014,233093,222766,1417419,175218,147757,141214,137227,424213,14.49,67.39,13.49,82.13,7.43,2.74,8.02,1.02,0.05,1.34,25.41,26.61,16.71,6.87,14.24
