"","GEOID","total_18_39"
"1","00601",4755
"2","00602",10927
"3","00603",13644
"4","00606",1612
"5","00610",7413
"6","00612",16120
"7","00616",3428
"8","00617",6754
"9","00622",1415
"10","00623",11381
"11","00624",6707
"12","00627",9354
"13","00631",443
"14","00637",5998
"15","00638",4351
"16","00641",7260
"17","00646",10284
"18","00647",1346
"19","00650",4388
"20","00652",1044
"21","00653",3162
"22","00656",5116
"23","00659",11361
"24","00660",3868
"25","00662",11198
"26","00664",4397
"27","00667",6121
"28","00669",6955
"29","00670",2361
"30","00674",10759
"31","00676",10738
"32","00677",3670
"33","00678",7550
"34","00680",13884
"35","00682",10883
"36","00683",7965
"37","00685",9958
"38","00687",9607
"39","00688",3702
"40","00690",1343
"41","00692",10526
"42","00693",15545
"43","00694",0
"44","00698",9574
"45","00703",7298
"46","00704",2652
"47","00705",6492
"48","00707",2656
"49","00714",5034
"50","00715",867
"51","00716",7612
"52","00717",4958
"53","00718",7681
"54","00719",8561
"55","00720",6053
"56","00723",4466
"57","00725",22908
"58","00727",16631
"59","00728",12594
"60","00729",15247
"61","00730",8696
"62","00731",3497
"63","00735",3421
"64","00736",13030
"65","00738",8373
"66","00739",10679
"67","00740",411
"68","00741",1571
"69","00745",14688
"70","00751",5349
"71","00754",10855
"72","00757",6475
"73","00765",2112
"74","00766",6752
"75","00767",9309
"76","00769",10868
"77","00771",11110
"78","00772",5773
"79","00773",5274
"80","00775",374
"81","00777",12237
"82","00778",14388
"83","00780",3088
"84","00782",5473
"85","00783",9897
"86","00784",12187
"87","00786",35
"88","00791",13244
"89","00794",9175
"90","00795",13063
"91","00901",2050
"92","00906",86
"93","00907",4000
"94","00909",1657
"95","00911",1960
"96","00912",1666
"97","00913",2497
"98","00915",7857
"99","00917",4861
"100","00918",4843
"101","00920",4541
"102","00921",10012
"103","00923",6803
"104","00924",13573
"105","00925",3137
"106","00926",25493
"107","00927",3942
"108","00934",26
"109","00936",117
"110","00949",22048
"111","00950",0
"112","00951",0
"113","00952",2086
"114","00953",22051
"115","00956",19146
"116","00957",10986
"117","00959",14190
"118","00960",1585
"119","00961",9039
"120","00962",5764
"121","00965",1924
"122","00966",4375
"123","00968",563
"124","00969",12653
"125","00971",7312
"126","00976",16962
"127","00979",4236
"128","00982",3878
"129","00983",10306
"130","00985",8553
"131","00987",16499
"132","01001",4075
"133","01002",16827
"134","01003",11126
"135","01005",1091
"136","01007",3494
"137","01008",234
"138","01009",108
"139","01010",708
"140","01011",408
"141","01012",140
"142","01013",7596
"143","01020",8222
"144","01022",948
"145","01026",100
"146","01027",4984
"147","01028",3728
"148","01029",164
"149","01030",2229
"150","01031",393
"151","01032",78
"152","01033",1471
"153","01034",523
"154","01035",1289
"155","01036",1015
"156","01037",213
"157","01038",547
"158","01039",246
"159","01040",13197
"160","01050",580
"161","01053",343
"162","01054",390
"163","01056",5544
"164","01057",1864
"165","01060",6682
"166","01062",2146
"167","01063",587
"168","01066",0
"169","01068",414
"170","01069",2238
"171","01070",107
"172","01071",342
"173","01072",294
"174","01073",1380
"175","01074",181
"176","01075",6366
"177","01077",2082
"178","01079",124
"179","01080",1097
"180","01081",437
"181","01082",2625
"182","01083",762
"183","01084",23
"184","01085",13561
"185","01086",372
"186","01088",160
"187","01089",8412
"188","01092",464
"189","01093",55
"190","01094",48
"191","01095",3149
"192","01096",660
"193","01097",8
"194","01098",256
"195","01103",968
"196","01104",6914
"197","01105",4303
"198","01106",3178
"199","01107",3982
"200","01108",9040
"201","01109",11688
"202","01118",4379
"203","01119",4587
"204","01128",622
"205","01129",1880
"206","01151",2754
"207","01199",0
"208","01201",11907
"209","01220",2209
"210","01222",226
"211","01223",458
"212","01224",0
"213","01225",714
"214","01226",1446
"215","01229",0
"216","01230",1765
"217","01235",547
"218","01236",189
"219","01237",456
"220","01238",1452
"221","01240",886
"222","01242",143
"223","01243",38
"224","01244",10
"225","01245",140
"226","01247",4300
"227","01253",60
"228","01254",175
"229","01255",186
"230","01256",108
"231","01257",344
"232","01258",106
"233","01259",78
"234","01260",105
"235","01262",218
"236","01264",31
"237","01266",226
"238","01267",3272
"239","01270",151
"240","01301",4904
"241","01330",267
"242","01331",3306
"243","01337",440
"244","01338",22
"245","01339",269
"246","01340",377
"247","01341",271
"248","01342",421
"249","01343",6
"250","01344",324
"251","01346",97
"252","01347",100
"253","01349",433
"254","01350",21
"255","01351",391
"256","01354",512
"257","01355",139
"258","01360",636
"259","01364",1894
"260","01366",285
"261","01367",116
"262","01368",200
"263","01370",866
"264","01373",1011
"265","01375",1623
"266","01376",1374
"267","01378",125
"268","01379",174
"269","01420",13347
"270","01430",1679
"271","01431",710
"272","01432",2426
"273","01434",611
"274","01436",905
"275","01438",252
"276","01440",5808
"277","01450",2151
"278","01451",733
"279","01452",935
"280","01453",11536
"281","01460",2228
"282","01462",2342
"283","01463",2862
"284","01464",2122
"285","01467",103
"286","01468",1039
"287","01469",2153
"288","01473",1682
"289","01474",388
"290","01475",2882
"291","01501",4001
"292","01503",629
"293","01504",2274
"294","01505",1048
"295","01506",870
"296","01507",3286
"297","01510",4514
"298","01515",599
"299","01516",1847
"300","01518",899
"301","01519",1515
"302","01520",3621
"303","01521",555
"304","01522",731
"305","01523",2333
"306","01524",2057
"307","01525",164
"308","01527",3484
"309","01529",746
"310","01531",233
"311","01532",3204
"312","01534",1543
"313","01535",1337
"314","01536",2183
"315","01537",840
"316","01540",3087
"317","01541",594
"318","01542",581
"319","01543",2129
"320","01545",8614
"321","01550",4784
"322","01560",1070
"323","01561",19
"324","01562",3362
"325","01564",1600
"326","01566",1169
"327","01568",1738
"328","01569",3685
"329","01570",4474
"330","01571",3656
"331","01581",4649
"332","01583",2902
"333","01585",1119
"334","01588",2740
"335","01590",1768
"336","01602",7984
"337","01603",6282
"338","01604",13252
"339","01605",9978
"340","01606",5602
"341","01607",2906
"342","01608",1567
"343","01609",9651
"344","01610",11809
"345","01611",730
"346","01612",1506
"347","01701",7705
"348","01702",14641
"349","01718",202
"350","01719",1456
"351","01720",4364
"352","01721",4324
"353","01730",2925
"354","01731",825
"355","01740",903
"356","01741",792
"357","01742",3357
"358","01745",166
"359","01746",3059
