origin,count within 60,count within 30,minutes
2129,56,13,14.81
2130,64,39,0.0
2131,60,15,0.0
2132,48,5,0.0
2134,63,35,0.0
2135,58,23,0.0
2136,57,10,16.67
2138,57,24,16.48
2139,60,25,13.81
2140,54,12,9.91
2141,56,20,12.9
2142,56,19,9.15
2143,62,15,17.47
2144,54,8,0.0
2145,56,7,15.29
2148,42,1,12.07
2149,60,4,0.0
2150,34,4,16.06
2151,22,4,22.01
2152,6,3,20.14
2155,46,4,14.85
2163,60,26,10.06
2169,47,15,0.0
2170,55,19,9.43
2171,53,20,0.0
2176,28,3,19.97
2180,20,5,0.0
2184,32,14,0.0
2186,52,13,14.42
2188,26,18,0.0
2189,27,9,0.0
2190,24,9,0.0
2191,29,13,17.82
2199,60,27,7.64
2203,59,19,4.49
2210,63,22,10.79
2215,60,31,0.0
2301,22,12,0.0
2302,25,12,0.0
2322,27,19,25.99
2324,12,0,56.43
2333,14,0,41.59
2339,13,3,0.0
2341,2,0,34.48
2343,38,5,25.21
2351,26,5,0.0
2356,20,0,35.44
2357,20,11,27.93
2359,3,0,44.22
2360,8,8,0.0
2366,8,0,35.07
2368,42,1,0.0
2370,26,2,18.7
2375,12,0,47.69
2379,12,0,30.3
2382,20,2,20.8
2420,22,5,29.3
2421,28,3,23.83
2445,60,28,8.29
2446,60,33,0.0
2451,26,3,0.0
2452,29,9,13.75
2453,27,9,15.54
2457,16,1,18.63
2458,48,17,12.37
2459,54,10,26.85
2460,44,17,15.9
2461,42,10,28.26
2462,23,1,19.31
2464,36,0,32.02
2465,32,6,22.27
2466,31,7,27.09
2467,57,16,19.43
2468,35,1,27.39
2472,47,21,0.0
2474,43,9,0.0
2476,36,9,10.32
2478,47,17,0.0
2481,8,1,0.0
2482,10,2,19.94
2492,22,0,31.07
2493,12,0,30.02
2494,30,1,29.21
2532,5,2,0.0
2534,6,1,0.0
2536,7,3,0.0
2537,2,0,49.16
2538,4,2,29.44
2539,1,0,52.42
2540,4,3,0.0
2542,1,0,50.13
2543,3,0,36.48
2553,3,1,26.48
2556,7,1,14.85
2557,1,1,21.52
2558,4,4,22.45
2559,3,1,19.32
2561,2,0,36.61
2562,2,0,35.11
2563,3,0,51.26
2568,1,1,0.0
2571,4,2,0.0
2575,1,1,26.31
2576,4,2,21.36
2601,6,6,0.0
2630,6,4,27.91
2632,9,6,0.0
2635,10,3,21.14
2637,6,0,32.05
2644,3,0,37.78
2647,6,6,13.02
2648,9,0,32.48
2649,6,3,0.0
2655,9,2,19.31
2664,6,0,40.99
2668,6,0,30.53
2670,4,0,50.38
2672,6,6,17.02
2673,6,4,23.59
2675,6,0,45.01
2702,9,0,48.69
2703,13,4,0.0
2715,4,0,52.42
2717,1,0,50.41
2718,4,0,35.02
2719,11,8,19.48
2720,7,7,0.0
2721,7,7,0.0
2723,7,7,11.79
2724,7,7,0.0
2725,7,5,20.93
2726,7,5,28.17
2738,2,0,31.96
2739,8,0,47.52
2740,11,11,0.0
2743,11,1,25.93
2744,11,8,15.24
2745,11,8,15.39
2746,11,8,0.0
2747,11,11,0.0
2748,11,7,25.15
2760,7,0,32.65
2762,6,0,48.77
2763,8,4,22.06
2764,4,0,33.78
2766,9,1,0.0
2767,4,4,28.5
2769,8,0,44.43
2771,30,3,22.33
2777,7,0,33.28
2779,4,0,39.02
2780,5,4,0.0
2790,11,0,39.71
2802,10,0,31.46
2804,6,0,36.99
2806,4,1,22.48
2807,1,0,55.67
2808,6,0,39.61
2812,1,0,32.79
2814,1,0,48.27
2816,5,2,0.0
2817,1,0,48.76
2818,5,0,36.56
2822,2,2,0.0
2826,3,0,56.85
2828,12,1,0.0
2831,7,1,26.41
2832,1,1,17.43
2833,6,0,44.31
2836,3,0,50.69
2838,10,3,20.32
2839,1,0,48.17
2840,3,3,0.0
2841,3,3,14.12
2842,3,3,0.0
2852,3,0,45.07
2857,2,0,35.84
2858,1,0,54.97
2860,35,14,0.0
2861,61,10,15.42
2863,32,12,10.36
2864,14,0,42.7
