origin,count within 30,minutes
2169,22,4.34
2170,25,0.0
2171,24,3.56
2176,23,7.19
2180,24,6.92
2184,18,5.77
2186,21,10.06
2188,19,0.0
2189,17,5.22
2190,18,0.0
2191,17,6.71
2199,18,7.34
2203,24,2.5
2210,18,10.02
2215,21,4.74
2301,10,0.0
2302,10,0.0
2322,17,8.99
2324,7,16.3
2330,5,22.06
2332,3,24.56
2333,8,15.94
2338,5,27.17
2339,8,14.75
2341,5,18.96
2343,17,7.94
2346,4,21.9
2347,7,21.13
2351,9,8.93
2356,8,11.58
2357,8,11.41
2359,6,24.76
2360,3,0.0
2364,1,17.12
2366,3,0.0
2367,3,24.48
2368,18,10.69
2370,9,10.25
2375,8,16.61
2379,9,10.51
2382,8,8.92
2420,19,11.2
2421,19,7.98
2445,20,6.16
2446,20,6.31
2451,16,0.0
2452,16,4.97
2453,16,5.7
2457,16,15.12
2458,20,6.04
2459,19,5.27
2460,20,7.82
2461,19,5.72
2462,18,12.1
2464,19,8.77
2465,19,8.68
2466,18,9.23
2467,20,0.0
2468,19,8.69
2472,19,3.38
2474,19,6.21
2476,18,5.58
2478,19,0.0
2481,15,16.08
2482,15,14.92
2492,21,12.16
2493,16,10.71
2494,19,9.78
2532,3,14.4
2534,2,14.18
2536,1,10.1
2537,2,23.49
2538,3,0.0
2540,1,0.0
2542,2,17.93
2543,1,11.92
2553,2,19.97
2556,2,11.3
2558,1,8.51
2559,2,17.1
2561,3,17.67
2562,2,16.8
2563,2,28.4
2571,5,9.41
2576,5,14.6
2601,1,13.42
2630,1,13.55
2631,1,21.94
2632,1,17.46
2633,1,24.2
2635,2,22.25
2637,1,10.13
2638,1,12.94
2639,1,8.24
2641,1,14.58
2644,1,26.7
2645,1,15.64
2646,1,15.82
2647,1,14.21
2648,2,25.6
2649,1,17.4
2650,1,23.93
2653,1,28.9
2655,2,22.46
2659,1,19.22
2660,1,8.81
2664,1,0.0
2668,1,18.71
2669,1,21.57
2670,1,4.39
2671,1,11.18
2672,1,15.28
2673,1,5.29
2675,1,6.35
2702,9,12.53
2703,18,0.0
2715,5,16.13
2717,9,13.63
2718,7,11.75
2719,8,5.11
2720,16,0.0
2721,19,0.0
2723,19,4.63
2724,20,0.0
2725,23,7.89
2726,12,12.18
2738,5,17.57
2739,8,11.75
2740,7,0.0
2743,7,13.58
2744,7,5.26
2745,9,9.55
2746,7,4.93
2747,7,8.52
2748,7,9.24
2760,17,11.6
2762,12,16.57
2763,19,8.71
2764,13,11.23
2766,14,11.49
2767,9,10.17
2769,21,17.17
2771,22,11.62
2777,25,10.93
2779,5,13.6
2780,10,0.0
2790,7,16.66
2791,7,22.63
2802,16,9.77
2804,1,12.76
2806,19,16.22
2808,1,13.58
2809,11,21.61
2813,1,21.74
2814,9,23.44
2815,4,26.38
2816,15,13.32
2817,3,22.14
2818,18,12.23
2822,4,0.0
2825,4,26.66
2826,4,17.13
2828,17,11.63
2830,4,18.67
2831,10,19.0
2832,3,21.81
2833,1,18.35
2835,5,12.3
2836,4,23.75
2837,2,27.13
2838,20,5.86
2839,4,20.53
2840,4,0.0
2841,4,8.51
2842,5,0.0
2852,8,13.07
2857,16,13.69
2858,4,17.55
2859,5,25.96
2860,17,0.0
2861,19,8.63
2863,17,8.7
2864,16,12.55
2865,17,10.62
2871,5,13.16
2873,2,26.15
2874,6,0.0
2875,1,27.4
2876,16,12.64
2878,8,10.64
2879,3,19.6
2881,4,17.03
2882,4,17.24
2885,22,13.93
2886,18,0.0
2888,16,6.57
2889,15,7.78
2891,3,0.0
2892,3,24.02
2893,18,7.61
2894,1,20.86
2895,19,0.0
2896,13,11.06
2898,3,24.56
2903,20,4.03
2904,19,5.72
2905,20,0.0
2906,20,0.0
2907,20,0.0
2908,20,0.0
2909,20,0.0
2910,17,0.0
2911,17,4.46
2912,20,3.71
2914,22,0.0
2915,20,12.15
2916,22,6.92
2917,17,11.61
2919,17,4.74
2920,17,0.0
2921,15,10.69
3031,3,27.35
3032,3,18.05
3034,3,20.05
3038,3,24.48
3042,1,19.03
3044,3,20.2
3045,3,13.68
3046,2,25.34
3048,1,27.48
3049,1,25.08
3051,2,0.0
3052,4,18.35
3053,4,17.42
3054,4,26.49
3060,2,10.63
3062,2,17.94
3063,4,16.35
3064,5,10.32
3070,3,23.45
3076,6,16.08
3077,4,23.7
3079,7,14.1
3087,7,13.26
3101,4,0.0
3102,4,0.0
3103,4,0.0
3104,4,6.09
3106,4,14.31
3109,3,8.94
3110,3,11.64
3216,1,23.96
3220,1,24.96
3224,2,23.86
3229,1,20.46
3231,1,16.12
3234,1,21.49
3235,2,0.0
3237,1,28.18
3242,1,28.84
3243,1,21.67
3246,1,25.18
3249,1,28.77
3256,1,26.25
3258,1,15.4
3263,1,26.7
3268,2,17.8
3269,1,17.77
3275,3,16.99
3276,2,7.73
3301,4,0.0
3303,2,12.72
3304,4,11.85
3307,1,17.28
3431,1,16.08
3441,1,25.09
3443,1,22.1
3446,1,0.0
3447,2,24.17
3448,1,28.9
3451,1,19.51
3452,1,29.09
3455,1,21.62
3461,1,24.64
3462,2,22.7
3465,2,19.68
3466,1,16.15
3467,1,29.5
3470,1,29.4
3561,1,25.15
3748,1,29.29
3750,1,21.59
3753,1,28.42
3755,1,11.4
3766,1,12.62
3768,1,25.08
3770,1,29.94
3771,1,25.07
3784,1,0.0
3801,2,0.0
3811,5,13.14
3819,3,20.22
3820,2,11.77
3823,2,19.41
3824,2,19.03
3825,1,28.13
3826,4,15.1
3827,3,13.17
3833,1,0.0
3835,1,28.5
3839,1,18.96
3840,2,11.55
3841,4,19.93
3842,4,21.82
3844,5,17.87
3848,3,15.28
3854,1,12.2
3856,2,17.41
3857,2,22.83
3858,5,11.77
3861,3,27.27
3862,2,16.52
3865,5,7.5
3867,1,15.39
3868,1,19.97
3869,2,10.2
3870,1,15.55
3871,2,18.43
3873,2,25.28
3874,5,20.05
3878,2,0.0
3885,2,17.36
3901,1,11.6
3902,1,27.4
3903,2,15.68
3904,1,11.84
3905,1,22.12
3906,1,21.41
3907,1,27.95
3908,2,19.55
3909,1,14.89
3910,1,22.6
3911,1,18.96
4005,3,23.32
4021,3,20.88
4027,1,25.23
4032,3,25.01
4038,3,12.89
4039,4,21.02
4062,3,16.23
4063,3,23.52
4064,3,23.96
4072,3,20.4
4074,3,11.28
4084,1,29.61
4090,1,28.82
4092,3,0.0
4093,3,20.83
4096,3,16.98
4097,2,27.24
4101,3,4.11
4102,3,0.0
4103,3,6.82
4105,3,16.74
4106,3,0.0
4107,3,7.38
4110,3,16.65
4210,1,7.08
4222,1,24.75
4236,1,12.48
4240,1,0.0
4250,1,15.96
4252,1,21.83
4256,1,23.61
4258,1,22.46
4260,2,19.76
4263,1,28.0
4265,1,27.17
4274,1,26.55
4280,1,12.53
4282,1,24.88
4330,1,25.28
4358,1,23.38
4401,3,0.0
4412,3,11.48
4419,3,25.98
4427,3,26.35
4428,3,25.56
4429,3,23.8
4444,3,21.7
4449,3,27.01
4450,3,18.48
4456,3,19.59
4461,3,25.1
4468,3,23.54
4469,3,21.95
4473,3,19.37
4474,3,22.42
4489,3,16.31
4547,1,23.35
4555,1,28.31
4563,1,21.04
4572,1,20.26
4619,1,0.0
4671,1,29.08
4694,1,17.82
4841,1,0.0
4843,1,12.2
4847,1,25.94
4849,1,27.61
4854,1,8.2
4856,1,11.89
4858,1,12.41
4859,1,18.08
4860,1,21.55
4861,1,7.04
4862,1,28.46
4864,1,14.45
4901,1,0.0
4910,1,21.36
4926,1,14.48
4927,1,22.31
4937,1,12.1
4944,1,21.59
4962,1,8.85
4963,1,15.32
4975,1,13.26
4978,1,27.91
4989,1,21.04
5001,1,7.9
5036,1,26.26
5043,1,23.65
5048,1,26.23
5050,1,17.85
5052,1,11.72
5053,1,26.09
5055,1,15.87
5059,1,16.42
5068,1,26.25
5075,1,29.9
5084,1,18.22
5086,1,28.06
5158,1,28.7
5260,1,24.66
5261,1,26.36
5301,4,0.0
5345,1,27.03
5346,1,20.79
5350,1,27.46
5352,1,14.54
5354,1,21.22
5362,1,27.81
5401,1,7.51
5403,1,0.0
5404,1,9.21
5405,1,6.86
5408,1,16.94
5439,1,10.64
5440,1,28.51
5445,1,25.68
5446,1,16.22
5452,1,19.72
5454,1,23.36
5455,1,14.35
5459,1,22.98
