origin,count within 30,minutes
2141,427,0.0
2142,423,0.0
2143,416,0.0
2144,421,0.0
2145,437,0.0
2148,433,0.0
2149,440,0.0
2150,431,0.0
2151,412,0.0
2152,356,0.0
2155,451,0.0
2163,416,4.47
2169,377,0.0
2170,417,0.0
2171,415,0.0
2176,411,0.0
2180,442,0.0
2184,271,0.0
2186,383,0.0
2188,300,0.0
2189,233,0.0
2190,270,0.0
2191,234,0.0
2199,393,0.0
2203,448,1.36
2210,371,0.0
2215,437,0.0
2301,207,0.0
2302,182,0.0
2322,251,0.0
2324,103,0.0
2330,59,0.0
2332,60,0.0
2333,110,0.0
2338,81,0.0
2339,137,0.0
2341,90,0.0
2343,260,0.0
2346,68,0.0
2347,64,0.0
2351,139,0.0
2356,125,0.0
2357,135,10.18
2359,96,0.0
2360,38,0.0
2364,54,0.0
2366,11,18.28
2367,65,9.76
2368,303,0.0
2370,146,0.0
2375,115,0.0
2379,119,0.0
2382,128,0.0
2420,372,0.0
2421,404,0.0
2445,413,0.0
2446,413,0.0
2451,377,0.0
2452,381,0.0
2453,389,0.0
2457,329,6.9
2458,431,0.0
2459,415,0.0
2460,427,0.0
2461,425,0.0
2462,408,5.11
2464,413,0.0
2465,402,0.0
2466,406,3.71
2467,404,0.0
2468,430,2.93
2472,424,0.0
2474,417,0.0
2476,383,0.0
2478,419,0.0
2481,341,0.0
2482,338,0.0
2492,401,0.0
2493,377,0.0
2494,409,0.0
2532,39,0.0
2534,26,6.05
2535,6,18.69
2536,25,0.0
2537,51,0.0
2538,31,0.0
2539,6,0.0
2540,19,0.0
2542,30,12.0
2543,14,11.92
2553,29,12.54
2554,3,0.0
2556,26,0.0
2557,6,0.0
2558,30,6.85
2559,29,11.05
2561,53,11.68
2562,36,11.16
2563,49,0.0
2564,3,15.14
2568,6,0.0
2571,41,0.0
2575,6,0.0
2576,42,0.0
2584,3,12.72
2601,43,0.0
2630,43,8.12
2631,26,12.08
2632,46,0.0
2633,26,0.0
2635,42,6.1
2637,44,4.7
2638,41,6.28
2639,38,0.0
2641,38,8.12
2642,15,12.75
2643,15,7.3
2644,36,8.88
2645,38,0.0
2646,37,0.0
2647,43,5.79
2648,44,0.0
2649,39,0.0
2650,26,4.64
2651,6,10.86
2652,3,12.67
2653,26,0.0
2655,45,7.73
2657,3,0.0
2659,26,7.85
2660,41,0.0
2663,8,6.46
2664,49,0.0
2666,3,11.33
2667,8,0.0
2668,48,9.76
2669,26,4.76
2670,41,4.39
2671,38,3.96
2672,45,6.86
2673,44,0.0
2675,49,0.0
