STATEFP,COUNTYFP,pcp_total,sp_total
1,1001,21,19
1,1003,119,204
1,1005,14,3
1,1007,12,0
1,1009,16,7
1,1011,4,1
1,1013,9,7
1,1015,70,129
1,1017,17,11
1,1019,9,9
1,1021,13,8
1,1023,4,0
1,1025,17,5
1,1027,4,4
1,1029,2,0
1,1031,26,24
1,1033,38,53
1,1035,7,3
1,1037,0,0
1,1039,30,31
1,1041,2,2
1,1043,45,78
1,1045,13,14
1,1047,27,30
1,1049,21,17
1,1051,24,21
1,1053,23,15
1,1055,81,112
1,1057,12,4
1,1059,18,14
1,1061,6,0
1,1063,2,0
1,1065,2,2
1,1067,4,0
1,1069,86,255
1,1071,31,30
1,1073,676,1638
1,1075,4,0
1,1077,39,97
1,1079,11,4
1,1081,74,105
1,1083,29,34
1,1085,1,0
1,1087,13,19
1,1089,276,479
1,1091,11,5
1,1093,15,9
1,1095,52,40
1,1097,256,600
1,1099,9,4
1,1101,200,337
1,1103,74,119
1,1105,2,0
1,1107,4,2
1,1109,20,13
1,1111,11,3
1,1113,17,8
1,1115,20,13
1,1117,133,162
1,1119,7,1
1,1121,35,39
1,1123,15,28
1,1125,146,267
1,1127,37,51
1,1129,3,0
1,1131,4,0
1,1133,8,5
2,2013,0,0
2,2016,6,0
2,2020,308,599
2,2050,11,1
2,2060,0,1
2,2068,0,0
2,2070,12,0
2,2090,80,125
2,2100,4,0
2,2105,0,0
2,2110,39,46
2,2122,42,46
2,2130,17,22
2,2150,19,8
2,2164,0,0
2,2170,54,70
2,2180,8,2
2,2185,2,1
2,2188,4,0
2,2195,1,1
2,2198,7,1
2,2220,24,9
2,2230,0,0
2,2240,3,0
2,2261,6,1
2,2270,0,0
2,2275,4,0
2,2282,0,0
2,2290,1,0
4,4001,20,28
4,4003,64,72
4,4005,107,194
4,4007,45,26
4,4009,24,14
4,4011,5,0
4,4012,11,9
4,4013,2667,5478
4,4015,104,185
4,4017,60,61
4,4019,821,1700
4,4021,85,93
4,4023,19,18
4,4025,145,255
4,4027,89,134
5,5001,7,4
5,5003,10,4
5,5005,34,62
5,5007,126,161
5,5009,32,32
5,5011,5,1
5,5013,2,0
5,5015,16,12
5,5017,10,4
5,5019,18,11
5,5021,6,1
5,5023,14,10
5,5025,1,0
5,5027,13,3
5,5029,13,7
5,5031,96,160
5,5033,24,10
5,5035,21,24
5,5037,11,2
5,5039,5,1
5,5041,5,1
5,5043,10,5
5,5045,57,83
5,5047,10,3
5,5049,8,0
5,5051,76,151
5,5053,2,2
5,5055,27,20
5,5057,7,6
5,5059,9,4
5,5061,6,2
5,5063,31,39
5,5065,4,1
5,5067,11,11
5,5069,66,82
5,5071,17,11
5,5073,1,0
5,5075,8,4
5,5077,3,2
5,5079,1,0
5,5081,8,2
5,5083,11,3
5,5085,14,10
5,5087,4,0
5,5089,1,0
5,5091,11,7
5,5093,17,13
5,5095,6,0
5,5097,2,0
5,5099,2,0
5,5101,0,1
5,5103,16,4
5,5105,1,0
5,5107,9,6
5,5109,3,0
5,5111,5,1
5,5113,13,8
5,5115,38,38
5,5117,1,0
5,5119,401,1246
5,5121,12,5
5,5123,9,8
5,5125,38,44
5,5127,1,1
5,5129,3,0
5,5131,145,206
5,5133,9,1
5,5135,8,1
5,5137,4,4
5,5139,35,42
5,5141,5,6
5,5143,167,266
5,5145,41,47
5,5147,5,0
5,5149,11,5
6,6001,1592,2259
6,6003,0,1
6,6005,24,23
6,6007,152,296
6,6009,19,23
6,6011,9,7
6,6013,946,1499
6,6015,23,22
6,6017,100,137
6,6019,572,837
6,6021,9,1
6,6023,110,172
6,6025,43,109
6,6027,19,13
6,6029,441,584
6,6031,70,72
6,6033,40,32
6,6035,19,10
6,6037,7256,13862
6,6039,91,163
6,6041,295,551
6,6043,4,5
6,6045,91,94
6,6047,120,127
6,6049,4,1
6,6051,6,15
6,6053,280,483
6,6055,117,264
6,6057,73,138
6,6059,2522,4421
6,6061,378,509
6,6063,22,7
6,6065,1030,1520
6,6067,1191,2179
6,6069,18,23
6,6071,1166,1838
6,6073,2473,4911
6,6075,1156,2510
6,6077,414,557
6,6079,207,447
6,6081,650,1271
6,6083,360,609
6,6085,1863,3324
6,6087,245,332
6,6089,154,246
6,6091,0,1
6,6093,30,38
6,6095,404,572
6,6097,473,667
6,6099,376,526
6,6101,76,104
6,6103,27,35
6,6105,5,1
6,6107,208,274
6,6109,56,56
6,6111,575,896
6,6113,179,170
6,6115,27,36
8,8001,347,693
8,8003,19,31
8,8005,478,863
8,8007,13,6
8,8009,4,0
8,8011,1,0
8,8013,349,644
8,8014,34,28
8,8015,18,16
8,8017,1,0
8,8019,8,6
8,8021,1,2
8,8023,0,0
8,8025,0,0
8,8027,1,0
8,8029,30,20
8,8031,679,1620
8,8033,0,0
8,8035,195,330
8,8037,37,83
8,8039,4,0
8,8041,404,882
8,8043,24,16
8,8045,42,66
8,8047,0,0
8,8049,7,2
8,8051,7,11
8,8053,0,0
8,8055,5,3
8,8057,1,0
8,8059,424,499
8,8061,1,0
8,8063,6,0
8,8065,2,3
8,8067,49,130
8,8069,259,418
8,8071,8,12
8,8073,1,0
8,8075,15,12
8,8077,152,252
8,8079,1,0
8,8081,9,10
