"","state","pcp_total","sp_total"
"1","01",3031,5194
"2","02",652,933
"3","04",4266,8267
"4","05",1879,2911
"5","06",28810,49880
"6","08",4079,7301
"7","09",2991,6337
"8","10",735,1305
"9","11",1069,2607
"10","12",13738,26609
"11","13",6293,11241
"12","15",1296,2115
"13","16",985,1677
"14","17",10167,17182
"15","18",4389,7969
"16","19",2260,3124
"17","20",2042,3157
"18","21",2878,5368
"19","22",2958,6077
"20","23",1434,2039
"21","24",5191,10488
"22","25",6848,13731
"23","26",7934,13119
"24","27",4842,7441
"25","28",1646,3032
"26","29",4234,7956
"27","30",772,1302
"28","31",1309,2124
"29","32",1595,2975
"30","33",1265,2089
"31","34",7151,14237
"32","35",1601,2383
"33","36",16887,35579
"34","37",6715,12052
"35","38",561,899
"36","39",8805,15791
"37","40",2469,3832
"38","41",3463,5597
"39","42",10212,19844
"40","44",945,1792
"41","45",3125,5726
"42","46",656,998
"43","47",4622,8487
"44","48",14934,28433
"45","49",1585,3106
"46","50",680,960
"47","51",6226,11088
"48","53",5904,9499
"49","54",1479,2267
"50","55",4764,7903
"51","56",375,620
