"GEOID","year","essnWrkE","wrkPopE","essnWrkP"
"00601",2018,1831,3495,52.39
"00602",2018,5665,11536,49.11
"00603",2018,5027,12400,40.54
"00606",2018,863,1355,63.69
"00610",2018,3449,8464,40.75
"00612",2018,6562,15455,42.46
"00616",2018,1255,3120,40.22
"00617",2018,2162,5835,37.05
"00622",2018,232,1286,18.04
"00623",2018,3766,10922,34.48
"00624",2018,2669,5596,47.69
"00627",2018,3785,8543,44.31
"00631",2018,193,394,48.98
"00637",2018,2541,5698,44.59
"00638",2018,1671,3209,52.07
"00641",2018,2719,6168,44.08
"00646",2018,4563,11617,39.28
"00647",2018,504,1104,45.65
"00650",2018,1581,3950,40.03
"00652",2018,371,959,38.69
"00653",2018,1218,2329,52.3
"00656",2018,2487,4663,53.33
"00659",2018,4777,12069,39.58
"00660",2018,1586,4781,33.17
"00662",2018,4630,10134,45.69
"00664",2018,1511,3361,44.96
"00667",2018,2055,4647,44.22
"00669",2018,3076,6282,48.97
"00670",2018,1037,2177,47.63
"00674",2018,4653,11062,42.06
"00676",2018,4224,9017,46.84
"00677",2018,2298,4572,50.26
"00678",2018,3633,7468,48.65
"00680",2018,5298,11511,46.03
"00682",2018,2993,7738,38.68
"00683",2018,3117,7860,39.66
"00685",2018,3823,8598,44.46
"00687",2018,4290,8586,49.97
"00688",2018,1480,3360,44.05
"00690",2018,674,1451,46.45
"00692",2018,3729,9499,39.26
"00693",2018,6385,14490,44.06
"00694",2018,0,0,NA
"00698",2018,3804,8918,42.66
"00703",2018,3456,7519,45.96
"00704",2018,1138,2296,49.56
"00705",2018,2939,6466,45.45
"00707",2018,1011,2183,46.31
"00714",2018,1972,3701,53.28
"00715",2018,281,640,43.91
"00716",2018,2914,7072,41.2
"00717",2018,1342,3803,35.29
"00718",2018,4055,6903,58.74
"00719",2018,2888,7680,37.6
"00720",2018,1652,4315,38.29
"00723",2018,1814,4071,44.56
"00725",2018,11332,26870,42.17
"00727",2018,7600,21098,36.02
"00728",2018,4691,11308,41.48
"00729",2018,7830,16184,48.38
"00730",2018,3238,7709,42
"00731",2018,1701,3657,46.51
"00735",2018,1728,3668,47.11
"00736",2018,6405,14769,43.37
"00738",2018,4685,9424,49.71
"00739",2018,4176,11297,36.97
"00740",2018,329,403,81.64
"00741",2018,607,1353,44.86
"00745",2018,7142,16941,42.16
"00751",2018,2940,5738,51.24
"00754",2018,4753,11335,41.93
"00757",2018,3890,7671,50.71
"00765",2018,1447,2440,59.3
"00766",2018,3263,6722,48.54
"00767",2018,3818,8044,47.46
"00769",2018,5132,11633,44.12
"00771",2018,3790,10254,36.96
