GEOID10,ZCTA5CE10,AFFGEOID10,minDistZ_mi
"28089","28089",8600000US28089,7.61126462789156
"58205","58205",8600000US58205,21.6560758460684
"43084","43084",8600000US43084,13.3241371282901
"44493","44493",8600000US44493,7.50917142004489
"44233","44233",8600000US44233,7.42324320041258
"43203","43203",8600000US43203,1.10615838939749
"44671","44671",8600000US44671,13.4678885408103
"43330","43330",8600000US43330,19.0745141069571
"01236","01236",8600000US01236,4.63903491862793
"01003","01003",8600000US01003,0.53409908879905
"49861","49861",8600000US49861,28.0239916634865
"48625","48625",8600000US48625,6.17416695275469
"48233","48233",8600000US48233,0.359985215578481
"48091","48091",8600000US48091,1.77645474164333
"49948","49948",8600000US49948,25.667582548417
"55029","55029",8600000US55029,7.59617614353938
"56467","56467",8600000US56467,40.2534129534963
"56639","56639",8600000US56639,64.4210984426809
"56671","56671",8600000US56671,20.2572310505221
"56001","56001",8600000US56001,3.31064624491916
"56313","56313",8600000US56313,21.3992847078705
"39140","39140",8600000US39140,20.3372480964111
"39759","39759",8600000US39759,1.75304784304421
"38920","38920",8600000US38920,11.2650747337508
"39170","39170",8600000US39170,15.3241548244561
"39069","39069",8600000US39069,2.93749870110394
"38945","38945",8600000US38945,7.00753493063671
"39332","39332",8600000US39332,11.3990729033229
"64093","64093",8600000US64093,2.25795658672453
"90301","90301",8600000US90301,0.784381043711329
"95545","95545",8600000US95545,24.7328949867485
"80023","80023",8600000US80023,6.35831318159785
"81227","81227",8600000US81227,19.1353131280956
"80515","80515",8600000US80515,9.36350510698073
"06412","06412",8600000US06412,2.91755990593872
"06481","06481",8600000US06481,4.09819192444455
"19716","19716",8600000US19716,3.27743238869777
"34488","34488",8600000US34488,8.50555718214015
"34202","34202",8600000US34202,7.41073796167075
"62982","62982",8600000US62982,10.1635646048678
"47708","47708",8600000US47708,0.790222785511854
"51243","51243",8600000US51243,11.6063380344453
"30660","30660",8600000US30660,24.6448150176081
"41073","41073",8600000US41073,0.417771211178952
"70357","70357",8600000US70357,41.5530566368357
"71254","71254",8600000US71254,27.1885270833844
"42464","42464",8600000US42464,12.1819309806674
"41083","41083",8600000US41083,9.13195585776
"40444","40444",8600000US40444,13.0757212131092
"41035","41035",8600000US41035,7.5587389747956
"40057","40057",8600000US40057,18.5334438921039
"41612","41612",8600000US41612,18.6919591325278
"40025","40025",8600000US40025,4.23637223647675
"40313","40313",8600000US40313,4.69360644051337
"41725","41725",8600000US41725,1.82169077365248
"40144","40144",8600000US40144,4.61410746763269
"71360","71360",8600000US71360,6.47177229214197
"71268","71268",8600000US71268,15.6339390047497
"70575","70575",8600000US70575,10.6552838831166
"71479","71479",8600000US71479,10.0366003335211
"04039","04039",8600000US04039,14.1554784319505
"04622","04622",8600000US04622,22.6835368136523
"04354","04354",8600000US04354,12.4726347214749
"04975","04975",8600000US04975,3.42007110561859
"04920","04920",8600000US04920,28.1551852868166
"20899","20899",8600000US20899,0.43283788643212
"21717","21717",8600000US21717,5.40054145766208
"64125","64125",8600000US64125,2.35233272713767
"63653","63653",8600000US63653,11.6404544576607
"64066","64066",8600000US64066,15.4948273261583
"65556","65556",8600000US65556,15.0519557970444
"65623","65623",8600000US65623,16.8998092065526
"65612","65612",8600000US65612,16.7277574066166
"59456","59456",8600000US59456,39.9274670988025
"59054","59054",8600000US59054,59.4515433153029
"59735","59735",8600000US59735,58.8879789003903
"59834","59834",8600000US59834,25.223417150491
"68137","68137",8600000US68137,0.799660176149904
"69333","69333",8600000US69333,61.3490596270438
"68841","68841",8600000US68841,19.3402311500224
"68304","68304",8600000US68304,16.7603378970139
"03280","03280",8600000US03280,8.64173177969671
"03753","03753",8600000US03753,13.8555650239936
"07621","07621",8600000US07621,1.41972436310926
"08740","08740",8600000US08740,2.71040599952135
"16244","16244",8600000US16244,16.6964006139824
"15422","15422",8600000US15422,7.63084947263136
"18444","18444",8600000US18444,8.51569136877661
"17576","17576",8600000US17576,3.46035640815584
"15049","15049",8600000US15049,2.73191775572626
"19102","19102",8600000US19102,0.232867252727692
"18617","18617",8600000US18617,5.95781687068548
"29108","29108",8600000US29108,1.28131946645564
"29030","29030",8600000US29030,10.9476341238147
"29483","29483",8600000US29483,7.31665417752792
"29591","29591",8600000US29591,4.1006998778885
"29117","29117",8600000US29117,2.65297600017698
"29368","29368",8600000US29368,8.99681873549707
"57422","57422",8600000US57422,28.2722717297462
"57054","57054",8600000US57054,15.7935738239845
"37066","37066",8600000US37066,1.4559994319545
"38301","38301",8600000US38301,4.52056884035737
"37174","37174",8600000US37174,13.9014223682366
"60129","60129",8600000US60129,11.1582189192019
"61839","61839",8600000US61839,8.95065142506495
"61049","61049",8600000US61049,10.5858655668667
"60144","60144",8600000US60144,12.9135478662326
"60302","60302",8600000US60302,1.17061270797077
"60472","60472",8600000US60472,4.78142841863156
"47421","47421",8600000US47421,3.8161838369596
"47916","47916",8600000US47916,12.5382634337037
"47860","47860",8600000US47860,7.56374817082913
"46961","46961",8600000US46961,7.66424943625687
"47281","47281",8600000US47281,16.8011062874667
"50230","50230",8600000US50230,27.6565627723335
"50227","50227",8600000US50227,52.3612631514805
"50551","50551",8600000US50551,18.1002053884957
"50105","50105",8600000US50105,6.48994233307516
"52033","52033",8600000US52033,28.575944844872
"50559","50559",8600000US50559,25.8687601824282
"51230","51230",8600000US51230,15.4113408185177
"67747","67747",8600000US67747,30.9364686975513
"66621","66621",8600000US66621,1.61292731975343
"67457","67457",8600000US67457,15.0125210940356
"40372","40372",8600000US40372,11.341637425005
"99109","99109",8600000US99109,55.3116183527429
"99166","99166",8600000US99166,61.2690945878736
"98304","98304",8600000US98304,37.1560804711566
"98830","98830",8600000US98830,33.2619766189109
"26405","26405",8600000US26405,13.7421742446165
"26554","26554",8600000US26554,1.20910243560015
"25271","25271",8600000US25271,1.72843070312952
"98638","98638",8600000US98638,21.5497321158204
"24844","24844",8600000US24844,16.7059179180001
"24845","24845",8600000US24845,18.229032782789
"24736","24736",8600000US24736,10.3738293743138
"26250","26250",8600000US26250,2.30070639661505
"54521","54521",8600000US54521,3.78268963120485
"24847","24847",8600000US24847,2.39283240396936
"54985","54985",8600000US54985,3.17103632832542
"83116","83116",8600000US83116,1.98550232434843
"26151","26151",8600000US26151,14.7737308585936
"98305","98305",8600000US98305,12.074773043161
"24656","24656",8600000US24656,10.3724136515915
"19731","19731",8600000US19731,9.37094514872049
"46376","46376",8600000US46376,23.0591724036623
"54896","54896",8600000US54896,37.6664300053128
"33404","33404",8600000US33404,2.17201999997534
"35548","35548",8600000US35548,12.5177430309488
"36775","36775",8600000US36775,16.2100721707161
"71651","71651",8600000US71651,26.9109629989623
"53504","53504",8600000US53504,15.9890922413213
"03101","03101",8600000US03101,0.510265651526196
"21802","21802",8600000US21802,1.34171383223864
"02141","02141",8600000US02141,1.42911040172397
"66019","66019",8600000US66019,15.832405680411
"61315","61315",8600000US61315,9.68101804254725
"46987","46987",8600000US46987,5.84850855274091
"48083","48083",8600000US48083,2.22359708941811
"04490","04490",8600000US04490,45.360415649063
"06059","06059",8600000US06059,9.06894285700039
"80290","80290",8600000US80290,1.55920118216342
"99124","99124",8600000US99124,7.00114590663859
"05747","05747",8600000US05747,14.2991528366654
"76483","76483",8600000US76483,32.6535685193946
"88134","88134",8600000US88134,48.4340145968903
"07702","07702",8600000US07702,0.86831559439736
"17083","17083",8600000US17083,3.55958001616469
"84629","84629",8600000US84629,27.7166812973624
"19103","19103",8600000US19103,0.688360662653661
"15015","15015",8600000US15015,1.25853130306647
"17250","17250",8600000US17250,7.85807586775472
"43970","43970",8600000US43970,14.8186350568652
"43529","43529",8600000US43529,16.7328894036283
"12307","12307",8600000US12307,0.44267374670067
"36522","36522",8600000US36522,18.8172251027506
"30165","30165",8600000US30165,6.51730784720807
"85922","85922",8600000US85922,40.1882491393542
"85620","85620",8600000US85620,4.91357218725754
"84531","84531",8600000US84531,41.1118158401031
"96120","96120",8600000US96120,1.79870658361398
"82063","82063",8600000US82063,24.9657386219662
"93643","93643",8600000US93643,14.7358524137311
"96080","96080",8600000US96080,8.6968114196523
"95458","95458",8600000US95458,11.5441341468601
"74578","74578",8600000US74578,1.32679064473833
"97624","97624",8600000US97624,46.7140707573921
"97343","97343",8600000US97343,14.3502988268019
"97148","97148",8600000US97148,14.5399081668089
"16616","16616",8600000US16616,19.0753779849281
"97123","97123",8600000US97123,7.77738197535376
"97424","97424",8600000US97424,5.34220500379458
"17756","17756",8600000US17756,13.8205446892703
"97758","97758",8600000US97758,57.2699385587518
"97494","97494",8600000US97494,10.1456515310192
"19442","19442",8600000US19442,3.04047897157631
"17887","17887",8600000US17887,12.4545778565912
"15078","15078",8600000US15078,3.51788971346791
"15737","15737",8600000US15737,25.9835339484192
"15546","15546",8600000US15546,11.8893128120781
"18428","18428",8600000US18428,18.4454091185868
"18814","18814",8600000US18814,9.2787289343866
"17041","17041",8600000US17041,10.2795414025968
"85019","85019",8600000US85019,0.666761997589825
"71665","71665",8600000US71665,19.1445818307431
"71671","71671",8600000US71671,4.30110521547569
"71998","71998",8600000US71998,1.87208354809053
"72476","72476",8600000US72476,3.52642660257897
"71837","71837",8600000US71837,19.9469433698516
"71763","71763",8600000US71763,26.0134198945694
"71858","71858",8600000US71858,22.5804490755082
"93254","93254",8600000US93254,42.295885173076
"20520","20520",8600000US20520,3.12809787951831
"20427","20427",8600000US20427,3.58583835605702
"32714","32714",8600000US32714,1.3611301293074
"32134","32134",8600000US32134,20.2036760339806
"33498","33498",8600000US33498,2.60221814606092
"31021","31021",8600000US31021,3.15473858433592
"30521","30521",8600000US30521,17.1817289976428
"31804","31804",8600000US31804,8.7298231645222
"30252","30252",8600000US30252,8.30508847418883
"39842","39842",8600000US39842,22.9974725650159
"30474","30474",8600000US30474,1.93748532859283
"95835","95835",8600000US95835,4.54018571002123
"93203","93203",8600000US93203,21.1332915981613
"95364","95364",8600000US95364,44.2587051031918
"91203","91203",8600000US91203,2.13876983707622
"95363","95363",8600000US95363,21.8353467927489
"93665","93665",8600000US93665,17.0022367658775
"90071","90071",8600000US90071,0.401177668611304
"95724","95724",8600000US95724,9.00703312153977
"80302","80302",8600000US80302,5.9977323315152
"80746","80746",8600000US80746,11.6250771642185
"81223","81223",8600000US81223,25.7019037625242
"81243","81243",8600000US81243,31.3708296510383
"80218","80218",8600000US80218,1.26150633807377
