"GEOID","year","totPopE","whiteP","blackP","amIndP","asianP","pacIsP","otherP","hispP","noHSP","a15_24P","und45P","ovr65P","disbP"
"00730",2018,31634,79.12,5.27,0.11,0,0,15.51,99.28,NA,14.31,54.5,20.99,NA
"00731",2018,12722,77.41,2.65,0.2,0,0,19.75,99.57,NA,13.54,55.98,16.6,NA
"00735",2018,12404,64.04,8.49,0.06,0.2,0,27.2,98.69,NA,13.8,53.79,21.78,NA
"00736",2018,47411,69.59,6.17,0.02,0.14,0,24.08,99.55,NA,13.42,53.3,19.31,NA
"00738",2018,30376,57.61,10.12,0.06,0.36,0,31.85,98.57,NA,14.09,54.57,21.04,NA
"00739",2018,36847,82.64,8.89,0.33,0,0,8.14,99.46,NA,14.51,57.42,15.59,NA
"00740",2018,1625,43.88,21.72,0.8,0.55,0,33.05,100,NA,16.86,63.82,16.74,NA
"00741",2018,4880,37.58,44.71,0,0,0,17.7,100,NA,12.62,54.69,15.8,NA
"00745",2018,51429,53.2,13.05,0.14,0.3,0,33.32,99.43,NA,14.13,55.78,18.38,NA
"00751",2018,21009,56.48,33.68,0.1,0.55,0,9.2,99.5,NA,14.21,54.41,19.86,NA
"00754",2018,37727,77.53,16.68,0.12,0.12,0,5.55,99.85,NA,13.81,55.15,17.22,NA
"00757",2018,22066,56.51,35.18,0.2,0,0,8.11,99.6,NA,15.16,61.15,15.26,NA
"00765",2018,8607,59.96,9.76,0.08,1.81,0,28.38,93.91,NA,10.27,51.69,20.95,NA
"00766",2018,23201,53.51,2.79,0,0,0,43.7,99.75,NA,15.75,57.18,15.98,NA
"00767",2018,34166,30.69,66.58,0.11,0.04,0,2.58,99.92,NA,13.77,53.68,18.56,NA
"00769",2018,39121,66.77,25.52,0,0,0,7.71,99.42,NA,12.56,56.2,16.36,NA
"00771",2018,37165,34.91,62.3,0,0,0,2.79,99.76,NA,13.09,57.99,16.66,NA
"00772",2018,20055,14.74,45.1,0.05,0.16,0,39.95,99.97,NA,15.05,57.72,16.55,NA
"00773",2018,18547,59.14,10.08,0.11,0.34,0,30.33,98.5,NA,14.46,54.9,20.06,NA
"00775",2018,1299,50.04,5.23,0.46,1,0,43.26,92.07,NA,8.7,53.19,21.25,NA
"00777",2018,39994,47.48,12.65,0.1,0.21,0,39.57,99.27,NA,14.86,60.82,14.84,NA
"00778",2018,46675,66.7,12.3,0.04,0.13,0,20.84,97.68,NA,13.87,59.36,14.71,NA
"00780",2018,11653,71.96,4.43,0,0,0,23.62,99.07,NA,14.66,58.36,16.31,NA
"00782",2018,18229,82.54,9.46,0.36,0.13,0,7.52,99.57,NA,14.52,57.34,16.05,NA
"00783",2018,33372,79.43,6.63,0,0,0,13.94,98.94,NA,14.22,57.51,16.64,NA
"00784",2018,40685,72.68,13.92,0,0.24,0.37,12.79,98.84,NA,14.89,58.43,16.79,NA
"00786",2018,348,100,0,0,0,0,0,100,NA,0,32.76,43.97,NA
"00791",2018,48569,56.48,18.28,0.34,0.46,0,24.45,99.16,NA,13.47,53.4,20.43,NA
"00794",2018,28755,88.94,4.76,0.06,0,0,6.24,100,NA,15.7,59.79,14.42,NA
"00795",2018,44766,45.77,8.74,0.08,0.19,0,45.22,99.89,NA,14.28,57.72,16.62,NA
"00901",2018,6536,75.64,11.29,0.17,0.41,0.09,12.39,94.81,NA,9.78,51.3,20.87,NA
"00906",2018,184,96.2,0,0,3.8,0,0,100,NA,0,96.74,3.26,NA
"00907",2018,16202,74.46,10.68,0.18,0.15,0,14.52,94.83,NA,7.73,43.83,25.71,NA
