"GEOID","year","totWrkE","eduP","hghRskP","hltCrP","retailP"
"00979",2018,8017,1.41,51.5,0.35,1.5
"00982",2018,4936,1.72,38.15,1.56,1.05
"00983",2018,13286,4.12,31.79,1.29,2.1
"00985",2018,10832,4.16,25.53,2.05,0.54
"00987",2018,22035,2.15,38.45,2.55,1.29
"01001",2018,8867,0.29,37.39,1.44,2.47
"01002",2018,15647,1.61,32.8,0,1.83
"01003",2018,4101,4.54,22.43,0,0.24
"01005",2018,2650,1.92,34.57,0,4.79
"01007",2018,8642,1.55,41.78,1.42,1.25
"01008",2018,655,0.46,32.37,1.98,3.05
"01009",2018,155,0,105.81,0,0
"01010",2018,1890,1.8,48.57,0.37,2.96
"01011",2018,762,0,28.22,0,2.76
"01012",2018,299,0,28.76,0,0
"01013",2018,10433,0.72,25.29,0.31,1.64
"01020",2018,15224,2.04,24.01,1.63,1.95
"01022",2018,854,0,33.61,4.45,3.98
"01026",2018,448,1.12,27.9,0,0.67
"01027",2018,10086,0.61,31.29,0.97,1.68
"01028",2018,7768,1.51,42.96,1.09,2.14
"01029",2018,365,2.74,58.08,0,0.82
"01030",2018,5905,0.58,42.52,0.47,2.62
"01031",2018,555,0,39.82,1.08,6.13
"01032",2018,309,0,47.25,0,1.29
"01033",2018,3747,0.51,43.05,2.48,0.91
"01034",2018,1184,0.76,37.25,1.1,3.04
"01035",2018,2704,0.96,52.14,0.3,3.74
"01036",2018,2601,0,35.41,1.54,0.85
"01037",2018,311,2.57,32.8,10.93,1.93
"01038",2018,1670,1.38,40.48,1.32,0
"01039",2018,648,0,32.56,0,2.62
"01040",2018,16814,0.65,29.84,1.39,1.18
"01050",2018,1335,1.35,32.51,0,2.02
"01053",2018,722,0,45.84,0,2.08
"01054",2018,1048,0,50,0,0.67
"01056",2018,10430,0.97,34.18,2.23,1.77
"01057",2018,4806,0.71,35.52,2.62,0.89
"01060",2018,8599,0.6,35.19,0.58,2.17
"01062",2018,4997,0.64,43.25,0.46,2
"01063",2018,350,4,9.14,0,0
"01066",2018,0,NA,NA,NA,NA
"01068",2018,1025,0.98,50.24,0.39,2.34
"01069",2018,4828,1.2,41.36,1.01,2.07
"01070",2018,332,0,44.58,0,1.81
"01071",2018,676,3.4,25.89,1.78,0.89
"01072",2018,811,0.99,43.16,0.74,1.6
"01073",2018,3421,1.87,39.55,4.68,0.64
"01074",2018,346,0,0,0,0
"01075",2018,9305,2,39.43,0.24,1.25
"01077",2018,4637,1.36,39.9,0.35,2.89
"01079",2018,334,0,20.96,0,0
"01080",2018,1103,1,21.21,1,0.73
"01081",2018,983,1.02,30.21,1.02,2.54
"01082",2018,4817,1.2,25.8,0.75,2.91
"01083",2018,1618,0,23.98,1.67,6.55
"01084",2018,91,0,45.05,0,0
"01085",2018,21572,1.93,35.78,0.88,1.77
"01086",2018,73,0,19.18,0,0
"01088",2018,224,0,25.89,3.12,0
"01089",2018,14450,1.12,31.42,1.01,1.08
"01092",2018,698,0,34.67,0,0
"01093",2018,183,2.19,47.54,0,0
"01094",2018,93,0,21.51,0,16.13
"01095",2018,7903,1.77,47.02,1.19,0.95
"01096",2018,1522,1.12,43.82,1.58,0.79
"01097",2018,14,0,71.43,0,0
"01098",2018,709,0,33.99,0.56,1.55
"01103",2018,971,2.06,29.15,2.99,1.34
"01104",2018,9355,2.53,17.3,0.33,0.49
"01105",2018,3720,2.53,14.01,0,0.27
"01106",2018,7483,0.69,56.66,0.83,1.4
"01107",2018,3732,1.21,20.04,1.34,1.82
"01108",2018,11646,0.58,23.28,0.7,0.86
"01109",2018,11141,2.58,18.21,0.46,0.29
"01118",2018,7511,2.96,34.15,0.61,1.37
"01119",2018,5591,2.75,26.69,2.29,0.25
"01128",2018,1370,2.48,42.99,2.12,1.24
"01129",2018,3500,0.37,30.83,3.29,1.34
"01151",2018,3707,1.56,17.45,0.78,1.54
"01199",2018,0,NA,NA,NA,NA
"01201",2018,22586,1.11,28.44,1.49,1.66
"01220",2018,4111,0.88,32.11,0.92,1.02
"01222",2018,435,0,29.43,0,0
"01223",2018,1328,1.05,27.11,0.6,2.48
"01224",2018,94,0,0,0,0
"01225",2018,1583,1.83,26.34,1.2,1.52
"01226",2018,3608,0.58,40.6,0,2.25
"01229",2018,29,0,48.28,0,0
"01230",2018,4365,0.32,36.08,0.48,1.65
"01235",2018,1535,0,29.77,0.65,2.21
"01236",2018,681,0,19.97,0,9.69
"01237",2018,1307,0.08,41.24,0.69,1.22
"01238",2018,2961,0.88,27.79,1.82,2.06
"01240",2018,1897,1.74,36.69,0.47,3.32
"01242",2018,273,0,44.32,0,0
"01243",2018,169,0,68.64,0,0
"01244",2018,35,0,57.14,0,0
"01245",2018,455,0.66,57.14,2.2,2.86
"01247",2018,7185,1.74,28.27,0.57,0.88
"01253",2018,318,0,32.39,1.57,1.89
"01254",2018,516,0,36.24,1.94,1.36
"01255",2018,480,0.42,37.71,0,0.62
"01256",2018,393,0,26.97,0,0.51
"01257",2018,1104,0,47.28,1.27,0
"01258",2018,252,0,34.92,0,2.38
"01259",2018,270,0,36.3,0,0
"01260",2018,264,0,24.24,0,0
"01262",2018,553,0,27.85,0,0
"01264",2018,96,0,40.62,0,0
"01266",2018,747,1.61,51.54,0,1.74
"01267",2018,3931,2.52,31.54,1.12,0.76
"01270",2018,459,0,42.92,1.09,3.92
"01301",2018,9031,1.47,35.36,1.09,1.55
"01330",2018,816,0.37,37.01,0.86,0
"01331",2018,6262,1.07,25.38,2.68,2.7
