"GEOID","year","totWrkE","eduP","hghRskP","hltCrP","retailP"
"01001",2018,24124,1.13,34.37,1.79,2.16
"01003",2018,93379,0.86,34.76,1.05,2.36
"01005",2018,8720,1.02,25.01,1.93,0.62
"01007",2018,8099,1.43,17.25,1.54,0.93
"01009",2018,21346,0.99,26.65,1.21,1.15
"01011",2018,3940,0.63,16.75,2.49,0.41
"01013",2018,7885,0.27,22.66,0.86,1.08
"01015",2018,48157,1.08,25.27,1.28,1
"01017",2018,14786,1.24,24.33,1.37,0.8
"01019",2018,9805,0.96,19.11,1.22,1.66
"01021",2018,17500,0.59,25.27,0.67,0.95
"01023",2018,4264,2.06,17.85,1.48,0.94
"01025",2018,7647,0.81,16.33,1.18,0.9
"01027",2018,5542,0.51,16.93,0.18,0.34
"01029",2018,5628,0.66,24.91,0.21,0.69
"01031",2018,21725,1.31,29.31,1.54,0.93
"01033",2018,22436,1,24.21,0.74,1.31
"01035",2018,3892,2.26,12.13,1.44,0.28
"01037",2018,4110,0.36,21.36,1.24,1.85
"01039",2018,14899,0.5,27.32,1.28,1.65
"01041",2018,5612,0.78,24,1,1.23
"01043",2018,33003,0.53,24.38,0.8,1.72
"01045",2018,18025,1.39,24.97,1.02,1.02
"01047",2018,14295,1.25,21.44,1.69,0.56
"01049",2018,28637,0.82,22.73,0.69,0.82
"01051",2018,33811,1,36.96,1.49,1.19
"01053",2018,12182,1.45,22.39,3.87,0.76
"01055",2018,42367,0.85,26.14,1.27,1.75
"01057",2018,6380,0.67,22.63,1.05,0.74
"01059",2018,12849,0.47,23.12,0.65,0.67
"01061",2018,10047,1.52,21.83,0.89,0.33
"01063",2018,2204,2.59,24.5,0,0
"01065",2018,5083,0.65,23.39,0.94,1.85
"01067",2018,6868,0.51,28.26,0.44,1.44
"01069",2018,44291,1.01,27.01,0.9,1.35
"01071",2018,20189,0.81,23.56,0.88,1.87
"01073",2018,302428,1.39,36.31,0.73,1.37
"01075",2018,5338,0.58,20.68,1.78,2.36
"01077",2018,40130,1.01,26.54,1.18,1.6
"01079",2018,12568,1.06,22.67,1.02,1.35
"01081",2018,72956,0.72,36.61,0.85,2.18
"01083",2018,39595,1.42,36.25,0.96,3.84
"01085",2018,3457,0.61,23,1.3,1.82
"01087",2018,7289,1.63,29.04,2,1.5
"01089",2018,172631,1.29,48.93,0.8,6.81
"01091",2018,6563,1.22,26.74,0.49,1.05
"01093",2018,11980,0.29,22.69,1.25,1.22
"01095",2018,38997,0.86,30.35,0.59,1.69
"01097",2018,174229,1.16,29.57,0.69,1.97
"01099",2018,6422,0.44,22.06,2.26,1.53
"01101",2018,100599,1.53,36.94,1.3,1.53
"01103",2018,51513,1.13,29.14,0.99,3.16
"01105",2018,2325,8.56,31.57,0.69,1.46
"01107",2018,7136,0.55,26.95,1.04,1.05
"01109",2018,14093,0.72,27.99,0.86,1.37
"01111",2018,8628,0.45,24.93,0.95,0.93
"01113",2018,23550,0.99,26.71,0.59,0.96
"01115",2018,38881,1.27,27.58,1.21,1.87
"01117",2018,105724,1.33,48.28,0.89,2.13
"01119",2018,4207,1.93,18.16,3.14,0.31
"01121",2018,31082,0.91,28.95,0.7,1.59
"01123",2018,15083,0.53,24.99,1.23,0.99
"01125",2018,93450,1.07,29.92,1.06,1.7
"01127",2018,24707,1.8,18.7,1.13,1.14
"01129",2018,5538,0.04,19.77,1.1,0.65
"01131",2018,2882,2.05,26.58,1.15,0.28
"01133",2018,9000,0.54,21.63,1.31,0.13
"02013",2018,2395,1.17,20.46,1.29,0.42
"02016",2018,3889,2.01,22.63,0.82,1.62
"02020",2018,150201,1.04,40.47,0.97,2.49
"02050",2018,6178,1.1,31.11,2.06,0.62
