originGEOID,minDisBup,minDisMet,minDisNalV
61088,9.039005122356777,11.878124127536122,9.039005122356777
61089,12.274007153544085,40.25536683050361,12.274007153544085
61091,34.44168526115193,36.66828164974023,4.381956099017328
61101,2.0602433553473,5.353341002233486,2.0602433553473
61102,4.107843265254157,5.708081804231932,4.107843265254157
61103,0.2928459933538591,4.061572469902958,0.2928459933538591
61104,2.374196872579232,3.094935097447554,2.374196872579232
61107,0.7863088534960088,0.7863088534960088,0.7863088534960088
61108,1.2128812067197925,1.2128812067197925,1.2128812067197925
61109,1.4640092098277049,3.925840141903073,1.4640092098277049
61111,3.5716015296786394,3.99537628652118,2.346059392791941
61112,1.9470808864938367,2.587848234134538,1.9470808864938367
61114,2.5056142821147818,2.714392388711501,2.5056142821147818
61115,4.243129284343079,6.029839551185225,3.247815769080929
61201,4.972477241477788,1.5555117070936295,0.3877514564893601
61230,23.897810663150228,23.897810663150228,5.008539748663121
61231,25.676720979311703,19.7387554089055,14.616699609545146
61232,11.35164043847293,7.589538627462235,8.56804735364163
61234,35.907714609155484,34.98707887080785,28.126248137419232
61235,30.534596000091017,29.502791268426975,27.28391928920305
61236,11.6559107914065,11.6559107914065,9.309156075809085
61238,26.751049048430993,23.39145243804336,18.84971777128221
61239,10.346424722906667,9.88650229898656,7.230348615214207
61240,10.592649288650485,7.158750266309295,5.739829445991413
61241,13.558990445172425,12.884671986665536,10.377517371912381
61242,16.425951837707156,16.425951837707156,12.563276144988837
61243,46.37269205975393,46.37269205975393,11.137970874983798
61244,8.205045330164312,8.205045330164312,5.432428253985802
61250,26.139863419097342,26.139863419097342,13.815058904912856
61251,28.727085719664924,28.727085719664924,10.314599966839575
61252,30.26943784159273,30.26943784159273,2.407803383093171
61254,22.058990180810824,21.51653673473745,19.091676865104777
61256,8.862350541422394,8.862350541422394,8.012347492486942
61257,19.360195823405096,19.360195823405096,17.313929344028363
61258,34.35607633308886,34.35607633308886,20.794777067089573
61259,21.37345515353997,18.347356377829318,19.318906725050304
61260,27.98836421732114,22.847999348896572,19.785328452303055
61261,35.78644745993797,35.78644745993797,11.65051855024759
61262,22.11419958227763,17.483810419584746,11.592633567878813
61263,20.812668378900874,14.596326504480436,7.916273892579139
61264,9.538735739017811,3.3804516845414754,4.130892345980721
61265,6.275607844153626,4.745060860548458,2.0119929264028844
61270,36.230050180809364,36.230050180809364,11.855278808887096
61272,32.39149662051036,27.805454489123104,25.581801027521525
61273,16.737577495330008,12.53581854269272,8.165652697168609
61274,20.37604847067378,17.30890264489148,13.81330101186966
61275,13.45643748497891,13.45643748497891,13.169218052093495
61276,17.525357326328077,11.310531023356596,4.680966217663907
61277,33.742417423681765,33.742417423681765,14.816410338642957
61278,12.05809666906664,12.05809666906664,11.609022342167762
61279,17.198070824331573,11.465644671829816,8.356087867966997
61281,18.016009137352853,12.09328870660011,4.638345338284531
61282,9.358744047212745,9.044682629246937,6.318413977226288
61283,41.0076619237435,41.0076619237435,12.17352537445319
61284,13.178206872806703,8.721156028284142,9.809766701260495
61285,38.43566447692856,38.43566447692856,9.842895691938487
61301,13.399533917188016,13.399533917188016,1.1640154129367322
61310,37.13506057352279,37.13506057352279,12.58114492725875
61311,19.535419062770607,19.535419062770607,17.1472328134362
61312,22.486856018577658,22.486856018577658,9.09927675236601
61313,19.095942816974592,19.095942816974592,14.699034059841372
61314,39.21409237646979,40.56559451201717,29.890920440052195
61315,27.684934932266877,27.684934932266877,14.44951218553634
61316,15.615935368899716,15.615935368899716,6.775393058278513
61317,20.714001555055045,20.714001555055045,7.2082445049419475
61318,29.403825076597695,29.403825076597695,16.076667110621383
61319,21.6890598085467,21.6890598085467,12.17314691700616
61320,17.49175114220869,17.49175114220869,3.409124168949989
61321,25.62200134026879,25.62200134026879,18.688500553374908
61322,24.292116745463634,24.292116745463634,10.58644158995874
61323,30.011834209061497,30.011834209061497,15.934246881686809
61324,37.64277065492402,40.07735482409169,6.994293598386236
61325,6.1253845359368695,6.1253845359368695,6.1253845359368695
61326,20.836477994856242,20.836477994856242,9.251731031571216
61327,25.949418320015607,25.949418320015607,14.052303795474732
61328,34.79518613649328,34.79518613649328,21.060654262993594
61329,19.991339044611497,19.991339044611497,5.82874942241069
61330,26.984549937932794,26.984549937932794,14.997134912692342
61331,36.065335272447975,37.13450249067776,12.857299860631507
61332,12.059441277477317,12.059441277477317,12.059441277477317
61333,22.75147665022241,22.75147665022241,16.413907008329474
61334,17.584795752452333,17.584795752452333,14.904787792731298
61335,22.729318707571394,22.729318707571394,14.489709928663604
61336,24.877672732161763,24.877672732161763,18.326414698320665
61337,27.983860451086844,27.983860451086844,13.917685012389772
61338,44.08269221777196,44.08269221777196,22.45368520844657
61340,21.79608966123135,21.79608966123135,9.967089761503523
61341,7.012251898629401,7.012251898629401,7.012251898629401
61342,21.085283148687324,21.085283148687324,12.985320548823896
61344,39.85954101467431,39.000059481021225,27.337525132056467
61345,38.43375585480645,39.35823404510846,34.21185285302297
61346,44.40487230322143,44.40487230322143,18.435556420150753
61348,11.889722007408764,11.889722007408764,4.991447245078737
61349,35.658165368679725,35.658165368679725,19.582222408300982
61350,1.8237537869855944,1.8237537869855944,0.3459172434929855
61353,26.57413152033157,26.57413152033157,17.64469475843648
61354,15.116875526132704,15.116875526132704,2.1025131896967855
61356,32.16787764408,32.16787764408,18.04503802043215
61358,25.983596553748438,25.983596553748438,23.261233533056703
61359,22.890982028443233,22.890982028443233,8.766658661512523
61360,11.766958223071848,11.766958223071848,11.16497537803315
61361,44.089685264146006,43.75714903315735,27.695282338190317
61362,19.209426402138654,19.209426402138654,5.617377026546342
61363,18.408460136141922,18.408460136141922,8.132215550294662
61364,13.72779194795992,13.72779194795992,13.72779194795992
61367,30.566906064348377,30.566906064348377,19.18204049750144
61368,35.19063178925887,35.19063178925887,21.77121076697202
61369,27.37932619341771,27.37932619341771,24.8973775598884
61370,13.293984332567062,13.293984332567062,10.556710489244086
61372,16.01581861185435,16.01581861185435,7.471590013571239
61373,9.518487389699908,9.518487389699908,4.867915910152375
61374,31.047931649619677,31.047931649619677,18.423320268326286
61375,27.222622250625044,28.88516199286334,22.858165224172662
61376,42.49724026529938,42.49724026529938,16.862670640333604
61377,21.719998301067925,21.719998301067925,21.23706395141304
61378,31.323870276980692,31.323870276980692,16.431905301078547
