GEOID10,ZCTA5CE10,AFFGEOID10,minDistZ_mi
"36083","36083",8600000US36083,5.08282956081477
"35441","35441",8600000US35441,10.5409097934564
"35051","35051",8600000US35051,13.9224055626319
"35121","35121",8600000US35121,2.85780202506509
"35058","35058",8600000US35058,5.32339381493047
"35619","35619",8600000US35619,12.5889228950226
"35016","35016",8600000US35016,6.5424278535205
"36115","36115",8600000US36115,2.45058760549265
"36353","36353",8600000US36353,18.5757230300749
"36728","36728",8600000US36728,18.6301451364554
"35229","35229",8600000US35229,0.298010168606047
"99574","99574",8600000US99574,23.5375149079546
"99729","99729",8600000US99729,247.491858706596
"36027","36027",8600000US36027,5.18011895289333
"35470","35470",8600000US35470,14.2979400508941
"86544","86544",8600000US86544,35.0652115981868
"35173","35173",8600000US35173,8.45787091319103
"35098","35098",8600000US35098,13.7065161532212
"71653","71653",8600000US71653,3.64550634345231
"81524","81524",8600000US81524,9.88745516636965
"93308","93308",8600000US93308,13.5977030474284
"20012","20012",8600000US20012,2.21968239705325
"83811","83811",8600000US83811,31.1069753128068
"04554","04554",8600000US04554,15.5052203139879
"60034","60034",8600000US60034,13.2766529981703
"21529","21529",8600000US21529,5.04700853884378
"02671","02671",8600000US02671,11.335566789645
"04019","04019",8600000US04019,12.0451264326239
"49854","49854",8600000US49854,18.4043278504733
"56127","56127",8600000US56127,13.7482090438006
"04766","04766",8600000US04766,15.9658187685772
"39150","39150",8600000US39150,4.11727561508593
"59870","59870",8600000US59870,27.9012606849463
"59014","59014",8600000US59014,32.8234056292395
"02461","02461",8600000US02461,2.92347361325747
"88045","88045",8600000US88045,49.2533886984523
"99517","99517",8600000US99517,4.40998134527289
"99639","99639",8600000US99639,58.1212382403587
"99768","99768",8600000US99768,495.693049316042
"85264","85264",8600000US85264,19.7735955231613
"86334","86334",8600000US86334,33.2153808683219
"85501","85501",8600000US85501,12.1731504830805
"85638","85638",8600000US85638,18.1108415590088
"85726","85726",8600000US85726,2.34260476393095
"72756","72756",8600000US72756,13.8418381854535
"72950","72950",8600000US72950,17.7627021524202
"71846","71846",8600000US71846,16.8646067518441
"93592","93592",8600000US93592,37.312373450624
"93060","93060",8600000US93060,3.79933083093206
"93960","93960",8600000US93960,21.9261764264385
"93235","93235",8600000US93235,7.44447435381693
"93622","93622",8600000US93622,29.3379495908509
"90018","90018",8600000US90018,0.753774694871553
"96057","96057",8600000US96057,27.0351821115183
"93666","93666",8600000US93666,9.64120164251835
"94952","94952",8600000US94952,8.97378205537488
"94127","94127",8600000US94127,1.2029826195182
"96034","96034",8600000US96034,22.8784420943816
"93620","93620",8600000US93620,16.2903807725917
"49934","49934",8600000US49934,6.93097571206884
"28428","28428",8600000US28428,12.0494925785983
"39465","39465",8600000US39465,10.5345377116424
"65747","65747",8600000US65747,20.7822781771092
"64112","64112",8600000US64112,1.07917730102871
"39144","39144",8600000US39144,15.6190541133144
