"GEOID","DmySgrg","DmyBlckBlt","PrcNtvRsrv"
"37017",0,1,0.013797
"37167",0,0,0
"39153",0,0,0
"42113",0,0,0
"48459",0,0,0
"48049",0,0,0
"45021",0,0,0
"01043",0,0,0.000573
"54023",0,0,0
"46055",0,0,0.004515
"55061",0,0,0
"18049",0,0,0
"19083",0,0,0
"20133",0,0,0
"31133",0,0,0
"01059",0,0,3.5e-05
"29175",0,0,0
"35028",0,0,0.037272
"37105",0,0,0
"39137",0,0,0
"45039",0,1,0
"48021",0,0,0
"55113",0,0,0.091572
"48233",0,0,0
"55031",0,0,0.000408
"48095",0,0,0
"51065",0,0,0
"55041",0,0,0.024859
"26121",0,0,0
"27005",0,0,0.304225
"40077",0,0,1
"22073",1,0,0
"15005",0,0,0.093075
"01023",0,1,0
"12123",0,0,0
"18127",1,0,0
"20075",0,0,0
"26139",1,0,0
"26101",0,0,0.001457
"36005",1,0,0
"40025",0,0,0
"38019",0,0,0.000219
"38095",0,0,0
"05145",0,0,0
"13081",0,1,0
"13043",0,0,0
"18015",0,0,0
"19141",0,0,0
"20123",0,0,0
"17023",0,0,0
"24047",0,0,0
"26019",0,0,0.000473
"31135",0,0,0
"20189",0,0,0
"46105",0,0,0.000434
"51025",0,1,0
"51141",0,0,0
"01109",0,1,0.168216
"13013",1,0,0
"18125",0,0,0
"19081",0,0,0
"21215",1,0,0
"26087",1,0,0
"27009",0,0,0
"27007",0,0,0.314402
"28115",0,0,0
"01075",0,0,0
"12061",0,0,0
"12073",0,1,0
"26149",0,0,0
"26031",0,0,0
"31165",0,0,0
"39051",1,0,0
"37007",0,1,0
"37185",0,1,0.166927
"01073",1,0,0
"08047",1,0,0
"13089",1,0,0
"17093",1,0,0
"19019",0,0,0
"26079",0,0,0
"27097",0,0,2e-05
"01079",0,0,0.55154
"05059",0,0,0
"35011",0,0,0
"17009",0,0,0
"20155",0,0,0
"31151",0,0,0
"29027",0,0,0
"36099",0,0,0.114682
"28019",0,1,0
"40011",0,0,1
"48375",1,0,0
"48455",0,0,0
"55107",0,0,0
"72145",0,0,0
"53069",0,0,0
"48103",0,0,0
"47117",0,0,0
"48381",1,0,0
"48285",0,0,0
"29097",0,0,0
"17187",0,0,0
"18107",0,0,0
"28081",0,0,0
"28087",0,0,0
"39113",1,0,0
"31137",0,0,0
"17181",0,0,0
"01017",0,1,0
"13073",0,1,0
"17083",1,0,0
"26151",0,0,0
"29031",0,0,0
"37055",0,0,0
"47139",0,0,0
"22063",0,1,0
"21069",0,0,0
"29117",0,0,0
"29085",0,0,0
"39173",1,0,0
"40107",0,0,1
"51840",0,0,0
"48441",0,0,0
"54095",0,0,0
"55015",0,0,0
"31143",0,0,0
"31157",0,0,0
"05009",0,0,0
"12103",0,0,0
"16081",0,0,0
"20129",0,0,0
"26059",0,0,0
"36101",0,0,0
"39083",0,0,0
"40105",0,0,0.999966
"47181",0,0,0
"54065",0,0,0
"13067",1,0,0
"13305",0,0,0
"17123",0,0,0
"18031",0,0,0
"19023",0,0,0
"20073",0,0,0
"39169",0,0,0
"40153",0,0,0.000183
"46025",0,0,0
"47169",1,0,0
"48025",0,0,0
"48151",0,0,0
"48005",0,0,0
"56033",0,0,0.000639
"48383",0,0,0
"51159",0,0,0
"54105",0,0,0
"56031",0,0,0
"48161",0,0,0
"28155",0,1,0
"20023",0,0,0
"31179",0,0,8.9e-05
"31109",0,0,2e-06
"38075",0,0,0
"08125",0,0,0
"27131",0,0,0
"30065",0,0,0
"31185",0,0,0
"37063",0,0,0
"47007",0,0,0
"48341",0,0,0
"49031",0,0,0
"51580",0,0,0
"01053",0,0,0.000581
"72061",0,0,0
"72121",0,0,0
"20089",0,0,0
"46099",0,0,0
"36097",0,0,0
"42015",0,0,0
"20059",0,0,0
"13113",1,0,0
"17171",0,0,0
"04003",0,0,0
"06049",0,0,0.004971
"17091",0,0,0
"19195",0,0,0
"19063",0,0,0
"26053",0,0,0.000366
"20077",0,0,0
"47109",0,0,0
"39003",0,0,0
"51199",0,0,0
"13109",0,0,0
"05111",0,0,0
"13171",1,0,0
"13123",0,0,0
"18139",0,0,0
"21067",0,0,0
"21049",0,0,0
"26049",1,0,0
"37015",0,1,0
"46121",0,0,0.999028
"55087",0,0,0.093822
"72137",0,0,0
"18105",0,0,0
"08113",0,0,0
"19027",0,0,0
"28141",0,0,0
"13279",0,0,0
"39085",1,0,0
"21087",0,0,0
"31035",0,0,0
"04011",0,0,0.000306
"21019",0,0,0
"20011",0,0,0
"36015",0,0,0
"40001",0,0,0.999623
"48195",0,0,0
"51183",1,1,0
"46063",0,0,0
"37199",0,0,0
"28045",0,0,0
"05065",0,0,0
"18157",0,0,0
"18011",1,0,0
"19121",0,0,0
"21217",0,0,0
"20169",0,0,0
"26015",0,0,0
"27161",0,0,0
"27013",0,0,0
"37057",1,0,0
"39141",0,0,0
"47175",0,0,0
"48145",0,0,0
"48305",0,0,0
"48117",0,0,0
"72139",0,0,0
"56009",0,0,0
"51073",0,0,0
"48267",0,0,0
"35025",0,0,0
"08023",0,0,0
"19077",0,0,0
"28129",0,0,0
"20165",0,0,0
"20097",0,0,0
"29217",0,0,0
"37077",0,1,0.000898
"31077",0,0,0
"42099",0,0,0
"17071",0,0,0
"48221",0,0,0
"17087",0,0,0
"51790",0,0,0
"17011",0,0,0
"19021",0,0,0
"18087",0,0,0
"28153",0,0,0
"21171",0,0,0
"04019",0,0,0.423066
"40053",0,0,2e-06
"48357",0,0,0
"40059",0,0,0
"72151",0,0,0
"17177",0,0,0
"18091",0,0,0
"36067",1,0,0.011418
"16047",0,0,0
"21055",0,0,0
"19007",0,0,0
"21063",0,0,0
"24011",0,0,0
"22031",0,1,0
"24015",1,0,0
"55078",0,0,0.985901
"19179",0,0,0
"16055",0,0,0.127253
"47075",0,1,0
"19003",0,0,0
"17155",0,0,0
"17169",0,0,0
"47111",1,0,0
"19033",0,0,0
"26023",0,0,0
"19041",0,0,0
"37159",0,0,0
"56001",0,0,0
"02016",0,0,0.034334
"08013",0,0,0
"13303",0,1,0
"18055",0,0,0
"20109",0,0,0
"21033",0,0,0
"26137",0,0,0
"26143",0,0,0
"35043",0,0,0.324687
"39011",0,0,0
"46015",0,0,0.001207
"46005",0,0,0
"48091",0,0,0
"48393",0,0,0
"54005",0,0,0
"72075",0,0,0
"72087",0,0,0
"21223",0,0,0
"27051",0,0,0
"28037",0,1,0
"29215",0,0,0
"21237",0,0,0
"48023",0,0,0
"47067",0,0,0
"46081",0,0,0
"46087",0,0,0
"46073",0,0,0
"42035",0,0,0
"51075",1,0,0
"47101",0,0,0
"47113",0,0,0
"48255",0,0,0
"27083",0,0,0
"47135",0,0,0
"47147",1,0,0
"47155",0,0,0
"55097",0,0,0
"55099",0,0,0
"51037",0,0,0
"48047",0,0,0
"55033",0,0,0
"17075",0,0,0
"13181",0,1,0
"24025",1,0,0
"31095",0,0,0
"31145",0,0,0
"31181",0,0,0
"39017",1,0,0
"17191",0,0,0
"19107",0,0,0
"17199",0,0,0
"12049",0,0,0
"13187",0,0,0
"12043",0,0,0.058182
"13183",0,0,0
"13195",0,0,0
"48481",0,0,0
"13219",0,0,0
"13225",0,1,0
"48503",0,0,0
"51013",1,0,0
"56025",0,0,0
"45083",0,0,0
"45081",0,0,0
"55131",1,0,0
"53023",0,0,0
"27117",0,0,0
"27133",0,0,0
"41031",0,0,0.224788
"30107",0,0,0
"51109",0,0,0
"27147",0,0,0
"29131",0,0,0
"27153",0,0,0
"01057",0,0,0
"19071",0,0,0
"18021",0,0,0
"31013",0,0,0
"28049",0,1,0
"18063",1,0,0
"17145",0,0,0
"37181",0,1,0
"20001",0,0,0
"48093",0,0,0
"20079",1,0,0
"26057",0,0,0
"20111",0,0,0
"47159",1,0,0
"26065",0,0,0
"26067",1,0,0
"21141",0,0,0
"48127",0,0,0
"48325",0,0,0
"21161",0,0,0
"26085",0,0,0
"27067",0,0,0
"26107",0,0,0
"37123",0,0,0
"46037",0,0,0.094942
"37093",0,1,0.638967
"37125",0,0,0.00018
"21219",0,0,0
"27065",0,0,4e-06
"17051",0,0,0
"17065",0,0,0
"21233",0,0,0
"48129",0,0,0
"27003",0,0,0
"48137",0,0,0
"40073",0,0,0.999325
"48149",0,0,0
"45003",0,0,0.004504
"46011",0,0,0
"46103",0,0,0.000683
"48009",0,0,0
"47029",0,0,0
"48017",0,0,0
"47043",1,0,0
"46019",0,0,0
"45023",0,0,0
"72133",0,0,0
"13105",0,0,0
"45041",0,1,0
"27017",0,0,0.096612
"12029",0,0,0
"27035",0,0,0.000264
"26013",0,0,0.115016
"38081",0,0,0.073559
"20009",0,0,0
"18035",1,0,0
"22093",1,1,0
"26035",0,0,0
"38071",0,0,0.004506
"16001",0,0,0
"39097",1,0,0
"20003",0,0,0
"19039",0,0,0
"51007",1,0,0
"13319",0,1,0
"48507",0,0,0
"39055",1,0,0
"21071",0,0,0
"48303",0,0,0
"13273",1,1,0
"19035",0,0,0
"16015",0,0,0
"39071",0,0,0
"17153",0,0,0
"27059",0,0,0
"13093",0,1,0
"27165",0,0,0
"05073",0,0,0
"37003",0,0,0
"48425",0,0,0
"13301",0,1,0
"37119",0,0,0
"39101",0,0,0
"18111",1,0,0
"20091",1,0,0
"19051",0,0,0
"08063",0,0,0
"17105",0,0,0
"13285",0,0,0
"19065",0,0,0
"20113",0,0,0
"19069",0,0,0
"01045",0,0,0.005945
"48309",0,0,0
"12093",0,0,0
"17129",0,0,0
"51051",0,0,0
"08095",0,0,0
"20193",0,0,0
"16057",0,0,0.004328
"19125",0,0,0
"13059",0,0,0
"19137",0,0,0
"19149",0,0,0
