STATEFP,COUNTYFP,NAME,areaSqMi,alcTotal,alcDens
"54","001",Barbour,341.057291505792,1350,3.95827924991621
"41","001",Baker,3067.95242972973,1350,0.440032898462812
"38","001",Adams,987.606217760618,1350,1.36694157622975
"18","001",Adams,339.026822393822,1350,3.98198582185278
"12","001",Alachua,875.02893976834,1350,1.54280611605532
"23","001",Androscoggin,467.936762934363,1350,2.88500521210248
"42","001",Adams,518.758415830116,1350,2.60236741960077
"33","001",Belknap,401.842261776062,1350,3.35952717873245
"17","001",Adams,855.136997683398,1350,1.57869441230728
"19","001",Adair,569.268028185328,1350,2.37146639747789
"37","001",Alamance,423.430285328185,1350,3.18824620433955
"40","001",Adair,573.676606177606,1350,2.35324220207447
"24","001",Allegany,422.184512355212,1350,3.19765401262317
"34","001",Atlantic,555.510634362934,1350,2.43019650118525
"05","001",Arkansas,988.759444787645,1350,1.36534726127439
"50","001",Addison,766.324463320463,1350,1.76165588418055
"21","001",Adair,405.286111196911,1350,3.33098017105277
"11","001",District of Columbia,61.1352861003861,1350,22.0821735876603
"25","001",Barnstable,394.227193050193,1350,3.42442130781201
"04","001",Apache,11197.4211305019,1350,0.1205634747739
"15","001",Hawaii,4028.43160926641,1350,0.335118013892717
"35","001",Bernalillo,1161.25070694981,1350,1.16253965825
"29","001",Adair,567.321257142857,1350,2.37960411848283
"20","001",Allen,500.294898069498,1350,2.6984084890917
"32","001",Churchill,4930.55141119691,1350,0.273803047045459
"49","001",Beaver,2582.88872857143,1350,0.522670599420933
"27","001",Aitkin,1821.78903359073,1350,0.741029820197764
"53","001",Adams,1924.98025366795,1350,0.701305895178739
"36","001",Albany,522.82655984556,1350,2.58211824662998
"47","001",Anderson,337.201765250965,1350,4.00353776023459
"44","001",Bristol,24.1365563706564,1350,55.9317567621718
"01","001",Autauga,594.440974131274,1350,2.27104129551788
"55","001",Adams,645.652659073359,1350,2.09090751974525
"39","001",Adams,583.864452123552,1350,2.31218049855572
"10","001",Kent,585.803912355212,1350,2.30452540778083
"51","001",Accomack,449.307405791506,1350,3.0046244121479
"09","001",Fairfield,624.961941312741,1350,2.16013153883308
"30","001",Beaverhead,5542.66104362934,1350,0.243565318061741
"56","001",Albany,4274.30714633205,1350,0.315840662306753
"08","001",Adams,1166.25206718147,1350,1.15755421832829
"31","001",Adams,563.269923552124,1350,2.39671948306161
"13","001",Appling,508.271534362934,1350,2.65606060684096
"22","001",Acadia,655.166297297297,1350,2.06054555243309
"16","001",Ada,1052.00317760618,1350,1.28326608582296
"45","001",Abbeville,491.424645559846,1350,2.7471149690957
"28","001",Adams,462.341418532819,1350,2.91992009775817
"06","001",Alameda,737.29653011583,1350,1.83101363543365
"26","001",Alcona,674.652224710425,1350,2.00103097648488
"48","001",Anderson,1062.62503783784,1350,1.27043872667154
"29","003",Andrew,432.629537451737,1345,3.10889544879964
"16","003",Adams,1362.79881583012,1345,0.98693951328445
"51","003",Albemarle,720.466344015444,1345,1.86684639910281
"55","003",Ashland,1044.97153050193,1345,1.28711640531868
"34","003",Bergen,232.78416023166,1345,5.77788453759695
"05","003",Ashley,925.352318918919,1345,1.45350043707823
"27","003",Anoka,421.976621621622,1345,3.18738036915712
"01","003",Baldwin,1589.78636138996,1345,0.846025624992818
"25","003",Berkshire,926.871004633205,1345,1.45111886473594
"08","003",Alamosa,722.573694594595,1345,1.86140183355917
"46","003",Aurora,708.456705019305,1345,1.89849286550736
"35","003",Catron,6924.15331196911,1345,0.19424757647625
"04","003",Cochise,6164.54471351351,1345,0.218183185053647
"49","003",Box Elder,5745.56632046332,1345,0.234093547090331
"17","003",Alexander,235.520057142857,1345,5.71076627747324
"13","003",Atkinson,342.716908108108,1345,3.9245218668223
"26","003",Alger,915.029131274131,1345,1.46989855735757
"47","003",Bedford,473.636978764479,1345,2.83972759793491
"19","003",Adams,423.430991505791,1345,3.17643258755566
"32","003",Clark,7891.61446177606,1345,0.170434073599852
"20","003",Anderson,579.643847104247,1345,2.32039036853281
"42","003",Allegheny,730.113804633205,1345,1.84217856375925
"18","003",Allen,657.317222779923,1345,2.04619619475621
"12","003",Baker,585.227400772201,1345,2.29825192433794
"45","003",Aiken,1070.60404054054,1345,1.25630013438107
"06","003",Alpine,738.336922779923,1345,1.82166157278973
"38","003",Barnes,1491.54726486486,1345,0.901748158897169
"10","003",New Castle,426.312684169884,1345,3.15496125248767
"30","003",Big Horn,4997.78732972973,1345,0.269119094363852
"44","003",Kent,168.557232818533,1345,7.97948552850304
"37","003",Alexander,259.983849420849,1345,5.17339828222475
"09","003",Hartford,734.959033590734,1345,1.83003397268122
"22","003",Allen,761.808420849421,1345,1.76553574782006
"31","003",Antelope,857.232310810811,1345,1.56900292142259
"24","003",Anne Arundel,414.782681467181,1345,3.24266190488577
"23","003",Aroostook,6671.2259988417,1345,0.201612117507866
"21","003",Allen,344.339034749035,1345,3.90603406604854
"41","003",Benton,675.17859034749,1345,1.99206553529456
"54","003",Berkeley,321.147044401544,1345,4.18811265259003
"50","003",Bennington,674.993454440154,1345,1.9926119152008
"56","003",Big Horn,3136.94276216216,1345,0.428761409428124
"40","003",Alfalfa,866.450818146718,1345,1.55230968894099
"28","003",Alcorn,400.042634362934,1345,3.36214164308238
"15","003",Honolulu,600.561211196911,1345,2.23957187864236
"48","003",Andrews,1500.71438764479,1345,0.896239824894886
"33","003",Carroll,931.857635521235,1345,1.44335352175086
"36","003",Allegany,1029.35508610039,1345,1.30664337133205
"53","003",Asotin,636.078733590734,1345,2.11451810754202
"39","003",Allen,402.501886100386,1345,3.34159924821955
"40","005",Atoka,975.514622393822,1051,1.07738005753409
"04","005",Coconino,18618.5880671815,1051,0.0564489635952885
"27","005",Becker,1315.07901853282,1051,0.799191520196679
"24","005",Baltimore,598.355005791506,1051,1.75648233879106
"34","005",Burlington,799.322374903475,1051,1.31486373082815
"55","005",Barron,863.022902316602,1051,1.21781240935648
"19","005",Allamakee,639.04078957529,1051,1.64465244964801
"42","005",Armstrong,653.175579536679,1051,1.60906199332423
"22","005",Ascension,290.05247027027,1051,3.62348232725162
"01","005",Barbour,884.997936293436,1051,1.18757339073785
"41","005",Clackamas,1870.66970926641,1051,0.561830875217493
"38","005",Benson,1388.63668185328,1051,0.756857437034812
"35","005",Chaves,6067.13021158301,1051,0.17322852210976
"33","005",Cheshire,706.705501544401,1051,1.48718242281006
"06","005",Amador,594.568948648649,1051,1.76766715178911
"31","005",Arthur,715.351246718147,1051,1.46920831524615
"20","005",Atchison,431.172416602317,1051,2.43753997132282
"39","005",Ashland,422.959406563707,1051,2.48487203190195
"32","005",Douglas,709.718270656371,1051,1.48086930188228
"21","005",Anderson,202.120522007722,1051,5.19986782915515
