"STATEFP","Wk200121","Wk200122","Wk200123","Wk200124","Wk200125","Wk200126","Wk200127","Wk200128","Wk200129","Wk200130","Wk200131","Wk200201","Wk200202","Wk200203","Wk200204","Wk200205","Wk200206","Wk200207","Wk200208","Wk200209","Wk200210","Wk200211","Wk200212","Wk200213","Wk200214","Wk200215","Wk200216","Wk200217","Wk200218","Wk200219","Wk200220","Wk200221","Wk200222","Wk200223","Wk200224","Wk200225","Wk200226","Wk200227","Wk200228","Wk200229","Wk200301","Wk200302","Wk200303","Wk200304","Wk200305","Wk200306","Wk200307","Wk200308","Wk200309","Wk200310","Wk200311","Wk200312","Wk200313","Wk200314","Wk200315","Wk200316","Wk200317","Wk200318","Wk200319","Wk200320","Wk200321","Wk200322","Wk200323","Wk200324","Wk200325","Wk200326","Wk200327","Wk200328","Wk200329","Wk200330","Wk200331","Wk200401","Wk200402","Wk200403","Wk200404","Wk200405","Wk200406","Wk200407","Wk200408","Wk200409","Wk200410","Wk200411","Wk200412","Wk200413","Wk200414","Wk200415","Wk200416","Wk200417","Wk200418","Wk200419","Wk200420","Wk200421","Wk200422","Wk200423","Wk200424","Wk200425","Wk200426","Wk200427","Wk200428","Wk200429","Wk200430","Wk200501","Wk200502","Wk200503","Wk200504","Wk200505","Wk200506","Wk200507","Wk200508","Wk200509","Wk200510","Wk200511","Wk200512","Wk200513","Wk200514","Wk200515","Wk200516","Wk200517","Wk200518","Wk200519","Wk200520","Wk200521","Wk200522","Wk200523","Wk200524","Wk200525","Wk200526","Wk200527","Wk200528","Wk200529","Wk200530","Wk200531","Wk200601","Wk200602","Wk200603","Wk200604","Wk200605","Wk200606","Wk200607","Wk200608","Wk200609","Wk200610","Wk200611","Wk200612","Wk200613","Wk200614","Wk200615","Wk200616","Wk200617","Wk200618","Wk200619","Wk200620","Wk200621","Wk200622","Wk200623","Wk200624","Wk200625","Wk200626","Wk200627","Wk200628","Wk200629","Wk200630","Wk200701","Wk200702","Wk200703","Wk200704","Wk200705","Wk200706","Wk200707","Wk200708","Wk200709","Wk200710","Wk200711","Wk200712","Wk200713","Wk200714","Wk200715","Wk200716","Wk200717","Wk200718","Wk200719","Wk200720","Wk200721","Wk200722","Wk200723","Wk200724","Wk200725","Wk200726","Wk200727","Wk200728","Wk200729","Wk200730","Wk200731","Wk200801","Wk200802","Wk200803","Wk200804","Wk200805","Wk200806","Wk200807","Wk200808","Wk200809","Wk200810","Wk200811","Wk200812","Wk200813","Wk200814","Wk200815","Wk200816","Wk200817","Wk200818","Wk200819","Wk200820","Wk200821","Wk200822","Wk200823","Wk200824","Wk200825","Wk200826","Wk200827","Wk200828","Wk200829","Wk200830","Wk200831","Wk200901","Wk200902","Wk200903","Wk200904","Wk200905","Wk200906","Wk200907","Wk200908","Wk200909","Wk200910","Wk200911","Wk200912","Wk200913","Wk200914","Wk200915","Wk200916","Wk200917","Wk200918","Wk200919","Wk200920","Wk200921","Wk200922","Wk200923","Wk200924","Wk200925","Wk200926","Wk200927","Wk200928","Wk200929","Wk200930","Wk201001","Wk201002","Wk201003","Wk201004","Wk201005","Wk201006","Wk201007","Wk201008","Wk201009","Wk201010","Wk201011","Wk201012","Wk201013","Wk201014","Wk201015","Wk201016","Wk201017","Wk201018","Wk201019","Wk201020","Wk201021","Wk201022","Wk201023","Wk201024","Wk201025","Wk201026","Wk201027","Wk201028","Wk201029","Wk201030","Wk201031","Wk201101","Wk201102","Wk201103","Wk201104","Wk201105","Wk201106","Wk201107","Wk201108","Wk201109","Wk201110","Wk201111","Wk201112","Wk201113","Wk201114","Wk201115","Wk201116","Wk201117","Wk201118","Wk201119","Wk201120","Wk201121","Wk201122","Wk201123","Wk201124","Wk201125","Wk201126","Wk201127","Wk201128","Wk201129","Wk201130","Wk201201","Wk201202","Wk201203","Wk201204","Wk201205","Wk201206","Wk201207","Wk201208","Wk201209","Wk201210","Wk201211","Wk201212","Wk201213","Wk201214","Wk201215","Wk201216","Wk201217","Wk201218","Wk201219","Wk201220","Wk201221","Wk201222","Wk201223","Wk201224","Wk201225","Wk201226","Wk201227","Wk201228","Wk201229","Wk201230","Wk201231","Wk210101","Wk210102","Wk210103","Wk210104","Wk210105","Wk210106","Wk210107","Wk210108","Wk210109","Wk210110","Wk210111","Wk210112","Wk210113","Wk210114","Wk210115","Wk210116","Wk210117","Wk210118","Wk210119","Wk210120","Wk210121","Wk210122","Wk210123","Wk210124","Wk210125","Wk210126","Wk210127","Wk210128","Wk210129","Wk210130","Wk210131","Wk210201","Wk210202","Wk210203","Wk210204","Wk210205","Wk210206","Wk210207","Wk210208","Wk210209","Wk210210","Wk210211","Wk210212","Wk210213","Wk210214","Wk210215","Wk210216","Wk210217","Wk210218","Wk210219","Wk210220","Wk210221","Wk210222","Wk210223","Wk210224","Wk210225","Wk210226","Wk210227","Wk210228","Wk210301","Wk210302","Wk210303"
1,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857142857,1.71428571428571,3.28571428571429,4.14285714285714,5.57142857142857,7.28571428571429,11.1428571428571,14.2857142857143,17,19.1428571428571,23.8571428571429,29,47.8571428571429,65.7142857142857,76.1428571428571,84.1428571428571,96.1428571428571,107.285714285714,108.142857142857,103.142857142857,104.571428571429,128,130.285714285714,144.285714285714,151.142857142857,171.142857142857,198.571428571429,224,210.428571428571,232.857142857143,249,257.142857142857,250.857142857143,249,223.714285714286,223.428571428571,208.714285714286,188.571428571429,181.857142857143,196.285714285714,195.571428571429,204,207.714285714286,212.857142857143,216.857142857143,208.714285714286,203.285714285714,187.857142857143,176.571428571429,181.142857142857,199.714285714286,209.571428571429,224.714285714286,241,252.285714285714,282.571428571429,298.714285714286,293.857142857143,285.857142857143,293.142857142857,289.571428571429,287,293.571428571429,284,286.571428571429,268.857142857143,274.571428571429,273.142857142857,336,330.428571428571,328.142857142857,353.571428571429,386.714285714286,414.285714285714,467.714285714286,425.714285714286,445.142857142857,480.142857142857,458.571428571429,496.285714285714,506.857142857143,445.857142857143,402.714285714286,363.142857142857,336.571428571429,383.428571428571,364,341.571428571429,378.714285714286,448.285714285714,539,617.571428571429,651.142857142857,730.714285714286,763.857142857143,784.285714285714,760.428571428571,765.857142857143,756,706.857142857143,629.428571428571,597.428571428571,597.857142857143,678.857142857143,714.285714285714,740.142857142857,790.571428571429,774.285714285714,960.142857142857,992.571428571429,985.428571428571,986.428571428571,1097.42857142857,1111.28571428571,1216,1100.42857142857,1105.71428571429,1142.85714285714,1294.71428571429,1234.71428571429,1297.85714285714,1376.28571428571,1523.85714285714,1638.57142857143,1729.28571428571,1702,1797.57142857143,1898.14285714286,1917.71428571429,1906.57142857143,1871.85714285714,1820.85714285714,1874.85714285714,1844.85714285714,1842.28571428571,1754.71428571429,1746.28571428571,1715.42857142857,1709.85714285714,1650,1674,1602.71428571429,1735.71428571429,1649.42857142857,1619.42857142857,1553.14285714286,1547.14285714286,1511.14285714286,1546.28571428571,1412.85714285714,1479.85714285714,1449.85714285714,1447.42857142857,1280.71428571429,1144,1058.14285714286,1014.14285714286,854.857142857143,930,956,984.571428571429,1046.14285714286,993.142857142857,946.714285714286,1100.85714285714,983,1110.85714285714,1224.85714285714,1221.85714285714,1336.71428571429,1453.57142857143,1335.42857142857,1482,1283.57142857143,1180.28571428571,1172.57142857143,1130.57142857143,1011.28571428571,987.857142857143,855.714285714286,882.571428571429,897.142857142857,901.428571428571,834.714285714286,920.142857142857,926.571428571429,936.285714285714,952.857142857143,884.571428571429,880,931.142857142857,886.714285714286,903,917.714285714286,866.571428571429,921.285714285714,1113.57142857143,1061,1051.28571428571,1029,995.714285714286,1078.28571428571,1076.85714285714,862.857142857143,969.857142857143,978.285714285714,961.428571428571,989,959.571428571429,890.142857142857,966.714285714286,878,881.857142857143,909,959.428571428571,937,1026.71428571429,987,1019.42857142857,1040.57142857143,1058.42857142857,1047.85714285714,1099.57142857143,1128.85714285714,1506,1659.14285714286,1675.57142857143,1691,1701.28571428571,1718.85714285714,1726.42857142857,1368.57142857143,1287,1375.71428571429,1367.14285714286,1356,1438.71428571429,1429.85714285714,1459.71428571429,1456.71428571429,1386,1423.57142857143,1519.71428571429,1551.42857142857,1639.85714285714,1843.28571428571,1908.71428571429,2019.28571428571,2053.57142857143,2040.14285714286,2121.28571428571,2181.85714285714,2108,2123.57142857143,2097.71428571429,2121.14285714286,2288.14285714286,2261.71428571429,2292.42857142857,2071.57142857143,2040.71428571429,2103.28571428571,2206.28571428571,2290.71428571429,2501.42857142857,2628.85714285714,3046.42857142857,3228,3235.42857142857,3243.57142857143,3395,3337,3509,3510.85714285714,3607.42857142857,3679.14285714286,3666.57142857143,3552.57142857143,3636.14285714286,3630.42857142857,3844,3866.14285714286,3831.57142857143,3848.14285714286,4039.71428571429,4132.71428571429,4066.57142857143,3820.42857142857,3364.85714285714,3310.85714285714,3295,3141.85714285714,3178.71428571429,3203.57142857143,3331.57142857143,3714.28571428571,3758,3742.57142857143,3969.85714285714,3909.14285714286,4000.57142857143,4077.14285714286,4241.71428571429,4280.85714285714,4272.14285714286,4036.42857142857,3830.14285714286,3621.85714285714,3320.14285714286,3075.85714285714,2956.85714285714,2861.14285714286,2670.71428571429,2665.71428571429,2564.71428571429,2651.28571428571,2680.14285714286,2653.14285714286,2711.57142857143,2766.57142857143,2775.85714285714,2885.42857142857,2785,2305.71428571429,2638.42857142857,2550.14285714286,2432.71428571429,2281.42857142857,2155.57142857143,1962.42857142857,2247,1826.28571428571,1784,1675.42857142857,1573,1392.42857142857,1335.42857142857,1220.71428571429,1215.42857142857,1179.57142857143,1117.42857142857,1014.28571428571,970.714285714286,935,875.714285714286,844.571428571429,845,926.428571428571,1007.57142857143,963.571428571429,948.142857142857,956.714285714286,915.571428571429,892.714285714286,778.285714285714,990.571428571429
2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.428571428571429,0.857142857142857,1.28571428571429,1.57142857142857,1.85714285714286,2.85714285714286,3,4.71428571428571,5.14285714285714,7.14285714285714,8.14285714285714,10.1428571428571,11.5714285714286,13.1428571428571,12,13,12,10.8571428571429,10.1428571428571,9.57142857142857,9.85714285714286,9.85714285714286,11.1428571428571,11.4285714285714,12.5714285714286,12.5714285714286,12.2857142857143,12.4285714285714,12.2857142857143,10.2857142857143,9.71428571428571,9.28571428571429,9,8.14285714285714,6.71428571428571,6.28571428571429,6.28571428571429,6,5.28571428571429,4.28571428571429,3.57142857142857,3.14285714285714,3.42857142857143,3.14285714285714,2.85714285714286,2.57142857142857,3.57142857142857,3.71428571428571,3.85714285714286,3.57142857142857,2.85714285714286,2.42857142857143,2.85714285714286,2,2,1.71428571428571,1.71428571428571,2,1.85714285714286,2,1.71428571428571,2.14285714285714,2.57142857142857,2.71428571428571,2.28571428571429,2.57142857142857,2,2.14285714285714,2.28571428571429,1.71428571428571,1.71428571428571,2.28571428571429,2.14285714285714,4,4.57142857142857,4.42857142857143,8.42857142857143,9,11.4285714285714,14,15.8571428571429,18.1428571428571,19.5714285714286,16.8571428571429,18.5714285714286,17.2857142857143,17.7142857142857,17.1428571428571,17.2857142857143,20,20.2857142857143,18.1428571428571,18.2857142857143,18.7142857142857,18,17,15.5714285714286,15.8571428571429,16.5714285714286,20.7142857142857,20.1428571428571,22,23.5714285714286,23.8571428571429,26.7142857142857,29,29,31.7142857142857,34.5714285714286,38,42.4285714285714,42.1428571428571,42.7142857142857,39.8571428571429,40.8571428571429,40.2857142857143,40.7142857142857,43.2857142857143,54.4285714285714,60.1428571428571,64.4285714285714,65.8571428571429,69.8571428571429,70.1428571428571,70.4285714285714,71.2857142857143,81.8571428571429,89.7142857142857,94.5714285714286,93.1428571428571,93.8571428571429,99.4285714285714,115.285714285714,109,112.857142857143,112.714285714286,120.142857142857,127.857142857143,132.857142857143,121.285714285714,118.714285714286,110.571428571429,105.857142857143,95.2857142857143,87.7142857142857,78.2857142857143,71.5714285714286,69.2857142857143,64.7142857142857,66,73,80.5714285714286,80.7142857142857,81.8571428571429,79.7142857142857,82.8571428571429,83.4285714285714,82.4285714285714,76,77.1428571428571,71.1428571428571,73.8571428571429,64.1428571428571,61,60.4285714285714,67.7142857142857,69.5714285714286,68,63.7142857142857,68.2857142857143,71.5714285714286,75.1428571428571,76.2857142857143,75.1428571428571,79.7142857142857,79,79.2857142857143,78.1428571428571,80.4285714285714,77.1428571428571,77.8571428571429,74.4285714285714,80.2857142857143,81.5714285714286,79.8571428571429,77.8571428571429,78,75.7142857142857,79.8571428571429,80.2857142857143,80.8571428571429,81,85.5714285714286,87,90.1428571428571,93.4285714285714,99.1428571428571,110.857142857143,118.428571428571,117.428571428571,118.571428571429,123.714285714286,134.571428571429,147.714285714286,149.857142857143,153.142857142857,153.285714285714,160.857142857143,176,185.714285714286,183.285714285714,185,187,191.285714285714,198,192.428571428571,187.714285714286,188.714285714286,196.285714285714,205.285714285714,215.142857142857,222,245,287.857142857143,309,333.571428571429,354.142857142857,373.428571428571,388.714285714286,398.571428571429,373.142857142857,373.428571428571,374.428571428571,383,374.857142857143,395.142857142857,418.285714285714,442.428571428571,459.142857142857,479.142857142857,492,515.571428571429,524.571428571429,543,562,577.857142857143,592.857142857143,598.857142857143,600.428571428571,581.571428571429,572.857142857143,557.571428571429,546,538.142857142857,556.714285714286,565.571428571429,595.714285714286,594.428571428571,605,606.714285714286,596.285714285714,599.857142857143,630.142857142857,643.142857142857,682,702.857142857143,701.428571428571,710,694.428571428571,675,656.285714285714,596.428571428571,578.857142857143,568.428571428571,527.571428571429,530.714285714286,496.571428571429,476.714285714286,450.285714285714,387.571428571429,349.142857142857,372.142857142857,336.571428571429,320.428571428571,251.142857142857,256.428571428571,270.285714285714,265.714285714286,228.571428571429,231.857142857143,264.714285714286,264.714285714286,326.142857142857,326.142857142857,345.571428571429,347,338.714285714286,313.428571428571,370.142857142857,300.142857142857,293.857142857143,287.571428571429,260.571428571429,273.428571428571,274,259.714285714286,241.714285714286,245,236,254.285714285714,218.285714285714,199.714285714286,198.285714285714,207.571428571429,191.428571428571,180.571428571429,174,176,177.142857142857,161.571428571429,147,142.571428571429,145.142857142857,153.428571428571,160.142857142857,156.714285714286,166.857142857143,146.142857142857,127.428571428571,182.571428571429,180.285714285714,176.571428571429,171.714285714286,157.571428571429,157.571428571429,157.571428571429,88.7142857142857,142,121.571428571429,130.428571428571,139,139,139,186.857142857143,123.571428571429,141.142857142857,137.142857142857,122.857142857143,122.857142857143,122.857142857143,130.142857142857,143,144.857142857143
4,NA,NA,NA,NA,NA,NA,NA,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0.142857142857143,0.142857142857143,0.285714285714286,0.571428571428571,0.571428571428571,0.714285714285714,0.571428571428571,1,1,0.857142857142857,1,1.14285714285714,1.71428571428571,2,2.71428571428571,5.42857142857143,8.71428571428571,13.1428571428571,20,30.8571428571429,43.7142857142857,53.4285714285714,65.8571428571429,85,95.5714285714286,111,133.571428571429,138.857142857143,144.428571428571,156,157.714285714286,178,191.285714285714,185.285714285714,182.714285714286,187.571428571429,202.571428571429,191.857142857143,196.285714285714,181.428571428571,176.571428571429,175.571428571429,176.571428571429,173.714285714286,199.285714285714,189.428571428571,198.571428571429,194.571428571429,206.428571428571,213.857142857143,219.285714285714,219.714285714286,223,228.142857142857,236,242.428571428571,249,268.428571428571,273.857142857143,297.714285714286,302,314.714285714286,336.714285714286,357.857142857143,328.142857142857,366.285714285714,370.857142857143,354.142857142857,351.571428571429,347.285714285714,352.714285714286,389.857142857143,377.571428571429,381.571428571429,402.571428571429,398.571428571429,404.285714285714,388.714285714286,377.285714285714,348.428571428571,344.142857142857,343.142857142857,341.571428571429,316.714285714286,337.857142857143,349.714285714286,408.142857142857,459.285714285714,513.857142857143,508.857142857143,638.142857142857,711.857142857143,722.142857142857,843.428571428571,894.571428571429,998.285714285714,1091.14285714286,1020.85714285714,1105.14285714286,1243.85714285714,1256.85714285714,1322.28571428571,1289.85714285714,1320.57142857143,1557.42857142857,1596.85714285714,1743.71428571429,1963.85714285714,2203.57142857143,2387.57142857143,2537.42857142857,2728.42857142857,2721.14285714286,2795.14285714286,2823.14285714286,2850.57142857143,3042.14285714286,2833.57142857143,3000.28571428571,3420.71428571429,3456.85714285714,3602.57142857143,3494.85714285714,3452.14285714286,3848.57142857143,3680,3508.28571428571,3612.57142857143,3579,3625,3479,3196.42857142857,3281,3243,3135.28571428571,3089.71428571429,3048.85714285714,3023.57142857143,3057.57142857143,2943.42857142857,2749.71428571429,2614.14285714286,2545.28571428571,2674.57142857143,2628.14285714286,2656.85714285714,2466.28571428571,2528.85714285714,2553.71428571429,2530.85714285714,2423.42857142857,2347.42857142857,2226.85714285714,2077.57142857143,1981.28571428571,1834.14285714286,1570.85714285714,1315.28571428571,1230.42857142857,1161.14285714286,1177.57142857143,1041.71428571429,1015.14285714286,958,920.571428571429,924,913.285714285714,878.714285714286,863.714285714286,779.285714285714,730.714285714286,748.428571428571,651.857142857143,627.714285714286,623.142857142857,561,552.428571428571,538.428571428571,486.857142857143,511.142857142857,492.142857142857,440.285714285714,486.142857142857,541.714285714286,570.285714285714,600.142857142857,582.428571428571,586.428571428571,524.714285714286,521.428571428571,434,405.571428571429,372.857142857143,391.714285714286,393.571428571429,452.428571428571,480.428571428571,665.857142857143,876.857142857143,774.571428571429,786.142857142857,789.142857142857,804.285714285714,767.428571428571,598,386.285714285714,467.714285714286,459.857142857143,466.142857142857,477.142857142857,461.142857142857,480.714285714286,487.285714285714,511.285714285714,503,511.142857142857,536,578.142857142857,599,617.571428571429,654.571428571429,688.285714285714,711.571428571429,687.428571428571,728.857142857143,763,772.428571428571,775.285714285714,796.285714285714,837.285714285714,884.285714285714,898.285714285714,880.857142857143,914.571428571429,926.571428571429,1007.28571428571,1037.14285714286,1031.28571428571,1044.42857142857,1085.14285714286,1169.85714285714,1294.85714285714,1326.28571428571,1300,1383.28571428571,1370.57142857143,1476.14285714286,1551.71428571429,1631.71428571429,1687.85714285714,1764.71428571429,1943.42857142857,2048.85714285714,1971.57142857143,2233.57142857143,2288,2317.71428571429,2361.85714285714,2548.42857142857,2765.57142857143,3166.14285714286,3183.42857142857,3371,3453.57142857143,3715.57142857143,3808.42857142857,3881.85714285714,3645.28571428571,3687.85714285714,3682.42857142857,3756.71428571429,3408.28571428571,4330.14285714286,4456.85714285714,4830,5194.14285714286,5487.42857142857,5468.71428571429,5616.85714285714,5915.42857142857,5902.28571428571,5987.57142857143,6156.57142857143,6352.85714285714,6338.57142857143,7727.85714285714,6779.85714285714,6727,6923.85714285714,6555.42857142857,6450.14285714286,6422.14285714286,5840.85714285714,6175.71428571429,6339.42857142857,6426.85714285714,6136.42857142857,6067.14285714286,5841.14285714286,6181.57142857143,5742.42857142857,5665.71428571429,5761,6182,6555,8842.14285714286,8129.57142857143,8732.57142857143,9036.71428571429,9222,10268.4285714286,10391.1428571429,8880.28571428571,9464,9580.42857142857,9294.28571428571,9309,8635.85714285714,8333.42857142857,7905.14285714286,7358.71428571429,6755.57142857143,7146.14285714286,7100.42857142857,6810.85714285714,6765.57142857143,6956,6992.71428571429,6940.71428571429,6699,6103.85714285714,5787.71428571429,5490.57142857143,5143.14285714286,4889.57142857143,4547.42857142857,4099.71428571429,3951.42857142857,3750.14285714286,3453.28571428571,3185.14285714286,2967.28571428571,3156.42857142857,2996.28571428571,2722.71428571429,2455.14285714286,2270.57142857143,2380.71428571429,2230.85714285714,1629.14285714286,1638.57142857143,1494.71428571429,1544.71428571429,1581.28571428571,1530,1579.14285714286,1659.42857142857,1558.85714285714,1534.28571428571,1472.57142857143,1310.14285714286,1283.57142857143,1195.57142857143,1103,1129.71428571429
5,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0.857142857142857,1,1.28571428571429,2.28571428571429,3.14285714285714,3.14285714285714,4.57142857142857,8,10.5714285714286,12.5714285714286,17.4285714285714,16.8571428571429,29.5714285714286,38.8571428571429,40.8571428571429,42.7142857142857,43.5714285714286,43.7142857142857,52.2857142857143,47.1428571428571,44.7142857142857,46.4285714285714,49.2857142857143,47,56.4285714285714,58.5714285714286,61,63.7142857142857,65.5714285714286,65.8571428571429,68.2857142857143,59.4285714285714,73.8571428571429,66.7142857142857,69.2857142857143,63.4285714285714,66.5714285714286,74.5714285714286,68.5714285714286,70.7142857142857,102,104.285714285714,128,139.428571428571,139.428571428571,150,134,105.714285714286,108.714285714286,91.5714285714286,74.5714285714286,69.5714285714286,67.4285714285714,62.8571428571429,65,60.8571428571429,61.1428571428571,63.2857142857143,57,89.7142857142857,86.5714285714286,95,90,98.5714285714286,104.428571428571,122,106,110.142857142857,109.428571428571,110.571428571429,153.714285714286,163.428571428571,168.571428571429,163.571428571429,169.571428571429,173.285714285714,175.142857142857,147.428571428571,159.428571428571,170,184.714285714286,197.714285714286,229.857142857143,246,264.857142857143,260.428571428571,288.571428571429,299.571428571429,312.285714285714,310.142857142857,324.571428571429,331.571428571429,405.714285714286,419.571428571429,428.428571428571,447.571428571429,429.857142857143,446.428571428571,425.571428571429,407.285714285714,401.142857142857,404.142857142857,418,457.142857142857,489.857142857143,519.142857142857,563.285714285714,570.714285714286,588,575.285714285714,580.142857142857,549.571428571429,601.571428571429,542.571428571429,535,543,537.428571428571,506,544.285714285714,539.857142857143,571.142857142857,642,626.714285714286,647.142857142857,727.428571428571,706.714285714286,711,689.428571428571,656.285714285714,675.857142857143,693.428571428571,679.714285714286,676,696.857142857143,741.142857142857,741.428571428571,742.571428571429,753.714285714286,745.571428571429,777.571428571429,743.285714285714,729.428571428571,716.857142857143,715.571428571429,715.428571428571,723.142857142857,740.571428571429,731.428571428571,756.714285714286,774.428571428571,765,749.857142857143,695.857142857143,672.285714285714,665,614.714285714286,601.571428571429,617.571428571429,585.428571428571,586,588.142857142857,577.285714285714,612.857142857143,590.857142857143,550.571428571429,537.857142857143,550.285714285714,542.714285714286,564,560.142857142857,584.428571428571,598.285714285714,607.428571428571,578,561,587.571428571429,596.714285714286,571.285714285714,599.714285714286,597.142857142857,601.714285714286,584.714285714286,519.285714285714,526.142857142857,670,632.571428571429,642.714285714286,727.142857142857,787.428571428571,855.571428571429,833.285714285714,763.571428571429,779.142857142857,811.285714285714,783.857142857143,796.857142857143,799.285714285714,817,769.571428571429,776.857142857143,781.571428571429,782,778.142857142857,797.142857142857,792.857142857143,807.714285714286,791.714285714286,759.428571428571,763.142857142857,737.714285714286,770.428571428571,812.142857142857,820,836.142857142857,862.571428571429,855.285714285714,895.428571428571,910.285714285714,877.428571428571,877.857142857143,886.142857142857,872,898.285714285714,911.285714285714,874.571428571429,919.428571428571,972.857142857143,979.285714285714,987.857142857143,1014.42857142857,992.571428571429,984.142857142857,966.571428571429,976,1070.57142857143,1063.42857142857,1028.57142857143,1094.71428571429,1162,1251.42857142857,1284.85714285714,1225.85714285714,1273.28571428571,1372.42857142857,1434.42857142857,1461.71428571429,1523,1569.57142857143,1553.71428571429,1612.85714285714,1615.14285714286,1569.85714285714,1639.85714285714,1618.85714285714,1594,1674.42857142857,1666.14285714286,1740.71428571429,1805.42857142857,1798.14285714286,1638.71428571429,1572.71428571429,1545.42857142857,1576.14285714286,1561.14285714286,1592.28571428571,1666.71428571429,1939.85714285714,2079.57142857143,2116.42857142857,2054,2113.71428571429,2127.57142857143,2038.57142857143,2023.42857142857,2077.71428571429,2054,2097,2073.42857142857,2109.57142857143,2251.57142857143,2268.71428571429,2280.14285714286,2313.14285714286,2340,2308.42857142857,2345.42857142857,2379.57142857143,2270.71428571429,1994.28571428571,1909.71428571429,1927.71428571429,2036.85714285714,2087.71428571429,1986.42857142857,2301.71428571429,2508.57142857143,2665.71428571429,2603.42857142857,2796.42857142857,2884.42857142857,2976.28571428571,2786.14285714286,2881.71428571429,3069.14285714286,3070.71428571429,2962.71428571429,2776.28571428571,2650.28571428571,2667.42857142857,2624.71428571429,2293.14285714286,2281,1987.28571428571,1988.85714285714,2061,1915.14285714286,1813.42857142857,1826.71428571429,1759.14285714286,1938.85714285714,1840,1696.71428571429,1644.28571428571,1636.28571428571,1601.71428571429,1683.57142857143,1546.85714285714,1633.71428571429,1714,1727.57142857143,1660.57142857143,1638.85714285714,1558.42857142857,1539.85714285714,1349,1160.28571428571,998.142857142857,948.571428571429,907.428571428571,859.714285714286,681.142857142857,622.857142857143,502.285714285714,444.428571428571,377.857142857143,360.285714285714,353.428571428571,452,466.571428571429,533.285714285714,571.714285714286,574.714285714286,898.857142857143,891,826.142857142857,771
