"GEOID","year","totPopE","whiteP","blackP","amIndP","asianP","pacIsP","otherP","hispP","noHSP","a15_24P","und45P","ovr65P","disbP"
"26039",2018,13836,96.06,0.61,0.51,0.89,0,1.94,1.92,10.98,10.28,42.95,24.6,21
"26041",2018,36190,93.83,0.29,1.9,0.42,0.02,3.53,1.27,6.07,10.62,47.64,22.68,18.2
"26043",2018,25570,96.14,0.61,1.27,0.61,0,1.36,1.49,5.23,11.04,48.35,21.43,18.3
"26045",2018,109155,86.38,6.62,0.49,2.32,0.04,4.15,5.31,6.11,12.84,54.44,17.44,16
"26047",2018,33039,92.25,0.69,2.9,0.56,0.09,3.51,1.61,6.2,11.73,49.68,20.89,12.9
"26049",2018,409361,74.9,19.84,0.37,1.04,0.03,3.82,3.37,9.55,13.08,55.61,16.56,16.7
"26051",2018,25289,97.13,0.35,0.66,0.49,0,1.36,1.57,13.27,10.21,44.26,25.88,21.2
"26053",2018,15414,90.45,4.55,2.69,0.35,0.15,1.82,1.34,6.68,10.85,45.56,24.58,15.2
"26055",2018,91746,94.79,1.07,1.09,0.58,0.05,2.43,2.82,4.81,11.06,52.48,18.37,12.5
"26057",2018,41067,90.96,5.63,0.51,0.38,0.06,2.46,5.98,9.41,15.17,56.92,16.69,15.1
"26059",2018,45830,96.69,0.76,0.39,0.38,0,1.78,2.26,11.67,13.87,53.11,18.57,15
"26061",2018,36360,93.01,0.76,0.29,2.98,0.08,2.89,1.57,7.15,24.98,61.47,16.59,11.8
"26063",2018,31543,97.16,0.39,0.24,0.58,0,1.62,2.35,11.11,10.79,45.44,24.31,16.4
"26065",2018,289564,74.43,11.4,0.36,6.48,0.04,7.29,7.7,7.3,23.13,64.74,12.73,13.2
"26067",2018,64176,92.01,4.58,0.32,0.4,0.01,2.68,4.72,9.87,13.12,58.27,13.95,12
"26069",2018,25247,95.79,0.68,0.79,0.69,0.04,2.01,2.13,11.12,9.2,40.62,28.68,22.6
"26071",2018,11212,96.11,0.51,1.57,0.58,0,1.23,1.97,7.98,8.9,38.72,29.46,17.2
"26073",2018,70775,87.76,2.64,3.38,1.68,0.01,4.52,3.89,8.38,31.51,67.4,11.71,13.4
"26075",2018,158913,87.38,7.98,0.44,0.85,0.03,3.33,3.48,9.38,13.02,54.87,16.73,15.5
"26077",2018,261573,81.16,10.87,0.26,2.44,0.03,5.24,4.81,6.42,19.51,62.41,14.19,13
"26079",2018,17463,95.78,0.92,0.76,0.61,0,1.93,1.93,13.28,10.42,50.68,19.44,18.3
"26081",2018,643140,79.78,9.67,0.41,3,0.03,7.09,10.45,9.74,13.84,62.17,12.89,11.6
"26083",2018,2130,97.46,1.55,0,0.09,0,0.89,0.56,3.94,8.45,37.7,33.43,16
"26085",2018,11763,86.88,7.98,0.99,0.23,0.09,3.82,2.64,17.02,9.86,40.66,27.25,25.8
