GEOID10,ZCTA5CE10,AFFGEOID10,minDistZips_mi
"36083","36083",8600000US36083,4.05313603357395
"35441","35441",8600000US35441,10.3166651510649
"35051","35051",8600000US35051,18.1868231562019
"35121","35121",8600000US35121,1.51674340152642
"35058","35058",8600000US35058,8.28900321509855
"35619","35619",8600000US35619,20.6588567310673
"35016","35016",8600000US35016,17.545395432626
"36115","36115",8600000US36115,2.29393331031818
"36353","36353",8600000US36353,7.58561618839375
"36728","36728",8600000US36728,12.8605143914939
"35229","35229",8600000US35229,4.1744528332501
"99574","99574",8600000US99574,23.0407290337757
"99729","99729",8600000US99729,112.362342743244
"36027","36027",8600000US36027,8.54423345134141
"35470","35470",8600000US35470,14.3516456952616
"86544","86544",8600000US86544,56.1743863553446
"35173","35173",8600000US35173,6.49310135800831
"35098","35098",8600000US35098,12.5582050220373
"71653","71653",8600000US71653,4.11898114051568
"81524","81524",8600000US81524,22.0738820971753
"93308","93308",8600000US93308,11.6809189875043
"20012","20012",8600000US20012,1.26744863329215
"83811","83811",8600000US83811,31.03531778488
"04554","04554",8600000US04554,29.6670390407651
"60034","60034",8600000US60034,13.8737461088593
"21529","21529",8600000US21529,5.60581479900294
"02671","02671",8600000US02671,3.41326266536708
"04019","04019",8600000US04019,7.32324290928515
"49854","49854",8600000US49854,73.7059101713265
"56127","56127",8600000US56127,38.396693456413
"04766","04766",8600000US04766,11.0530831453345
"39150","39150",8600000US39150,1.66571610013262
"59870","59870",8600000US59870,26.3368940043634
"59014","59014",8600000US59014,13.8852975918028
"02461","02461",8600000US02461,4.52784837167837
"88045","88045",8600000US88045,4.76723623691027
"99517","99517",8600000US99517,3.87436825668142
"99639","99639",8600000US99639,49.6995802400808
"99768","99768",8600000US99768,76.2879922675555
"85264","85264",8600000US85264,17.476178916963
"86334","86334",8600000US86334,29.7168528947906
"85501","85501",8600000US85501,12.0862043745492
"85638","85638",8600000US85638,18.5091563472402
"85726","85726",8600000US85726,0.196878768974021
"72756","72756",8600000US72756,10.4691904257975
"72950","72950",8600000US72950,18.6800072162988
"71846","71846",8600000US71846,17.9802342554659
"93592","93592",8600000US93592,36.9953681247489
"93060","93060",8600000US93060,3.80103079927296
"93960","93960",8600000US93960,2.53683268126008
"93235","93235",8600000US93235,0.144313767891923
"93622","93622",8600000US93622,9.46341374471013
"90018","90018",8600000US90018,1.18324439139188
"96057","96057",8600000US96057,13.9459677086963
"93666","93666",8600000US93666,3.38060079248721
"94952","94952",8600000US94952,7.4834619971827
"94127","94127",8600000US94127,1.02887297904322
"96034","96034",8600000US96034,15.9470442066374
"93620","93620",8600000US93620,3.31905722328292
"49934","49934",8600000US49934,3.5102345841938
"28428","28428",8600000US28428,12.74297032196
"39465","39465",8600000US39465,1.66146925104973
"65747","65747",8600000US65747,11.1618164162114
"64112","64112",8600000US64112,2.4638378034935
"39144","39144",8600000US39144,16.1076624369911
"03076","03076",8600000US03076,7.22844767622245
"97368","97368",8600000US97368,6.31508720140738
"15316","15316",8600000US15316,2.24440992384422
"19137","19137",8600000US19137,1.95387678589299
"29440","29440",8600000US29440,2.85526666349404
"69341","69341",8600000US69341,10.4264724978524
"11550","11550",8600000US11550,0.946961478617009
"78404","78404",8600000US78404,0.688234623245773
"84753","84753",8600000US84753,38.566124287311
"05450","05450",8600000US05450,1.20084566572883
"24171","24171",8600000US24171,19.0590823698038
"23092","23092",8600000US23092,18.9878360813409
