STATEFP,TRACTCE,areaSqMi,alcTotal,alcDens
"56","000100",13.1540007722008,244,18.5494895602912
"30","000100",1983.99016023166,244,0.122984480916735
"35","000100",121.090794594595,244,2.01501692029439
"30","000100",1859.01087413127,244,0.131252594266842
"41","000100",1.00167413127413,244,243.592194688737
"06","000100",1155.3510019305,244,0.21119123071023
"27","000100",67.2509714285714,244,3.62820037862438
"26","000100",292.016559073359,244,0.835569053940888
"30","000100",1415.3646965251,244,0.172393730463287
"17","000100",12.2454799227799,244,19.92571965645
"35","000100",2125.46838841699,244,0.114798225807408
"20","000100",2.50464903474903,244,97.4188385737041
"20","000100",3.02279613899614,244,80.7199654823668
"22","000100",0.739870656370656,244,329.787372832046
"26","000100",121.764965250965,244,2.00386046591563
"04","000100",1322.19573745174,244,0.184541511584556
"46","000100",669.07871042471,244,0.364680561790879
"30","000100",1736.59467181467,244,0.140504865044317
"30","000100",1869.67825444015,244,0.130503737432119
"42","000100",1.07580656370656,244,226.806573069537
"26","000100",1.37785598455598,244,177.086722222736
"20","000100",2.72070617760618,244,89.682598587211
"36","000100",0.337783397683398,244,722.356402574586
"04","000100",0.300148648648649,244,812.930529917608
"08","000100",1098.53591737452,244,0.222113811793388
"47","000100",5.04309884169884,244,48.3829501778722
"22","000100",0.88484749034749,244,275.753734583322
"48","000100",3.87269613899614,244,63.0052013487556
"06","000100",0.729686486486486,244,334.390186085101
"55","000100",0.453610424710425,244,537.906508995609
"22","000100",139.212084169884,244,1.75272140672961
"37","000100",1.26858262548263,244,192.340644668038
"26","000100",333.882273359073,244,0.73079650963557
"18","000100",1.40131891891892,244,174.121676875839
"35","000100",16.5981486486486,244,14.7004346788921
"30","000100",1174.41721042471,244,0.207762622885747
"06","000100",0.595156370656371,244,409.976288636386
"26","000100",0.626735907335907,244,389.318686138761
"06","000100",460.937075289575,244,0.529356419955395
"42","000100",0.195330115830116,244,1249.16733378796
"30","000100",3298.18103899614,244,0.0739801718326129
"36","000100",0.440137065637066,244,554.372760328259
"55","000100",72.5858810810811,244,3.3615352788436
"02","000100",0.56775250965251,244,429.764722923619
"22","000100",199.162559073359,244,1.2251298694657
"04","000100",1.53964826254826,244,158.477754910175
"41","000100",841.319354826255,244,0.290020666469024
"22","000100",129.15798996139,244,1.88915916137237
"17","000100",0.760718146718147,244,320.749545745232
"02","000100",6985.04068918919,244,0.0349317936512011
"48","000100",2.61627837837838,244,93.2622468681013
"35","000100",0.944510038610039,244,258.334999127247
"26","000100",55.4211393822394,244,4.40265217784739
"48","000100",1.18336447876448,244,206.191756114527
"26","000100",141.058442471042,244,1.72977948519522
"48","000100",6.54789845559846,244,37.2638643764214
"26","000100",110.125969111969,244,2.21564452024859
"39","000100",0.814161776061776,244,299.694737795558
"13","000100",1.28682123552124,244,189.614527072337
"35","000100",5.01895521235521,244,48.6156958323403
"20","000100",3.26688069498069,244,74.6889840130638
"22","000100",0.831755984555985,244,293.355268288516
"39","000100",26.9824942084942,244,9.04290011570493
"36","000100",0.0299822393822394,244,8138.15128647591
"02","000100",2339.5805996139,244,0.104292196661345
"06","000100",918.85628957529,244,0.265547510278001
"34","000100",0.658081081081081,244,370.774980492012
"50","000100",1.33229034749035,244,183.143261872028
"20","000100",165.677258687259,244,1.47274286123111
"51","000100",77.9219127413127,244,3.13133997120987
"18","000100",1.00405868725869,244,243.013683459257
"19","000100",0.754971428571429,244,323.191038449894
"28","000100",317.634991119691,244,0.76817733191132
"30","000100",795.155033204633,244,0.306858398439146
"24","000100",187.936601158301,244,1.29831016681246
"27","000100",9.12358918918919,244,26.7438608797865
"54","000100",0.643270656370656,244,379.311565953672
"35","000100",2.41604362934363,244,100.991553727152
"48","000100",207.435705019305,244,1.17626808739263
"55","000100",2.80664401544402,244,86.9365686055482
"36","000100",1.60889266409266,244,151.657102705235
"34","000100",0.199271814671815,244,1224.45816234398
"12","000100",2.05599575289575,244,118.677287954676
"39","000100",0.336742857142857,244,724.588494824368
"06","000100",98.5381061776062,244,2.47619940614864
"26","000100",373.895303088803,244,0.652589101773359
"48","000100",270.815588416988,244,0.900982108992562
"37","000100",0.749061003861004,244,325.741159588221
"30","000100",9.68628571428571,244,25.1902542622854
"42","000100",0.286907335907336,244,850.448801625644
"48","000100",0.64845250965251,244,376.280446706504
"13","000100",0.447830501930502,244,544.848997440255
"30","000100",3535.8414034749,244,0.0690076200137838
"40","000100",1.05238648648649,244,231.853984380417
"04","000100",3.27175598455598,244,74.577688908274
"12","000100",2.57975907335907,244,94.5824757512299
"30","000100",1203.22790888031,244,0.202787849416708
"55","000100",2.74114633204633,244,89.0138542212915
"30","000100",902.748918918919,244,0.270285563224158
"32","000100",4175.65955791506,244,0.0584338825078525
"48","000100",1.12734980694981,244,216.436813574461
"13","000100",1.87099536679537,244,130.411867570748
"22","000100",255.973044401544,244,0.953225370157483
"30","000100",2304.65468725869,244,0.105872693791811
"05","000100",2.69105444015444,244,90.6707781006455
"30","000100",4184.11957142857,244,0.0583157330555665
"30","000100",1.65926640926641,244,147.052937754508
"26","000100",0.730774131274131,244,333.892497774349
"02","000100",97.8146277992278,244,2.49451442478347
"41","000100",128.455234362934,244,1.8994944130545
"16","000100",85.4105837837838,244,2.85678880989368
"17","000100",4.99505135135135,244,48.8483466609385
"31","000100",228.436313513514,244,1.06813140278402
"02","000100",24691.9483266409,244,0.00988176375441142
"18","000100",0.717995752895753,244,339.834879267631
"17","000100",170.171826640927,244,1.43384486619431
"26","000100",86.2657787644788,244,2.82846806108555
