"GEOID","year","totWrkE","eduP","hghRskP","hltCrP","retailP"
"01",2018,2076708,1.13,32.45,0.98,2.06
"02",2018,351152,1.26,36.36,1.22,2.18
"04",2018,3045978,1.46,36.78,1.18,1.97
"05",2018,1292263,0.86,30.87,1.07,1.13
"06",2018,18309012,1.23,39.9,0.8,2.16
"08",2018,2839374,1.15,45.33,0.9,2.44
"09",2018,1810445,1.1,43.66,0.83,2.25
"10",2018,450946,1.35,40.24,1.13,1.54
"11",2018,369194,1.76,66.98,0.63,1.39
"12",2018,9253932,1.49,35.62,1,1.36
"13",2018,4721065,1.09,38.15,1.13,1.52
"15",2018,677446,2.15,33.38,1.03,1.73
"16",2018,768701,0.99,34.4,0.89,1.98
"17",2018,6225964,1.2,39.04,0.96,1.64
"18",2018,3164414,0.93,33.23,0.83,1.9
"19",2018,1609481,0.73,36.37,0.63,1.63
"20",2018,1428660,0.88,37.26,0.91,1.98
"21",2018,1959442,1,31.82,0.93,1.39
"22",2018,2031115,1.26,30.63,1.44,1.78
"23",2018,665188,0.91,35.2,0.79,1.57
"24",2018,3051333,1.65,47.29,1.25,2.1
"25",2018,3570257,1.19,46.08,0.86,2.29
"26",2018,4598487,0.87,36.03,0.78,2.88
"27",2018,2931458,0.71,42.25,0.62,1.95
"28",2018,1228537,1.19,27.35,1.24,1.25
"29",2018,2888094,0.98,35.98,0.97,1.43
"30",2018,507249,1,37.93,0.91,1.49
"31",2018,993836,0.87,38.26,0.78,1.29
"32",2018,1370603,2.17,29.45,0.84,1.14
"33",2018,724017,0.9,41.11,0.78,2.59
"34",2018,4390602,1.32,43.63,1.1,1.57
"35",2018,882735,1.57,33.36,1.23,2.02
"36",2018,9445023,1.49,38.05,1.31,1.38
"37",2018,4665822,0.95,37.6,1.02,1.55
"38",2018,400841,0.72,39.05,0.83,1.56
"39",2018,5549577,1.05,36.09,0.8,1.9
"40",2018,1761328,1.15,34.05,0.95,1.55
"41",2018,1934643,0.96,39.66,0.65,2.31
"42",2018,6151998,1.05,37.32,0.97,1.73
"44",2018,527972,1.36,35.77,0.79,1.82
"45",2018,2227307,1.12,33.21,1,1.9
"46",2018,442773,0.75,37.42,0.79,1.28
"47",2018,3047809,1.11,33.22,1,1.48
"48",2018,12985624,1.11,37.2,1.09,1.99
"49",2018,1452040,0.99,38.76,0.66,1.83
"50",2018,328742,0.73,38.78,0.69,1.97
"51",2018,4118723,1.35,46.55,1.22,1.99
"53",2018,3513856,1.1,43.55,0.7,2.53
"54",2018,742615,1.16,28.79,1.29,1.41
"55",2018,2964540,0.76,36.56,0.8,1.94
"56",2018,290963,0.87,32.29,0.93,1.82
"72",2018,1028500,3.14,28.71,2.16,1.27
