"GEOID","year","essnWrkE","wrkPopE","essnWrkP"
"01001",2018,9054,24124,37.53
"01003",2018,37212,93379,39.85
"01005",2018,3751,8720,43.02
"01007",2018,4300,8099,53.09
"01009",2018,9633,21346,45.13
"01011",2018,1558,3940,39.54
"01013",2018,3517,7885,44.6
"01015",2018,20176,48157,41.9
"01017",2018,5831,14786,39.44
"01019",2018,4608,9805,47
"01021",2018,7888,17500,45.07
"01023",2018,2100,4264,49.25
"01025",2018,3843,7647,50.26
"01027",2018,2317,5542,41.81
"01029",2018,2251,5628,40
"01031",2018,10307,21725,47.44
"01033",2018,9788,22436,43.63
"01035",2018,2073,3892,53.26
"01037",2018,1818,4110,44.23
"01039",2018,6995,14899,46.95
"01041",2018,2437,5612,43.42
"01043",2018,15647,33003,47.41
"01045",2018,8234,18025,45.68
"01047",2018,5979,14295,41.83
"01049",2018,12246,28637,42.76
"01051",2018,12855,33811,38.02
"01053",2018,5585,12182,45.85
"01055",2018,18838,42367,44.46
"01057",2018,3063,6380,48.01
"01059",2018,5529,12849,43.03
"01061",2018,5063,10047,50.39
"01063",2018,981,2204,44.51
"01065",2018,2076,5083,40.84
"01067",2018,3372,6868,49.1
"01069",2018,20218,44291,45.65
"01071",2018,8834,20189,43.76
"01073",2018,119257,302428,39.43
"01075",2018,2438,5338,45.67
"01077",2018,16870,40130,42.04
"01079",2018,5711,12568,45.44
"01081",2018,25786,72956,35.34
"01083",2018,15765,39595,39.82
"01085",2018,1537,3457,44.46
"01087",2018,2885,7289,39.58
"01089",2018,55636,172631,32.23
"01091",2018,3024,6563,46.08
"01093",2018,5191,11980,43.33
"01095",2018,16780,38997,43.03
"01097",2018,73558,174229,42.22
"01099",2018,3081,6422,47.98
"01101",2018,36947,100599,36.73
"01103",2018,20327,51513,39.46
"01105",2018,1147,2325,49.33
"01107",2018,3280,7136,45.96
"01109",2018,5360,14093,38.03
"01111",2018,3768,8628,43.67
"01113",2018,10023,23550,42.56
"01115",2018,16300,38881,41.92
"01117",2018,34487,105724,32.62
"01119",2018,1862,4207,44.26
"01121",2018,12833,31082,41.29
"01123",2018,6291,15083,41.71
"01125",2018,39635,93450,42.41
"01127",2018,12393,24707,50.16
"01129",2018,2870,5538,51.82
"01131",2018,1292,2882,44.83
"01133",2018,4609,9000,51.21
"02013",2018,999,2395,41.71
"02016",2018,1913,3889,49.19
"02020",2018,62210,150201,41.42
"02050",2018,2692,6178,43.57
"02060",2018,225,488,46.11
"02068",2018,780,1478,52.77
"02070",2018,825,2024,40.76
"02090",2018,21448,46543,46.08
"02100",2018,522,1329,39.28
"02105",2018,473,1068,44.29
"02110",2018,6630,17562,37.75
"02122",2018,12611,25564,49.33
"02130",2018,3148,7017,44.86
