GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AJ02E001,AJ02E002,AJ02E003,AJ02E004,AJ02E005,AJ02E006,AJ02E007,AJ02E008,AJ02E009,AJ02E010,AJ02E011,AJ02E012,AJ02E013,AJ02E014,AJ02E015,AJ02E016,AJ02E017,AJ02E018,AJ02E019,AJ02E020,AJ02E021,AJ02E022,AJ02E023,AJ02E024,AJ02E025,AJ02E026,AJ02E027,AJ02E028,AJ02E029,AJ02E030,AJ02E031,AJ02E032,AJ02E033,AJ02E034,AJ02E035,AJ02E036,AJ02E037,AJ02E038,AJ02E039,NAME_M,AJ02M001,AJ02M002,AJ02M003,AJ02M004,AJ02M005,AJ02M006,AJ02M007,AJ02M008,AJ02M009,AJ02M010,AJ02M011,AJ02M012,AJ02M013,AJ02M014,AJ02M015,AJ02M016,AJ02M017,AJ02M018,AJ02M019,AJ02M020,AJ02M021,AJ02M022,AJ02M023,AJ02M024,AJ02M025,AJ02M026,AJ02M027,AJ02M028,AJ02M029,AJ02M030,AJ02M031,AJ02M032,AJ02M033,AJ02M034,AJ02M035,AJ02M036,AJ02M037,AJ02M038,AJ02M039
"G320","2014-2018",,,"Nevada","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nevada",2240444,208731,2031713,1116075,189486,926589,338335,15495,322840,393299,42361,350938,177004,34775,142229,131934,55908,76026,75503,40947,34556,1124369,19245,1105124,327264,3606,323658,383251,7165,376086,183240,4776,178464,141189,2294,138895,89425,1404,88021,"Nevada",608,2814,2907,600,2646,2724,521,968,1152,451,1384,1486,290,958,996,256,1033,1023,204,806,837,338,806,890,374,471,593,251,625,697,254,447,463,232,261,329,211,224,313
"G330","2014-2018",,,"New Hampshire","33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Hampshire",1079229,97644,981585,529184,90197,438987,147482,5041,142441,176530,18787,157743,101270,17224,84046,65630,25817,39813,38272,23328,14944,550045,7447,542598,141631,1058,140573,179606,2841,176765,104726,1693,103033,70085,807,69278,53997,1048,52949,"New Hampshire",322,1702,1693,425,1539,1614,364,492,623,312,976,1012,248,771,772,223,754,738,208,483,503,289,564,602,281,241,373,300,344,424,207,248,291,254,154,292,141,192,227
"G340","2014-2018",,,"New Jersey","34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Jersey",6900026,333835,6566191,3321563,313687,3007876,970156,16229,953927,1190424,51287,1139137,571656,45763,525893,354111,93923,260188,235216,106485,128731,3578463,20148,3558315,938368,3346,935022,1236825,7317,1229508,615734,4258,611476,418434,2239,416195,369102,2988,366114,"New Jersey",666,3178,3256,684,2965,2974,598,1175,1430,483,1904,1944,246,1564,1599,180,1560,1560,214,1476,1481,348,921,1075,377,412,562,362,542,624,265,411,521,306,253,405,212,296,400
"G350","2014-2018",,,"New Mexico","35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Mexico",1588809,148264,1440545,775877,134891,640986,244540,10935,233605,245718,27601,218117,129895,26345,103550,95909,38807,57102,59815,31203,28612,812932,13373,799559,232663,2082,230581,251937,4709,247228,142541,3382,139159,107019,1874,105145,78772,1326,77446,"New Mexico",752,2354,2390,778,2077,2106,789,953,1061,536,1125,1171,258,986,1015,240,983,1015,209,783,791,493,829,1010,478,412,669,477,518,653,317,372,450,328,217,423,291,227,376
"G360","2014-2018",,,"New York","36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New York",15454351,730557,14723794,7383257,681746,6701511,2353535,44331,2309204,2497542,124305,2373237,1222310,107281,1115029,784901,194205,590696,524969,211624,313345,8071094,48811,8022283,2360599,8750,2351849,2619085,18299,2600786,1332591,10869,1321722,934665,4899,929766,824154,5994,818160,"New York",947,5554,5555,987,5450,5440,1149,1792,1972,938,2504,2631,513,2040,2040,434,2151,2199,403,2289,2296,692,1474,1730,737,709,1024,613,770,993,433,745,850,419,337,578,326,474,615
"G370","2014-2018",,,"North Carolina","37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Carolina",7769935,667696,7102239,3689498,600057,3089441,1100725,53395,1047330,1290595,143874,1146721,613074,113808,499266,434607,162478,272129,250497,126502,123995,4080437,67639,4012798,1143660,12861,1130799,1368768,30433,1338335,682115,15005,667110,507282,5785,501497,378612,3555,375057,"North Carolina",1686,4959,4657,1841,4540,4560,1565,1775,1934,1331,2393,2619,755,1906,1892,669,2045,2096,502,1483,1567,1088,1742,2067,1089,721,1383,953,1157,1393,695,799,1007,727,504,864,545,356,572
"G380","2014-2018",,,"North Dakota","38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Dakota",572409,46524,525885,291649,42772,248877,104891,4707,100184,88567,9977,78590,48326,7426,40900,29175,10922,18253,20690,9740,10950,280760,3752,277008,91935,833,91102,82205,1800,80405,46575,594,45981,29553,217,29336,30492,308,30184,"North Dakota",498,1297,1397,587,1167,1345,734,528,849,575,684,879,318,445,508,134,319,331,119,445,433,437,412,566,476,264,571,388,312,532,257,121,231,202,66,224,140,92,172
"G390","2014-2018",,,"Ohio","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ohio",9015230,729649,8285581,4357894,676174,3681720,1306211,45636,1260575,1451204,148295,1302909,775246,121591,653655,503742,194177,309565,321491,166475,155016,4657336,53475,4603861,1280853,8354,1272499,1483382,22406,1460976,825473,11742,813731,576899,6192,570707,490729,4781,485948,"Ohio",800,5531,5562,873,5182,5253,998,1784,2097,1052,2506,2737,651,2014,2080,563,1981,2082,464,1811,1815,764,1423,1599,931,669,1139,876,993,1395,533,662,882,504,481,743,488,393,582
"G400","2014-2018",,,"Oklahoma","40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oklahoma",2941864,273677,2668187,1436049,249443,1186606,463206,23254,439952,475998,56473,419525,234738,45036,189702,159885,69871,90014,102222,54809,47413,1505815,24234,1481581,450023,4530,445493,477611,9994,467617,251058,5095,245963,181578,2779,178799,145545,1836,143709,"Oklahoma",937,2417,2502,1021,2290,2331,891,899,1307,715,1155,1340,415,996,1038,358,1032,1057,262,854,859,574,850,1082,650,475,828,583,625,771,344,358,469,325,243,334,269,230,369
"G410","2014-2018",,,"Oregon","41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oregon",3210858,288540,2922318,1575450,264734,1310716,473755,18803,454952,528249,53010,475239,261677,46032,215645,196447,81386,115061,115322,65503,49819,1635408,23806,1611602,460019,3591,456428,522474,8372,514102,282138,5536,276602,215529,3307,212222,155248,3000,152248,"Oregon",457,3021,3119,566,2658,2723,577,1097,1131,550,1450,1472,411,1291,1309,427,1268,1389,329,1103,1113,421,1045,1160,438,447,629,463,598,755,357,604,698,373,416,554,368,296,494
