originGEOID,minDisBup
1001,1.876240324
1002,0.446128546
1003,0.180458861
1005,0.993905911
1007,1.520415144
1008,10.04154191
1009,2.954343425
1010,5.246995797
1011,11.27304834
1012,6.802747903
1013,1.301197606
1020,2.365391302
1022,2.45506986
1026,2.00615014
1027,1.834109225
1028,0.490435744
1029,13.78133736
1030,3.600378758
1031,3.735874229
1032,4.482728355
1033,1.301420682
1034,8.908904259
1035,0.943223474
1036,2.742147658
1037,0.543999451
1038,2.033841337
1039,2.493422383
1040,0.095899498
1050,5.718828825
1053,0.232108134
1054,2.631876339
1056,0.683350069
1057,4.195408839
1060,0.51126542
1062,0.902272696
1063,0.288886714
1066,0.931381607
1068,4.513989051
1069,1.07598289
1070,2.825071166
1071,6.340216179
1072,4.642731982
1073,2.067761989
1074,1.534182942
1075,1.560122008
1077,2.787392123
1079,1.650671458
1080,1.31754257
1081,8.322310007
1082,1.162964633
1083,1.714631557
1084,6.539575026
1085,0.672543012
1086,1.883066415
1088,1.67970777
1089,0.816989098
1092,0.17924292
1093,1.905377745
1094,3.282952085
1095,2.033439236
1096,4.563345066
1097,4.973981447
1098,6.606275012
1103,0.229583571
1104,0.477826705
1105,0.054080517
1106,0.795625678
1107,0.095960066
1108,0.069710119
1109,0.651913463
1118,0.887444852
1119,0.871552405
1128,0.908877413
1129,1.715010497
1151,0.652954335
1199,0.067542033
1201,0.216346439
1220,5.171904454
1222,3.841239655
1223,8.763199502
1224,2.443308098
1225,6.497820484
1226,1.468810735
1229,4.247589888
1230,0.380064318
1235,4.502788915
1236,3.797221309
1237,5.117561966
1238,0.716222577
1240,0.751991551
1242,1.865373761
1243,10.44641645
1244,6.696838305
1245,7.048036099
1247,0.259092359
1253,10.59472195
1254,4.087813907
1255,12.90115033
1256,9.410547556
1257,5.371476636
1258,5.15201917
1259,6.0736262
1260,3.345262976
1262,3.091038621
1264,6.190323534
1266,5.144625941
1267,0.420032514
1270,7.817462558
1301,0.36755667
1330,4.569965869
1331,1.418579889
1337,5.45234099
1338,4.342745883
1339,5.509255417
1340,5.275708351
1341,6.248895945
1342,3.232033994
1343,4.683152295
1344,5.839655988
1346,4.812532867
1347,3.727870007
1349,5.002872724
1350,2.90130926
1351,2.78171448
1354,3.921108635
1355,6.123053034
1360,7.50964502
1364,1.667112183
1366,2.243633032
1367,0.8217934
1368,6.462571156
1370,0.213477454
1373,4.402916015
1375,3.928792447
1376,1.615473282
1378,5.427742473
1379,5.009871053
1420,0.814797661
1430,5.501981527
1431,5.475878646
1432,0.865936646
1434,0.499960147
1436,0.701405586
1438,1.892321168
1440,0.385084677
1450,2.496959423
1451,2.450852504
1452,4.419714935
1453,0.028569664
1460,3.890291852
1462,3.328364009
1463,5.166936262
1464,2.16282573
