"GEOID","rcaUrbP","rcaSubrbP","rcaRuralP"
"01001",0.58,0.42,0
"01003",0.34,0.22,0.44
"01005",0,0,1
"01007",0,1,0
"01009",0,0.44,0.56
"01011",0,1,0
"01013",0,0.22,0.78
"01015",0.68,0.29,0.03
"01017",0,0.78,0.22
"01019",0,0.5,0.5
"01021",0,0.33,0.67
"01023",0,0,1
"01025",0,0.11,0.89
"01027",0,0.5,0.5
"01029",0,0.75,0.25
"01031",0,0.43,0.57
"01033",0.64,0.36,0
"01035",0,0,1
"01037",0,0,1
"01039",0,0.07,0.93
"01041",0,0.67,0.33
"01043",0,0.22,0.78
"01045",0.07,0.79,0.14
"01047",0,0.53,0.47
"01049",0,0.07,0.93
"01051",0.47,0.47,0.07
"01053",0,0,1
"01055",0.73,0.17,0.1
"01057",0,0.2,0.8
"01059",0,0.56,0.44
"01061",0,0.83,0.17
"01063",0,1,0
"01065",0,1,0
"01067",0,0.83,0.17
"01069",0.68,0.32,0
"01071",0,0.55,0.45
"01073",0.96,0.04,0
"01075",0,0,1
"01077",0.59,0.32,0.09
"01079",0,0.67,0.33
"01081",0.85,0.15,0
"01083",0.19,0.56,0.25
"01085",0,1,0
"01087",0,0.42,0.58
"01089",0.9,0.1,0
"01091",0,0,1
"01093",0,0,1
"01095",0,0.72,0.28
"01097",0.89,0.1,0.02
"01099",0,0.14,0.86
"01101",0.85,0.15,0
"01103",0.7,0.26,0.04
"01105",0,0,1
"01107",0,0.8,0.2
"01109",0,0.75,0.25
"01111",0,0,1
"01113",0.69,0.31,0
"01115",0.08,0.77,0.15
"01117",0.81,0.17,0.02
"01119",0,0,1
"01121",0.05,0.59,0.36
"01123",0,0.2,0.8
"01125",0.81,0.19,0
"01127",0,0.83,0.17
"01129",0,0.6,0.4
"01131",0,0,1
"01133",0,0.14,0.86
"02013",0,0,1
"02016",0,0,1
"02020",0.87,0.13,0
"02050",0,0,1
"02060",0,0,1
"02068",0,0,1
"02070",0,0,1
"02090",0.74,0.21,0.05
"02100",0,0,1
"02105",0,0,1
"02110",0,1,0
"02122",0,0,1
"02130",0,1,0
"02150",0,0,1
"02164",0,0,1
"02170",0,0.54,0.46
"02180",0,0,1
"02185",0,0,1
"02188",0,0,1
"02195",0,0,1
"02198",0,0,1
"02220",0,0,1
"02230",0,0,1
"02240",0,0,1
"02261",0,0,1
"02270",0,0,1
"02275",0,0,1
"02282",0,0,1
"02290",0,0,1
"04001",0,0.12,0.88
"04003",0.38,0.25,0.38
"04005",0.54,0.11,0.36
"04007",0,0.75,0.25
"04009",0,0.67,0.33
"04011",0,0,1
"04012",0,0.11,0.89
"04013",0.92,0.06,0.01
"04015",0.28,0.53,0.19
"04017",0,0.13,0.87
"04019",0.87,0.11,0.02
"04021",0.53,0.32,0.15
