ID,STATE,ADDRESS,city,zip,Longitude,Latitude,Match Score
102,PR,Calle Luis MuÃ±oz Rivera #25,,794,0,0,0
2270,WA,unavailable,unavailable,97058,0,0,0
15884,OK,,,73081,0,0,0
19430,PR,Bo. Santa Olaya Sector Los Llanos,BayamÃ³n,956,0,0,0
1941,PR,NOT APPLICABLE,Arecibo,612,-66.7196999999999,18.4724200000001,75
18164,PR,77 MuÃ±oz Rivera,Caguas,725,-66.03746,18.2265400000001,75
18979,VI,Knud Hansen Complex,St Thomas,802,-64.93042,18.3489900000001,75
19360,PR,Torre Municipal Ave Chardon,San Juan,936,-66.10473,18.46633,75
19371,PR,Ave. ChardÃ³n Torre Municipal de Gobierno,San Juan,936,-66.10473,18.46633,75
19707,PR,58 Calle MÃ©ndez Vigo,Mayaguez,680,-67.1469,18.2036800000001,75
20134,PR,Miguel Casillas Final Terminal Norte,Humacao,792,-65.82337,18.1514700000001,75
20141,PR,PR Rd 2 km 15.7 Bo. Sabalos Centro MÃ©dico,Mayaguez,680,-67.1469,18.2036800000001,75
20368,PR,77 Calle MuÃ±oz Rivera,Caguas,725,-66.03746,18.2265400000001,75
20798,PR,PR Rd 2 Behind the MayagÃ¼ez Medical Center House of Health 4th Floor,Mayaguez,680,-67.1469,18.2036800000001,75
21354,PR,Ave. Chardon Torre Municipal,San Juan,936,-66.10473,18.46633,75
21447,PR,PeÃ±a Lara D-7 Urb. Matienzo CintrÃ³n,San Juan,923,-66.10473,18.46633,75
21450,PR,#358 Calle: San AgustÃ­n,San Juan,901,-66.10473,18.46633,75
21448,PR,Ave. Laurel Esq. Los Millones #100,BayamÃ³n,956,-66.1644864204174,18.3820072740233,75.04
18128,PR,123 Calle RamÃ³n Emeterio BetÃ¡nces,Mayaguez,681,-67.1399617665049,18.2055520920927,75.76
2039,PR,,,920,-51.6155773789999,-24.6350296909999,76
15616,PR,,,936,-51.6155773789999,-24.6350296909999,76
18990,VI,,,802,-64.8190875,17.728114454,76
