"GEOID","GiniCoeff","MedInc"
"01001",0.4602,29667
"01003",0.4609,28632
"01005",0.4731,18138
"01007",0.4294,22298
"01009",0.4331,26509
"01011",0.5174,21020
"01013",0.4708,19627
"01015",0.4676,23036
"01017",0.4568,22015
"01019",0.4539,22353
"01021",0.4845,24600
"01023",0.4809,20616
"01025",0.5185,20939
"01027",0.4684,22090
"01029",0.4622,20988
"01031",0.4427,26766
"01033",0.4496,24729
"01035",0.4354,17857
"01037",0.4646,19227
"01039",0.4553,23932
"01041",0.504,20180
"01043",0.4548,23467
"01045",0.45,24357
"01047",0.4885,19304
"01049",0.4748,21487
"01051",0.4359,28458
"01053",0.4823,21402
"01055",0.4483,22866
"01057",0.4635,20957
"01059",0.4224,22432
"01061",0.4413,20978
"01063",0.5041,15789
"01065",0.5071,18239
"01067",0.435,22656
"01069",0.4808,24009
"01071",0.4616,22410
"01073",0.4996,27664
"01075",0.4623,21005
"01077",0.4672,25519
"01079",0.4389,24749
"01081",0.5081,24359
"01083",0.4509,27033
"01085",0.4999,17180
"01087",0.5145,17093
"01089",0.4673,31819
"01091",0.5386,20591
"01093",0.4596,20208
"01095",0.4805,22617
"01097",0.4765,25308
"01099",0.5477,20570
"01101",0.4929,25626
"01103",0.4511,25215
"01105",0.479,16142
"01107",0.4997,19381
"01109",0.5343,19016
"01111",0.4733,23169
"01113",0.454,23681
"01115",0.4068,26955
"01117",0.4344,35756
"01119",0.5469,14525
"01121",0.4584,21707
"01123",0.4617,23561
"01125",0.463,24740
"01127",0.4587,22589
"01129",0.4684,19359
"01131",0.5108,17155
"01133",0.4517,20335
"02013",0.3987,28720
"02016",0.3628,32801
"02020",0.4251,37105
"02050",0.4446,14938
"02060",0.3911,42163
"02068",0.3631,26364
"02070",0.4285,22621
"02090",0.4061,36163
"02100",0.3796,34303
"02105",0.3914,30123
"02110",0.3947,43431
"02122",0.4322,30224
"02130",0.4161,33916
"02150",0.3869,32069
"02158",0.4305,10605
"02164",0.4318,20801
"02170",0.4171,29375
"02180",0.4294,19947
"02185",0.4156,50084
"02188",0.4375,18781
"02195",0.4388,27750
"02198",0.4139,23777
"02220",0.4222,37403
"02230",0.3224,37481
"02240",0.3858,30601
"02261",0.4226,35319
"02275",0.4071,27145
"02282",0.3498,32417
"02290",0.4666,18552
"04001",0.495,19007
"04003",0.4404,24267
"04005",0.4654,24555
"04007",0.4451,22493
"04009",0.4049,24064
"04011",0.3908,30807
"04012",0.4663,19672
"04013",0.4666,31291
"04015",0.4451,23184
"04017",0.4751,20337
"04019",0.4713,26451
"04021",0.4235,26853
"04023",0.4933,21726
"04025",0.4462,25672
"04027",0.4462,22860
"05001",0.4963,22463
"05003",0.476,21908
"05005",0.4539,23341
"05007",0.4549,32305
"05009",0.4451,22782
"05011",0.4603,23441
"05013",0.4266,23975
"05015",0.4572,22790
"05017",0.5579,19765
"05019",0.4509,20341
"05021",0.4574,19791
"05023",0.4582,24248
"05025",0.4418,24227
"05027",0.4974,19697
"05029",0.4675,22317
"05031",0.493,24742
"05033",0.4456,24950
"05035",0.4568,23602
"05037",0.4752,25054
"05039",0.4104,20970
"05041",0.4642,20603
"05043",0.4806,22493
"05045",0.4615,26265
"05047",0.448,21225
"05049",0.4311,17699
"05051",0.4881,23648
"05053",0.4394,26600
"05055",0.417,23431
"05057",0.4257,21099
"05059",0.4369,21294
"05061",0.5284,22524
"05063",0.45,22753
"05065",0.4257,21266
"05067",0.5031,19363
"05069",0.4695,22972
"05071",0.4427,20101
"05073",0.5762,21458
"05075",0.4358,19896
"05077",0.4992,16515
"05079",0.4452,21260
"05081",0.4643,25586
"05083",0.4486,21014
"05085",0.4052,29607
"05087",0.4787,22247
"05089",0.4433,19054
"05091",0.4662,23364
"05093",0.4622,20277
"05095",0.4699,20200
"05097",0.4524,20446
"05099",0.414,21485
"05101",0.4312,17873
"05103",0.477,20784
"05105",0.4031,22526
"05107",0.4925,19344
"05109",0.4352,20995
"05111",0.4161,20368
"05113",0.4377,20377
"05115",0.464,20930
"05117",0.44,26203
"05119",0.5025,28813
"05121",0.4593,20491
"05123",0.4729,19056
"05125",0.3983,30968
"05127",0.4325,18494
"05129",0.4693,20256
"05131",0.4781,24033
"05133",0.4221,22812
"05135",0.4758,18753
"05137",0.4595,18496
"05139",0.4739,23597
"05141",0.445,20474
"05143",0.4967,26827
"05145",0.4731,23201
"05147",0.4949,21055
"05149",0.4501,21976
"06001",0.4624,40778
"06003",0.4967,24706
"06005",0.4437,29373
"06007",0.4893,22366
"06009",0.4464,27962
"06011",0.4982,26450
"06013",0.4703,40102
"06015",0.4857,23133
"06017",0.4494,34157
"06019",0.4785,23432
"06021",0.4548,23459
"06023",0.4754,23220
"06025",0.4768,17471
"06027",0.424,29443
"06029",0.4645,24143
"06031",0.4346,25762
"06033",0.4796,23195
"06035",0.4231,30665
"06037",0.5022,27856
"06039",0.4408,22441
"06041",0.5158,51003
"06043",0.4349,28168
"06045",0.4736,25319
"06047",0.4708,23332
"06049",0.4113,24146
"06051",0.3701,32065
"06053",0.4619,26847
"06055",0.4719,35752
"06057",0.4634,31043
"06059",0.47,34196
"06061",0.4474,39341
"06063",0.4549,27268
"06065",0.4547,27074
"06067",0.4583,31083
"06069",0.3989,31897
"06071",0.441,26233
"06073",0.463,32447
"06075",0.5128,49432
"06077",0.4546,27467
"06079",0.4538,30725
"06081",0.4852,45862
"06083",0.4798,27823
"06085",0.4652,44459
"06087",0.4826,30200
"06089",0.4603,26134
"06091",0.4269,27500
"06093",0.488,24654
"06095",0.4231,34508
"06097",0.4578,34297
"06099",0.4451,26339
"06101",0.4466,25795
"06103",0.4585,22493
"06105",0.4821,21767
"06107",0.4755,21857
"06109",0.4881,27235
"06111",0.4476,32246
"06113",0.4931,27969
"06115",0.4276,26206
"08001",0.4075,32318
"08003",0.4821,18631
"08005",0.4589,36572
"08007",0.4486,25985
"08009",0.4396,23445
"08011",0.4395,19102
"08013",0.4802,34920
"08014",0.4303,44370
"08015",0.4266,27083
"08017",0.4233,30640
"08019",0.4127,36948
"08021",0.4614,19568
"08023",0.5076,17634
"08025",0.4185,14826
"08027",0.4389,25128
"08029",0.4669,23888
"08031",0.4958,37140
"08033",0.4295,27397
"08035",0.3989,51751
"08037",0.4335,37333
"08039",0.4049,41419
"08041",0.434,31630
"08043",0.447,23461
"08045",0.4008,35681
"08047",0.4241,44881
"08049",0.4019,31971
"08051",0.4182,27149
"08053",0.4769,30174
"08055",0.4314,23960
"08057",0.3796,25553
"08059",0.4337,39388
"08061",0.4383,24508
"08063",0.4691,27015
"08065",0.4349,27790
"08067",0.4584,32666
"08069",0.4497,31318
"08071",0.4616,23086
"08073",0.4364,23498
"08075",0.4365,25981
"08077",0.4413,27338
"08079",0.3541,31157
"08081",0.4298,29488
"08083",0.4247,25791
"08085",0.4234,26160
"08087",0.4014,26871
"08089",0.477,19829
"08091",0.4413,31964
"08093",0.4082,33832
"08095",0.4573,31029
"08097",0.5466,40399
"08099",0.4334,23748
"08101",0.4572,24594
"08103",0.417,27841
"08105",0.4688,21537
"08107",0.453,35577
"08109",0.5097,21262
"08111",0.4197,30833
"08113",0.5273,34427
"08115",0.4462,25363
"08117",0.4098,35099
"08119",0.4104,33752
"08121",0.4135,26872
"08123",0.4156,33022
"08125",0.4244,27976
"09001",0.5432,39355
"09003",0.4716,36491
"09005",0.4479,37698
"09007",0.4427,42219
"09009",0.4688,34664
"09011",0.4439,34843
"09013",0.4315,35630
"09015",0.4151,31121
"10001",0.4302,29575
"10003",0.4586,34768
"10005",0.4496,31009
"11001",0.5283,46436
"12001",0.5138,25211
"12003",0.4414,26861
"12005",0.4509,26568
"12007",0.4403,24268
"12009",0.455,27222
"12011",0.4861,28889
"12013",0.4523,23231
"12015",0.4542,25246
"12017",0.4611,23347
"12019",0.4191,31125
"12021",0.5223,30451
"12023",0.4695,25282
"12027",0.4526,21293
"12029",0.4751,21102
"12031",0.4728,29433
"12033",0.4383,26327
"12035",0.424,26150
"12037",0.5018,23971
"12039",0.4394,25351
"12041",0.4217,22136
"12043",0.4324,21239
"12045",0.4149,23810
"12047",0.4713,19349
"12049",0.4817,22312
"12051",0.4736,20652
"12053",0.428,23935
"12055",0.4803,20862
"12057",0.4799,29190
"12059",0.4474,21394
"12061",0.5283,26332
"12063",0.4463,22934
"12065",0.4545,27807
"12067",0.475,21574
"12069",0.4272,26152
"12071",0.4805,27201
"12073",0.4894,27255
"12075",0.4544,21766
"12077",0.4288,21277
"12079",0.4998,19460
"12081",0.4693,28380
"12083",0.4481,23374
"12085",0.5273,29585
"12086",0.5249,23332
"12087",0.506,33713
"12089",0.4544,30760
"12091",0.4303,30675
"12093",0.4429,22571
"12095",0.4868,26996
"12097",0.4283,22594
"12099",0.5221,29493
"12101",0.4517,26474
"12103",0.4857,28724
"12105",0.4423,25525
"12107",0.4599,20318
"12109",0.4655,35191
"12111",0.4475,25509
"12113",0.4216,30510
"12115",0.485,30629
"12117",0.46,31618
"12119",0.4278,26741
"12121",0.4715,21668
"12123",0.4179,20104
"12125",0.4736,21277
"12127",0.4617,25739
"12129",0.3787,31653
"12131",0.4993,27391
"12133",0.4401,20671
"13001",0.4446,21294
"13003",0.4765,20946
"13005",0.4588,20648
"13007",0.4744,23462
"13009",0.4897,21609
"13011",0.4035,21716
"13013",0.3943,27109
"13015",0.4303,27424
"13017",0.4607,20417
"13019",0.4471,22858
"13021",0.5221,23934
"13023",0.445,22373
"13025",0.442,19935
"13027",0.5321,25191
"13029",0.4416,33898
"13031",0.4773,20277
"13033",0.4486,24495
"13035",0.4747,22365
"13037",0.4947,19192
"13039",0.4366,28225
"13043",0.5137,18080
"13045",0.4466,24312
"13047",0.4156,27026
"13049",0.436,22461
"13051",0.4804,27907
"13053",0.4753,21877
"13055",0.4602,21871
"13057",0.411,35888
"13059",0.5271,18663
"13061",0.493,17679
"13063",0.4175,25021
"13065",0.5444,20334
"13067",0.4518,36355
"13069",0.5001,21756
"13071",0.4732,21159
"13073",0.4081,34602
"13075",0.4625,23480
"13077",0.4278,32933
"13079",0.4397,24102
"13081",0.5504,17644
"13083",0.4495,21972
"13085",0.4358,31183
"13087",0.5091,23304
"13089",0.4904,31287
"13091",0.4665,21226
"13093",0.4669,20534
"13095",0.4948,21197
"13097",0.4071,30393
"13099",0.4698,20790
"13101",0.5039,22362
"13103",0.4263,31489
"13105",0.4838,21063
"13107",0.468,20249
"13109",0.4738,23468
"13111",0.4519,24104
"13113",0.4337,40495
"13115",0.4768,23300
"13117",0.4037,43013
"13119",0.4927,21208
"13121",0.5402,35077
"13123",0.4486,22899
"13125",0.4361,23935
"13127",0.5042,26789
"13129",0.454,23635
"13131",0.4705,23687
"13133",0.573,24782
"13135",0.43,31672
"13137",0.4307,24615
"13139",0.4486,27033
"13141",0.4923,20783
"13143",0.4509,25104
"13145",0.4352,32396
"13147",0.459,22000
"13149",0.4098,24798
"13151",0.3963,32287
"13153",0.4368,31004
"13155",0.4842,19341
"13157",0.4194,28932
"13159",0.4199,22343
"13161",0.4429,21394
"13163",0.4742,18779
"13165",0.4413,17805
"13167",0.4361,20062
"13169",0.4248,29010
"13171",0.4788,20078
"13173",0.4906,22829
"13175",0.4952,21673
"13177",0.4005,36043
"13179",0.3993,27361
"13181",0.481,24431
