RegionType,State,Name,FIPSCode,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
County,FL,Volusia County,12127,,4.3,4.3,4.3,4.2,4.2,3.8,3.9,3.8,4,3.7,3.7,3.7,3.6,3.7,3.6,3.5,3.2,3.1,2.9,2.9,2.9,2.8,2.7,2.7,2.8,2.6,2.3,2.2,2.3,2,2.1,1.8,1.8,1.8,1.7,1.7,1.7,1.6,1.5,1.4,1.4,1.5,1.5,1.3,1.1,1,1.1,1.1,1.2,1.1,1.1,1.2,1.2,1.3,1.4,1.4,1.3,1.2,1.2
County,GA,Chatham County,13051,,2.7,2.6,2.7,2.7,2.7,2.8,2.6,2.6,2.4,2.1,2,2,2,1.8,1.7,1.8,2,2,1.8,1.7,1.6,1.6,1.5,1.8,2,1.8,1.6,1.6,1.6,1.5,1.5,1.4,1.4,1.3,1.1,1.2,1.6,1.2,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.2,1.1,1.2,1.2,1.2,1.4,1.4,1.4,1.5,1.4,1.6,1.4,1.3,1.2
County,GA,Cherokee County,13057,,1.5,1.3,1.1,1.4,1.2,1.1,1.2,1.2,1.3,1.2,1.3,1.3,1.2,1,0.8,0.9,0.8,0.9,0.8,0.7,0.7,0.7,0.6,0.6,0.7,0.7,0.6,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.8,0.5,0.5,0.5,0.4,0.5,0.5,0.6,0.5,0.5,0.6,0.7,0.6,0.6,0.2,0.2,0.3,0.3,0.6,0.6,0.6,0.6,0.5,0.4
County,GA,Clayton County,13063,,6.4,6.2,5.5,5.2,5.3,5,5.3,4.9,5.1,5.4,5.7,5.6,5.5,5.1,4.8,4.8,4.6,4.4,4.1,4.5,4.4,4.5,4.8,4.7,4.2,3.6,3.2,3.2,3,2.6,2.4,2.6,2.9,2.7,3,2.6,2.4,2.4,2.5,2.4,2.1,2.2,1.9,2.4,2.1,2.1,2.2,2.6,2.2,2,1.9,2.3,2.3,2.1,2.2,1.9,1.9,2.2,2.2
County,GA,Cobb County,13067,,2.1,1.9,1.7,1.7,1.7,1.8,1.8,1.8,1.7,1.7,1.6,1.7,1.5,1.4,1.4,1.4,1.4,1.3,1.2,1.1,1.2,1.1,1.2,1.4,1.4,1.2,1.1,1.1,1.2,1.1,1.1,1,0.8,1,0.9,1,0.9,0.9,0.8,0.7,0.7,0.7,0.7,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.5,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.6
County,GA,Columbia County,13073,,2.1,1.8,1.9,1.7,1.6,1.8,1.7,1.6,1.7,1.5,1.6,1.5,1,0.7,0.8,0.7,0.6,0.6,0.6,0.5,0.6,0.9,0.9,0.9,0.9,0.7,0.8,0.9,0.7,0.7,0.9,0.7,0.6,0.7,0.6,0.8,0.9,0.7,0.9,0.7,0.7,0.4,0.5,0.9,0.8,0.8,1,1.2,1.2,1.2,1,1,1,0.7,0.7,0.7,0.7,0.6,0.5
County,GA,Coweta County,13077,,2.1,2.2,2.1,2.2,2.3,2,1.9,1.9,2,1.6,1.6,1.2,1.3,1.4,1,0.9,0.9,0.9,0.8,0.6,0.5,0.5,0.7,0.6,1,1,0.9,1,1.2,1.4,1.2,1.2,1.1,1.2,1,0.9,0.9,0.5,0.6,0.6,0.9,1,1,0.7,0.7,0.7,0.5,0.6,0.5,0.5,0.5,0.8,0.9,0.9,0.6,0.7,0.5,0.6,0.7
County,GA,DeKalb County,13089,,3.4,3.2,3.3,3.3,3.4,3.4,3.4,3.3,3.2,3.1,3.2,3.1,3,2.7,2.6,2.6,2.5,2.3,2.2,2.1,2,2,2,1.9,2,1.8,1.7,1.7,1.5,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.4,1.5,1.2,1.3,1.4,1.3,1.1,1.1,1.1,1,0.9,1.1,1.1,1,1,1.1,1.1,1,1,1,1,1,1
County,GA,Douglas County,13097,,4,4,3.7,3.5,3.2,3.3,2.9,3.3,3.4,4.2,4.2,4.1,3.9,4,4,3.5,3.7,4.1,3.7,3.4,3,2.6,2.5,2.5,2.4,2.1,2.3,2.6,2.6,2.5,2.5,2.5,2.5,2,1.8,1.8,1.6,1.5,1.5,1.8,1.7,1.7,1.6,1.7,1.6,1.4,1.5,1.6,1.6,1.3,1,1,1.2,1.1,0.9,1,1.1,1,1.2
County,GA,Fayette County,13113,,1.4,1.2,1.2,1.4,1.5,1.2,1,1.1,1.2,1.6,1.2,1.1,0.9,1.1,1.2,1.4,1.3,1.1,1.2,1,0.6,0.9,0.9,1.2,1.1,1.2,1.3,1.3,1.2,1.4,1.4,1.6,1,1.4,1,1,0.9,0.8,0.7,0.7,0.7,0.7,0.6,0.8,0.7,0.8,0.5,0.5,0.6,0.6,0.5,0.5,0.4,0.3,0.4,0.4,0.3,0.4,0.4
