"","name1","name2","street1","street2","city","state","zip","zip4","category","countyGEOID","countyName","source","geom","Longitude","Latitude"
"30","STOP Program",NA,"8911 East Orme Street","Suite A","Wichita","KS","67207",NA,"buprenorphine","20173","Sedgwick","SAMHSA",c(-97.2333651, 37.6758727),-97.2333651,37.6758727
"31","Prairie View Mental Health Center","Wichita at Legacy Park","9333 East 21st Street North",NA,"Wichita","KS","67206",NA,"buprenorphine","20173","Sedgwick","SAMHSA",c(-97.2299767, 37.7210491),-97.2299767,37.7210491
"32","Cherokee Nation","Three Rivers Hlth Ctr","1001 South 41st Street East",NA,"Muskogee","OK","74403",NA,"buprenorphine","40101","Muskogee","SAMHSA",c(-95.3112618, 35.7530498),-95.3112618,35.7530498
"33","Substance Use Disorder Clinic (SUDC)","Robert J Dole VA Medical Center","5500 East Kellogg Avenue","BH-SUDC Building 5","Wichita","KS","67218",NA,"buprenorphine","20173","Sedgwick","SAMHSA",c(-97.2746735, 37.6812131),-97.2746735,37.6812131
"34","Valley Hope Cushing",NA,"100 South Jones Avenue",NA,"Cushing","OK","74023",NA,"buprenorphine","40119","Payne","SAMHSA",c(-96.745624, 35.97677),-96.745624,35.97677
"35","Preferred Family Healthcare Inc","Hillside","830 South Hillside Street",NA,"Wichita","KS","67211",NA,"buprenorphine","20173","Sedgwick","SAMHSA",c(-97.298469, 37.672594),-97.298469,37.672594
"36","Hunter Health",NA,"527 North Grove",NA,"Wichita","KS","67214",NA,"buprenorphine","20173","Sedgwick","SAMHSA",c(-97.3078862, 37.6940103),-97.3078862,37.6940103
"37","HealthCore Clinic Inc",NA,"2707 East 21st Street North",NA,"Wichita","KS","67214",NA,"buprenorphine","20173","Sedgwick","SAMHSA",c(-97.3051244, 37.7224717),-97.3051244,37.7224717
"38","Center for Change",NA,"933 North Topeka Street",NA,"Wichita","KS","67214",NA,"buprenorphine","20173","Sedgwick","SAMHSA",c(-97.3346385, 37.6995242),-97.3346385,37.6995242
"39","Wichita Comprehensive Treatment Ctr",NA,"939 North Main Street",NA,"Wichita","KS","67203",NA,"buprenorphine","20173","Sedgwick","SAMHSA",c(-97.338533, 37.6999965),-97.338533,37.6999965
"40","Road to Recovery Lawrence LLC",NA,"1333 North Broadway","Suite E","Wichita","KS","67214",NA,"buprenorphine","20173","Sedgwick","SAMHSA",c(-97.3358843, 37.7074175),-97.3358843,37.7074175
"41","Clark Community Mental Health Ctr",NA,"1701 North Central Avenue",NA,"Monett","MO","65708",NA,"buprenorphine","29109","Lawrence","SAMHSA",c(-93.9265307, 36.9436673),-93.9265307,36.9436673
"42","Clark Community Mental Health Ctr",NA,"411 3rd Street",NA,"Monett","MO","65708",NA,"buprenorphine","29009","Barry","SAMHSA",c(-93.9252965, 36.9232887),-93.9252965,36.9232887
"43","Grand Lake Mental Health Center Inc",NA,"604 South Walnut Street",NA,"Stillwater","OK","74074","4222","buprenorphine","40119","Payne","SAMHSA",c(-97.0787118, 36.1156417),-97.0787118,36.1156417
"44","Clark Community Mental Health Center",NA,"1701 Townsend",NA,"Cassville","MO","65625","1451","buprenorphine","29009","Barry","SAMHSA",c(-93.865749, 36.6878573),-93.865749,36.6878573
"45","Compass Health Inc","Pathways Comm Behavioral Hlthcare","107 West Broadway Street",NA,"El Dorado Springs","MO","64744",NA,"buprenorphine","29039","Cedar","SAMHSA",c(-94.0221138, 37.878146),-94.0221138,37.878146
"46","Compass Health Inc",NA,"1301 Industrial Parkway East",NA,"El Dorado Springs","MO","64744","6263","buprenorphine","29039","Cedar","SAMHSA",c(-93.9970303, 37.8614889),-93.9970303,37.8614889
"47","Prairie View Inc","Newton","1901 East 1st Street",NA,"Newton","KS","67114",NA,"buprenorphine","20079","Harvey","SAMHSA",c(-97.3136109, 38.0414964),-97.3136109,38.0414964
"48","Compass Health Inc",NA,"805 North Orange Street",NA,"Butler","MO","64730","9382","buprenorphine","29013","Bates","SAMHSA",c(-94.344157, 38.2659776),-94.344157,38.2659776
"49","Stockton Medical Group",NA,"8 West Colt Square Drive",NA,"Fayetteville","AR","72703",NA,"buprenorphine","05143","Washington","SAMHSA",c(-94.1557129, 36.0926912),-94.1557129,36.0926912
"50","Veterans Healthcare Syst of the Ozarks",NA,"1100 North College Street","Unit 116-A","Fayetteville","AR","72703",NA,"buprenorphine","05143","Washington","SAMHSA",c(-94.1600145, 36.0808707),-94.1600145,36.0808707
"51","Gateway to Prevention and Recovery",NA,"710 Manvel Street",NA,"Chandler","OK","74834",NA,"buprenorphine","40081","Lincoln","SAMHSA",c(-96.8804648, 35.7032778),-96.8804648,35.7032778
"52","Redbird Smith Health Center",NA,"301 JT Stites Avenue",NA,"Sallisaw","OK","74955",NA,"buprenorphine","40135","Sequoyah","SAMHSA",c(-94.8140896, 35.4557754),-94.8140896,35.4557754
"53","Valley Hope","Moundridge","200 South Avenue B",NA,"Moundridge","KS","67107",NA,"buprenorphine","20113","McPherson","SAMHSA",c(-97.506455, 38.201666),-97.506455,38.201666
"54","North Oklahoma Cnty MH Center Inc",NA,"1911 East Rutgers Avenue",NA,"Guthrie","OK","73044",NA,"buprenorphine","40083","Logan","SAMHSA",c(-97.4024274, 35.8745526),-97.4024274,35.8745526
"55","NorthCare Family Treatment Center",NA,"1916 East Perkins Avenue",NA,"Guthrie","OK","73044",NA,"buprenorphine","40083","Logan","SAMHSA",c(-97.402301, 35.873992),-97.402301,35.873992
"56","Compass Health Inc","Pathways Comm Behavioral Hlthcare","101 Hospital Drive",NA,"Osceola","MO","64776","6284","buprenorphine","29185","St. Clair","SAMHSA",c(-93.691111, 38.051325),-93.691111,38.051325
"57","Carl Albert","Community Mental Health Center","1407 NE D Street","Suite B","Stigler","OK","74462",NA,"buprenorphine","40061","Haskell","SAMHSA",c(-95.1097835, 35.2584589),-95.1097835,35.2584589
"58","Center for Change","Lawrence","1910 Haskell Avenue","Suite A-9","Lawrence","KS","66046",NA,"buprenorphine","20045","Douglas","SAMHSA",c(-95.2222225, 38.9487749),-95.2222225,38.9487749
"59","Comm Mental Health Consultants Inc","Cass County Psychological Services","306 South Independence Street",NA,"Harrisonville","MO","64701",NA,"buprenorphine","29037","Cass","SAMHSA",c(-94.348829, 38.65366),-94.348829,38.65366
"60","Compass Health Inc","Pathways Comm Behavioral Hlthcare","300 Galaxie Avenue",NA,"Harrisonville","MO","64701",NA,"buprenorphine","29037","Cass","SAMHSA",c(-94.3311206, 38.6555462),-94.3311206,38.6555462
"61","Southside Behav Health and","Wellness","1120 South Springfield Avenue",NA,"Bolivar","MO","65613",NA,"buprenorphine","29167","Polk","SAMHSA",c(-93.4052463, 37.603133),-93.4052463,37.603133
"62","BHG XLIII","DBA BHG Northern Springfield Trt Ctr","2551 West Kearney Street",NA,"Springfield","MO","65803",NA,"buprenorphine","29077","Greene","SAMHSA",c(-93.326587, 37.24186),-93.326587,37.24186
