"","name1","name2","street1","street2","city","state","zip","zip4","category","countyGEOID","countyName","source","geom","Longitude","Latitude"
"3438","Wavelengths Recovery LLC",NA,"16382 North Pacific Avenue",NA,"Sunset Beach","CA","90742",NA,"buprenorphine","06059","Orange","SAMHSA",c(-118.0773823, 33.7234675),-118.0773823,33.7234675
"3439","Wavelengths Recovery LLC",NA,"16386 North Pacific Avenue",NA,"Sunset Beach","CA","90742",NA,"buprenorphine","06059","Orange","SAMHSA",c(-118.0774403, 33.7234227),-118.0774403,33.7234227
"3440","University of Vermont Medical Ctr","Day One Program","1 South Prospect Street",NA,"Burlington","VT","05401",NA,"buprenorphine","50007","Chittenden","SAMHSA",c(-73.2014269, 44.4801784),-73.2014269,44.4801784
"3441","Bloom Recovery Treatment Center","Concise Treatment Center","4809 Lowell Avenue",NA,"La Crescenta","CA","91214",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.2663209, 34.2460024),-118.2663209,34.2460024
"3442","County of Los Angeles","Primary Care Adult West","2010 Zonal Avenue","OPD 4P41, Rooms 1-34","Los Angeles","CA","90033","1026","buprenorphine","06037","Los Angeles","SAMHSA",c(-118.20687, 34.0585234),-118.20687,34.0585234
"3443","Clinica Monsenor Oscar A Romero",NA,"2032 Marengo Street",NA,"Los Angeles","CA","90033",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.2076132, 34.0563576),-118.2076132,34.0563576
"3444","Howard Center","Chittenden Clinic","75 San Remo Drive",NA,"South Burlington","VT","05403",NA,"buprenorphine","50007","Chittenden","SAMHSA",c(-73.1794359, 44.4580311),-73.1794359,44.4580311
"3445","University Hospital Stony Brook ELIH","Quannacut Inpt Servs Stony Brook ELIH","201 Manor Place",NA,"Greenport","NY","11944",NA,"buprenorphine","36103","Suffolk","SAMHSA",c(-72.360942, 41.1106333),-72.360942,41.1106333
"3446","University Hospital Stony Brook ELIH","Quannacut Detox Unit StonyBrook ELIH","201 Manor Place",NA,"Greenport","NY","11944",NA,"buprenorphine","36103","Suffolk","SAMHSA",c(-72.360942, 41.1106333),-72.360942,41.1106333
"3447","Department of Veterans Affairs","Long Beach Healthcare System","5901 East 7th Street","Unit 116A-SATC","Long Beach","CA","90822",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.1189428, 33.777569),-118.1189428,33.777569
"3448","CleanSlate Centers",NA,"1 Arch Place","3rd Floor","Greenfield","MA","01301",NA,"buprenorphine","25011","Franklin","SAMHSA",c(-72.6041819, 42.5920488),-72.6041819,42.5920488
"3449","New England Medicine and","Counseling Associates","10 East Street","Suite 1","Winooski","VT","05404",NA,"buprenorphine","50007","Chittenden","SAMHSA",c(-73.1826447, 44.4921369),-73.1826447,44.4921369
"3450","Northern Hope Center",NA,"298 Federal Street","2nd Floor","Greenfield","MA","01301",NA,"buprenorphine","25011","Franklin","SAMHSA",c(-72.5940028, 42.6010729),-72.5940028,42.6010729
"3451","ServiceNet Inc","Beacon House","53-57 Beacon Street",NA,"Greenfield","MA","01301",NA,"buprenorphine","25011","Franklin","SAMHSA",c(-72.5924299, 42.596945),-72.5924299,42.596945
"3452","Western Pacific Med Corp","Western Pacific Glendale","4544 San Fernando Road","Suite 201","Glendale","CA","91204",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.2628713, 34.1348928),-118.2628713,34.1348928
"3453","BAART Behavioral Health Services Inc","Baymark Addiction Research and Trt","11682 Atlantic Boulevard",NA,"Lynwood","CA","90262",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.1887631, 33.917188),-118.1887631,33.917188
"3454","OnCall Healthy Living Program",NA,"568 Main Street",NA,"Indian Orchard","MA","01151",NA,"buprenorphine","25013","Hampden","SAMHSA",c(-72.4848243, 42.155847),-72.4848243,42.155847
"3455","Grace Cottage Family Health",NA,"185 Grafton Road",NA,"Townshend","VT","05353",NA,"buprenorphine","50025","Windham","SAMHSA",c(-72.668004, 43.048839),-72.668004,43.048839
"3456","West County Medical Clinic",NA,"100 East Market Street",NA,"Long Beach","CA","90805",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.1935509, 33.8540433),-118.1935509,33.8540433
"3457","Roots Through Recovery",NA,"3939 Atlantic Avenue","Suite 102","Long Beach","CA","90807",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.1853128, 33.8300515),-118.1853128,33.8300515
"3458","Addiction Research and Treatment Inc","(ART)","1926 West Beverly Boulevard",NA,"Los Angeles","CA","90057",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.2687875, 34.0656487),-118.2687875,34.0656487
"3459","Melrose Recovery LLC",NA,"1253 Commonwealth Avenue",NA,"Los Angeles","CA","90029",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.2858137, 34.0950034),-118.2858137,34.0950034
"3460","Kaiser Permanente","Addiction Medicine","1505 North Edgemont Avenue",NA,"Los Angeles","CA","90027",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.2964031, 34.0984261),-118.2964031,34.0984261
"3461","BAART Programs Southeast","Addiction Research and Treatment","4920 Avalon Boulevard",NA,"Los Angeles","CA","90011",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.2648592, 33.9981778),-118.2648592,33.9981778
"3462","Y and Y Recovery",NA,"1123 and 1125 North Alexandria Avenue","1125 1/2 North Alexandria Avenue","Los Angeles","CA","90029",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.2986437, 34.0915685),-118.2986437,34.0915685
"3463","Helping Our Mentalities Excel Inc",NA,"479 Park Front Walk",NA,"Los Angeles","CA","90011",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.2669153, 33.9987024),-118.2669153,33.9987024
"3464","Harmony Hollywood LLC","Hollywood Detox Center","830 and 832 North Mariposa Avenue",NA,"Los Angeles","CA","90029",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.2985285, 34.0857618),-118.2985285,34.0857618
"3465","Harmony Hollywood LLC","Harmony Detox Center","826 North Mariposa Avenue",NA,"Los Angeles","CA","90029",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.2986814, 34.0855686),-118.2986814,34.0855686
"3466","Hollywood Medical Rehab Care Inc",NA,"5232 West Sunset Boulevard",NA,"Los Angeles","CA","90027",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.3040692, 34.098008),-118.3040692,34.098008
"3467","Melrose Recovery LLC",NA,"501 North Mariposa Avenue",NA,"Los Angeles","CA","90004",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.2995492, 34.0792317),-118.2995492,34.0792317
"3468","Oaks of Hope LLC",NA,"26525 Josel Drive",NA,"Canyon Country","CA","91387",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.4050573, 34.3884467),-118.4050573,34.3884467
"3469","County of Los Angeles","Hubert H Humphrey Comprehensive Health","5850 South Main Street","Rms 2010, 2016, 2017, 2039, 2246, 2251","Los Angeles","CA","90003","1215","buprenorphine","06037","Los Angeles","SAMHSA",c(-118.273401, 33.9883999),-118.273401,33.9883999
"3470","MedMark Treatment Centers","Los Angeles","11900 Avalon Boulevard","Suite 200","Los Angeles","CA","90061",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.2648592, 33.9244683),-118.2648592,33.9244683
"3471","Brattleboro Retreat","Buprenorphine Clinic","1 Anna Marsh Lane",NA,"Brattleboro","VT","05302",NA,"buprenorphine","50025","Windham","SAMHSA",c(-72.5629074, 42.8588968),-72.5629074,42.8588968
"3472","Brattleboro Retreat","Starting Now","1 Anna Marsh Lane",NA,"Brattleboro","VT","05302",NA,"buprenorphine","50025","Windham","SAMHSA",c(-72.5626288, 42.8588164),-72.5626288,42.8588164
"3473","Teen Project Inc","Freehab","8140 Sunland Boulevard",NA,"Sun Valley","CA","91352","3948","buprenorphine","06037","Los Angeles","SAMHSA",c(-118.369296, 34.2182387),-118.369296,34.2182387
"3474","Westwind Recovery",NA,"3235 Hillock Drive",NA,"Los Angeles","CA","90027",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.3434223, 34.1359066),-118.3434223,34.1359066
"3475","Pacific Recovery Solutions LLC",NA,"3229 Hillock Drive",NA,"Los Angeles","CA","90068",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.3436506, 34.1358095),-118.3436506,34.1358095
"3476","American Health Services LLC",NA,"5015 West Pico Boulevard",NA,"Los Angeles","CA","90019",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.3464231, 34.0480081),-118.3464231,34.0480081
"3477","Aegis Treatment Centers LLC",NA,"1322 North Avalon Boulevard",NA,"Wilmington","CA","90744",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.2628721, 33.7895548),-118.2628721,33.7895548
"3478","Pacific Recovery Solutions LLC",NA,"7966 Beverly Boulevard",NA,"Los Angeles","CA","90048",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.3633196, 34.0758544),-118.3633196,34.0758544
"3479","Westwind Recovery",NA,"7966 Beverly Boulevard","2nd Floor","Los Angeles","CA","90048",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.3633196, 34.0758544),-118.3633196,34.0758544
"3480","CLARE Matrix","DBA Matrix Institute","5220 West Washington Boulevard","Suite 101","Los Angeles","CA","90016",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.3547193, 34.0412505),-118.3547193,34.0412505
"3481","Coastal Recovery Comp Center",NA,"117 East Harry Bridges Boulevard",NA,"Wilmington","CA","90744",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.2610618, 33.7715047),-118.2610618,33.7715047
"3482","Western Pacific Med Corp","Western Pacific North Hollywood","4838 Laurel Canyon Boulevard",NA,"Valley Village","CA","91607",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.3962953, 34.1587026),-118.3962953,34.1587026
"3483","310 Recovery Inc",NA,"1741 and 1741 1/2 Hauser Boulevard","1743 and 1743 1/2 Hauser Boulevard","Los Angeles","CA","90019",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.3594298, 34.0414426),-118.3594298,34.0414426
"3484","Lake Hughes Recovery",NA,"48745 Three Points Road",NA,"Lake Hughes","CA","93532",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.595005, 34.766401),-118.595005,34.766401
"3485","Marimn Health",NA,"427 North 12th Street",NA,"Plummer","ID","83851",NA,"buprenorphine","16009","Benewah","SAMHSA",c(-116.8937863, 47.3428067),-116.8937863,47.3428067
"3486","Baystate Wing Hospital","Griswold Center","40 Wright Street",NA,"Palmer","MA","01069",NA,"buprenorphine","25013","Hampden","SAMHSA",c(-72.341697, 42.1694156),-72.341697,42.1694156
"3487","Phoenix Houses of Long Island Inc","East Hampton Outpatient","287 Springs Fireplace Road",NA,"East Hampton","NY","11937",NA,"buprenorphine","36103","Suffolk","SAMHSA",c(-72.1712085, 40.9914671),-72.1712085,40.9914671
"3488","Faith Recovery Center Inc",NA,"2200 Coldwater Canyon Drive",NA,"Beverly Hills","CA","90210",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.403945, 34.1119527),-118.403945,34.1119527
"3489","Right Choice Health Group",NA,"1448 North Main Street",NA,"Palmer","MA","01069",NA,"buprenorphine","25013","Hampden","SAMHSA",c(-72.3308895, 42.1578629),-72.3308895,42.1578629
"3490","Western Pacific Med Corp","Western Pacific Panorama","9462 Van Nuys Boulevard",NA,"Panorama City","CA","91402",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.449939, 34.2424965),-118.449939,34.2424965
"3491","Vita Behavioral Health Inc",NA,"14000 Valerio Street",NA,"Van Nuys","CA","91405",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.4379872, 34.2043601),-118.4379872,34.2043601
"3492","Safe Haven Recovery Inc",NA,"1690 Coldwater Canyon Drive",NA,"Beverly Hills","CA","90210",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.4057729, 34.1015922),-118.4057729,34.1015922
"3493","County of Los Angeles","Harbor/UCLA Family Medicine Clinic","1403 West Lomita Boulevard","Suite 102","Harbor City","CA","90710",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.3021181, 33.798117),-118.3021181,33.798117
"3494","El Dorado Community Service Center","Inglewood Medical/Mental Health Servs","4450 West Century Boulevard",NA,"Inglewood","CA","90304",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.3540021, 33.9451722),-118.3540021,33.9451722
"3495","Haven House Inc","Mens Residential Program","2252 Hillsboro Avenue",NA,"Los Angeles","CA","90034",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.3879892, 34.0416167),-118.3879892,34.0416167
"3496","Kaiser Permanente","Addiction Medicine Department","12669 Encinitas Avenue",NA,"Sylmar","CA","91342",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.4742559, 34.2993537),-118.4742559,34.2993537
"3497","Dunes East Hampton","OP","201 Fort Pond Boulevard",NA,"East Hampton","NY","11937","4215","buprenorphine","36103","Suffolk","SAMHSA",c(-72.15552, 41.0250155),-72.15552,41.0250155
"3498","Grande Ronde Recovery LLC",NA,"1501 6th Street",NA,"La Grande","OR","97850",NA,"buprenorphine","41061","Union","SAMHSA",c(-118.0940838, 45.3249216),-118.0940838,45.3249216
"3499","Aegis Treatment Centers LLC",NA,"614 West Manchester Boulevard","Suite 104","Inglewood","CA","90301",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.3672715, 33.9613653),-118.3672715,33.9613653
"3500","Western Health Harbor City Clinic",NA,"1647 West Anaheim Street",NA,"Harbor City","CA","90710","3213","buprenorphine","06037","Los Angeles","SAMHSA",c(-118.3058744, 33.7863436),-118.3058744,33.7863436
"3501","El Dorado Community Service Center",NA,"4023 Marine Avenue",NA,"Lawndale","CA","90260",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.3445968, 33.8948886),-118.3445968,33.8948886
"3502","Western Pacific Med Corp","Western Pacific Van Nuys","14332 Victory Boulevard",NA,"Van Nuys","CA","91401",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.4455696, 34.186442),-118.4455696,34.186442
"3503","Forward Recovery Solutions LLC",NA,"1428 South Roxbury Drive",NA,"Los Angeles","CA","90035",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.4015684, 34.0531483),-118.4015684,34.0531483
"3504","BAART Behavioral Health Services",NA,"242 South Main Street",NA,"Saint Albans","VT","05478",NA,"buprenorphine","50011","Franklin","SAMHSA",c(-73.0928342, 44.7985582),-73.0928342,44.7985582
"3505","Helping Hands Rehab Clinic Inc",NA,"8714 North Sepulveda Boulevard",NA,"North Hills","CA","91343",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.4675611, 34.2287838),-118.4675611,34.2287838
"3506","Community Health Resources","CPAS Outpatient","433 Valley Street",NA,"Willimantic","CT","06226",NA,"buprenorphine","09015","Windham","SAMHSA",c(-72.2245813, 41.7160102),-72.2245813,41.7160102
"3507","Community Health Resources","Willimantic Clinic","433 Valley Street",NA,"Willimantic","CT","06226",NA,"buprenorphine","09015","Windham","SAMHSA",c(-72.2245514, 41.716017),-72.2245514,41.716017
"3508","CNV Detox Inc",NA,"5919 West 74th Street",NA,"Los Angeles","CA","90045",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.3869393, 33.9741828),-118.3869393,33.9741828
"3509","VA Sepulveda Ambulatory Care Center","Addictive Behaviors Clinic","16111 Plummer Street",NA,"North Hills","CA","91343",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.4816375, 34.2444405),-118.4816375,34.2444405
"3510","El Dorado Community Services","Santa Clarita Medical","24625 Arch Street",NA,"Newhall","CA","91321",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.52943, 34.384703),-118.52943,34.384703
"3511","American Health Services LLC",NA,"6265 Sepulveda Boulevard","Suite 9","Van Nuys","CA","91411",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.4667338, 34.1843517),-118.4667338,34.1843517
"3512","A New Start Trt and Recovery Ctr LLC","Muse Treatment","4111 Milton Avenue","4113, 4115 and 4117 Milton Avenue","Culver City","CA","90232",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.4087569, 34.0102896),-118.4087569,34.0102896
"3513","Outpatient Services",NA,"54 North Street",NA,"Willimantic","CT","06226",NA,"buprenorphine","09015","Windham","SAMHSA",c(-72.2125748, 41.7132866),-72.2125748,41.7132866
"3514","Perception Programs Inc","Perception House","134 Church Street",NA,"Willimantic","CT","06226",NA,"buprenorphine","09015","Windham","SAMHSA",c(-72.2111181, 41.7144139),-72.2111181,41.7144139
"3515","Natchaug Hospital Inc","Sachem House","151 Storrs Road",NA,"Mansfield Center","CT","06250",NA,"buprenorphine","09013","Tolland","SAMHSA",c(-72.1986529, 41.73864),-72.1986529,41.73864
"3516","Addiction Research and Treatment Inc","(ART)/BAART Behavioral Health Services","89 East Mill Avenue",NA,"Porterville","CA","93257","3808","buprenorphine","06107","Tulare","SAMHSA",c(-119.0143955, 36.0685725),-119.0143955,36.0685725
"3517","VA Greater LA Healthcare System",NA,"11301 Wilshire Boulevard","Building 257, Ground Floor","Los Angeles","CA","90073",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.4547279, 34.0546036),-118.4547279,34.0546036
"3518","Novo Medical Detoxification Centers of","Los Angeles Inc","11346 Thurston Place",NA,"Los Angeles","CA","90049",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.4651135, 34.0749799),-118.4651135,34.0749799
"3519","United Community and Family Services",NA,"351 North Frontage Road","Suite 24","New London","CT","06320",NA,"buprenorphine","09011","New London","SAMHSA",c(-72.118403, 41.3721422),-72.118403,41.3721422
"3520","SE Council on Alc and Drug Dep Inc","(SCADD)/New London Outpatient","1000 Bank Street",NA,"New London","CT","06320",NA,"buprenorphine","09011","New London","SAMHSA",c(-72.1125711, 41.3441268),-72.1125711,41.3441268
"3521","SE Council on Alc and Drug Dep Inc","(SCADD)/Intensive Outpatient","932 Bank Street",NA,"New London","CT","06320",NA,"buprenorphine","09011","New London","SAMHSA",c(-72.1105442, 41.3459404),-72.1105442,41.3459404
"3522","Sea Change Santa Monica","Residential Substance Abuse","2205 Hill Street",NA,"Santa Monica","CA","90405",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.4613266, 34.0135294),-118.4613266,34.0135294
"3523","American Health Services LLC",NA,"717 Lincoln Boulevard",NA,"Venice","CA","90291",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.4641275, 33.9993821),-118.4641275,33.9993821
"3524","Sea Change Santa Monica","Sub-Acute Detox","1051 Princeton Street",NA,"Santa Monica","CA","90403",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.4783443, 34.0387165),-118.4783443,34.0387165
"3525","Catholic Charities Diocese Norwich Inc",NA,"28 Huntington Street",NA,"New London","CT","06320",NA,"buprenorphine","09011","New London","SAMHSA",c(-72.0996342, 41.35365),-72.0996342,41.35365
"3526","CleanSlate Centers",NA,"83 South Street","Suite 180","Ware","MA","01082",NA,"buprenorphine","25015","Hampshire","SAMHSA",c(-72.2411578, 42.2535952),-72.2411578,42.2535952
"3527","Western Pacific Med Corp","Western Pacific Reseda","7232 Canby Avenue","Suites 4, 5 and 6","Reseda","CA","91335",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.5345195, 34.2021574),-118.5345195,34.2021574
"3528","Clara Martin Center","Substance Abuse Treatment Unit","11 North Main Street",NA,"Randolph","VT","05060",NA,"buprenorphine","50017","Orange","SAMHSA",c(-72.6647069, 43.922911),-72.6647069,43.922911
"3529","CLARE Matrix","Womens Treatment Program","844 Pico Boulevard",NA,"Santa Monica","CA","90405",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.4815212, 34.0127845),-118.4815212,34.0127845
"3530","Kootenai Behavioral Health","Chemical Dependency Services","2301 North Ironwood Place",NA,"Coeur d Alene","ID","83814",NA,"buprenorphine","16055","Kootenai","SAMHSA",c(-116.799364, 47.698123),-116.799364,47.698123
"3531","Tarzana Treatment Centers Inc",NA,"18646 Oxnard Street",NA,"Tarzana","CA","91356",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.5398534, 34.1795005),-118.5398534,34.1795005
"3532","Crossroad Transitional Inc",NA,"19646 Ballinger Street",NA,"Northridge","CA","91324",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.5619701, 34.2432639),-118.5619701,34.2432639
"3533","Keene Metro Treatment Center","Metro Treatment of New Hampshire LP","1076 West Swanzey Road",NA,"Swanzey","NH","03446",NA,"buprenorphine","33005","Cheshire","SAMHSA",c(-72.3488965, 42.8450372),-72.3488965,42.8450372
"3534","CLARE Foundation Inc","CLARE Outpatient","1334 Lincoln Boulevard",NA,"Santa Monica","CA","90401",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.492481, 34.019988),-118.492481,34.019988
"3535","United Community and Family Services","Southern New London County","47 Town Street",NA,"Norwich","CT","06360",NA,"buprenorphine","09011","New London","SAMHSA",c(-72.091534, 41.5477143),-72.091534,41.5477143
"3536","Backus Center for Mental Health",NA,"326 Washington Street",NA,"Norwich","CT","06360",NA,"buprenorphine","09011","New London","SAMHSA",c(-72.0889953, 41.5432439),-72.0889953,41.5432439
"3537","Connection Counseling Center",NA,"101 Water Street",NA,"Norwich","CT","06360",NA,"buprenorphine","09011","New London","SAMHSA",c(-72.078225, 41.5236229),-72.078225,41.5236229
"3538","SE Council on Alc and Drug Dep Inc","(SCADD)/Norwich Outpatient","321 Main Street",NA,"Norwich","CT","06360",NA,"buprenorphine","09011","New London","SAMHSA",c(-72.0721618, 41.5240104),-72.0721618,41.5240104
"3539","Catholic Charities Diocese Norwich Inc",NA,"331 Main Street",NA,"Norwich","CT","06360",NA,"buprenorphine","09011","New London","SAMHSA",c(-72.0717914, 41.5239976),-72.0717914,41.5239976
"3540","Toiyabe Indian Health Project","Family Service Department","Eastside Lane and Camp Antelope Road",NA,"Coleville","CA","96107",NA,"buprenorphine","06051","Mono","SAMHSA",c(-119.4562546, 38.5285145),-119.4562546,38.5285145
"3541","CleanSlate Centers",NA,"201 South Main Street",NA,"Athol","MA","01331",NA,"buprenorphine","25027","Worcester","SAMHSA",c(-72.2424619, 42.5913444),-72.2424619,42.5913444
"3542","Tarzana Treatment Centers Inc",NA,"6022 Variel Avenue",NA,"Woodland Hills","CA","91367","3719","buprenorphine","06037","Los Angeles","SAMHSA",c(-118.5922902, 34.1800353),-118.5922902,34.1800353
"3543","Phoenix House New England","Keene Center","106 Roxbury Street",NA,"Keene","NH","03431",NA,"buprenorphine","33005","Cheshire","SAMHSA",c(-72.2746142, 42.9346018),-72.2746142,42.9346018
"3544","Clear View Canyon Inc",NA,"23931 Jensen Drive",NA,"Canoga Park","CA","91304",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.6480117, 34.2232758),-118.6480117,34.2232758
"3545","Groups Recover Together",NA,"12 Kingsbury Street",NA,"Keene","NH","03431",NA,"buprenorphine","33005","Cheshire","SAMHSA",c(-72.270018, 42.9327358),-72.270018,42.9327358
"3546","Aegis Treatment Centers LLC",NA,"501 West Columbus Street",NA,"Bakersfield","CA","93301",NA,"buprenorphine","06029","Kern","SAMHSA",c(-119.0069157, 35.3970555),-119.0069157,35.3970555
"3547","American Health Services LLC","Bakersfield Health Services","1010 1/2 South Union Avenue",NA,"Bakersfield","CA","93307",NA,"buprenorphine","06029","Kern","SAMHSA",c(-119.00215, 35.3438919),-119.00215,35.3438919
"3548","Aegis Treatment Centers LLC",NA,"1018 21st Street",NA,"Bakersfield","CA","93301",NA,"buprenorphine","06029","Kern","SAMHSA",c(-119.0132815, 35.3782748),-119.0132815,35.3782748
"3549","Rathdrum Counseling Center LLC",NA,"14954 Coeur d Alene Street",NA,"Rathdrum","ID","83858",NA,"buprenorphine","16055","Kootenai","SAMHSA",c(-116.8969869, 47.8096799),-116.8969869,47.8096799
"3550","United Community and Family Services","Psychiatric Outpt Clinic for Adults","226 East Main Street",NA,"Jewett City","CT","06351","2110","buprenorphine","09011","New London","SAMHSA",c(-71.9735463, 41.6119306),-71.9735463,41.6119306
"3551","Groups Recover Together",NA,"5 Dunning Street","Unit C, Building 1","Claremont","NH","03743",NA,"buprenorphine","33019","Sullivan","SAMHSA",c(-72.3403538, 43.385888),-72.3403538,43.385888
"3552","Nova Vitae Treatment Center",NA,"5565 Newcastle Lane",NA,"Calabasas","CA","91302",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.683581, 34.1628907),-118.683581,34.1628907
"3553","Right Choice Health Group",NA,"100 Central Street","Suite 3","Southbridge","MA","01550",NA,"buprenorphine","25027","Worcester","SAMHSA",c(-72.032048, 42.0769109),-72.032048,42.0769109
"3554","Harrington Memorial Hospital","Recovery Services","176 Main Street",NA,"Southbridge","MA","01550",NA,"buprenorphine","25027","Worcester","SAMHSA",c(-72.0309369, 42.0742602),-72.0309369,42.0742602
"3555","Spectrum Health Systems Inc",NA,"176 Main Street",NA,"Southbridge","MA","01550",NA,"buprenorphine","25027","Worcester","SAMHSA",c(-72.0309369, 42.0742602),-72.0309369,42.0742602
"3556","Nulife Wellness Group LLC","Mulholland","24969 Mulholland Highway",NA,"Calabasas","CA","91302",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.666282, 34.102069),-118.666282,34.102069
"3557","Stonington Institute",NA,"75 Swantown Hill Road",NA,"North Stonington","CT","06359",NA,"buprenorphine","09011","New London","SAMHSA",c(-71.9266135, 41.4739298),-71.9266135,41.4739298
"3558","Harrington Hospital OP Services","Satellite Location","367 East Main Street",NA,"East Brookfield","MA","01515",NA,"buprenorphine","25027","Worcester","SAMHSA",c(-72.0407044, 42.2277073),-72.0407044,42.2277073
"3559","BAART Behavioral Health Services","Central Vermont Addiction Medicine","617 Comstock Road","Suite 5","Montpelier","VT","05602","8498","buprenorphine","50023","Washington","SAMHSA",c(-72.564156, 44.208118),-72.564156,44.208118
"3560","Malibu Balance Day Treatment",NA,"4505 Las Virgenes Road","Suite 202","Calabasas","CA","91302",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.7007586, 34.1403889),-118.7007586,34.1403889
"3561","Bakersfield Behavioral Healthcare","Hospital (BBHH)","5201 White Lane",NA,"Bakersfield","CA","93309",NA,"buprenorphine","06029","Kern","SAMHSA",c(-119.060612, 35.3164545),-119.060612,35.3164545
"3562","Seasons Recovery Centers LLC","Seasons Agoura","5850 Lapworth Drive",NA,"Agoura Hills","CA","91301",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.7427807, 34.1552587),-118.7427807,34.1552587
"3563","Aegis Treatment Centers LLC",NA,"660 East Los Angeles Avenue","B2","Simi Valley","CA","93065",NA,"buprenorphine","06111","Ventura","SAMHSA",c(-118.784064, 34.2704087),-118.784064,34.2704087
"3564","West Lebanon Comp Trt Center",NA,"254 Plainfield Road",NA,"West Lebanon","NH","03784",NA,"buprenorphine","33009","Grafton","SAMHSA",c(-72.3240467, 43.6283951),-72.3240467,43.6283951
"3565","White River Junction VA Medical Center","Behavioral Health Service Line","215 North Main Street","Unit 116-A","White River Junction","VT","05009",NA,"buprenorphine","50027","Windsor","SAMHSA",c(-72.3223482, 43.6501844),-72.3223482,43.6501844
"3566","United Community and Family Services",NA,"120-122 Plainfield Road",NA,"Moosup","CT","06354",NA,"buprenorphine","09015","Windham","SAMHSA",c(-71.894648, 41.710262),-71.894648,41.710262
