"STATEFP","TotPop","TotUnits","Age18_64","Age0_4","Age5_14","Age15_19","Age20_24","Age15_44","Age45_49","Age50_54","Age55_59","Age60_64","AgeOv65","Age15_24P","Und45P","Ovr65P","WhiteP","BlackP","HispP","AmIndP","AsianP","PacIsP","OtherP","NoHsp","ChildrenP","PovP","UnempP","OccP","VacantP"
"01",4447100,1963711,2743880,295992,635597,324580,306865,1919972,315173,285036,225450,190082,579798,14.2,64.12,13.04,71.12,25.99,1.7,0.5,0.7,0.03,335642.8,24.73,25.26,16.1,6.2,88.46,11.54
"02",626932,260978,400516,47591,110432,50094,39892,293508,53515,41437,27423,17327,35699,14.35,72.02,5.69,69.31,3.48,4.13,15.64,4.01,0.53,1140824.46,11.67,30.42,9.4,9.03,84.91,15.09
"04",5130632,2189189,3095846,382386,768080,367722,362860,2242051,331903,296001,238675,203697,667839,14.24,66.12,13.02,75.5,3.1,25.25,4.99,1.8,0.13,30136986.77,19.03,26.64,13.91,5.63,86.85,13.15
"05",2673400,1173043,1619012,181585,380159,198765,181598,1131335,181913,167606,139393,117390,374019,14.23,63.33,13.99,80,15.67,3.25,0.67,0.76,0.06,333300.65,24.69,25.45,15.84,6.09,88.89,11.11
"06",33858509,12214549,21017937,2486074,5294705,2449900,2380317,15540673,2330811,1998989,1466645,1146380,3594230,14.27,68.88,10.62,59.54,6.69,32.38,0.98,10.92,0.34,95818347.9,23.21,27.31,14.22,7.01,94.17,5.83
"08",4301261,1808037,2784392,297505,619925,307239,306238,2014326,334854,279271,194723,144584,416073,14.26,68.16,9.67,82.77,3.84,17.1,1.03,2.21,0.11,3643575.14,13.08,25.59,9.26,4.31,91.72,8.28
"09",3400219,1385975,2090428,222956,484947,216318,187311,1434666,252360,227697,176679,131440,469473,11.87,63.01,13.81,81.64,9.1,9.4,0.28,2.41,0.04,5036371.24,16.01,24.71,7.86,5.27,93.92,6.08
"10",783600,343072,487287,51531,111087,55632,51665,343738,54775,49224,39320,32199,101726,13.69,64.62,12.98,74.63,19.23,4.76,0.35,2.08,0.03,1414980.32,17.4,24.83,9.21,5.17,87.08,12.92
"11",572059,274845,387169,32536,65403,37867,51823,279129,39397,35913,27803,21980,69898,15.68,65.91,12.22,30.78,60.01,7.86,0.3,2.66,0.06,3574400,22.17,20.1,20.22,10.8,90.36,9.64
"12",15969908,7302947,9521043,945139,2087175,1013323,927674,6506799,1084526,983287,820849,736893,2805239,12.15,59.73,17.57,77.99,14.62,16.78,0.33,1.67,0.05,5855161.64,20.14,22.82,12.51,5.57,86.79,13.21
"13",8186453,3281737,5231944,595150,1223343,596277,592196,3841237,573017,506975,375651,285805,785275,14.52,69.14,9.59,65.07,28.7,5.32,0.27,2.12,0.05,1369430.44,21.43,26.5,12.99,5.49,91.61,8.39
"15",1195812,460542,745304,77143,165968,79976,82236,519739,89303,79572,59795,45805,158488,13.57,63.79,13.25,24.31,1.81,7.24,0.29,41.53,9.38,19942129.34,15.43,24.42,10.71,6.26,87.56,12.44
"16",1293953,527824,779007,97643,205364,110858,93994,567253,92172,78076,60024,47505,145916,15.83,67.26,11.28,90.98,0.42,7.86,1.36,0.92,0.1,628634.14,15.28,28.52,11.77,5.78,88.98,11.02
"17",12419293,4885615,7673817,876549,1834955,894002,850843,5540389,873812,752930,577747,462886,1500025,14.05,66.44,12.08,73.48,15.11,12.32,0.25,3.41,0.04,30026896.36,18.57,26.13,10.68,6.05,93.98,6.02
"18",6078796,2532319,3752242,423094,886436,453355,425623,2670328,436997,379637,294087,235607,752611,14.46,65.47,12.38,87.5,8.38,3.53,0.26,0.97,0.03,971936.47,17.87,25.89,9.49,4.9,92.26,7.74
"19",2926324,1232511,1756473,188413,413150,226420,203663,1238342,212663,180131,139052,118360,436213,14.7,62.87,14.91,93.93,2.11,2.82,0.31,1.25,0.04,332279.51,13.9,25.07,9.13,4.17,93.25,6.75
"20",2688418,1131200,1619196,188708,399592,210118,190167,1169489,192679,161468,121645,98608,356229,14.89,65.38,13.25,86.07,5.74,7,0.93,1.74,0.05,1039934.15,13.98,26.52,9.9,4.25,91.75,8.25
"21",4041769,1750927,2542158,265901,558739,289004,283032,1782809,293976,262956,204483,168112,504793,14.15,64.51,12.49,90.08,7.32,1.48,0.21,0.74,0.04,361651.43,25.88,24.61,15.82,5.73,90.85,9.15
"22",4468976,1847181,2732248,317392,684692,365945,325571,1984644,315768,270503,208761,170287,516929,15.47,66.83,11.57,63.91,32.49,2.41,0.57,1.23,0.03,458636.08,25.19,27.29,19.64,7.32,89.65,10.35
"23",1274923,651901,790283,70726,175274,89485,69656,529738,101921,90675,68490,54697,183402,12.48,60.85,14.39,96.95,0.53,0.73,0.56,0.72,0.03,177384.82,14.63,23.63,10.92,4.76,79.49,20.51
"24",5294616,2145283,3339853,353281,783198,355996,314017,2334133,399248,355515,268553,201655,599033,12.65,65.55,11.31,64.03,27.9,4.3,0.29,3.98,0.04,2578234.54,16.17,25.61,8.49,4.71,92.34,7.66
"25",6342192,2621989,3984728,396913,861232,415350,404029,2807262,461334,410855,309602,236096,858896,12.92,64.1,13.54,84.53,5.41,6.76,0.23,3.76,0.04,4536402.24,15.24,23.63,9.34,4.56,93.2,6.8
"26",9938444,4234279,6123659,672005,1492193,719867,643839,4324250,734905,633034,485895,377144,1219018,13.72,65.29,12.27,80.15,14.22,3.26,0.59,1.78,0.03,2740558.98,16.58,26.12,10.53,5.79,89.41,10.59
