,State,GEOID,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01
0,AK,02,0,142,364,466,957,3136,5296,7947,15615,25924,45192
1,AL,01,0,1106,7294,18246,38962,89349,127616,155744,193983,252900,365747
2,AR,05,0,612,3144,7253,20491,41618,60600,82851,111414,156807,226614
3,AZ,04,1,1414,7961,20123,84092,177002,202342,219212,247473,337139,530267
4,CA,06,22,10151,52232,115186,236987,507221,716263,822428,934749,1245641,2292321
5,CO,08,0,3202,15565,26563,33012,47249,57755,71196,109885,237284,337134
6,CT,09,0,3372,28393,42498,46363,49567,52899,57613,71066,118100,185043
7,DC,11,0,586,4658,8857,10365,12205,14049,15358,17369,21685,29252
8,DE,10,0,368,4894,9550,11468,14656,17246,20296,25035,36251,57928
9,FL,12,0,7556,34717,56744,158830,479427,630013,707401,805487,1005369,1320305
10,GA,13,0,4259,25716,44250,78447,172457,254064,300827,344917,405640,550372
11,HI,15,0,238,609,641,909,2174,8628,12482,15075,17751,18665
12,IA,19,0,548,7814,19680,29287,44931,65383,89608,130199,230206,281686
13,ID,16,0,659,2034,2905,6369,21108,32364,42558,65088,103301,141073
14,IL,17,3,6955,55686,121021,143962,180414,236435,295347,417204,738648,963225
15,IN,18,0,2564,18629,34820,45952,67122,97184,123681,184883,347381,521027
16,KS,20,0,482,4446,10052,15063,28022,43243,60809,86774,160293,230179
17,KY,21,0,593,4808,10017,15838,30723,49185,69725,108636,183164,265261
18,LA,22,0,6393,28641,40237,60175,116270,148696,167183,182983,240942,314865
19,MA,25,1,7487,63886,100461,108797,117737,127272,138141,165236,230400,339586
20,MD,24,0,1985,23465,53326,67918,89365,108863,125510,146145,201135,280219
21,ME,23,0,337,1121,2344,3322,3935,4548,5428,6711,12197,24879
22,MI,26,0,9128,40659,53405,66754,86904,108187,133001,189804,380931,504811
23,MN,27,0,687,5711,25116,36635,55060,76191,100036,153385,321917,414858
24,MO,29,0,1578,7796,13316,21903,51245,85739,127911,188184,305370,397299
25,MS,28,0,1062,7209,15728,27900,59881,83584,98885,120863,154411,218386
26,MT,30,0,217,452,523,1016,4081,7509,13500,33456,63204,81553
27,NC,37,0,1580,10917,29250,66495,123877,169424,212895,270792,368701,537332
28,ND,38,0,147,1107,2624,3615,6602,12000,22218,43916,80135,92767
29,NE,31,0,201,4779,14129,19134,26066,34437,45868,71135,127360,166455
30,NH,33,0,291,2295,4678,5801,6613,7295,8313,11178,21335,43145
31,NJ,34,0,17743,120607,160055,171285,181373,191974,205551,239018,341037,530786
32,NM,35,0,362,3513,7570,11368,19531,24139,28280,45448,96783,140773
33,NV,32,0,1157,5057,8689,19101,49074,69228,80348,100701,153040,222756
34,NY,36,0,82098,308314,371711,394179,415767,435510,460031,509735,655265,990711
35,OH,39,0,2546,18736,35977,52865,92087,124610,155313,219000,430093,700380
36,OK,40,0,719,3748,6525,14112,37706,59339,88354,124107,199423,290700
37,OR,41,1,735,2578,4301,8931,18827,26946,33860,45429,76654,113909
38,PA,42,0,5805,46968,72280,87242,112936,134795,160123,209936,367140,648026
39,RI,44,1,517,7858,13071,15229,17244,19809,22693,28457,45844,78327
40,SC,45,0,1293,6254,12143,37809,90076,119846,148319,178022,218912,307507
41,SD,46,0,129,2523,5029,6826,8867,13749,23135,47321,80912,99010
42,TN,47,0,1996,11598,22939,43846,102567,149926,191358,254936,366713,555728
43,TX,48,0,4268,29112,64871,168062,437727,626059,762958,917416,1197027,1772447
44,UT,49,0,1006,4832,10015,22806,40675,52386,74009,116212,198021,276200
45,VA,51,0,1482,16905,45394,63203,90801,121615,148719,182380,240043,354761
46,VT,50,0,306,875,978,1204,1413,1627,1747,2188,4231,7403
47,WA,53,11,5592,14557,21901,33264,57323,74666,87786,107949,166729,245263
48,WI,55,0,1549,7313,18538,29199,54002,76584,132123,241422,416365,522523
49,WV,54,0,189,1151,2009,2932,6735,10507,16024,24879,48819,71215
50,WY,56,0,137,419,910,1517,2769,3866,6083,13383,33805,44409
