"GEOID","bupTimeWalk","bupCountWalk60","bupCountWalk30","metTimeWalk","metCountWalk60","metCountWalk30","nalTimeWalk","nalCountWalk60","nalCountWalk30"
1002,0,11,11,152.51,0,0,152.51,0,0
1003,0,11,11,163.08,0,0,163.08,0,0
1005,0,12,12,NA,0,0,156.67,0,0
1007,0,1,1,NA,0,0,175.08,0,0
1027,0,4,4,100.03,0,0,100.03,0,0
1028,0,10,6,68.17,0,0,0,2,1
1033,0,2,2,152.16,0,0,142.69,0,0
1035,0,1,1,96.56,0,0,96.56,0,0
1037,0,1,1,NA,0,0,184.57,0,0
1038,0,2,2,109.87,0,0,109.87,0,0
1040,0,31,31,0,2,2,0,7,7
1053,0,18,11,78.38,0,0,0,1,1
1054,0,1,1,NA,0,0,NA,0,0
1056,0,11,6,158.19,0,0,54.3,1,0
1060,0,25,18,0,2,2,0,1,1
1062,0,36,7,56.2,2,0,55.34,2,0
1063,7.56,25,18,7.56,2,2,7.56,1,1
1069,0,8,8,NA,0,0,0,4,4
1070,0,8,8,NA,0,0,0,1,1
1073,0,1,1,132.68,0,0,132.68,0,0
1074,53.41,12,0,NA,0,0,198.74,0,0
1075,0,1,1,84.03,0,0,84.03,0,0
1079,31.94,8,0,NA,0,0,31.94,4,0
1082,0,7,7,NA,0,0,0,2,2
1083,43.21,1,0,NA,0,0,135.11,0,0
1085,0,10,10,0,1,1,0,3,3
1086,54.54,10,0,54.54,1,0,54.54,3,0
1088,49.52,2,0,101.22,0,0,101.22,0,0
1089,0,80,36,58.97,1,0,0,2,2
1092,0,1,1,NA,0,0,117.32,0,0
1095,0,2,2,142.05,0,0,94.59,0,0
1103,0,107,87,12.72,3,2,0,7,5
1104,0,104,11,38.77,2,0,0,7,1
1105,0,111,43,0,3,1,12.72,8,5
1106,0,5,5,60.34,0,0,70.84,0,0
1107,0,134,79,0,2,1,27.4,8,5
1108,0,56,3,0,2,1,35.08,7,0
1109,0,68,6,39.84,2,0,0,8,1
1118,0,27,4,35.08,2,0,0,3,1
1119,0,12,1,89.38,0,0,53.52,2,0
1128,42.27,11,0,75.1,0,0,42.27,2,0
1129,33.64,1,0,100.29,0,0,60.28,0,0
1151,0,12,5,115.94,0,0,0,1,1
1199,4.98,98,44,4.98,2,1,30.09,6,0
1201,0,54,54,0,1,1,0,8,8
1226,0,2,2,99.67,0,0,99.67,0,0
1230,0,7,7,NA,0,0,0,2,2
1238,0,1,1,223.14,0,0,223.14,0,0
1240,0,2,2,148.89,0,0,148.89,0,0
1242,49.02,3,0,174.12,0,0,174.12,0,0
1247,0,6,6,0,1,1,0,5,5
1267,0,2,2,151.97,0,0,151.97,0,0
1301,0,38,38,0,1,1,0,6,6
1331,0,6,6,NA,0,0,0,2,2
1364,0,4,4,NA,0,0,108.06,0,0
1366,0,1,1,NA,0,0,0,1,1
1367,0,1,1,298.81,0,0,298.81,0,0
1370,0,2,2,177.83,0,0,177.83,0,0
1375,0,1,1,224.63,0,0,224.63,0,0
1420,0,12,12,0,1,1,0,5,5
1432,0,3,3,217.47,0,0,217.47,0,0
1434,0,4,3,167.83,0,0,167.83,0,0
1436,0,2,2,198.41,0,0,102.41,0,0
1438,56.48,6,0,140.69,0,0,56.48,1,0
1440,0,6,6,99.96,0,0,0,1,1
1451,0,1,1,262.08,0,0,145.03,0,0
1453,0,13,13,0,1,1,0,3,3
1464,0,4,1,145.78,0,0,145.78,0,0
1467,57.77,1,0,213.22,0,0,185.89,0,0
1473,0,1,1,0,3,3,0,4,4
1501,0,1,1,68.2,0,0,68.2,0,0
1504,58.04,34,0,58.04,1,0,58.04,3,0
1505,0,3,3,111.96,0,0,111.96,0,0
1507,0,1,1,123.25,0,0,123.25,0,0
1516,0,1,1,230.85,0,0,174.98,0,0
1518,58.62,2,0,123.29,0,0,123.29,0,0
1520,0,2,2,100.5,0,0,100.5,0,0
1527,0,4,4,0,1,1,92.22,0,0
1532,0,3,3,84.71,0,0,0,1,1
1541,0,1,1,159.18,0,0,0,1,1
1545,0,8,8,92.4,0,0,92.4,0,0
1550,0,9,9,0,1,1,0,5,5
1564,0,2,2,145.85,0,0,127.91,0,0
1566,0,2,2,70.35,0,0,70.35,0,0
1569,0,7,7,174.51,0,0,174.51,0,0
1570,0,1,1,257.46,0,0,0,2,2
1571,0,3,3,163.7,0,0,64.64,0,0
1581,0,1,1,0,3,3,0,2,2
1583,0,1,1,98.22,0,0,98.22,0,0
1585,0,2,2,NA,0,0,137.75,0,0
1588,0,1,1,151.79,0,0,212.15,0,0
1602,0,54,9,37.01,3,0,0,10,1
1603,0,54,3,0,3,2,0,10,4
1604,0,67,29,66.85,0,0,0,3,1
1605,0,69,58,0,2,1,0,8,5
1606,0,60,2,43.21,1,0,43.21,5,0
1607,36.73,70,0,58.07,2,0,36.73,7,0
1608,0,141,38,34.34,4,0,20.4,16,2
1609,0,112,4,0,4,1,0,15,3
1610,0,83,38,33.8,3,0,0,11,2
1611,47.98,3,0,47.98,2,0,47.98,4,0
1701,0,3,3,63.6,0,0,0,1,1
1702,0,13,13,0,1,1,0,3,3
1730,0,8,8,166.51,0,0,0,1,1
1740,0,1,1,234.59,0,0,130.86,0,0
1741,0,3,3,160.48,0,0,103.94,0,0
1742,0,10,10,176.18,0,0,0,3,3
1745,56.55,1,0,108.06,0,0,108.06,0,0
1746,0,3,3,132.63,0,0,132.63,0,0
1747,41.89,12,0,41.89,1,0,41.89,3,0
1752,0,8,8,149.35,0,0,114.31,0,0
1754,0,1,1,NA,0,0,68.66,0,0
1756,0,1,1,90.35,0,0,90.35,0,0
