HEROP_ID,ZCTA,TotPop,TotUnits,Age18_64,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age45_54,Age55_59,Age60_64,AgeOv65,A15_24P,Ovr65P,Und45P,WhiteP,BlackP,AmIndP,AsianP,PacIsP,OtherP,NoHsP,UnempP,PovP,VacantP
860US36067,36067,17348,5956,9978,1395,3297,1854,1489,8090,1727,694,607,1526,19.27,8.8,73.68,78.56,20.7,0.19,0.32,0.01,0.23,41.24,6.61,15.17,6.62
860US36008,36008,26,8,13,2,5,3,2,11,2,1,1,3,20.47,12.09,70.76,37.62,62.16,0,0.13,0,0.09,49.55,10.82,30.25,6.48
860US36068,36068,1279,425,664,108,260,148,113,537,117,54,48,155,20.47,12.09,70.76,37.62,62.16,0,0.13,0,0.09,49.55,10.82,30.25,6.48
860US36066,36066,8091,2653,5004,567,1519,876,619,3991,985,314,250,465,18.48,5.75,75.11,93.42,5.66,0.22,0.26,0,0.44,27.13,4.75,8.76,5.6
860US36022,36022,5996,1923,3661,373,1016,599,624,2955,573,264,230,585,20.4,9.76,72.45,78,21.56,0.14,0.14,0.01,0.14,45.74,6.2,18.22,8.94
860US36091,36091,2413,1068,1332,193,409,233,193,1007,241,123,115,324,17.69,13.44,66.71,84.2,15.65,0.01,0.06,0,0.08,49.75,8.42,25.62,22.84
860US36051,36051,1345,491,784,87,233,137,121,599,138,68,64,156,19.15,11.61,68.36,78.29,21.5,0.08,0.05,0.02,0.06,52.98,7.55,23.78,13.43
860US36006,36006,1023,383,549,93,189,98,75,406,99,49,54,133,16.93,12.96,67.2,72.45,27.22,0.27,0.04,0,0.02,52.82,11.77,27.17,12.46
860US36749,36749,595,208,310,56,114,62,46,239,55,26,29,75,18.17,12.69,68.88,53.06,46.62,0.21,0.04,0.03,0.04,52.99,11.66,30.77,9.86
860US36758,36758,692,263,371,64,128,67,50,278,65,36,33,88,16.8,12.74,67.9,69.33,30.46,0.13,0.02,0,0.07,55.31,10.89,20.13,11.9
860US36703,36703,245,79,126,23,48,29,21,104,22,9,10,29,20.45,12.02,71.25,33.7,66.11,0,0.03,0.06,0.09,53.09,7.92,32.87,7.9
860US36003,36003,1689,541,865,155,331,201,144,717,150,65,68,203,20.45,12.02,71.25,33.7,66.11,0,0.03,0.06,0.09,53.09,7.92,32.87,7.9
860US36550,36550,233,81,123,20,46,25,18,97,20,10,11,29,18.33,12.39,69.92,61.61,36.5,1.78,0.05,0,0.05,60.2,12.01,25.27,10.44
860US36502,36502,191,66,100,16,38,20,15,80,17,8,9,24,18.33,12.39,69.92,61.61,36.5,1.78,0.05,0,0.05,60.2,12.01,25.27,10.44
860US36507,36507,14050,4768,7777,1335,2709,1472,1163,6288,1254,589,528,1346,18.76,9.58,73.54,78.86,19.86,0.92,0.17,0,0.19,48.4,7.71,21.69,7.22
860US36562,36562,1280,449,693,113,246,128,99,544,120,54,57,146,17.76,11.42,70.52,75.2,23.1,1.63,0.03,0,0.03,59.55,9.2,21.65,9.06
860US36579,36579,1536,532,806,131,302,164,117,641,133,67,72,190,18.33,12.39,69.92,61.61,36.5,1.78,0.05,0,0.05,60.2,12.01,25.27,10.44
860US36578,36578,1736,559,1002,164,331,195,157,826,156,68,58,133,20.28,7.69,76.11,82.02,17.01,0.65,0.09,0,0.23,45.33,8.67,19.42,6.08
860US36527,36527,5530,2156,3376,433,939,489,443,2605,584,261,231,477,16.84,8.62,71.9,83.93,15.19,0.6,0.15,0.01,0.11,29.79,6.09,10.41,12.28
860US36567,36567,4918,1756,2824,404,882,497,382,2212,484,222,222,493,17.89,10.01,71.12,93.64,5.48,0.6,0.08,0.04,0.15,48.65,7.02,17.79,7.72
860US36551,36551,4355,1563,2508,351,775,441,339,1960,431,198,199,442,17.91,10.14,70.84,93.54,5.55,0.62,0.09,0.05,0.16,48.13,6.76,17.69,7.67
860US36526,36526,6683,2414,3843,492,1189,612,484,2962,704,313,270,753,16.4,11.26,69.48,71.61,27.76,0.42,0.09,0.01,0.11,30.64,7.49,15.96,10.83
860US36532,36532,12415,5188,6999,850,1937,1067,905,5104,1179,706,697,1941,15.88,15.64,63.56,86.52,12.85,0.28,0.15,0.01,0.19,29.9,7.16,12.78,13.43
860US36577,36577,495,158,264,35,94,49,33,205,51,22,19,69,16.51,14,67.47,57.39,42.21,0.25,0.02,0,0.13,33.21,9.57,23.62,7.87
860US36559,36559,662,212,353,47,126,66,44,275,68,30,25,93,16.51,14,67.47,57.39,42.21,0.25,0.02,0,0.13,33.21,9.57,23.62,7.87
860US36574,36574,1136,409,655,89,201,116,89,511,113,52,53,118,17.99,10.35,70.47,93.69,5.35,0.65,0.09,0.05,0.17,48.13,6.46,17.87,7.42
860US36576,36576,816,294,471,64,144,83,64,367,81,37,38,85,17.99,10.36,70.45,93.64,5.39,0.65,0.09,0.05,0.18,48.12,6.46,17.95,7.45
860US36580,36580,2452,964,1411,186,407,235,193,1051,270,125,115,298,17.45,12.15,67.06,90.63,8.1,0.66,0.1,0,0.53,45.94,7.21,21.74,11.11
860US36535,36535,8189,3367,4475,613,1296,757,594,3245,825,451,439,1316,16.5,16.07,62.92,83.62,15.85,0.22,0.08,0,0.24,40.64,9.47,14.18,12.73
860US36530,36530,2541,979,1511,164,366,231,186,1014,306,172,165,354,16.42,13.94,60.75,94.75,4.67,0.39,0.05,0,0.14,38.93,3.86,11.01,6.06
860US36533,36533,1132,473,624,70,158,91,79,444,102,66,71,221,15.05,19.55,59.34,83.77,15.75,0.19,0.15,0,0.13,24.87,5.85,11.03,8.32
860US36564,36564,942,393,520,58,132,76,66,369,85,55,59,184,15.05,19.55,59.34,83.77,15.75,0.19,0.15,0,0.13,24.87,5.85,11.03,8.32
860US36555,36555,382,178,219,25,56,31,27,145,43,25,25,62,15.09,16.19,59.18,91.72,7.75,0.25,0.1,0,0.19,38.9,10.92,12.59,17.73
860US36511,36511,205,95,118,13,30,17,14,78,23,14,14,33,15.09,16.19,59.18,91.72,7.75,0.25,0.1,0,0.19,38.9,10.92,12.59,17.73
860US36542,36542,2029,942,1162,130,299,164,143,772,227,135,135,329,15.09,16.19,59.18,91.72,7.75,0.25,0.1,0,0.19,38.9,10.92,12.59,17.73
860US36561,36561,1427,663,817,92,210,115,100,542,160,95,95,231,15.09,16.19,59.18,91.72,7.75,0.25,0.1,0,0.19,38.9,10.92,12.59,17.73
860US36547,36547,671,312,384,43,99,54,47,255,75,45,45,109,15.09,16.19,59.18,91.72,7.75,0.25,0.1,0,0.19,38.9,10.92,12.59,17.73
860US36536,36536,802,303,425,65,133,80,59,326,75,38,36,128,17.39,16.01,65.31,78.37,21.1,0.19,0.07,0,0.27,41.84,8.64,15.21,8.85
860US36549,36549,1747,674,1040,112,250,159,127,694,211,120,115,245,16.36,14.04,60.43,94.94,4.52,0.38,0.05,0,0.12,38.61,3.75,10.49,5.94
860US36027,36027,178,64,94,14,34,21,15,74,17,8,9,22,19.98,12.34,68.7,28.03,71.72,0.11,0.1,0.01,0.03,64.47,7.28,32.85,12.17
860US36053,36053,0,0,0,0,0,0,0,0,0,0,0,0,20.21,14.36,68.21,19.87,80.1,0.03,0,0,0,70.63,6.74,33.78,NA
860US36048,36048,0,0,0,0,0,0,0,0,0,0,0,0,15.58,15.71,62.96,82.35,17.14,0.35,0.13,0,0.03,52.16,7.69,21.28,NA
860US36016,36016,0,0,0,0,0,0,0,0,0,0,0,0,15.58,15.71,62.96,82.35,17.14,0.35,0.13,0,0.03,52.16,7.69,21.28,NA
860US36017,36017,0,0,0,0,0,0,0,0,0,0,0,0,15.58,15.71,62.96,82.35,17.14,0.35,0.13,0,0.03,52.16,7.69,21.28,NA
860US36311,36311,1486,562,823,97,251,139,95,594,153,77,86,229,15.76,15.38,63.38,82.84,16.64,0.34,0.14,0,0.05,52.22,7.37,20.49,8
