HEROP_ID,GEOID,TotPop,TotPopHh,TotVetPop,TotUnits,TotWrkE,WhiteP,BlackP,AmIndP,AsianP,PacIsP,OtherP,HispP,ChildrenP,Age15_24P,Und45P,Ovr65P,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age45_49,Age50_54,Age55_59,Age60_64,AgeOv65,AgeOv18,Age18_64,DisbP,NoHsP,VetP,NonRelFhhP,NonRelNfhhP,BedCnt,PntInTm,YrlyBedCnt,UnempP,PovP,MedInc,PciE,ForDqP,ForDqTot,GiniCoeff,EduP,HghRskP,HltCrP,RetailP,EssnWrkE,EssnWrkP,NoIntP,VacantP,MobileP,LngTermP,RentalP,UnitDens,AreaSqMi,AlcTot,AlcDens,AlcPerCap,DsmBlk,IntrBlkWht,IsoBlk,DsmHsp,IntrHspWht,IsoHsp,DsmAs,IntrAsWht,IsoAs,Ndvi,TotTracts,BupCtTmDr,BupCtTmBk,BupCtTmWk,MetCtTmDr,MetCtTmBk,MetCtTmWk,NalCtTmDr,NalCtTmBk,NalCtTmWk,BupAvTmDr,BupAvTmBk,BupAvTmWk,MetAvTmDr,MetAvTmBk,MetAvTmWk,NalAvTmDr,NalAvTmBk,NalAvTmWk,BupTmDrP,BupTmBkP,BupTmWkP,MetTmDrP,MetTmBkP,MetTmWkP,NalTmDrP,NalTmBkP,NalTmWkP,FqhcCtTmDr,FqhcAvTmDr,FqhcTmDrP,HospCtTmDr,HospAvTmDr,HospTmDrP,RxCtTmDr,RxAvTmDr,RxTmDrP,MhCtTmDr,MhAvTmDr,MhTmDrP,SutpCtTmDr,SutpAvTmDr,SutpTmDrP,OtpCtTmDr,OtpAvTmDr,OtpTmDrP,DrgRlDth,TotPcp,TotSp,PcpPer100k,SpPer100k,OpRxRt20,OdMortRt14,OdMortRt15,OdMortRt16,OdMortRt17,OdMortRt18,OdMortRt19,OdMortRt20,RcaUrbanP,RcaSubrbP,RcaRuralP,CenFlags,TotPop10,UrbPop10,RuralPop10,CenRuralP,DmySgrg,DmyBlckBlt,PrcNtvRsrv,SviTh1,SviTh2,SviTh3,SviTh4,SviSmryRnk,TtlPrPpr,FmlPrPpr,MlPrPpr,AapiPrPpr,BlckPrPpr,LtnxPrPpr,NtvPrPpr,WhtPrPpr,TtlPrAPpr,FmlPrAPpr,MlPrAPpr,AapiPrAPpr,BlckPrAPpr,LtnxPrAPpr,NtvPrAPpr,WhtPrAPpr,TtlPrPp,FmlPrPp,MlPrPp,AapiPrPp,BlckPrPp,LtnxPrPp,NtvPrPp,WhtPrPp,TtlPrAPp,FmlPrAPp,MlPrAPp,AapiPrAPp,BlckPrAPp,LtnxPrAPp,NtvPrAPp,WhtPrAPp,TtlJlPpr,FmlJlPpr,MlJlPpr,AapiJlPpr,BlckJlPpr,LtnxJlPpr,NtvJlPpr,WhtJlPpr,TtlJlAdmr,TtlJlPrtr,TtlJlPp,FmlJlPp,MlJlPp,AapiJlPp,BlckJlPp,LtnxJlPp,NtvJlPp,WhtJlPp,TtlJlAdm,TtlJlPrt
050US01001,1001,55200,54654,5071,23315,24124,76.88,19.14,0.29,1.03,0.06,2.61,2.77,0.24,13.03,58.83,14.58,3263,7579,3855,3337,21630,3874,3979,4131,2694,8050,41831,33781,19.3,11.31,12.28,1.34,11.96,0,0,0,4.2,15.4,29667,29372,7.45,42,0.46,9.28,21.32,10.8,8.93,10660,44.19,17.21,9.44,18.35,23.2,25.11,39.22,594.44,3,0,0,0.24,0.69,0.26,0.43,0.72,0.07,0.44,0.76,0.02,0.22,12,11,5,NA,1,0,NA,0,0,NA,14.96,49.26,NA,39.64,145.24,NA,40.97,154.1,NA,0.92,0.42,NA,0.08,0,NA,0,0,NA,9,23.81,0.75,10,15.27,0.83,12,6.36,1,10,16.06,0.83,6,32.59,0.5,1,39.64,0.08,54,21,19,38.04,34.42,98.3,10,10.8,12.5,12.2,13.2,9.2,11.6,0.58,0.42,0,NA,54571,31650,22921,0.42,0,1,0,0.36,0.58,0.59,0.37,0.44,502.84,81.34,935.78,NA,1182.23,NA,NA,339.78,236.31,86.77,389.91,NA,489.2,NA,NA,179.02,183,15,168,NA,87,NA,NA,93,86,16,70,NA,36,NA,NA,49,453.9,135.14,711.4,0,645.16,195.5,557.05,279.87,2145.69,266.84,165,25,127,0,48,2,0.83,76,780,97
050US01003,1003,208107,205093,19354,111945,93379,86.27,9.5,0.73,0.81,0,2.69,4.49,0.22,11.29,52.77,19.54,11609,26012,12707,10790,72200,13694,14636,14440,14851,40665,162430,121765,14,9.74,11.94,2.29,15.87,51,28,51,4.4,10.6,28632,31203,10.39,123.17,0.46,7.94,19.83,12.15,13.71,41899,44.87,13.82,29.77,11.68,19.84,26.38,70.42,1589.79,21,0.01,0,0.41,0.73,0.2,0.35,0.81,0.08,0.51,0.84,0.02,0.19,32,27,11,NA,4,NA,NA,1,NA,NA,16.69,52.06,NA,47.88,NA,NA,49.02,NA,NA,0.84,0.34,NA,0.12,NA,NA,0.03,NA,NA,26,20.29,0.81,26,17.58,0.84,30,7.37,0.94,19,25.9,0.59,23,24.04,0.72,4,47.88,0.12,257,119,204,57.18,98.03,65,17.7,19.6,17.5,16.6,16.6,14.5,27.4,0.34,0.22,0.44,NA,182265,105205,77060,0.42,0,0,0,0.22,0.2,0.44,0.34,0.22,618.44,78.14,1186.51,0,2281.6,0,0,458.76,353.5,105.19,614.58,0,1240.33,0,0,269.15,803,52,751,0,298,0,0,496,459,70,389,0,162,0,0,291,476.27,160.46,796.73,460.36,1266.4,624.73,220.75,369.36,11350.3,368.75,629,109,511,9,166,37.64,2.34,406,14990,487
050US01005,1005,25782,22882,1561,11937,8720,47.38,47.58,0.28,0.37,0,4.39,4.29,0.21,11.99,55.81,17.97,1390,3127,1434,1658,9871,1672,1780,1657,1651,4634,20346,15712,22.2,26.97,7.67,1.89,8.12,0,0,0,9.5,28.9,18138,18461,13.37,35.78,0.47,9.86,36.08,8.78,10.62,5100,58.49,32.61,23.05,29.19,34.44,38.6,13.49,885,3,0,0,0.22,0.43,0.51,0.3,0.48,0.06,0.38,0.51,0.01,0.23,9,0,NA,NA,0,NA,NA,0,NA,NA,64.97,NA,NA,81.58,NA,NA,68.08,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,8,14.21,0.89,6,22.62,0.67,8,7.51,0.89,6,21.45,0.67,6,22.26,0.67,0,81.58,0,17,14,3,54.3,11.64,22.8,9.9,12.2,12.4,12.8,14.6,5.7,7.6,0,0,1,NA,27457,8844,18613,0.68,0,1,0,0.98,0.92,0.86,0.99,1,902.36,NA,NA,NA,NA,NA,NA,NA,240.63,NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,690.04,113.19,1020.18,0,123.05,1199.4,5545.45,1150.23,4848.94,261.1,111,8,92,0,10,8,3.66,82,780,42
050US01007,1007,22527,20436,1278,9161,8099,76.65,22.28,0.04,0.16,0,0.87,2.43,0.21,13.34,56.45,16.25,1275,2467,1514,1491,8975,1813,1626,1494,1216,3661,17868,14207,16.7,16.79,7.15,1.85,18.3,0,0,0,7.5,14,22298,20199,13.13,75.67,0.43,9.33,34.24,13.47,9.15,5132,63.37,26.75,25.34,28.54,36.47,24.93,14.72,622.46,1,0,0,0.55,0.57,0.39,0.4,0.68,0.04,0.72,0.5,0,0.26,4,1,1,1,0,0,NA,0,0,NA,24.33,70.14,208.92,57.7,197.9,NA,53.64,197.38,NA,0.25,0.25,0.25,0,0,NA,0,0,NA,3,14.44,0.75,1,25.46,0.25,4,6.74,1,0,40.39,0,1,26.18,0.25,0,47.37,0,41,12,0,53.27,0,24.8,17.1,17.5,21.6,21.7,23,19.4,27.3,0,1,0,NA,22915,7252,15663,0.68,1,0,0,0.77,0.12,0.43,0.72,0.6,341.14,NA,NA,NA,NA,NA,NA,NA,59.04,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,502.71,134.93,710.23,0,655.38,997.51,0,411,9425.85,423.34,76,9,60,0,24,4,0,45,1425,64
050US01009,1009,57645,57102,3765,24222,21346,95.51,1.5,0.24,0.34,0.03,2.38,9.13,0.23,11.98,55.44,17.75,3485,7627,3717,3189,20845,3959,3988,3895,3613,10233,44177,33944,14.2,19.84,8.53,1.78,10.23,0,0,0,4.1,14.4,26509,22656,9.38,68.62,0.43,6.34,30.34,13.36,11.76,11991,56.17,23.9,14.95,25.22,29.72,21.37,37.56,644.83,2,0,0,0.45,0.83,0.03,0.39,0.81,0.15,0.26,0.9,0.01,0.26,9,3,0,NA,0,0,NA,2,0,NA,36.37,113.18,NA,46.48,167.98,NA,39.84,130.9,NA,0.33,0,NA,0,0,NA,0.22,0,NA,5,24.74,0.56,4,31.33,0.44,9,4.1,1,5,26.16,0.56,7,20.09,0.78,2,39.97,0.22,111,16,7,27.76,12.14,22.8,18.6,19.4,22.6,25.8,21.7,20.3,24.2,0,0.44,0.56,NA,57322,5760,51562,0.9,1,0,0,0.61,0.32,0.59,0.17,0.42,288.89,60.91,514.05,NA,1206.9,NA,NA,301.24,145.82,49.83,240.62,NA,NA,NA,NA,158.39,105,11,94,NA,7,NA,NA,97,53,9,44,NA,NA,NA,NA,51,367.77,82.88,539.89,0,1851.85,294.64,0,314.36,0,189.37,134,15,99,0,11,10,0,101,0,69
050US01011,1011,10352,9922,356,4526,3940,21.99,76.25,1.18,0.54,0,0.05,0.49,0.21,14.28,57.64,15.61,596,1174,772,706,4197,611,711,593,854,1616,8202,6586,14.4,24.77,4.34,2.51,5.05,0,0,0,11.1,31.4,21020,20346,17.42,25.5,0.52,9.77,46.85,6.45,6.47,2528,64.16,30.67,20.26,33.38,42.88,24.47,7.27,622.8,1,0,0,0.3,0.19,0.79,0.22,0.25,0.01,0.54,0.18,0.01,0.26,3,0,0,NA,0,NA,NA,0,0,NA,47.18,172.47,NA,75.48,NA,NA,74.23,272.7,NA,0,0,NA,0,NA,NA,0,0,NA,1,37.81,0.33,3,15.99,1,3,15.99,1,3,15.99,1,0,51.16,0,0,75.48,0,10,4,1,38.64,9.66,22,9.2,10.4,11.6,12,12,8.3,10.6,0,1,0,NA,10914,5307,5607,0.51,0,1,0,0.98,0.44,0.67,0.76,0.89,590.35,0,1018.38,NA,790.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,0,41,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473.86,984.18,486.18,0,501.36,0,0,69.01,13860.51,296.16,32,28,19,0,24,0,0,1,936,20
050US01013,1013,20025,19703,1174,10026,7885,52,45.22,0.01,1.15,0,1.61,0.33,0.23,11.81,54.74,19.01,1205,2567,1292,1073,7190,1168,1259,1460,1370,3806,15459,11653,17.7,15.42,7.6,2.94,20.4,0,0,0,6.7,23.5,19627,20430,16.37,30.89,0.47,7.44,33.8,12.97,11.24,4757,60.33,31,33.09,26.18,34.98,30.05,12.91,776.83,2,0,0,0.36,0.42,0.55,0.53,0.59,0.01,0.67,0.47,0.04,0.26,9,0,0,NA,0,NA,NA,0,NA,NA,54.44,221.63,NA,76.97,NA,NA,78.29,NA,NA,0,0,NA,0,NA,NA,0,NA,NA,0,50.79,0,8,13.65,0.89,8,10.15,0.89,8,11.56,0.89,0,59.31,0,0,76.97,0,16,9,7,44.94,34.96,35.1,11.4,12.8,15.1,14.7,16.7,10.2,14.3,0,0.22,0.78,NA,20947,6026,14921,0.71,0,1,0,0.85,0.91,0.64,0.63,0.87,1203.18,238.52,2326.79,0,2084.42,0,0,476.95,585.55,208.71,1024.48,0,1024.84,0,0,222.58,150,16,134,0,120,0,0,30,73,14,59,0,59,0,0,14,626.58,106.35,770.98,0,1170.51,591.72,0,439.81,12694.28,130.2,77,7,44,0,67,1,0,27,1560,16
050US01015,1015,115098,111986,9549,53682,48157,74.33,20.57,0.31,0.93,0.01,3.85,3.65,0.22,13.38,56.32,16.84,6562,14002,7773,7626,44261,7148,7810,7851,8078,19386,89902,70516,20.8,15.95,10.66,2.98,18.17,72,19,72,8.8,18.6,23036,24706,9.76,48.61,0.47,8.82,26.05,12.92,12.64,26181,54.37,21.22,16.11,14.72,28.52,30.53,88.6,605.86,7,0.01,0,0.44,0.54,0.39,0.42,0.69,0.09,0.6,0.66,0.03,0.23,31,29,17,6,24,5,NA,21,2,NA,11.61,36.39,120.36,20.27,69.87,NA,25.84,86.25,NA,0.94,0.55,0.19,0.77,0.16,NA,0.68,0.06,NA,25,16.49,0.81,29,12.91,0.94,31,5.68,1,29,12.49,0.94,27,14.12,0.87,24,20.27,0.77,172,70,129,60.82,112.08,97.9,14.9,16.1,15.8,22.1,17.2,17.5,24.5,0.68,0.29,0.03,NA,118572,78617,39955,0.34,0,0,0,0.79,0.83,0.65,0.65,0.83,1005.94,150.99,1904.61,0,2198.73,0,0,714.85,564.34,150.99,998.82,0,906.07,0,0,500.39,754,58,696,0,364,0,0,390,423,58,365,0,150,0,0,273,669.59,199.24,1319.39,200,1268.58,570.13,0,557.88,18595.21,631.94,498,76,478,1.8,210,15,0,301,13830,470
050US01017,1017,33826,33314,2209,16981,14786,57.6,39.38,0.29,1.2,0,1.54,2.27,0.21,13.26,52.99,18.95,1950,3827,1960,2525,12149,2281,2367,2638,2205,6409,26820,20411,16.7,18.6,8.24,2.61,15.22,0,0,0,5,16.6,22015,22827,17.56,80,0.46,6.97,36.07,11.85,10.42,8837,59.77,28.07,20.41,14,33,32.24,28.46,596.56,2,0,0,0.26,0.51,0.44,0.5,0.52,0.05,0.53,0.62,0.03,0.23,9,8,4,1,0,0,NA,1,0,NA,13.09,39.23,187.22,42.4,173.76,NA,38.8,136.63,NA,0.89,0.44,0.11,0,0,NA,0.11,0,NA,7,16.93,0.78,7,15.19,0.78,9,6.26,1,1,36.44,0.11,4,32.93,0.44,0,42.4,0,35,17,11,50.26,32.52,60.5,10.3,11.4,13.4,13.8,13.9,13.5,14.2,0,0.78,0.22,NA,34215,17399,16816,0.49,0,1,0,0.69,0.66,0.46,0.79,0.74,928.2,208.41,1683.95,0,1294.21,0,0,714.47,426.97,190.29,675.48,0,412.81,0,0,467.81,200,23,177,0,116,0,0,84,92,21,71,0,37,0,0,55,696.16,91.15,1111.96,0,771.98,223.71,0,542.17,2915.48,224.27,149,10,116,0,69,1,0,63,624,48
050US01019,1019,25853,25579,2086,16531,9805,92.82,4.9,0.91,0.21,0,1.15,1.54,0.2,11.55,48.84,21.74,1204,2990,1603,1383,8432,1749,1893,2047,1917,5621,20567,14946,20,19.77,10.14,1.5,8.34,0,0,0,5.6,15,22353,23356,8.78,41,0.45,7.48,39.59,15.78,11.01,6414,65.42,24.97,35.84,29.19,29.16,21.04,29.87,553.52,NA,NA,NA,0.24,0.9,0.06,0.22,0.9,0.02,0.54,0.94,0,0.23,6,5,2,2,0,0,NA,2,0,NA,16.36,58.16,170.89,46.98,189.26,NA,35.24,129.71,NA,0.83,0.33,0.33,0,0,NA,0.33,0,NA,5,18.52,0.83,6,14.1,1,6,8.27,1,6,14.1,1,6,11.3,1,0,46.98,0,43,9,9,34.81,34.81,50.6,16.2,18.5,19.9,20,21.1,21.7,21.7,0,0.5,0.5,NA,25989,3707,22282,0.86,0,0,0,0.69,0.45,0.28,0.27,0.45,683.34,239.6,1122.05,0,1441.68,0,0,661.36,476.46,226.99,723.1,0,1310.62,0,0,445.4,109,19,90,0,11,0,0,98,76,18,58,0,10,0,0,66,785.13,227.07,1275.96,0,1179.55,829.88,0,737.83,18943.53,502.48,125,18,102,0,9,2,0,109,3016,80
