HEROP_ID,GEOID,TotPop,TotUnits,Age18_64,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age45_49,Age50_54,Age55_59,Age60_64,AgeOv65,Age15_24P,Und45P,Ovr65P,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,NoHsP,ChildrenP,PovP,UnempP,VacantP
050US01001,01001,34222,12732,20752,2679,5639,2895,2216,15732,2042,1845,1608,1305,3372,14.93,70.28,9.85,79.32,20,0.67,0.21,0.33,0.02,0.12,29.97,29.51,15.65,5.38,7.12
050US01003,01003,98280,50933,57868,6753,14355,7321,5468,41367,5783,5031,4912,5200,14879,13.01,63.57,15.14,86.04,12.86,1.04,0.64,0.21,0.02,0.23,26.78,25.98,14.34,5.44,27.27
050US01005,01005,25417,10705,14227,1885,4270,2093,1586,10962,1253,1081,1114,1126,3726,14.47,67.34,14.66,55.55,44.04,0.49,0.18,0.17,0,0.06,44.36,29.37,25.19,7.52,13.89
050US01007,01007,16576,6404,9682,1171,2707,1476,1222,7430,1028,738,709,692,2101,16.28,68.22,12.67,78.74,20.98,0.24,0.15,0.05,0.01,0.06,48.19,28.92,21.18,6.45,10.29
050US01009,01009,39248,15790,24096,2648,5533,3083,2715,17490,2516,2197,1927,1821,5116,14.77,65.41,13.04,97.83,1.33,0.73,0.34,0.08,0,0.42,39.46,25.57,15.26,5.05,7.26
050US01011,01011,11042,4458,5888,948,1879,875,695,4678,535,420,414,395,1773,14.22,67.97,16.06,27.5,72.32,0.59,0.07,0.08,0.01,0.02,50.96,30.62,36.52,8.1,15.05
050US01013,01013,21892,8745,11621,1639,3817,1793,1216,8796,1068,936,943,1013,3680,13.74,65.1,16.81,59.61,40.19,0.3,0.11,0.09,0,0.01,47.25,30.11,31.48,14.11,9.26
050US01015,01015,116034,46753,72679,7379,16407,10179,9980,55407,6397,5458,5396,5213,14377,17.37,68.25,12.39,80.04,18.6,1.1,0.26,0.66,0.09,0.36,32.62,24.97,15.66,8.49,8.06
050US01017,01017,36876,14910,21025,2418,5384,3010,2515,15653,1990,1690,1781,1741,6219,14.98,63.61,16.86,63.93,35.85,0.34,0.11,0.04,0,0.07,45.75,26.12,18.8,6.83,7.54
050US01019,01019,19543,9379,11961,1132,2650,1529,1288,8429,1187,1141,1080,1034,2890,14.41,62.48,14.79,92.89,6.61,0.29,0.26,0.12,0,0.12,46.55,24.01,17.59,7.56,20.4
050US01021,01021,32458,13883,19266,2199,4907,2553,2138,14141,1960,1641,1656,1449,4505,14.45,65.46,13.88,88.26,11.32,0.36,0.19,0.12,0,0.11,43.42,26.76,17.11,5.97,12.74
050US01023,01023,16018,6789,9091,1136,2628,1484,983,6847,947,813,731,697,2219,15.4,66.24,13.85,55.64,44.18,0.33,0.06,0.06,0.01,0.04,45.71,29.39,30.19,11.34,15.35
050US01025,01025,27240,10853,15508,1948,4714,2456,1858,11805,1516,1351,1216,1113,3577,15.84,67.79,13.13,57,42.68,0.38,0.17,0.12,0,0.03,39.74,29.94,25.88,7.7,12.41
050US01027,01027,13252,5608,7702,788,1875,1056,913,5552,783,703,651,668,2232,14.86,61.99,16.84,83.34,16.34,0.2,0.17,0.08,0.02,0.05,46.18,25.04,17.44,4.92,10.79
050US01029,01029,12730,5232,7713,854,1855,1011,892,5592,836,662,608,618,1705,14.95,65.21,13.39,94.93,4.61,0.3,0.16,0.09,0.01,0.2,50.22,26.02,15.3,5.48,8.72
050US01031,01031,40240,16951,24603,2694,5698,3191,2749,18276,2401,2092,1961,1808,5310,14.76,66.27,13.2,81.27,17.19,1.17,0.41,0.73,0.06,0.35,32.81,25.66,15.54,6.15,9.98
050US01033,01033,51666,21812,31530,3406,7030,3590,3471,22170,3214,2859,2738,2661,7588,13.67,63.11,14.69,82.88,16.58,0.36,0.27,0.18,0,0.09,34.83,24.29,14.56,6.98,7.87
050US01035,01035,14054,6207,7706,943,2272,1112,834,5699,724,617,651,718,2430,13.85,63.43,17.29,57.37,42.16,0.58,0.31,0.09,0.01,0.07,47.33,27.88,29.74,11.53,15.27
050US01037,01037,11063,5113,6579,790,1571,882,779,4768,611,550,579,592,1602,15.01,64.44,14.48,65.46,34.19,0.16,0.31,0.04,0,0.01,46.14,26.05,18.2,5.73,21.44
050US01039,01039,36478,16178,20940,2320,5286,2722,2180,14856,2014,1901,1918,1882,6301,13.44,61.58,17.27,86.49,13.1,0.36,0.2,0.13,0.01,0.08,42.71,25.32,22.04,5.28,10.72
