"GEOID","TotPop","TotUnits","Age18_64","Age0_4","Age5_14","Age15_19","Age20_24","Age15_44","Age45_49","Age50_54","Age55_59","Age60_64","AgeOv65","Age15_24P","Und45P","Ovr65P","WhiteP","BlackP","HispP","AmIndP","AsianP","PacIsP","OtherP","DisbP","NoHsP","ChildrenP","PovP","UnempP","VacantP"
"01001",43671,17662,26726,3023,7356,3262,2344,19015,3028,2607,2291,1900,4451,12.84,67.31,10.19,80.65,17.11,1.4,0.44,0.46,0.03,1.33,40,21.28,28.61,10.92,4.88,9.39
"01003",140415,74285,84392,8621,19630,9463,7092,55483,10234,9375,8276,7093,21703,11.79,59.63,15.46,87.15,10.29,1.76,0.58,0.38,0.03,1.61,39,17.98,24.44,10.15,4.28,25.51
"01005",29038,12461,17782,1788,4209,2149,1928,12676,1958,1970,1424,1140,3873,14.04,64.31,13.34,51.27,46.32,1.65,0.45,0.29,0.03,1.67,47,35.35,25.43,26.8,5.66,16.47
"01007",20826,8345,13127,1449,2984,1407,1422,9254,1413,1312,1093,908,2413,13.58,65.72,11.59,76.66,22.2,1.01,0.24,0.08,0.01,0.82,49,36.81,25.38,20.61,6.24,11.07
"01009",51024,21158,31518,3528,7295,3382,3035,21323,3578,3332,2922,2488,6558,12.58,63,12.85,95.08,1.19,5.33,0.49,0.14,0.02,3.11,47,29.55,25.38,11.74,4.85,8.95
"01011",11714,4727,7113,737,1752,891,880,5200,807,698,529,448,1543,15.12,65.64,13.17,25.25,73.11,2.75,0.38,0.18,0.02,1.08,45,39.52,26.11,33.48,8.56,15.68
"01013",21399,9957,12139,1358,3238,1802,1188,8367,1547,1338,1101,944,3506,13.97,60.58,16.38,58.38,40.81,0.67,0.21,0.16,0,0.44,57,32.24,26.89,24.62,10.63,15.66
"01015",112249,51322,69921,6926,14879,8180,8129,47565,8325,7645,5921,5116,15872,14.53,61.8,14.14,78.88,18.54,1.56,0.4,0.56,0.07,1.62,48,26.1,23.57,16.11,6.59,11.72
"01017",36583,16256,21638,2430,5079,2480,2188,14537,2532,2437,1984,1656,5928,12.76,60.26,16.2,60.88,38.11,0.77,0.13,0.19,0,0.69,51,35.83,24.65,17.04,6.52,10.67
"01019",23988,14025,14850,1433,3018,1416,1287,9326,1666,1760,1559,1408,3818,11.27,57.43,15.92,92.83,5.54,0.85,0.31,0.14,0,1.17,48,36.48,22.18,15.56,3.87,30.7
"01021",39593,17651,24331,2734,5734,2710,2586,16778,2711,2544,2166,1829,5097,13.38,63.76,12.87,86.71,10.61,2.91,0.28,0.18,0.02,2.22,47,33.81,25.67,15.7,4.3,13.39
"01023",15922,7839,9442,1103,2277,1161,863,6192,1108,1103,978,829,2332,12.71,60.12,14.65,55.14,44.13,0.67,0.16,0.04,0,0.53,58,35.05,26.05,24.51,8.77,18.83
"01025",27867,12631,16292,2080,4384,2162,1552,11382,1810,1665,1482,1300,3764,13.33,64.04,13.51,55.94,43.02,0.65,0.22,0.16,0,0.65,48,29.18,28.03,22.59,8.93,16.25
"01027",14254,6612,8498,877,1900,977,790,5668,941,946,801,762,2359,12.4,59.25,16.55,82.62,15.7,1.77,0.32,0.1,0.02,1.27,49,34.01,23.83,17.11,5.47,12.81
"01029",14123,6189,8755,867,1979,966,780,5771,1026,983,852,712,1933,12.36,61.01,13.69,94.74,3.7,1.4,0.3,0.14,0.01,1.12,49,37.09,24.32,13.95,5.31,9.68
"01031",43615,19837,26638,2718,6131,3115,2712,18071,3095,2997,2361,2071,6171,13.36,61.72,14.15,77.11,18.37,2.71,0.91,0.95,0.09,2.66,43,26.85,24.78,14.7,5.69,12.18
"01033",54984,24980,33414,3358,7463,3645,3069,21985,3889,3770,3233,2793,8493,12.21,59.66,15.45,81.52,16.62,1.12,0.37,0.24,0.02,1.25,48,26.67,23.78,13.96,5.16,10.08
"01035",14089,7265,8218,875,2117,1022,799,5454,995,977,791,657,2223,12.92,59.95,15.78,55.4,43.55,0.72,0.2,0.11,0.05,0.73,54,32.33,25.89,26.59,9.81,20.28
"01037",12202,6142,7550,759,1642,821,716,5081,890,799,676,594,1761,12.6,61.32,14.43,63.94,34.19,1.29,0.32,0.04,0.01,1.51,59,34.29,23.69,14.93,7.08,23.77
"01039",37631,18578,22031,2223,5055,2571,2054,14461,2565,2495,2095,1997,6740,12.29,57.77,17.91,86.19,12.35,0.78,0.48,0.17,0.01,0.8,55,31.57,23.54,18.45,7.62,15.81
"01041",13665,6644,7955,803,1956,953,746,5297,942,948,736,645,2338,12.43,58.95,17.11,73.82,24.79,0.64,0.37,0.11,0.01,0.9,57,39.92,24.68,22.11,5.37,16.06
"01043",77483,35233,47351,4943,10509,5447,4722,32131,5337,5155,4272,3794,11342,13.12,61.41,14.64,96.81,0.96,2.18,0.37,0.18,0.03,1.68,45,29.59,24.25,13,4.13,12.85
"01045",49129,21779,30275,3686,7207,3620,3235,21736,3200,2988,2396,2109,5807,13.95,66.41,11.82,74.38,20.36,3.34,0.6,1.08,0.15,3.58,41,22.22,26.56,15.09,7.65,13.32
"01047",46365,20450,26684,3415,7415,3964,2839,18958,3139,2795,2181,2034,6428,14.67,64.25,13.86,35.58,63.26,0.63,0.11,0.35,0.01,0.71,52,29.66,28.58,31.05,11.16,12.76
"01049",64452,28051,39671,4379,8857,4427,4164,27364,4310,4300,3420,2940,8882,13.33,62.99,13.78,92.55,1.68,5.55,0.8,0.19,0.06,4.77,50,36.19,24.67,15.39,5.13,10.47
"01051",65874,25733,41879,4370,9683,4543,4116,29788,4806,4348,3148,2660,7071,13.14,66.55,10.73,77.02,20.64,1.22,0.43,0.36,0.03,1.54,35,22.42,25.69,10.24,4.97,11.64
"01053",38440,16544,23934,2390,5276,2750,2571,16421,2734,2467,2080,1836,5236,13.84,62.66,13.62,64.4,30.79,0.99,3.01,0.24,0.03,1.56,48,31.48,24.12,20.87,7,13.58
"01055",103459,45959,62245,6611,13635,7143,6253,41707,7375,7207,5519,4845,16560,12.95,59.88,16.01,82.87,14.68,1.7,0.33,0.42,0.03,1.7,49,25.94,23.83,15.7,5.96,9.45
"01057",18495,8472,11095,1113,2461,1350,1016,7271,1335,1261,1093,985,2976,12.79,58.64,16.09,86.92,11.93,0.82,0.21,0.15,0.01,0.79,51,33.91,23.92,17.32,7.67,11.56
