"GEOID","TotPop","TotVetPop","TotUnits","WhiteP","BlackP","AmIndP","AsianP","PacIsP","OtherP","HispP","A15_24P","Und45P","Ovr65P","Age0_4","Age5_14","Age15_19","Age20_24","Age15_44","Age45_49","Age50_54","Age55_59","Age60_64","AgeOv65","Age18_64","DisbP","NoHsP","VetP","UnempP","PovP","MedInc","PciE","GiniCoeff","VacP","ChildrenP"
"20089",3077,387,2046,97.3,0.16,0.65,0.19,0,1.69,1.01,8.61,39.49,28.05,149,310,150,115,756,209,253,297,240,863,1637,14.5,8.14,15.4,2.98,12.55,21153,22371,0.4119,29.23,18.75
"20091",544179,34329,226268,86.01,4.34,0.37,4.18,0.05,5.04,4.41,11.45,62.39,10.9,39180,80768,34414,27890,219576,42210,39629,35085,28409,59322,341501,8.1,4.27,8.51,4.91,6.43,37729,38845,0.4347,5.13,26.34
"20093",3977,235,1565,87.3,0.58,0.98,0.3,0.03,10.81,17.22,13.78,61.23,13.45,309,662,340,208,1464,281,263,248,215,535,2255,14,22.91,8.52,2.76,9.7,26614,21298,0.3501,11.57,29.85
"20095",7858,841,3819,96.86,0.18,0.6,0.46,0.03,1.88,1.3,11.31,50.55,19.98,457,1075,530,359,2440,597,680,553,486,1570,4388,14.6,11.53,14.07,4.08,12.4,25859,23870,0.3801,14.82,24.18
"20097",2553,213,1232,95.61,0.67,0.94,0.63,0.04,2.12,2,16.02,53.31,18.88,132,293,247,162,936,166,189,204,151,482,1521,16.6,9.2,10.76,4.41,13.44,22438,23136,0.4398,13.64,21.54
"20099",21607,1795,10102,88.05,4.67,2.16,0.36,0.02,4.75,2.29,13.25,55.4,16.6,1498,2826,1584,1280,7646,1647,1615,1446,1342,3587,12758,17.2,10.62,10.99,7.05,16.58,21853,21509,0.454,12.5,24.35
"20101",1750,157,974,95.2,0.46,0.8,0.23,0.06,3.26,2.06,9.54,48.74,21.09,86,233,109,58,534,118,140,145,125,369,987,14.8,10.41,12.29,2.78,8.71,27112,27432,0.4341,22.07,22.51
"20103",76227,9584,28670,83.8,9.41,0.77,1.27,0.13,4.63,3.68,11.93,61.27,11.05,5187,10785,4926,4166,30735,6051,5939,5100,4004,8426,48654,13.2,8.64,17.37,6.98,9.6,29041,26733,0.4059,8.73,25.12
"20105",3241,395,1872,97.44,0.28,0.52,0.19,0,1.57,1.36,8.89,48.04,20.33,209,429,189,99,919,228,297,277,223,659,1802,15.4,8.39,16.16,5.17,12.37,25549,23939,0.4154,22.06,24.07
"20107",9656,966,5364,96.39,0.45,0.65,0.31,0.06,2.14,1.16,10.1,50.23,19.34,539,1312,586,389,2999,769,709,724,737,1867,5549,18.5,11.21,13.14,6.74,10.12,24289,26860,0.4635,20.84,23.2
"20109",2756,217,1437,96.04,0.76,0.47,0.36,0,2.36,1.81,10.12,50.18,20.75,151,364,175,104,868,202,241,203,155,572,1555,13.3,8.28,10.14,3.14,9.86,26290,25608,0.4176,10.51,22.82
"20111",33690,2152,15228,83.53,2.43,0.69,2.32,0.05,10.98,11.87,20.18,63.32,12.51,2344,4278,2754,4046,14709,2133,2303,2054,1656,4213,21537,11.9,12.96,8.25,6.61,20.69,19818,19421,0.419,13.34,23.57
"20113",29180,1895,12727,95.14,1.01,0.38,0.5,0.07,2.9,2.05,12.73,53.87,18.3,1818,3867,1953,1763,10033,2104,2312,2068,1639,5339,16983,11.4,12.2,8.47,3.13,8.07,26284,27161,0.4031,9.42,23.5
"20115",12660,979,5948,96,0.82,0.55,0.21,0.06,2.35,1.4,13.65,50.48,20.86,677,1617,960,768,4097,949,1007,885,787,2641,7153,14.2,10.83,10.07,5.47,11.62,23547,21827,0.3761,16.44,22.64
"20117",10117,896,4893,97.35,0.27,0.33,0.23,0.03,1.8,1.06,9.77,49.78,21.09,655,1305,567,421,3076,772,840,773,562,2134,5647,12.2,8.6,11.6,3,12.31,23805,22606,0.4041,11.63,23.09
"20119",4575,390,1989,92.72,0.68,0.77,0.42,0,5.42,8.11,12.2,58.21,17.16,340,734,358,200,1589,306,320,295,206,785,2462,11,13.62,11.83,3.64,9.51,25130,25644,0.4048,11.31,29.03
"20121",32787,2419,13176,95.24,1.3,0.59,0.35,0.03,2.5,1.36,11.21,58.01,13.08,2140,5175,2285,1389,11704,2817,2683,2196,1785,4287,19657,12,6.66,10.15,6.55,8.96,31081,28019,0.3957,7.76,26.97
"20123",6373,453,3295,97.98,0.2,0.38,0.3,0.08,1.07,0.69,11.64,49.29,21.04,378,757,450,292,2006,457,503,479,452,1341,3665,13.2,7.93,9.02,1.53,7.03,24894,25789,0.4058,17.33,21.45
"20125",35471,2916,16595,83.34,5.8,3.35,0.58,0.11,6.82,3.19,13.71,55.84,17.36,2437,4542,2701,2161,12828,2486,2566,2381,2075,6156,20916,17.9,12.68,10.9,10.06,17.43,21834,21696,0.4441,14.85,23.68
"20127",5923,729,3207,96.02,0.42,0.47,0.24,0.02,2.84,2.16,10.11,46.58,22.32,307,728,352,247,1724,482,499,472,389,1322,3329,15.1,8.79,15.82,4.56,8.04,23675,24528,0.4229,21.86,21.48
"20129",3233,194,1473,87.88,0.43,1.05,1.86,0.15,8.63,11.63,12.12,56.82,16.95,214,505,246,146,1118,236,236,210,166,548,1812,13.4,18.17,8.18,2.13,10.01,25017,22287,0.415,17.24,27
"20131",10178,693,4560,97.29,0.56,0.46,0.15,0.04,1.5,0.67,10.31,52.95,20.13,663,1503,687,362,3223,788,775,643,534,2049,5462,11.3,10.43,9.18,1.73,12.12,24716,23926,0.4288,11.27,26.2
