"","marks","mx","my"
"1","MOUD - Naltrexone",405713.265096706,4569403.75418326
"2","MOUD - Methadone",389965.897531972,4546175.97138199
"3","MOUD - Naltrexone",390492.47023809,4648045.81326223
"4","MOUD - Buprenorphine",328673.448931578,4669784.77913617
"5","MOUD - Naltrexone",258338.741328291,4633241.44483264
"6","MOUD - Buprenorphine",426250.908477215,4602714.69535203
"7","MOUD - Buprenorphine",289646.978659702,4589781.3618222
"8","MOUD - Buprenorphine",398858.26874778,4678642.63100585
"9","MOUD - Naltrexone",415388.621660809,4559515.1001918
"10","MOUD - Buprenorphine",244480.412505383,4633810.05363569
"11","MOUD - Buprenorphine",433845.380196293,4536481.68959116
"12","MOUD - Buprenorphine",359484.238913261,4677705.3462002
"13","MOUD - Buprenorphine",354503.447076181,4650147.00511124
"14","MOUD - Buprenorphine",284003.533968521,4227685.43836272
"15","MOUD - Naltrexone",383547.425306732,4660570.95591212
"16","MOUD - Buprenorphine",349079.926926263,4664570.45632604
"17","MOUD - Methadone",300986.671107486,4590663.42956674
"18","MOUD - Buprenorphine",245012.674711801,4251948.01637398
"19","MOUD - Buprenorphine",439088.619032136,4554989.62721518
"20","MOUD - Naltrexone",419295.772442228,4637736.1803899
"21","MOUD - Buprenorphine",376868.01474018,4410984.04082474
"22","MOUD - Buprenorphine",401829.123677431,4561759.66528291
"23","MOUD - Buprenorphine",430225.119899247,4630569.17294341
"24","MOUD - Buprenorphine",396289.215269018,4578405.59995022
"25","MOUD - Methadone",344102.980255886,4676278.67358942
"26","MOUD - Naltrexone",375580.036077362,4635322.35047816
"27","MOUD - Methadone",398236.014952292,4572181.16622236
"28","MOUD - Buprenorphine",411468.034106967,4583801.84315354
"29","MOUD - Naltrexone",370501.485980581,4656011.18209285
"30","MOUD - Buprenorphine",419365.702149429,4655129.60080434
"31","MOUD - Naltrexone",386408.806862785,4675189.55530463
"32","MOUD - Buprenorphine",376726.705956721,4701979.16240847
"33","MOUD - Methadone",246730.432937768,4631853.82341021
"34","MOUD - Buprenorphine",384829.239615642,4614975.11940077
"35","MOUD - Methadone",382796.795357588,4573861.47380027
"36","MOUD - Buprenorphine",401815.429915765,4641909.20888168
"37","MOUD - Buprenorphine",360782.742605197,4669273.93148595
"38","MOUD - Buprenorphine",356615.042600135,4670304.81050979
"39","MOUD - Buprenorphine",375239.715764521,4641148.05910798
"40","MOUD - Buprenorphine",366583.990384912,4630608.92788668
"41","MOUD - Buprenorphine",418132.828471836,4661376.59706157
"42","MOUD - Naltrexone",302389.244623113,4592022.64276586
"43","MOUD - Buprenorphine",241022.958308578,4254606.74034863
"44","MOUD - Buprenorphine",342512.949890917,4687677.12207123
"45","MOUD - Buprenorphine",430138.008851939,4672026.96481724
"46","MOUD - Methadone",431068.188818746,4653310.80781773
"47","MOUD - Naltrexone",391039.452960982,4546908.89519529
"48","MOUD - Naltrexone",408488.530776212,4608561.03143817
"49","MOUD - Naltrexone",377050.326668169,4658449.48178062
"50","MOUD - Methadone",430612.79185974,4696534.96749024
"51","MOUD - Buprenorphine",305451.356361676,4581641.43849907
"52","MOUD - Buprenorphine",343286.732860447,4176064.19947515
"53","MOUD - Buprenorphine",227568.098279266,4296051.98125185
"54","MOUD - Buprenorphine",349642.652822161,4677177.93817479
"55","MOUD - Buprenorphine",239128.300611448,4291618.41899631
"56","MOUD - Methadone",395826.785285471,4635976.48144062
"57","MOUD - Buprenorphine",427047.519282572,4600418.67950286
"58","MOUD - Buprenorphine",406911.933686471,4639303.33343568
"59","MOUD - Naltrexone",320078.336292602,4568430.55637461
"60","MOUD - Methadone",408586.405099096,4696767.73189951
"61","MOUD - Naltrexone",440533.676208247,4622605.57817219
"62","MOUD - Naltrexone",369536.734813267,4561022.29594947
"63","MOUD - Buprenorphine",359580.690751784,4688647.70015093
"64","MOUD - Buprenorphine",337981.179952894,4645143.2311256
"65","MOUD - Naltrexone",415725.519311907,4652025.99330166
"66","MOUD - Buprenorphine",360389.684526133,4526180.4301881
"67","MOUD - Naltrexone",412748.923025101,4650477.39527792
"68","MOUD - Buprenorphine",245955.887524925,4257157.25972801
"69","MOUD - Buprenorphine",340389.527452092,4664774.29253781
"70","MOUD - Buprenorphine",370822.772587099,4699658.96175089
"71","MOUD - Buprenorphine",335105.787920386,4182932.37555899
"72","MOUD - Buprenorphine",365753.921252301,4674705.28679794
"73","MOUD - Buprenorphine",452283.53654662,4614479.75296742
"74","MOUD - Naltrexone",432860.861130127,4622647.58654781
"75","MOUD - Buprenorphine",421008.493995978,4657877.25023343
"76","MOUD - Methadone",419568.27065473,4662706.50450955
"77","MOUD - Buprenorphine",351067.671121395,4198620.13411948
"78","MOUD - Methadone",290188.221610105,4582109.70164073
"79","MOUD - Buprenorphine",414397.57988746,4703779.8310498
"80","MOUD - Buprenorphine",406230.509743588,4597607.10284397
"81","MOUD - Buprenorphine",390600.736860586,4657767.98507293
"82","MOUD - Buprenorphine",295082.980956898,4585124.51308172
"83","MOUD - Buprenorphine",364792.273354402,4647641.66302834
"84","MOUD - Methadone",347843.48304898,4207373.26551197
"85","MOUD - Buprenorphine",378158.198876697,4673911.9670513
"86","MOUD - Buprenorphine",437802.256237676,4543039.08249471
"87","MOUD - Buprenorphine",273827.11264286,4225030.95032484
"88","MOUD - Buprenorphine",375718.083835092,4630758.44557705
"89","MOUD - Methadone",409527.022992991,4568732.12560191
"90","MOUD - Buprenorphine",373932.729788278,4688114.82107611
"91","MOUD - Buprenorphine",232549.413274969,4288324.13172961
"92","MOUD - Buprenorphine",361868.216422604,4613914.59059032
"93","MOUD - Buprenorphine",343101.421048891,4656291.57618971
"94","MOUD - Buprenorphine",362349.478586571,4663945.82096665
"95","MOUD - Buprenorphine",331327.315690766,4483066.53818536
"96","MOUD - Buprenorphine",400125.990232205,4575631.01140519
"97","MOUD - Buprenorphine",368788.800218443,4575390.8280986
"98","MOUD - Buprenorphine",410634.953069179,4593644.15493429
"99","MOUD - Naltrexone",450517.6403504,4591885.50617859
"100","MOUD - Buprenorphine",354588.095168754,4636494.65312543
"101","MOUD - Buprenorphine",226100.082942143,4290310.80201142
"102","MOUD - Methadone",441250.424505524,4593607.38525765
"103","MOUD - Buprenorphine",351125.120211343,4671921.89651007
"104","MOUD - Buprenorphine",365203.474229178,4521792.1916971
"105","MOUD - Buprenorphine",387188.573370275,4616548.88880524
"106","MOUD - Buprenorphine",379891.764154136,4642785.82884979
"107","MOUD - Buprenorphine",398299.320478992,4679489.25664594
"108","MOUD - Methadone",401588.551911165,4562041.89528966
"109","MOUD - Naltrexone",416487.505857741,4555202.34422206
"110","MOUD - Buprenorphine",285103.290114707,4229574.69411478
"111","MOUD - Buprenorphine",407184.161631317,4696993.90360253
"112","MOUD - Buprenorphine",395592.567322763,4590035.49677912
"113","MOUD - Methadone",374256.659946904,4640252.2322212
"114","MOUD - Buprenorphine",245764.049235773,4285246.02471806
"115","MOUD - Buprenorphine",411080.602524036,4602758.04673083
"116","MOUD - Buprenorphine",439659.538748337,4621486.1399905
"117","MOUD - Methadone",412918.978921374,4665663.1406903
"118","MOUD - Buprenorphine",371197.295747379,4553859.73743818
"119","MOUD - Buprenorphine",326855.428672343,4691993.05682755
"120","MOUD - Buprenorphine",349904.727752084,4680056.455283
"121","MOUD - Buprenorphine",359857.059540302,4521612.63907746
"122","MOUD - Buprenorphine",374583.919873013,4685492.44470222
"123","MOUD - Naltrexone",401580.970318689,4591369.76171464
"124","MOUD - Buprenorphine",403889.264905995,4654238.02680314
"125","MOUD - Naltrexone",250828.476126181,4254861.10107882
"126","MOUD - Buprenorphine",364712.068066496,4527519.57789767
"127","MOUD - Naltrexone",289225.199478217,4587765.33443689
"128","MOUD - Buprenorphine",431036.315759387,4623776.53237748
"129","MOUD - Buprenorphine",432876.925225485,4601452.18268257
"130","MOUD - Naltrexone",447690.247165327,4641124.49331046
"131","MOUD - Naltrexone",248582.335777813,4251898.3529561
"132","MOUD - Buprenorphine",447303.798021178,4612289.45365403
"133","MOUD - Buprenorphine",373826.021221122,4700330.42463869
"134","MOUD - Buprenorphine",346603.239304609,4206059.20722173
"135","MOUD - Methadone",258257.504804795,4636726.18849327
"136","MOUD - Buprenorphine",436623.67772592,4645062.87658138
"137","MOUD - Naltrexone",386035.143138356,4555613.59119946
"138","MOUD - Buprenorphine",401271.151891262,4678856.96093198
"139","MOUD - Naltrexone",383427.943942548,4704861.35449855
"140","MOUD - Naltrexone",359454.547502956,4689801.29258075
"141","MOUD - Buprenorphine",435485.15101217,4649806.76452593
"142","MOUD - Buprenorphine",397170.696129589,4659961.12976207
"143","MOUD - Naltrexone",370495.120811138,4672855.54440541
"144","MOUD - Buprenorphine",428982.504127229,4607487.12685736
"145","MOUD - Buprenorphine",374744.692791088,4680966.60846462
"146","MOUD - Methadone",300810.510200346,4479526.50713872
"147","MOUD - Buprenorphine",361919.231546711,4521469.18703605
"148","MOUD - Methadone",406427.714042435,4652595.2419854
"149","MOUD - Buprenorphine",369214.454402082,4577436.21612894
"150","MOUD - Buprenorphine",327771.32494428,4641566.54524947
"151","MOUD - Naltrexone",413578.705770168,4611136.06751901
"152","MOUD - Buprenorphine",324715.038440926,4583932.46937541
"153","MOUD - Methadone",395244.066194815,4634535.28673835
"154","MOUD - Naltrexone",429469.924907516,4638805.41911608
"155","MOUD - Buprenorphine",241285.441754677,4283952.2858965
