zip,real_bup,real_meth,real_nal,s1_bup,s1_meth,s1_nal,s2_bup,s2_meth,s2_nal
60002,4.0775,6.8002,3.7885,2.4609,1.374,2.6777,4.3929,7.6194,7.4435
60004,1.1579,3.1042,3.0032,0.9873,0.3221,2.1847,2.2609,2.2203,1.6347
60005,1.5013,3.2233,0.6365,0.7317,3.4078,1.7183,0.7757,2.2593,3.6373
60007,1.1699,4.2139,1.1379,2.6969,4.008,1.3911,0.6358,4.1329,0.2703
60008,0.9563,1.4363,1.4656,1.3096,3.6584,1.3299,0.6612,4.2969,2.6284
60010,1.4655,7.7869,6.8378,2.0468,4.4234,3.9631,2.428,5.6936,5.3669
60012,3.167,11.0649,2.7722,3.4535,3.012,4.8295,2.2279,3.0507,2.4541
60013,4.0691,10.7351,3.2254,2.3341,4.6377,5.4635,2.6332,4.8265,5.5453
60014,0.4416,11.2605,0.6778,1.5622,5.1875,2.6281,0.8888,0.1864,0.973
60015,2.3599,3.925,3.8915,1.5641,6.5283,1.3838,1.5372,4.6612,4.3828
60016,0.3516,0.4374,0.4048,1.662,3.3593,4.5947,0.4845,1.2135,0.5724
60018,2.9982,3.1576,2.9945,2.5693,3.9538,4.2881,0.7895,3.3391,1.7442
60020,4.7706,0.3274,0.3254,0.5444,3.839,2.5552,5.361,3.0415,5.6159
60021,4.7692,9.3898,4.707,1.1595,5.2238,4.9394,2.8934,5.3467,7.0549
60025,1.848,1.5036,3.8097,1.0199,3.2773,3.8195,0.6629,5.2773,4.231
60030,3.2581,7.9023,5.4894,1.5877,1.9073,1.8256,1.3583,4.8262,1.2988
60031,1.2239,3.3033,2.3245,0.9449,0.6585,4.7877,1.7777,5.8889,0.5726
60033,14.8087,22.1392,18.4262,2.0689,9.5258,2.2359,6.3497,19.6086,5.5942
60034,11.0756,13.1099,12.3791,0.2063,9.4801,2.1412,8.7664,16.0578,10.4301
60035,0.3004,0.2884,2.2584,2.2688,9.9418,1.9337,2.0314,8.0219,7.6622
60040,1.1122,1.4699,3.7922,1.8086,9.4915,1.1723,0.7908,8.5741,7.8554
60041,3.4155,2.2194,2.2182,1.4382,4.0987,0.8411,3.9803,1.2663,4.001
60042,6.1394,8.1697,4.8224,1.6295,3.0459,1.4716,4.3891,6.7762,5.9287
60044,1.5715,5.1415,1.3584,6.1485,5.4633,6.3155,1.2986,4.8921,2.9277
60046,0.1854,6.0739,3.6664,0.8978,2.5924,2.7296,4.0369,5.0981,4.2577
60047,2.4517,7.5333,4.706,4.3131,3.714,2.9931,1.3268,4.1373,1.0108
60048,1.4257,6.2946,3.5534,4.3707,1.2917,5.5561,1.7239,7.3039,5.2078
60050,0.843,7.5912,1.7107,2.2431,3.7063,3.4584,1.6981,7.2113,1.4166
60053,1.9938,2.1869,2.1901,1.5038,2.4364,1.4655,0.7358,5.4764,4.4501
60056,1.3422,2.8894,2.4358,0.4833,3.7294,3.3098,2.0934,0.9418,1.142
60060,4.5229,10.9673,1.8926,1.2988,3.7864,1.7524,2.6153,8.0192,1.3637
60061,0.6724,8.8102,1.5257,0.6464,3.3506,3.8521,0.7776,6.9804,3.849
60062,1.1728,3.5887,2.5652,1.1486,6.6739,3.1438,2.9341,4.9048,4.4569
60067,1.9648,1.8464,3.7386,3.8957,2.2642,4.3077,1.8533,3.3496,0.9651
60068,0.9202,3.0139,2.9988,0.3866,1.2555,4.4116,0.6021,4.2311,3.0874
60069,1.8403,6.4676,1.698,3.1688,6.202,4.3869,1.7686,5.0324,4.8499
60070,2.7743,4.6279,3.9202,1.3254,2.284,0.8351,1.3937,1.5973,1.4741
60072,5.9384,6.6647,6.664,1.7067,8.1526,1.9464,3.587,9.3976,4.6224
60073,1.8966,4.7678,4.7671,4.1519,1.5319,2.0436,1.769,1.5609,1.6654
60074,1.4355,2.6607,4.5468,2.8609,1.4712,4.7611,0.503,0.892,1.8532
60076,1.5417,0.9012,0.8968,1.7567,5.3053,1.6915,0.629,2.5429,1.5058
60077,1.5762,0.6237,0.6228,1.5844,3.906,0.2922,1.6773,3.9189,2.7351
60081,8.9268,4.5087,4.5097,4.2129,6.3035,4.8003,3.2839,7.6798,7.7326
60084,5.5041,9.0658,7.0256,2.9917,4.395,1.7727,1.7046,6.6639,5.6576
60085,1.1297,0.4282,1.9317,3.7945,3.5388,8.5918,1.1486,1.8098,1.0983
60087,2.3294,2.4371,4.1458,4.104,1.103,9.7202,1.7269,3.6466,2.3594
60089,2.005,6.3268,3.932,2.377,3.8204,3.8224,0.6913,3.0577,2.0909
60090,1.0431,6.1214,5.3798,1.0467,2.8728,1.2854,0.2354,0.9631,0.5727
60091,1.8882,2.8852,2.0837,1.5025,6.7343,1.3994,0.3835,3.0432,1.1662
60093,2.9697,2.517,3.3993,2.8364,6.6684,1.5007,2.8814,5.5494,3.669
60097,6.0564,9.6372,7.3557,3.855,5.851,2.6492,4.6166,11.6229,5.8656
60098,4.5428,15.2275,8.6177,2.8685,1.1296,1.9872,4.0397,9.3296,5.7391
60099,0.6663,6.0267,7.3688,2.5415,3.1595,10.8677,0.7356,7.6602,4.3501
60101,3.9404,3.9853,3.6117,2.5881,7.1646,3.6001,0.7059,1.7594,1.3993
60102,1.4422,6.4684,4.5021,2.7538,6.4903,5.3005,2.4428,3.1809,2.5942
60103,0.083,7.736,5.2459,1.2861,3.8562,2.2248,1.0755,2.8589,2.0548
60104,1.3644,1.2232,1.3887,3.6349,10.3197,1.7082,0.6935,5.1174,3.3474
60106,4.7982,3.5043,2.9214,4.3868,7.3377,4.578,1.0349,5.5802,1.7059
60107,0.6316,6.7642,3.0834,1.2544,2.5291,5.3724,1.1212,1.433,1.3096
60108,0.6686,6.2333,5.5682,2.8681,5.2527,4.1039,1.4426,2.2212,2.4326
60110,3.2493,3.6199,5.5509,1.9476,6.0421,3.1054,1.6491,0.9109,1.9764
60115,5.5562,24.7922,16.3584,2.337,3.78,8.1866,5.7376,2.2831,3.2764
60118,2.9013,2.5498,4.9041,1.8207,4.8653,1.6263,0.681,2.3352,1.7871
60119,7.9048,10.6943,8.8848,2.5307,2.9094,1.1509,4.9217,8.4819,7.4562
60120,3.2886,3.7738,1.2031,0.9722,3.5834,5.2562,0.7996,1.7031,2.1747
60123,0.5089,2.3066,2.8362,1.7613,3.6904,3.1941,1.118,1.7487,2.2559
60126,2.8857,0.9168,1.4952,1.3315,10.7266,1.7015,2.1621,5.3156,1.3512
60130,0.6031,1.7132,1.3089,2.5017,11.2309,2.762,0.9181,2.4431,2.3442
60131,3.719,2.6937,3.3824,4.5361,6.7568,3.3104,0.6535,2.901,2.5372
60134,0.9621,7.534,2.5357,1.4924,4.4136,6.3089,3.4004,8.2814,6.2979
60135,9.9011,19.9405,18.6188,0.6736,4.8679,2.6738,7.1263,13.4444,9.1204
60137,2.9444,1.2887,6.6359,3.945,9.9789,3.9873,1.5455,3.4159,1.8528
60139,2.459,4.1761,6.8099,2.6425,7.3827,5.8045,0.5812,0.6436,0.8578
60140,8.798,10.9681,13.0463,4.6347,5.7062,1.2498,3.227,12.0927,10.0212
60141,0.354,1.8836,0.0933,2.3462,11.6319,2.8397,0.4428,2.7398,2.6376
60142,5.8448,10.5337,6.7934,2.8104,5.6375,4.5957,2.4117,6.9037,6.9094
60143,2.1233,5.7023,2.3137,1.1604,4.3391,2.5615,2.1631,2.2725,3.015
60146,12.0322,13.2842,12.385,2.8749,8.5466,9.0428,9.7823,14.96,7.9254
60148,2.1561,3.626,4.8871,3.1541,10.7755,2.5135,1.3116,3.228,0.4077
60151,7.7445,16.6976,12.8197,0.5582,2.7364,2.2209,5.171,7.8315,7.9919
60152,11.9257,20.2341,14.7025,1.6525,2.321,2.5886,8.2779,15.2102,8.4087
60153,0.937,0.4589,0.9728,2.3048,10.331,1.3438,0.5453,3.9375,3.7684
60154,1.5525,3.6273,1.5839,3.1116,12.8745,4.0894,0.6649,5.0957,4.8715
60155,0.8425,2.093,0.7886,2.4715,11.8694,2.8017,1.3561,3.5485,3.3996
60157,1.8919,5.4587,3.0116,1.1996,3.6003,1.8598,1.477,1.9245,3.5869
60160,1.0629,1.2276,1.016,2.5657,8.7211,0.6813,0.7072,3.4383,3.4972
60162,1.6523,2.4156,1.7089,2.3735,11.6888,3.405,2.0371,5.9925,3.3848
60163,2.6403,1.5063,2.6897,2.1412,10.4284,3.0962,2.4005,5.7983,1.9083
60164,3.2563,1.5075,2.2224,3.6536,8.4395,2.9256,1.2246,4.2396,1.4204
60165,1.8836,0.2873,1.8363,3.5967,9.0113,1.6091,1.4006,4.0759,2.5015
60171,2.2856,2.75,2.2668,2.1085,7.1653,1.9615,0.8484,1.6607,2.1232
60172,1.762,5.5361,4.0289,2.6393,3.4022,2.389,0.4918,3.0788,3.1024
60173,0.3014,0.2737,0.3275,2.9359,1.9265,1.8132,0.5376,5.5857,1.3048
60174,0.7622,9.9109,1.4956,1.3454,4.6097,3.6085,0.4584,7.062,5.9274
60175,4.5087,9.9107,4.5209,1.8274,6.5015,2.8748,1.4503,7.9895,5.3799
60176,2.2131,4.1018,4.6247,3.8279,5.2207,4.2547,0.8878,2.1477,1.4654
60177,3.0737,5.6477,4.7173,2.2525,1.5899,1.0901,0.4816,3.0616,1.8653
60178,2.9651,19.8232,19.2435,2.4979,2.4622,4.7378,2.9764,6.4963,5.2555
60181,1.4339,2.8739,3.2245,1.5291,11.218,0.664,0.5475,4.3139,2.1035
60184,3.0285,8.4194,4.3979,3.4127,3.0515,0.8528,1.9202,5.3191,4.6015
60185,3.0559,6.664,5.5423,2.3714,2.835,4.5897,2.5954,4.2422,1.3988
60187,2.4125,1.6593,6.0549,1.9843,7.3785,4.2708,0.9332,3.0511,1.0308
60188,2.2987,4.5187,8.5654,1.1385,7.1737,6.373,0.4204,1.8788,1.8732
60190,1.1481,3.785,5.5752,2.6573,5.0758,4.526,2.8045,4.4967,1.4887
60191,3.1239,4.4302,3.2842,3.0064,6.0637,3.91,1.1069,3.7416,3.033
60192,1.5802,5.7166,2.6101,2.9266,4.5812,7.1446,1.851,2.431,1.5003
60193,0.9027,3.8266,2.8212,1.5125,1.8011,2.3117,1.7504,3.4597,1.4081
60194,1.9596,3.5722,1.939,1.9478,1.3577,3.713,1.6686,3.2958,1.9819
60195,2.1568,2.4521,2.4587,4.245,3.0964,3.8956,1.2235,5.6372,1.6519
60201,0.6086,0.7758,0.6377,2.6764,7.4756,1.5117,0.9552,0.9364,0.968
60202,0.7798,0.7754,2.2865,2.8349,7.578,3.3004,0.4487,0.9934,1.2734
60203,1.3623,1.6473,1.6476,1.6717,6.0897,2.3765,1.0397,1.8327,1.2424
60301,0.0983,2.0871,1.1924,1.1372,9.8327,2.7264,0.8374,2.4297,1.8473
60302,0.7045,2.3503,0.7356,0.8308,9.5204,3.1307,0.5898,1.8548,1.2333
60304,1.2335,1.299,0.7274,1.9831,11.0195,3.5991,0.5883,2.3952,0.9628
60305,0.2312,1.2227,1.4721,0.6704,9.2577,1.6045,1.1803,2.5818,2.5848
60402,0.1364,2.4938,0.1787,2.625,8.9174,4.1878,0.869,0.1533,0.4119
60406,0.2136,3.3197,3.3095,1.2731,5.0195,6.9966,1.4488,3.576,3.9299
60407,13.0905,21.6589,21.1445,1.3281,4.6166,5.3213,11.9505,21.661,21.5662
60408,13.5344,18.7214,18.0264,0.461,2.1347,1.9262,8.9777,18.7492,18.7463
60409,1.3202,1.3428,1.3795,1.0782,3.4406,9.6355,1.0625,4.1979,0.2541
60410,3.9042,8.2974,7.7313,2.9637,7.4268,2.0908,2.5788,8.2878,8.0917
60411,1.6712,3.3836,5.8385,0.2023,5.9857,2.1853,1.5308,1.1353,2.1283
60415,2.2992,2.1718,0.6921,2.5826,4.5563,3.7455,0.4528,2.7257,1.2761
60416,9.8165,17.852,17.2979,1.5456,3.4566,4.0441,8.463,17.8458,17.6615
60419,1.1025,1.0814,0.4442,2.6347,2.1763,10.3997,0.9005,3.4866,2.826
60420,19.4329,27.2871,18.7406,3.8436,4.033,4.7481,20.6455,33.6665,28.0747
60421,6.9325,6.8486,5.0824,2.9674,7.9872,4.8188,4.6736,7.1629,7.3781
60422,1.6611,1.8665,2.7234,1.9503,3.271,6.2911,2.4553,5.1034,5.6132
60423,5.834,9.5281,7.95,2.2498,7.0088,4.0201,1.3639,12.2357,5.232
60424,15.065,24.7751,24.3696,0.9259,2.324,2.3226,17.1049,26.7204,24.1919
60425,3.2887,2.598,3.2923,1.2154,6.0391,4.825,1.3055,3.5061,2.5301
60430,1.1427,1.4541,1.0782,2.9288,4.9661,6.7007,1.1945,5.3743,5.403
60431,2.3788,3.3015,2.8276,4.255,6.6484,4.6772,1.0224,3.2275,2.3648
60432,4.2045,4.77,3.814,2.5119,1.9375,6.4522,0.4304,5.3128,2.4379
60433,4.0071,4.9911,1.112,1.5841,3.6741,7.3591,0.8805,5.5842,2.0874
60435,0.5886,1.2403,1.3106,1.4667,2.6764,5.6298,0.6335,1.2775,1.7984
60436,2.6312,2.4776,2.6664,2.2314,4.3572,3.3587,2.1621,2.7981,3.3493
60437,15.3383,18.4806,18.3913,1.3945,11.7176,1.8671,15.8071,32.5484,32.101
60438,2.042,2.0748,2.0395,2.1664,6.452,6.5482,1.8117,5.6236,2.4284
60439,1.4881,7.0874,1.5789,1.6194,10.2111,2.7883,0.4785,6.1721,4.402
60440,1.1384,5.0447,3.8687,4.1123,10.6473,2.8075,0.7559,1.2877,1.7723
60441,3.9603,6.1779,5.6893,1.69,3.545,3.2508,2.4046,3.3421,3.6711
60442,8.3829,12.765,7.3464,0.4106,10.6974,2.4219,5.5638,13.279,8.5395
60443,0.8457,4.6222,6.4557,1.6342,2.3711,5.5045,1.4416,7.4818,3.7796
60445,2.1067,4.1387,4.1401,2.1504,6.6476,5.2746,1.6568,5.9532,4.7236
60446,3.8966,7.3215,5.4736,0.9247,6.0792,0.6517,1.7141,0.7814,1.7003
60447,3.4362,9.8797,9.267,2.5166,6.6602,4.189,0.7496,7.1456,6.8043
60448,3.7107,10.6304,3.6942,1.398,9.5808,0.9633,2.3311,12.0367,5.3322
60450,0.4622,18.711,18.0627,2.1241,4.5412,2.1219,6.2352,17.0724,16.7335
60452,1.029,4.9542,4.9377,2.0165,8.4146,3.1895,0.9365,7.9304,3.2919
60453,1.1332,3.5641,1.3416,1.2,3.0294,3.3049,1.0313,1.1733,2.0989
60455,4.2148,4.7018,2.485,1.7952,5.8868,0.7421,0.8297,4.2079,1.8415
60456,0.7565,2.5915,0.7849,0.8521,1.812,1.7128,0.4701,0.6913,1.1894
60457,3.6407,3.8173,2.5913,2.6343,6.7949,2.212,0.6482,4.9634,1.8624
60458,4.2509,5.4942,3.7442,0.9908,7.2948,1.4223,0.7824,5.6303,3.0232
60459,2.5004,4.1989,2.2578,2.219,3.9154,2.0958,0.2996,2.4709,2.045
60462,1.3528,3.8287,1.9259,1.2044,9.934,3.9598,1.0326,8.4333,1.4861
60463,1.2054,0.958,0.9938,1.6863,6.623,6.0208,1.1368,5.1228,3.9428
60464,3.1445,3.4279,2.5848,3.2492,9.6238,6.8336,2.07,7.8376,4.4949
60465,2.0728,2.3391,1.6202,4.4433,7.1122,3.9113,1.1529,5.2457,2.2945
60466,2.6213,2.2858,6.5771,0.9869,1.4054,4.6803,0.6983,4.2895,7.1323
60467,0.9285,6.899,0.9344,2.0242,10.4914,5.0679,2.432,10.5379,3.6926
