"","GEOID","totPop19","groupQt19r"
"1","01001",55380,0.0102022390754785
"2","01003",212830,0.0141333458628953
"3","01005",25361,0.113796774575135
"4","01007",22493,0.0841595162939581
"5","01009",57681,0.00955253896430367
"6","01011",10248,0.0426424668227947
"7","01013",19828,0.0162900948154125
"8","01015",114618,0.0273430002268405
"9","01017",33660,0.015805109922757
"10","01019",25903,0.0106165309037563
"11","01021",44055,0.00948813982521848
"12","01023",12925,0.0140038684719536
"13","01025",24128,0.014920424403183
"14","01027",13337,0.0184449276448977
"15","01029",14916,0.0115312416197372
"16","01031",51662,0.0114784561186172
"17","01033",54771,0.00814299538076719
"18","01035",12394,0.00363078909149589
"19","01037",10757,0.0353258343404295
"20","01039",37200,0.0188440860215054
"21","01041",13844,0.0126408552441491
"22","01043",82853,0.0149421264166657
"23","01045",49277,0.0272338007589748
"24","01047",39149,0.0145342154333444
"25","01049",71310,0.0137007432337681
"26","01051",81144,0.054471063787834
"27","01053",37057,0.0783117899452195
"28","01055",102748,0.0128858955892085
"29","01057",16494,0.0192797380865769
"30","01059",31466,0.00734125723002606
"31","01061",26417,0.00953931180679108
"32","01063",8324,0.00816914944738107
"33","01065",14809,0.0137078803430346
"34","01067",17133,0.0192027082238954
"35","01069",104702,0.00940765219384539
"36","01071",51852,0.0126513924245931
"37","01073",659680,0.0237372665534805
"38","01075",13885,0.0133237306445805
"39","01077",92556,0.0230455075845974
"40","01079",33058,0.00735071692177385
"41","01081",161152,0.0365679606830818
"42","01083",94727,0.0310471143391008
"43","01085",10079,0.0101200515924199
"44","01087",18708,0.121391917896087
"45","01089",362276,0.0245807064227274
"46","01091",19321,0.0124734744578438
"47","01093",29866,0.0167414451215429
"48","01095",95643,0.0106228370084585
"49","01097",414114,0.0189730364102638
"50","01099",21270,0.0118476727785614
"51","01101",226941,0.0308053635085771
"52","01103",119213,0.0160469076359122
"53","01105",9293,0.0871623802862369
"54","01107",20243,0.0903522205206738
"55","01109",33333,0.0552005520055201
"56","01111",22647,0.0218130436702433
"57","01113",57952,0.00962865819988956
"58","01115",87989,0.0255600131834661
"59","01117",213432,0.0137842497844747
"60","01119",12797,0.0687661170586856
"61","01121",80387,0.0431910632316171
"62","01123",40541,0.0155151574948817
"63","01125",207305,0.0490629748438291
"64","01127",64110,0.0141007643113399
"65","01129",16541,0.00846381718154888
"66","01131",10681,0.0234996723153263
"67","01133",23784,0.0155987218298015
"68","02013",3385,0.314032496307238
"69","02016",5698,0.221481221481221
"70","02020",293531,0.0240928556097993
"71","02050",18134,0.0531046652696592
"72","02060",875,0.100571428571429
"73","02068",2246,0.367319679430098
"74","02070",4961,0.0792178996170127
"75","02090",99072,0.0428980943152455
"76","02100",2518,0.0174741858617951
"77","02105",2139,0.0719962599345488
"78","02110",32227,0.0175939429670773
"79","02122",58464,0.0273159551176793
"80","02130",13800,0.02
"81","02150",13451,0.0249795554233886
"82","02158",8250,0.0384242424242424
"83","02164",1393,0.0839913854989232
"84","02170",105369,0.0189334624035532
"85","02180",9988,0.0597717260712855
"86","02185",9792,0.320261437908497
"87","02188",7715,0.0543097861309138
"88","02195",3257,0.0239484187902978
"89","02198",6407,0.0167004838457937
"90","02220",8640,0.0304398148148148
"91","02230",1107,0.149051490514905
"92","02240",6878,0.0392555975574295
"93","02261",9243,0.0261819755490642
"94","02275",2502,0.0211830535571543
"95","02282",649,0.104776579352851
"96","02290",5377,0.0701134461595685
"97","04001",71511,0.0174099089650543
"98","04003",125867,0.0680241842579866
"99","04005",141274,0.102602035760296
"100","04007",53546,0.0177791058155605
"101","04009",37996,0.100852721339088
"102","04011",9522,0.00987187565637471
"103","04012",20793,0.0102919251671236
"104","04013",4328810,0.0124941958644524
"105","04015",207695,0.0169142251859698
"106","04017",109270,0.0263018211769013
"107","04019",1027207,0.0295286149724447
"108","04021",432793,0.0617269687818426
"109","04023",46480,0.00907917383820998
"110","04025",228067,0.0230020125664827
"111","04027",209468,0.026462275860752
"112","05001",17914,0.0146254326225299
"113","05003",20270,0.00878145041933892
"114","05005",41427,0.0101865932845729
"115","05007",265759,0.0107804439360473
"116","05009",37331,0.0136883555222201
"117","05011",10874,0.0178407209858378
"118","05013",5192,0.0261941448382126
"119","05015",27965,0.0100840336134454
"120","05017",10615,0.0676401318888366
"121","05019",22386,0.11551862771375
"122","05021",14889,0.0079253139901941
"123","05023",25100,0.0130677290836653
"124","05025",8128,0.0107037401574803
"125","05027",23776,0.076043068640646
"126","05029",20858,0.00920510116022629
"127","05031",107345,0.0355768782896269
"128","05033",62739,0.00996190567270757
"129","05035",48672,0.0137039776462853
"130","05037",16824,0.013433190679981
"131","05039",7279,0.100013738150845
"132","05041",11709,0.00717396874199334
"133","05043",18417,0.0552207199869686
"134","05045",123624,0.0404209538600919
"135","05047",17738,0.0205772916901567
