"","GEOID","totPop18","engProf18"
"1","01001",51937,0.00820224502762963
"2","01003",196498,0.00543516982361144
"3","01005",24392,0.0163168251885864
"4","01007",21252,0.00268210050818746
"5","01009",54160,0.0172451994091581
"6","01011",9756,0.00440754407544075
"7","01013",18820,0.00494155154091392
"8","01015",108536,0.00991376133264539
"9","01017",31876,0.0011293763332915
"10","01019",24649,0.00401639011724614
"11","01021",41163,0.0188761752058888
"12","01023",12404,0.00411157691067398
"13","01025",23023,0.00130304478130565
"14","01027",12708,0.00401322001888574
"15","01029",14117,0.00708365800099171
"16","01031",48110,0.013801704427354
"17","01033",51397,0.00340486798840399
"18","01035",11799,0
"19","01037",10513,0.00361457243412917
"20","01039",35209,0.00366383595103525
"21","01041",13078,0.0116225722587552
"22","01043",77334,0.00578012258515013
"23","01045",46024,0.0100165131235877
"24","01047",37552,0.00111844908393694
"25","01049",66949,0.0350565355718532
"26","01051",76476,0.00665568282859982
"27","01053",35206,0.00488553087541896
"28","01055",97146,0.0121878409816153
"29","01057",15660,0
"30","01059",29377,0.0513326752221125
"31","01061",25046,0.00582927413559051
"32","01063",7936,0
"33","01065",13916,0.000718597298074159
"34","01067",16191,0.00314989809153233
"35","01069",98012,0.00592784556993021
"36","01071",49301,0.00444210056591144
"37","01073",617355,0.0122960047298556
"38","01075",13234,0.000302251775729182
"39","01077",87849,0.00573711709865792
"40","01079",31316,0.00197981862306808
"41","01081",149856,0.0117379350843476
"42","01083",87829,0.00952988192965877
"43","01085",9602,0.000624869818787753
"44","01087",18118,0
"45","01089",336658,0.0111745450872993
"46","01091",18569,0.000538531961871937
"47","01093",28426,0.00510096390628298
"48","01095",88609,0.0400523648839283
"49","01097",387690,0.00737186927699967
"50","01099",20246,0.000889064506569199
"51","01101",211626,0.0143980418285088
"52","01103",112063,0.0209524999330734
"53","01105",8972,0.0028979045920642
"54","01107",19264,0.0167670265780731
"55","01109",31542,0.0145203221102023
"56","01111",21284,0.00272505168201466
"57","01113",53955,0.0103790195533315
"58","01115",82065,0.00476451593249254
"59","01117",198761,0.0158330859675691
"60","01119",12283,0.00382642676870471
"61","01121",76264,0.00495646700933599
"62","01123",38425,0.00239427456083279
"63","01125",193865,0.00942408376963351
"64","01127",60507,0.00614804898606773
"65","01129",16027,0.00524115555000936
"66","01131",10143,0.00670413092773341
"67","01133",22629,0.00494940121083565
"68","02013",3317,0.130841121495327
"69","02016",5510,0.082940108892922
"70","02020",274346,0.0240863726826708
"71","02050",16177,0.0271991098473141
"72","02060",838,0
"73","02068",2166,0.00461680517082179
"74","02070",4497,0.00845007782966422
"75","02090",91756,0.00641919874449627
"76","02100",2359,0.0076303518440017
"77","02105",2030,0
"78","02110",30429,0.0115679121890302
"79","02122",54568,0.00535112153643161
"80","02130",12964,0.0121104597346498
