"","GEOID","Occupants","crowdHsng19"
"1","01001",21397,0.0113567322521849
"2","01003",80930,0.0128753243543803
"3","01005",9345,0.0385232744783307
"4","01007",6891,0.0111739950660282
"5","01009",20847,0.0179402312083273
"6","01011",3521,0
"7","01013",6506,0.0153704272978789
"8","01015",44605,0.0167918394798789
"9","01017",13448,0.0527215942891136
"10","01019",10737,0.0132252957064357
"11","01021",16927,0.0297158386010516
"12","01023",5300,0.00849056603773585
"13","01025",9090,0.0162816281628163
"14","01027",5198,0.00923432089265102
"15","01029",5680,0.00845070422535211
"16","01031",19924,0.0175667536639229
"17","01033",21880,0.0059872029250457
"18","01035",4553,0.00439270810454645
"19","01037",4032,0.0280257936507937
"20","01039",14852,0.0211419337462968
"21","01041",4943,0.00869917054420392
"22","01043",31034,0.0193658568022169
"23","01045",18806,0.0152610868871637
"24","01047",15910,0.0192331866750471
"25","01049",26040,0.0293394777265745
"26","01051",29708,0.0161909250033661
"27","01053",13089,0.0175720070288028
"28","01055",38942,0.0128139284063479
"29","01057",6802,0.0120552778594531
"30","01059",11048,0.0346669080376539
"31","01061",10383,0.0165655398247135
"32","01063",2951,0.0216875635377838
"33","01065",5650,0.0389380530973451
"34","01067",6630,0.00497737556561086
"35","01069",39311,0.0134313550914502
"36","01071",20695,0.0257066924377869
"37","01073",261231,0.0142402701057685
"38","01075",5856,0.0175887978142076
"39","01077",38471,0.012502924280627
"40","01079",12677,0.0168809655281218
"41","01081",60237,0.0321729169779372
"42","01083",32143,0.021404349314003
"43","01085",4251,0.0207010115266996
"44","01087",7474,0.0137811078405138
"45","01089",148189,0.0133073305036136
"46","01091",7361,0.00366797989403614
"47","01093",11997,0.0173376677502709
"48","01095",34883,0.018318378579824
"49","01097",156251,0.019628674376484
"50","01099",8166,0.00440852314474651
"51","01101",89527,0.0201950249645358
"52","01103",45918,0.0232588527374886
"53","01105",3070,0
"54","01107",7637,0.0130941469163284
"55","01109",11601,0.0122403241099905
"56","01111",8702,0.0283842794759825
"57","01113",23262,0.0229558937322672
"58","01115",32036,0.0137345486327881
"59","01117",79630,0.00910460881577295
"60","01119",5202,0.00422914263744714
"61","01121",31395,0.0121675426023252
"62","01123",16205,0.0279543350817649
"63","01125",72461,0.0163950262900043
"64","01127",25019,0.0183460569966825
"65","01129",5990,0.0262103505843072
"66","01131",3854,0.0140114167099118
"67","01133",9592,0.0104253544620517
"68","02013",890,0.0269662921348315
"69","02016",1187,0.106149957877001
"70","02020",106567,0.0466279429842259
"71","02050",4489,0.34372911561595
"72","02060",314,0.035031847133758
"73","02068",613,0.0293637846655791
"74","02070",1427,0.226348983882271
"75","02090",36188,0.0602962307947386
"76","02100",1007,0.106256206554121
"77","02105",791,0.0417193426042984
"78","02110",12676,0.0326601451562007
"79","02122",21630,0.0509477577438743
"80","02130",5397,0.0453955901426719
"81","02150",4261,0.0889462567472424
"82","02158",1724,0.468097447795824
"83","02164",421,0.0665083135391924
"84","02170",31217,0.051158022872153
"85","02180",2844,0.299226441631505
"86","02185",1979,0.302678120262759
"87","02188",1795,0.340947075208914
"88","02195",1187,0.0286436394271272
"89","02198",2371,0.0577815267819485
"90","02220",3547,0.0231181279954891
"91","02230",375,0.056
"92","02240",2170,0.0737327188940092
"93","02261",3177,0.0415486307837583
"94","02275",1027,0.0185004868549172
"95","02282",219,0.091324200913242
"96","02290",1856,0.15625
"97","04001",20867,0.122490056069392
"98","04003",50163,0.0253573350876144
"99","04005",47447,0.0656522014036715
"100","04007",21945,0.0398724082934609
"101","04009",11017,0.0694381410547336
"102","04011",3132,0.0603448275862069
"103","04012",9346,0.0490049218917184
"104","04013",1552096,0.0453393346803291
"105","04015",86889,0.0400395907422113
"106","04017",34990,0.0863389539868534
"107","04019",404739,0.0362233439327567
"108","04021",141300,0.0407714083510262
"109","04023",15853,0.0514098277928468
"110","04025",98386,0.0225946781046084
"111","04027",73098,0.0745984842266546
"112","05001",7491,0.0154852489654252
"113","05003",7757,0.0194662885136006
"114","05005",18435,0.0202874966097098
"115","05007",97249,0.0367407376939609
"116","05009",15034,0.0198882532925369
"117","05011",4419,0.0271554650373388
"118","05013",1850,0.0118918918918919
"119","05015",11139,0.0595206032857528
"120","05017",4068,0.0221238938053097
"121","05019",8446,0.03149419843713
"122","05021",6444,0.0198634388578523
"123","05023",10783,0.0124269683761476
"124","05025",3217,0.0164749766863537
"125","05027",8562,0.050221910768512
"126","05029",8309,0.0273197737393188
"127","05031",41375,0.0273595166163142
"128","05033",23958,0.0311378245262543
"129","05035",19074,0.0346020761245675
"130","05037",6653,0.0264542311739065
"131","05039",2969,0.00134725496800269
"132","05041",5204,0.0217140661029977
