ZCTA,time_to_nearest_methadone,count_in_range_methadone,methadone_score
99403,999,0,0.0
99402,999,0,0.0
99401,999,0,0.0
99371,118,0,0.0
99363,74,0,0.0
99362,61,0,0.0
99361,86,0,0.0
99360,81,0,0.0
99359,140,0,0.0
99357,100,0,0.0
99356,118,0,0.0
99354,90,0,0.0
99353,87,0,0.0
99352,82,0,0.0
99350,60,0,0.0
99349,93,0,0.0
99348,112,0,0.0
99347,152,0,0.0
99346,49,0,0.0
99345,78,0,0.0
99344,127,0,0.0
99343,116,0,0.0
99341,96,0,0.0
99338,76,0,0.0
99337,77,0,0.0
99336,75,0,0.0
99335,999,0,0.0
99333,999,0,0.0
99330,110,0,0.0
99329,77,0,0.0
99328,106,0,0.0
99326,122,0,0.0
99324,59,0,0.0
99323,136,0,0.0
99322,122,0,0.0
99321,84,0,0.0
99320,77,0,0.0
99301,85,0,0.0
99224,8,1,0.7333333333333333
99223,16,1,0.4666666666666667
99218,19,1,0.36666666666666664
99217,20,1,0.3333333333333333
99216,20,1,0.3333333333333333
99212,14,1,0.5333333333333333
99208,14,1,0.5333333333333333
99207,11,1,0.6333333333333333
99206,19,1,0.36666666666666664
99205,7,1,0.7666666666666667
99204,5,1,0.8333333333333334
99203,11,1,0.6333333333333333
99202,8,1,0.7333333333333333
99201,0,1,1.0
99185,98,0,0.0
99181,71,0,0.0
99180,78,0,0.0
99179,999,0,0.0
99176,62,0,0.0
99174,66,0,0.0
99173,70,0,0.0
99171,84,0,0.0
99170,49,0,0.0
99169,75,0,0.0
99167,142,0,0.0
99166,999,0,0.0
99164,999,0,0.0
99163,103,0,0.0
99161,95,0,0.0
99160,999,0,0.0
99159,103,0,0.0
99158,63,0,0.0
99157,999,0,0.0
99156,68,0,0.0
99155,999,0,0.0
99154,80,0,0.0
99153,999,0,0.0
99152,999,0,0.0
99151,999,0,0.0
99150,999,0,0.0
99149,63,0,0.0
99148,57,0,0.0
99147,107,0,0.0
99146,999,0,0.0
99144,88,0,0.0
99143,117,0,0.0
99141,999,0,0.0
99140,149,0,0.0
99139,999,0,0.0
99138,162,0,0.0
99137,137,0,0.0
99136,999,0,0.0
99135,999,0,0.0
99134,78,0,0.0
99133,999,0,0.0
99131,143,0,0.0
99130,83,0,0.0
99129,123,0,0.0
99128,83,0,0.0
99126,999,0,0.0
99125,125,0,0.0
99124,999,0,0.0
99123,999,0,0.0
99122,68,0,0.0
99121,999,0,0.0
99119,97,0,0.0
99118,999,0,0.0
99117,83,0,0.0
99116,999,0,0.0
99115,999,0,0.0
99114,118,0,0.0
99113,999,0,0.0
99111,82,0,0.0
99110,45,0,0.0
99109,78,0,0.0
99105,119,0,0.0
99103,999,0,0.0
99102,100,0,0.0
99101,101,0,0.0
99040,76,0,0.0
99039,56,0,0.0
99037,23,1,0.23333333333333334
99036,30,1,0.0
99034,77,0,0.0
99033,74,0,0.0
99032,48,0,0.0
99031,25,1,0.16666666666666666
99030,46,0,0.0
99029,43,0,0.0
99027,27,1,0.1
99026,34,0,0.0
99025,32,0,0.0
99023,34,0,0.0
99022,24,1,0.2
99021,29,1,0.03333333333333333
99020,18,1,0.4
99019,27,1,0.1
99018,62,0,0.0
99017,56,0,0.0
99016,24,1,0.2
99013,61,0,0.0
99012,52,0,0.0
99011,26,1,0.13333333333333333
99009,50,0,0.0
99008,55,0,0.0
99006,38,0,0.0
99005,30,1,0.0
99004,24,1,0.2
99003,39,0,0.0
99001,17,1,0.43333333333333335
98953,31,0,0.0
98952,64,0,0.0
98951,23,1,0.23333333333333334
98950,81,0,0.0
98948,30,1,0.0
98947,29,1,0.03333333333333333
98946,59,0,0.0
98944,46,0,0.0
98943,74,0,0.0
98942,16,1,0.4666666666666667
98941,77,0,0.0
98940,101,0,0.0
98939,15,1,0.5
98938,44,0,0.0
98937,38,0,0.0
98936,16,1,0.4666666666666667
98935,57,0,0.0
98934,50,0,0.0
98933,43,0,0.0
98932,35,0,0.0
98930,53,0,0.0
98929,86,0,0.0
98926,50,0,0.0
98925,82,0,0.0
98923,25,1,0.16666666666666666
98922,71,0,0.0
98921,28,1,0.06666666666666667
98908,8,1,0.7333333333333333
98903,10,1,0.6666666666666666
98902,0,1,1.0
98901,6,1,0.8
98862,999,0,0.0
98860,999,0,0.0
98859,999,0,0.0
98858,170,0,0.0
98857,999,0,0.0
98856,999,0,0.0
98855,999,0,0.0
98853,999,0,0.0
98852,294,0,0.0
98851,999,0,0.0
98850,154,0,0.0
98849,999,0,0.0
98848,94,0,0.0
98847,107,0,0.0
98846,999,0,0.0
98845,131,0,0.0
98844,999,0,0.0
98843,999,0,0.0
98841,999,0,0.0
98840,999,0,0.0
98837,119,0,0.0
98836,126,0,0.0
98834,999,0,0.0
98833,999,0,0.0
98832,999,0,0.0
98831,999,0,0.0
98830,999,0,0.0
98829,999,0,0.0
98828,148,0,0.0
98827,999,0,0.0
98826,125,0,0.0
98824,86,0,0.0
98823,114,0,0.0
98822,227,0,0.0
98821,999,0,0.0
98819,999,0,0.0
98817,999,0,0.0
98816,240,0,0.0
98815,121,0,0.0
98814,999,0,0.0
98813,999,0,0.0
98812,999,0,0.0
98811,999,0,0.0
98802,140,0,0.0
98801,137,0,0.0
