ZCTA,time_to_nearest_buprenorphine,count_in_range_buprenorphine,buprenorphine_score
99403,118,0,0.0
99402,119,0,0.0
99401,115,0,0.0
99371,96,0,0.0
99363,29,1,0.03333333333333333
99362,0,1,1.0
99361,26,1,0.13333333333333333
99360,24,1,0.2
99359,80,0,0.0
99357,107,0,0.0
99356,96,0,0.0
99354,18,1,0.4
99353,21,1,0.3
99352,12,1,0.6
99350,36,0,0.0
99349,81,0,0.0
99348,53,0,0.0
99347,91,0,0.0
99346,28,1,0.06666666666666667
99345,57,0,0.0
99344,74,0,0.0
99343,43,0,0.0
99341,87,0,0.0
99338,10,1,0.6666666666666666
99337,10,1,0.6666666666666666
99336,0,1,1.0
99335,70,0,0.0
99333,112,0,0.0
99330,38,0,0.0
99329,16,1,0.4666666666666667
99328,46,0,0.0
99326,49,0,0.0
99324,7,1,0.7666666666666667
99323,77,0,0.0
99322,99,0,0.0
99321,92,0,0.0
99320,25,1,0.16666666666666666
99301,12,1,0.6
99224,8,11,1.9333333333333333
99223,14,11,1.4333333333333333
99218,12,7,1.7999999999999998
99217,15,11,1.5
99216,0,9,2.8
99212,0,11,2.4
99208,0,8,3.0
99207,8,11,2.0999999999999996
99206,0,8,2.533333333333333
99205,0,11,2.7666666666666666
99204,5,11,2.1
99203,11,11,1.5666666666666669
99202,8,11,1.9999999999999998
99201,0,11,2.466666666666667
99185,84,0,0.0
99181,60,0,0.0
99180,71,0,0.0
99179,110,0,0.0
99176,62,0,0.0
99174,66,0,0.0
99173,51,0,0.0
99171,84,0,0.0
99170,49,0,0.0
99169,75,0,0.0
99167,122,0,0.0
99166,192,0,0.0
99164,85,0,0.0
99163,86,0,0.0
99161,64,0,0.0
99160,152,0,0.0
99159,95,0,0.0
99158,44,0,0.0
99157,999,0,0.0
99156,58,0,0.0
99155,157,0,0.0
99154,80,0,0.0
99153,148,0,0.0
99152,999,0,0.0
99151,130,0,0.0
99150,999,0,0.0
99149,63,0,0.0
99148,50,0,0.0
99147,92,0,0.0
99146,999,0,0.0
99144,79,0,0.0
99143,114,0,0.0
99141,123,0,0.0
99140,134,0,0.0
99139,121,0,0.0
99138,121,0,0.0
99137,81,0,0.0
99136,135,0,0.0
99135,122,0,0.0
99134,64,0,0.0
99133,108,0,0.0
99131,102,0,0.0
99130,64,0,0.0
99129,50,0,0.0
99128,53,0,0.0
99126,143,0,0.0
99125,123,0,0.0
99124,133,0,0.0
99123,126,0,0.0
99122,53,0,0.0
99121,999,0,0.0
99119,87,0,0.0
99118,999,0,0.0
99117,68,0,0.0
99116,134,0,0.0
99115,137,0,0.0
99114,111,0,0.0
99113,103,0,0.0
99111,80,0,0.0
99110,38,0,0.0
99109,71,0,0.0
99105,119,0,0.0
99103,100,0,0.0
99102,94,0,0.0
99101,94,0,0.0
99040,0,1,1.0
99039,48,0,0.0
99037,6,7,2.3666666666666667
99036,19,5,1.0999999999999999
99034,43,0,0.0
99033,24,1,0.2
99032,48,0,0.0
99031,25,3,0.16666666666666666
99030,29,4,0.03333333333333333
99029,28,1,0.06666666666666667
99027,12,7,1.6333333333333333
99026,29,5,0.06666666666666667
99025,18,6,1.1666666666666667
99023,17,4,1.2333333333333334
99022,17,5,0.6333333333333333
99021,22,10,0.8
99020,18,11,1.0
99019,13,7,1.5333333333333332
99018,36,0,0.0
99017,56,0,0.0
99016,9,9,2.0
99013,27,1,0.1
99012,34,0,0.0
99011,12,4,0.7333333333333333
99009,43,0,0.0
99008,42,0,0.0
99006,31,0,0.0
99005,23,7,0.7
