FIPS,Fuel Type
480270215003,Electricity
480270216011,Electricity
480270216012,Electricity
480270216013,Electricity
480270216014,Electricity
480270216015,Electricity
480270216021,Electricity
480270217001,Electricity
480270217002,Electricity
480270217003,Electricity
480270217004,Electricity
480270218001,Electricity
480270218002,Electricity
480270218003,Electricity
480270219011,Electricity
480270219012,Electricity
480270219013,Electricity
480270219014,Electricity
480270219031,Electricity
480270219032,Electricity
480270219033,Electricity
480270219041,Electricity
480270219042,Electricity
480270219043,Electricity
480270219044,Electricity
480270220001,Electricity
480270220002,Electricity
480270220003,Electricity
480270220004,Electricity
480270221011,Electricity
480270221012,Electricity
480270221013,Electricity
480270221014,Electricity
480270221031,Electricity
480270221032,Electricity
480270221041,Electricity
480270221042,Electricity
480270221043,Electricity
480270221044,Electricity
480270221051,Electricity
480270221052,Electricity
480270222001,Gas
480270222002,Electricity
480270222003,Electricity
480270223001,Electricity
480270223002,Electricity
480270223003,Electricity
480270223004,Electricity
480270224011,Electricity
480270224012,Electricity
480270224021,Electricity
480270224022,Electricity
480270224031,Electricity
480270224032,Electricity
480270224033,Electricity
480270224041,Electricity
480270224042,Electricity
480270224051,Electricity
480270224052,Electricity
480270225011,Electricity
480270225012,Electricity
480270225013,Gas
480270225014,Electricity
480270225021,Electricity
480270225022,Electricity
480270225023,Electricity
480270226001,Electricity
480270226002,Electricity
480270226003,Electricity
480270226004,Electricity
480270226005,Electricity
480270228011,Electricity
480270228012,Electricity
480270228013,Electricity
480270229001,Electricity
480270229002,Electricity
480270229003,Electricity
480270229004,Electricity
480270230001,Electricity
480270230002,Electricity
480270230003,Electricity
480270230004,Electricity
480270231031,Electricity
480270231032,Electricity
480270231033,Electricity
480270231034,Electricity
480270231041,Electricity
480270231042,Electricity
480270231051,Electricity
480270231052,Electricity
480270231061,Electricity
480270231062,Electricity
480270231063,Electricity
480270231064,Electricity
480270231071,Electricity
480270231072,Electricity
480270231073,Electricity
480270231074,Electricity
480270231081,Electricity
480270231082,Electricity
480270231083,Electricity
480270231084,Electricity
480270231085,Electricity
480270232011,Electricity
480270232012,Electricity
480270232021,Gas
480270232022,Electricity
480270232031,Electricity
480270232032,Electricity
480270232041,Electricity
