"STATEFP","dissim.b","inter.bw","iso.b","dissim.h","inter.hw","iso.h","dissim.a","inter.aw","iso.a"
"01",0.370271336030087,0.563684855197615,0.370404771233508,0.438907084518299,0.625516122733648,0.0691519170288095,0.513213059812672,0.590553919068621,0.0210191817081467
"02",0.185040842774862,0.501551185862711,0.0171303343628766,0.11553403169678,0.495478456498106,0.0599043376644998,0.223781088276069,0.456977794572186,0.0779900854911592
"04",0.534860785278874,0.482474618254197,0.0421062996166638,0.375092721658074,0.47010619025127,0.413018696791287,0.459659352369927,0.528239668734926,0.0306683994474353
"05",0.399453230507262,0.69404990365079,0.211831170913552,0.351017954860938,0.716355780441351,0.0844159526530835,0.512114639391926,0.659053118546016,0.0177911305061049
"06",0.471559140891153,0.486998347569738,0.0713262007645977,0.338849551382249,0.474010254919924,0.381848968333816,0.38609242786078,0.50116380189235,0.121576395237217
"08",0.367157390645717,0.633352622815319,0.029659606794254,0.215569799717959,0.704443560914851,0.239902808886636,0.314300754117143,0.6056346673791,0.02086148451066
"09",0.563588564516594,0.56725780194802,0.172366695660627,0.471836288659755,0.593566443953922,0.238790381382246,0.405517373538645,0.723914642246174,0.0753304791241466
"10",0.394618460124474,0.53262028908529,0.312164940900873,0.362103313733936,0.571707845937588,0.149570238625656,0.365593053351854,0.642436726892695,0.0526784647000149
"11",0.676933777834881,0.162620284942447,0.709704173401118,0.408318740724829,0.389812919613024,0.179794452603393,0.246364777034171,0.532937120699128,0.0739884394266251
"12",0.425929573573843,0.562613445803449,0.249055974046464,0.299881448603853,0.623329792012759,0.186853017319883,0.413107212754284,0.67209135758124,0.0317426144992564
"13",0.300353109997131,0.564895404467159,0.3406440138335,0.311786141873258,0.602482611124253,0.0953328122139824,0.429738685008056,0.576773575228537,0.0274542875488445
"15",0.339492300958807,0.285829371431377,0.0305283228603236,0.22400412402352,0.265208465283955,0.113063208883487,0.327301472302569,0.215719163654508,0.364909077628402
"16",0.369978501135569,0.742269441780016,0.00729475929278723,0.169388069633671,0.808981609172849,0.143908032105797,0.289495598161419,0.673670007982812,0.0110657766537076
"17",0.480487334130821,0.782626477585496,0.12204634446068,0.361576022387104,0.815234731323166,0.0842131961061641,0.461897038180672,0.847125440471144,0.0280521559446228
"18",0.506610197629757,0.848728323171197,0.0671364138608612,0.361707962372728,0.85838348208015,0.0752990415568247,0.496322910829259,0.862162507306299,0.0264569977379032
"19",0.445801248942529,0.857676079757632,0.0311675086687183,0.31257854589401,0.876094909927955,0.0733837508513671,0.446358335141443,0.834794781322842,0.0243004478015761
