STATEFP,ndvi
1,0.235180537
4,0.047173783
5,0.204848768
6,0.097399885
8,0.102798371
9,0.222200979
10,0.154471334
11,0.086507807
12,0.165017667
13,0.21872065
16,0.127529492
17,0.160229804
18,0.165827708
19,0.160835581
20,0.121129459
21,0.24976059
22,0.189511425
23,0.268936139
24,0.189011134
25,0.18963138
26,0.197012641
27,0.16022197
28,0.220575512
29,0.194984442
30,0.116324692
31,0.140708207
32,0.046285096
33,0.274230151
34,0.152781342
35,0.055834821
36,0.219778309
37,0.222207778
38,0.106235124
39,0.190232389
40,0.147639475
41,0.141311776
42,0.233168532
44,0.164986097
45,0.204959121
46,0.123260737
47,0.241178656
48,0.10662987
49,0.087549682
50,0.260447355
51,0.221904751
53,0.154301077
54,0.261316551
55,0.194605887
56,0.097686248
