ZCTA,YEAR,TotalPop,NonrelatedHousehold,NonrelatedGroupDwelling,GroupQuarters,GroupQuarterPercent,NonrelatedHousePercent
00097,2014-2018,15897,20,11,44,0.28,0.13
00098,2014-2018,14241,15,36,28,0.2,0.11
00098,2014-2018,34798,27,0,60,0.17,0.08
00098,2014-2018,31845,57,56,204,0.64,0.18
00098,2014-2018,57181,124,0,320,0.56,0.22
00100,2014-2018,17621,55,150,544,3.09,0.31
00100,2014-2018,30066,96,201,5268,17.52,0.32
00100,2014-2018,11238,0,0,11161,99.31,0.0
00100,2014-2018,4991,0,175,228,4.57,0.0
00100,2014-2018,14967,88,72,6,0.04,0.59
00100,2014-2018,1197,0,0,0,0.0,0.0
00100,2014-2018,249,0,0,0,0.0,0.0
00101,2014-2018,3739,30,0,0,0.0,0.8
00101,2014-2018,1448,13,3,11,0.76,0.9
00101,2014-2018,560,0,6,0,0.0,0.0
00101,2014-2018,23065,74,58,685,2.97,0.32
00102,2014-2018,30097,319,171,76,0.25,1.06
00102,2014-2018,2499,0,0,547,21.89,0.0
00102,2014-2018,954,0,10,0,0.0,0.0
00102,2014-2018,17848,22,100,76,0.43,0.12
00102,2014-2018,16200,15,35,445,2.75,0.09
00102,2014-2018,651,0,12,0,0.0,0.0
00103,2014-2018,11123,38,48,19,0.17,0.34
00103,2014-2018,1197,22,0,0,0.0,1.84
00103,2014-2018,533,0,0,0,0.0,0.0
00103,2014-2018,6333,104,48,0,0.0,1.64
00103,2014-2018,2179,14,49,0,0.0,0.64
00103,2014-2018,5310,0,0,149,2.81,0.0
00103,2014-2018,5191,38,20,93,1.79,0.73
00103,2014-2018,798,0,8,145,18.17,0.0
00103,2014-2018,2867,0,0,15,0.52,0.0
00103,2014-2018,1042,4,0,4,0.38,0.38
00104,2014-2018,40376,328,286,1243,3.08,0.81
00105,2014-2018,2422,40,10,0,0.0,1.65
00105,2014-2018,1702,26,0,451,26.5,1.53
00105,2014-2018,1983,4,0,16,0.81,0.2
00105,2014-2018,21336,213,59,676,3.17,1.0
