ZCTA,moudMinDis,bupMinDis,metMinDis,nalMinDis
92111,0.99520065,0.99520065,2.563148727,1.263474756
92113,0.678067157,0.678067157,3.292724131,2.282021121
92114,1.362561911,1.362561911,2.326542503,2.760580972
92115,0.15210997,0.15210997,1.132520637,0.476573981
92116,0.572313224,0.660054931,2.547317537,0.572313224
92117,2.085922697,2.085922697,4.373461555,2.59394456
92118,0.902921094,0.902921094,7.703265694,1.438301565
92119,1.41626627,1.41626627,4.961794188,2.887604409
92120,1.098113228,1.098113228,3.294860458,2.240739427
92121,0.591979903,0.591979903,7.108586106,0.849900379
92122,1.236877798,1.236877798,3.172542346,3.30439171
92123,0.352163253,0.352163253,2.127416748,1.351235387
92124,1.221570135,1.221570135,3.562068656,2.528677818
92126,1.725917316,1.725917316,6.261595553,2.894501651
92127,1.577304629,1.577304629,9.551495689,3.575474795
92128,0.205966149,0.205966149,10.49706703,0.695877234
92129,0.576618069,1.138912779,10.92771911,0.576618069
92130,1.788621319,1.928612099,10.65530774,1.788621319
92131,0.679677484,0.679677484,6.431634866,1.580090498
92132,0.547572849,0.547572849,5.254347107,0.945596392
92134,0.180173394,0.180173394,4.381753706,0.82078251
92135,1.249740948,1.26184795,6.995289955,1.249740948
92139,2.04318163,2.04318163,4.28156488,2.409804118
92140,0.793525122,0.793525122,4.0634437,0.963836512
92145,1.846500548,5.136461832,11.43167818,1.846500548
92147,0.966619014,0.966619014,6.001443753,1.077669754
92154,2.205253008,2.205253008,5.775304849,2.515116145
92155,1.493464945,1.493464945,6.727460816,1.726388794
92173,0.530109606,0.530109606,5.065696794,2.06617293
92201,7.721403085,7.721403085,32.830449,8.85612382
92203,2.755214298,3.246411917,21.90748947,2.755214298
92210,2.984475853,2.984475853,18.40593043,3.139713853
92211,2.184763815,2.184763815,16.21717301,4.303709541
92220,0.388527166,0.388527166,19.17273155,4.326184533
92222,8.070432286,8.070432286,10.95411135,9.854013081
92223,2.004726776,2.004726776,16.81563824,2.034486883
92225,19.93583277,19.93583277,64.36580739,41.90581059
92227,12.40834455,12.40834455,21.71422029,13.93600098
92230,5.602264657,5.602264657,16.32111033,8.559621463
92231,2.875163217,2.875163217,2.875163217,6.674546093
92233,4.671635781,4.671635781,31.53057461,16.1281515
92234,0.252163989,0.252163989,5.779405472,2.91986935
92236,3.59398222,3.59398222,28.81094479,4.94491447
92239,41.47002479,41.47002479,74.62907956,52.44729565
92240,1.563099486,1.759859681,9.448810493,1.563099486
92241,7.055212314,7.055212314,16.94546022,10.20818777
92242,2.645866396,3.377482053,25.3006134,2.645866396
92243,2.145439575,2.145439575,3.441824229,2.975248265
92249,3.923486215,3.923486215,4.888480638,6.456180389
92250,15.49860327,15.49860327,21.98384559,22.0294178
92251,8.056059008,8.056059008,11.46806721,10.25781533
92252,9.025378346,9.219990957,32.5559874,9.025378346
92253,5.251834413,5.345459174,24.14470731,5.251834413
92254,20.40891201,20.40891201,45.39521122,21.98913293
92256,9.166869903,11.24311995,20.10223119,9.166869903
92257,13.77937554,13.77937554,42.18342013,28.33069715
92258,4.742207185,5.691811835,6.281186307,4.742207185
92259,12.0303644,12.0303644,26.47124485,25.55770804
92260,1.181983576,1.181983576,14.81528068,4.156682996
92262,1.480674151,1.484326145,1.953436209,1.480674151
92264,4.359977186,4.359977186,9.528665096,4.576239386
92266,21.70786555,21.70786555,61.68838872,52.96507888
92267,13.26036819,13.37519205,18.95375798,13.26036819
92268,11.71221944,11.71221944,31.80174668,13.19228163
92270,0.782982682,0.782982682,10.29670496,1.861115881
92273,6.148717316,6.148717316,10.2639236,9.120714245
92274,21.99738735,21.99738735,44.77562774,23.94049398
92275,26.17652947,26.17652947,43.33581362,30.97462806
92276,2.248098787,2.248098787,12.61733938,5.549733355
92277,54.88528399,55.0571686,71.0780168,54.88528399
92278,25.93353783,26.12381582,46.91203657,25.93353783
92280,33.53590666,34.08493067,41.8008044,33.53590666
92281,7.277220802,8.250902907,21.76543411,7.277220802
92282,9.378685522,11.09795891,12.98429582,9.378685522
92283,20.34446864,20.34446864,26.0420296,22.68736096
92284,5.354988743,5.433140998,29.80666461,5.354988743
92285,19.61241037,19.61241037,41.661369,20.17624202
92301,10.11843823,10.11843823,20.05997848,18.67879881
92304,63.28000845,63.48146481,85.37007037,63.28000845
92305,8.099055962,8.099055962,28.1798733,19.84070622
92307,9.606263783,9.606263783,17.90205448,13.72337689
92308,7.142456662,7.142456662,13.55554226,9.529149577
92309,66.07312203,67.05865024,98.74167035,66.07312203
92310,37.92045508,38.16782964,81.17173134,37.92045508
92311,7.267636424,7.267636424,50.18507199,7.577235486
92313,0.465852653,0.465852653,2.899646955,2.342678638
92314,5.147610593,5.147610593,32.53871259,16.58625838
92315,1.494901705,1.494901705,25.99742817,16.22208148
92316,0.552639087,2.626180799,5.349583828,0.552639087
92320,3.050611137,3.050611137,12.88022158,3.922654419
92321,5.505250668,11.66911213,16.70471427,5.505250668
92322,6.538573,8.772107961,16.50394969,6.538573
92324,0.925137994,1.473578268,2.333990516,0.925137994
92325,3.378155787,9.075986406,15.38031149,3.378155787
92327,9.677850979,11.18566747,47.54963061,9.677850979
92328,68.41004177,68.41004177,119.5487722,89.66204051
92332,50.15048322,50.15048322,52.44742024,52.08708764
92333,4.665139892,4.665139892,25.46065183,12.99533212
92335,1.26758841,1.26758841,10.53548115,2.478825926
92336,1.220222203,1.220222203,14.13304607,2.882833804
92337,1.816973659,1.816973659,9.127349354,3.351077283
92338,56.54173033,57.3556906,82.58669823,56.54173033
