ZCTA,bupTime,bupCount,metTime,metCount,nalTime,nalCount
17862,24,13,40,0,22,3
17864,22,13,58,0,42,0
17865,6,18,20,1,15,5
17866,0,20,51,0,0,3
17867,41,0,82,0,31,0
17868,5,26,30,1,21,4
17870,0,14,41,0,24,2
17872,0,20,55,0,3,3
17876,9,27,34,0,18,4
17878,17,5,48,0,17,3
17880,34,0,43,0,25,2
17881,11,9,51,0,11,3
17884,11,19,21,1,20,5
17885,54,0,62,0,41,0
17886,5,31,13,1,9,5
17887,0,59,10,2,5,11
17888,6,14,60,0,18,4
17889,15,14,35,0,18,2
17901,8,9,50,0,0,7
17920,10,16,65,0,15,5
17921,17,15,69,0,0,9
17922,20,4,44,0,24,6
17923,18,6,52,0,13,6
17925,16,8,56,0,20,6
17929,10,11,44,0,11,7
17930,5,10,52,0,9,6
17931,0,17,57,0,0,7
17933,17,8,47,0,18,7
17934,6,16,59,0,6,7
17935,11,15,66,0,12,9
17936,17,15,61,0,9,9
17938,29,9,52,0,29,2
17941,38,0,77,0,29,1
17943,8,17,60,0,10,9
17944,14,13,55,0,8,7
17945,8,17,62,0,9,9
17946,6,13,62,0,15,7
17948,0,12,51,0,9,7
17949,8,13,61,0,8,7
17951,12,14,53,0,6,7
17952,19,8,56,0,22,6
17953,13,8,58,0,17,6
17954,13,13,54,0,7,7
17957,34,0,49,0,31,0
17959,10,7,57,0,13,6
17960,29,2,43,0,34,0
17961,13,12,37,0,17,7
17963,23,6,35,0,23,2
17964,24,9,68,0,24,3
17965,0,9,49,0,5,7
17967,14,11,58,0,22,2
17968,43,0,64,0,24,1
17970,5,17,50,0,0,7
17972,14,9,47,0,15,7
17974,11,14,53,0,5,7
17976,0,17,56,0,10,7
17978,44,0,62,0,19,1
17979,16,9,39,0,16,7
17980,38,0,50,0,29,1
17981,26,1,46,0,21,5
17982,20,11,54,0,24,6
17983,36,0,57,0,28,1
17985,21,7,61,0,29,1
18011,15,48,20,1,15,15
18013,14,51,27,2,17,16
18014,13,86,18,2,14,23
18015,0,99,12,4,0,33
18016,3,96,10,4,3,31
18017,0,96,10,4,0,31
18018,0,96,9,4,0,31
18020,0,89,0,3,0,26
18030,5,12,31,0,5,4
18031,10,57,16,1,10,18
18032,4,87,18,2,0,25
18034,12,100,15,4,12,32
18035,15,70,28,2,17,22
18036,10,98,10,3,10,35
18037,6,84,16,2,8,26
18038,22,17,31,0,22,6
18040,0,52,13,2,12,16
18041,18,65,18,2,18,26
18042,0,75,7,2,0,19
18045,0,86,9,2,0,23
18046,6,78,14,3,6,27
18049,0,78,18,3,10,26
18051,0,59,14,1,14,19
18052,0,96,16,3,5,33
18053,15,39,21,1,21,16
18054,13,59,18,4,13,21
18055,0,89,17,3,12,29
18056,13,71,22,3,18,28
18058,16,7,41,0,16,3
18059,10,72,21,1,14,24
18062,11,62,17,1,11,19
18063,10,42,18,2,16,10
18064,0,85,13,2,0,23
18066,20,19,22,1,12,8
18067,0,81,22,2,9,26
18068,9,80,22,3,15,30
18069,0,73,0,2,0,22
18070,17,69,19,3,19,28
18071,0,11,34,0,0,3
18072,9,26,26,1,21,12
18073,16,26,16,2,16,14
18074,13,57,19,4,18,20
