"GEOID","minDisHosp","timeDrive","countDrive"
28089030301,9.18,19.31,11
28089030500,3.84,14.68,6
28119950100,22.77,39.25,0
28049010808,3.15,7.75,15
28047002700,2.99,6.53,6
28033070900,8.07,21.38,2
28035000600,2.51,4.42,4
28029950400,1.7,25.98,2
28031950300,9.16,20.87,2
28033070620,4.36,9.87,17
28033070811,1.79,7,20
28035010700,3.03,8.37,4
28049010203,5.34,14.81,12
28049010901,3.34,10.9,14
28057950300,19.04,27.39,2
28059040500,3,8.08,4
28043950100,11.72,29.79,1
28095950300,2.06,5.22,2
28039950302,10.8,19.96,1
28047001300,2.57,6.7,7
28049010500,13.77,26.3,1
28105950400,1.39,5.29,2
28105950602,4.16,10.35,1
28027950600,1.13,2.21,1
28121020207,2.33,12.79,14
28073020301,5.53,9.35,4
28099010700,9.23,17.37,2
28015950100,16.17,30.18,0
28023950200,10.14,19.05,1
28117950200,5.62,14.75,1
28109950402,6.24,9.85,1
28117950100,8.96,17.96,1
28061950300,7.83,20.21,1
28073020500,9.56,25.86,1
28047003208,4.53,5.19,7
28047003304,2.5,8.32,7
28047003403,7.37,17.35,6
28047980000,3.37,10.41,6
28049000400,1.77,3.33,16
28049010305,5.24,12.54,14
28145950600,9.72,29.37,1
28147950200,0.32,0,2
28149950700,0.73,0,3
28133950402,1.62,5.72,1
28073020600,10.18,14.8,2
28075000900,1.16,3.6,7
28075010202,9.79,18.62,7
28071950401,5.44,12.48,1
28029950600,12.88,0,1
28121020102,12.32,25.98,3
28153950400,13.66,41.78,0
28043950300,1.87,5.37,1
28043950400,2.41,4.17,1
28083950100,13.8,33.05,0
28087000401,7.59,8.51,1
28139950400,7.21,15.46,1
28045030200,4.77,6.95,1
28045030300,2.98,0,1
28047000300,1.35,2.67,7
28047000600,1.61,4.39,7
28047003102,8.82,18.32,5
28071950502,10.24,18.09,2
28071950503,5.25,7.65,2
28079040500,10.51,22.79,1
28101050200,8.15,0,1
28081950402,7.43,19.83,2
28081950601,3.63,17.06,2
28081950800,0.51,9.42,2
28083950400,7.09,11.14,1
28083950700,1.25,0,1
28059040101,20.79,30.38,0
28141950300,3.42,0,1
28155950200,9.41,13.86,1
28103950200,9.79,24.23,1
28093950200,8.41,25.65,3
28131020100,1.43,17.97,1
28003950400,10.08,18.43,1
