ZCTA,BED_COUNT,POINT_IN_TIME,YEARLY_BED_COUNT
3683,,,
35441,,,
3551,,,
35121,,,
3558,,,
35619,,,
3516,,,
36115,,,
36353,,,
36728,,,
35229,,,
99574,,,
99729,,,
3627,,,
3547,,,
86544,,,
35173,,,
3598,,,
71653,,,
81524,,,
9338,23,19,23
212,73,4,73
83811,,,
4554,,,
634,18,12,18
21529,,,
2671,,,
419,,,
49854,1,,1
56127,,,
4766,,,
3915,16,11,16
5987,,,
5914,,,
2461,,,
8845,,,
99517,,,
99639,,,
99768,,,
85264,,,
86334,,,
8551,11,11,11
85638,,,
85726,,,
72756,15,15,15
7295,,,
71846,,,
93592,,,
936,45,41,2
9396,,,
93235,,,
93622,,,
918,119,87,119
9657,,,
93666,,,
94952,271,257,237
94127,,,
9634,,,
9362,,,
49934,,,
28428,,,
39465,,,
65747,,,
64112,,,
39144,,,
376,,,
97368,,,
15316,,,
19137,,,
2944,,,
69341,59,51,59
1155,338,338,338
7844,25,23,25
84753,,,
545,,,
24171,,,
2392,,,
24622,,,
44123,,,
98382,16,14,16
7355,14,4,14
25425,,,
9763,,,
82225,,,
3579,,,
873,,,
8756,,,
8831,,,
87558,,,
8842,,,
8855,,,
1171,,,
111,219,218,219
12758,,,
1282,,,
14212,53,48,53
11956,,,
14788,,,
14,,,
1151,,,
1435,,,
13617,9,9,
13316,,,
34287,32,17,32
33413,,,
32421,,,
3417,,,
3816,,,
3332,,,
375,,,
31631,,,
3138,,,
3464,,,
3118,,,
3428,,,
96777,,,
96746,,,
83553,,,
61414,,,
1312,,,
27893,81,71,79
27295,4,4,4
2854,2,15,2
28787,,,
27825,,,
28611,,,
2889,,,
5825,,,
4384,,,
44493,,,
44233,,,
4323,13,13,13
44671,,,
4333,,,
1236,,,
13,,,
49861,,,
48625,,,
48233,,,
4891,64,44,64
49948,,,
5529,,,
56467,,,
56639,,,
56671,11,89,11
561,525,433,476
56313,,,
3914,,,
39759,,,
3892,,,
3917,,,
3969,,,
38945,,,
39332,,,
6493,65,65,65
931,44,199,44
95545,,,
823,,,
81227,,,
8515,,,
6412,6,4,6
6481,,,
19716,,,
34488,,,
3422,,,
62982,,,
4778,171,134,165
51243,,,
366,,,
4173,,,
7357,,,
71254,,,
42464,,,
4183,,,
4444,,,
4135,2,1,2
457,,,
41612,,,
425,,,
4313,,,
41725,,,
4144,,,
7136,,,
71268,,,
7575,,,
71479,,,
439,,,
4622,,,
4354,,,
4975,,,
492,,,
2899,,,
21717,,,
64125,,,
63653,,,
6466,,,
65556,4,1,4
65623,,,
65612,,,
59456,,,
5954,,,
59735,,,
59834,,,
68137,,,
69333,,,
68841,,,
6834,,,
328,,,
3753,,,
7621,12,12,12
874,,,
16244,,,
15422,,,
18444,,,
17576,,,
1549,,,
1912,96,96,96
18617,,,
2918,32,16,32
293,,,
29483,25,25,25
29591,,,
29117,,,
29368,,,
57422,,,
5754,,,
3766,,,
3831,158,154,133
37174,,,
6129,,,
61839,,,
6149,,,
6144,,,
632,37,37,37
6472,,,
47421,39,29,3
47916,,,
4786,,,
46961,,,
47281,,,
523,,,
5227,,,
5551,,,
515,,,
5233,,,
5559,,,
5123,,,
67747,,,
66621,,,
67457,,,
4372,,,
9919,6,,6
99166,2,2,2
9834,,,
9883,,,
2645,,,
26554,177,135,166
25271,,,
98638,,,
24844,,,
24845,,,
24736,,,
2625,,,
54521,,,
24847,,,
54985,,,
83116,,,
26151,,,
9835,,,
24656,,,
19731,,,
46376,,,
54896,,,
3344,,,
35548,,,
36775,,,
71651,,,
5354,,,
311,169,157,169
2182,,,
2141,29,28,29
6619,,,
61315,,,
46987,,,
4883,18,18,18
449,,,
659,,,
829,,,
99124,,,
5747,,,
76483,,,
88134,,,
772,,,
1783,,,
84629,,,
1913,167,126,14
1515,,,
1725,,,
4397,,,
43529,,,
1237,397,382,386
36522,,,
3165,98,93,98
85922,,,
8562,,,
84531,,,
9612,,,
8263,,,
93643,,,
968,134,135,94
95458,,,
74578,,,
97624,,,
97343,,,
97148,37,37,37
16616,,,
97123,255,233,254
97424,,,
17756,,,
97758,,,
97494,,,
19442,,,
17887,,,
1578,,,
15737,,,
15546,,,
18428,,,
18814,,,
1741,,,
8519,17,17,17
71665,,,
71671,,,
71998,,,
72476,,,
71837,,,
71763,,,
71858,,,
93254,,,
252,,,
2427,,,
32714,,,
32134,,,
33498,,,
3121,72,62,72
3521,,,
3184,,,
3252,,,
39842,1,1,1
3474,32,17,32
95835,,,
9323,,,
95364,,,
9123,62,57,62
95363,25,19,25
93665,,,
971,,,
95724,,,
832,174,169,174
8746,,,
81223,,,
81243,,,
8218,283,21,283
19977,,,
222,,,
34681,,,
3297,,,
3513,55,5,51
31318,,,
3178,,,
3326,,,
3293,,,
96786,,,
83244,,,
83544,,,
83218,,,
83467,,,
6289,,,
61243,,,
62987,,,
6171,,,
6643,46,41,46
62865,,,
61936,,,
6139,,,
47457,,,
47337,,,
46183,,,
4668,,,
47836,,,
47683,,,
47969,,,
526,,,
51244,,,
563,,,
52647,,,
5136,,,
66216,2,2,2
66728,,,
6752,,,
438,,,
42431,15,15,15
4126,,,
444,,,
4221,,,
42411,,,
449,,,
7549,,,
7582,,,
95441,,,
94574,,,
9621,71,52,71
95485,,,
93664,,,
37338,,,
37374,,,
76597,,,
37132,,,
37246,,,
75752,,,
7876,,,
79781,,,
78653,,,
7788,,,
75779,,,
7814,,,
7635,,,
75652,,,
77575,,,
7681,38,19,38
7858,,,
76877,,,
78881,,,
75844,,,
77954,,,
7862,,,
79731,,,
76148,,,
75929,,,
75831,,,
7981,,,
76676,,,
24153,143,131,141
84648,,,
84751,,,
556,,,
579,,,
545,21,21,21
22514,,,
24483,,,
2413,323,197,323
22845,,,
17885,,,
9845,,,
9923,,,
26562,,,
26763,,,
1527,,,
54143,14,12,13
97838,2,2,2
36766,,,
3565,,,
36784,,,
35579,,,
36268,,,
99833,,,
9971,,,
99654,,,
8652,,,
86326,29,29,15
85924,184,184,184
2967,,,
57346,,,
37324,,,
57236,,,
37377,,,
37315,,,
37725,17,17,17
3829,,,
3847,,,
3777,,,
7772,,,
7128,,,
7648,,,
445,,,
4472,64,42,64
33432,,,
83823,,,
46327,,,
61112,,,
4851,,,
6958,,,
46799,,,
2818,,,
5314,345,326,333
7517,,,
4383,1,4,
49878,,,
4739,,,
38844,,,
63775,16,6,16
134,,,
49248,,,
2343,148,148,148
4978,,,
772,,,
8783,,,
49722,,,
2753,,,
6582,224,159,165
65742,,,
5881,1,1,1
779,,,
787,,,
3447,,,
7723,,,
2873,,,
57754,,,
165,21,18,21
37738,,,
1127,3221,352,3221
3762,164,87,154
79346,,,
75488,,,
5488,,,
57641,,,
2465,,,
2331,,,
24426,16,7,16
98422,,,
99114,126,61,126
25514,,,
28533,,,
2832,,,
45142,,,
58368,,,
58622,,,
587,,,
43467,,,
438,,,
44615,16,,16
45745,,,
44682,,,
4457,13,18,13
43142,,,
43736,,,
4375,,,
4411,,,
7416,,,
743,,,
74464,13,6,13
73441,,,
97525,,,
9764,,,
97355,,,
