COUNTYFP,BED_COUNT,POINT_IN_TIME,YEARLY_BED_COUNT
3699,23,23,23
331,295,177,295
899,,,
4537,,,
2955,,,
261,1,1,1
13167,,,
2793,,,
2799,18,14,18
21145,194,17,19
2639,,,
2645,163,162,163
841,1982,1648,198
19137,,,
1343,,,
1869,2,3,2
1873,,,
3787,99,73,99
37155,75,47,75
3815,1,1,1
48139,74,33,74
4843,,,
48481,,,
411,1,1,1
4145,38,38,38
4263,17,141,17
4553,,,
1829,157,13,157
18131,,,
18139,,,
847,,,
889,,,
1947,,,
461,76,36,75
29137,,,
31169,,,
47161,,,
1723,,,
1943,,,
1953,,,
2171,,,
19133,,,
2619,,,
2635,35,23,35
271,,,
2123,,,
4265,65,33,65
443,228,215,228
1761,,,
1815,628,465,625
18117,,,
18137,8,8,8
583,,,
481,,,
1971,,,
1923,,,
1929,,,
813,,,
819,,,
531,2,,2
269,,,
27117,,,
27121,,,
2741,42,48,41
19115,,,
19125,,,
13187,12,12,12
179,,,
8119,,,
121,1778,1547,164
915,326,36,266
1227,,,
5123,,,
2611,34,33,34
1843,68,49,64
21215,,,
21221,,,
2259,,,
2273,33,32,33
2283,,,
2287,,,
471,11,2,11
93,331,383,3125
5141,,,
26117,34,34,34
26121,954,895,924
4955,,,
4281,27,236,241
1961,228,184,29
1967,,,
19139,132,69,132
19143,,,
19153,1586,1441,156
19157,,,
2611,3,2,3
195,1,1,1
1913,28,26,24
1919,,,
2139,,,
4269,482,468,454
4115,,,
2745,37,33,37
27123,6832,5875,6755
1399,,,
1653,,,
5461,161,117,146
427,311,299,311
48353,,,
48357,,,
48367,12,12,12
5469,146,118,94
2837,,,
2841,,,
48221,,,
48227,,,
3887,,,
1389,2415,2378,2415
1261,533,54,533
13285,125,18,125
1785,,,
1789,61,498,572
4539,,,
13115,184,175,184
4221,114,73,114
18141,857,729,77
18149,,,
13125,,,
13255,141,118,141
13259,6,6,6
881,,,
271,12,12,12
4237,55,29,55
1769,,,
17151,,,
2677,1293,175,1293
4217,132,123,11
1771,,,
337,,,
351,,,
275,256,259,256
3823,,,
51173,1,1,1
177,156,156,126
183,,,
1367,872,796,857
1381,,,
3797,214,113,214
37169,,,
5151,44,344,354
5113,677,621,648
13165,,,
2673,11,71,74
185,92,75,92
1815,,,
1671,,,
17167,535,351,468
18163,864,754,851
18165,,,
18169,9,9,
5455,76,63,76
13299,92,87,92
2693,87,65,68
1723,21,1,21
885,116,71,84
1221,532,521,522
1251,,,
17147,,,
4897,,,
48113,595,5713,5875
1337,,,
17141,,,
17157,,,
4719,,,
47113,224,22,199
48445,,,
48483,,,
5339,71,61,71
5435,,,
48127,,,
27133,,,
5411,,,
555,33,26,33
17165,8,8,8
181,,,
1125,377,33,377
417,23,18,23
5619,,,
5589,18,18,18
391,24,17,24
2891,,,
5145,,,
5158,,,
516,53,49,4
1781,3,1,3
1335,,,
2719,73,65,64
2729,,,
39169,87,87,75
421,14,13,11
2895,,,
47133,,,
4941,67,41,66
2643,38,37,38
2657,35,34,17
2667,79,7,79
3669,314,312,314
2815,,,
3139,,,
13193,,,
161,14,111,1312
2687,35,32,35
2691,144,129,144
21127,,,
13293,,,
17133,,,
4743,,,
5497,16,11,16
4523,14,,14
57,581,471,466
31113,,,
429,66,66,66
1879,,,
17181,37,24,37
17191,,,
17195,37,1,8
4253,,,
48149,,,
48155,,,
48183,434,337,434
511,145,114,119
265,41,41,41
1893,39,29,3
547,,,
1355,,,
5137,,,
861,,,
875,25,2,25
48189,26,13,26
47,,,
13321,,,
1719,28,21,28
17113,379,287,349
2625,62,554,594
1311,,,
1799,,,
1713,,,
1715,,,
51197,19,19,19
37179,143,135,143
17123,,,
1319,,,
48397,,,
18155,12,9,12
3725,147,75,147
3735,373,32,373
13211,,,
415,,,
4111,44,3,39
2631,33,33,33
5489,,,
51115,,,
51169,,,
1783,,,
3971,24,23,24
3979,1,11,1
48267,,,
28117,,,
28125,,,
29135,,,
48271,,,
5165,183,986,983
37143,,,
29221,,,
3969,2,4,2
2975,,,
2979,,,
29165,133,81,133
17111,31,288,31
317,,,
4647,,,
37191,162,15,162
381,,,
29225,,,
3685,838,82,768
2859,54,54,54
2993,,,
5637,27,14,27
5479,,,
3989,713,676,711
4585,11,83,11
467,,,
1889,648,567,642
1817,35,,35
18161,,,
1921,,,
36117,3,27,3
48177,,,
48191,,,
48219,,,
125,232,188,23
48257,64,4,64
3121,,,
3611,269,233,269
31141,1,8,1
31145,,,
31149,,,
48247,,,
4821,67,37,67
29111,,,
531,19,,19
5363,3483,2944,3219
4153,22,2,22
17139,,,
5591,,,
3733,11,11,11
37185,,,
37187,,,
335,163,157,155
351,332,2766,311
2817,,,
3627,87,764,853
17193,,,
1847,,,
2185,,,
5111,,,
3815,24,163,236
2925,,,
2991,139,9,139
2191,,,
2139,,,
48197,,,
3167,,,
3177,,,
4665,489,271,486
5451,1,7,1
3197,,,
2145,,,
26123,72,66,72
31127,,,
3719,3,6,24
37197,,,
3183,,,
3193,,,
5571,53,49,48
42113,,,
4829,,,
48233,,,
4837,,,
31173,14,12,14
31175,,,
356,,,
359,15,4,15
31131,,,
31139,,,
48123,,,
48125,,,
5168,237,174,237
51683,12,73,92
135,,,
1345,27,218,27
21163,,,
21191,,,
3951,7,2,7
365,,,
3513,379,246,379
5583,63,51,63
4877,,,
4881,,,
499,,,
1387,,,
27155,,,
27159,1,1,1
27169,12,12,4
3649,5,5,4
3959,35,26,35
527,,,
4887,,,
48235,,,
48243,,,
48249,,,
29181,29,14,29
3113,,,
48281,,,
48291,,,
419,253,253,253
2865,,,
2869,,,
2917,,,
1361,,,
2839,,,
3781,789,78,716
37119,3664,3497,3427
37171,7,61,7
285,,,
28113,,,
1725,,,
5549,22,19,19
48253,,,
5155,14,136,91
46129,,,
5165,,,
5152,,,
2863,,,
28127,,,
1749,7,7,7
17,,,
397,,,
119,,,
2815,,,
5531,11,8,88
185,,,
5511,354,296,334
28135,,,
28145,,,
55129,6,2,6
4651,,,
4157,33,33,33
4645,,,
281,,,
293,,,
4643,,,
2953,35,17,35
313,,,
3528,,,
2819,,,
37181,21,16,6
2873,161,161,161
4657,,,
55135,23,23,22
2825,12,4,12
4885,67,499,67
4895,,,
48111,,,
48115,,,
3621,17,17,25
319,,,
29131,1651,1111,1639
28155,,,
2939,,,
4847,,,
4815,,,
2831,,,
2835,159,136,159
5125,,,
21143,,,
3981,294,249,294
375,,,
3439,863,77,682
2951,69,58,69
21219,,,
2249,,,
649,35,32,35
687,178,1549,1688
1733,,,
4119,65,51,59
29147,,,
29151,,,
4691,,,
3527,22,22,22
3553,63,34,63
3931,75,71,75
3933,,,
2173,4,45,4
2899,,,
28147,,,
5175,15,15,15
4123,89,74,68
2759,2,13,2
3741,,,
3937,44,32,44
2615,92,89,92
48439,4253,3712,4119
1655,254,26,254
3957,243,21,243
3965,,,
29185,4,4,4
2147,28,26,28
2181,2,1,2
4613,617,531,617
3761,2,,2
145,,,
31159,,,
31165,,,
31111,64,71,64
31115,,,
5611,,,
5617,,,
5623,14,2,14
5627,6,,6
1263,9,9,9
2755,14,8,14
115,,,
2122,,,
2523,2366,2364,235
4661,,,
4795,,,
4799,,,
567,,,
5593,17,13,16
5597,1132,797,178
3839,,,
46115,,,
1849,,,
1857,135,94,135
1877,2,2,
18127,332,33,332
3829,,,
3857,5,,5
1211,577,483,577
47179,428,323,41
2163,,,
3923,295,277,289
39139,224,21,224
317,,,
4129,,,
4149,,,
2785,,,
31179,,,
31183,,,
3217,,,
3221,,,
3227,,,
373,,,
355,6,7,6
321,,,
4931,,,
1819,91,93,91
3843,,,
2983,27,27,27
3941,118,113,115
4637,,,
4761,,,
4769,13,29,13
4771,,,
2997,386,326,368
3229,,,
3927,31,22,31
2191,,,
1281,36,28,272
4137,,,
48121,269,215,269
48133,,,
48269,,,
48327,,,
2811,,,
29117,12,8,12
29121,,,
4627,,,
1755,,,
1681,,,
579,,,
221,,,
225,,,
48447,,,
29139,,,
4713,,,
31121,,,
31125,,,
46135,69,67,69
5127,,,
13199,,,
21211,,,
491,,,
1937,,,
55141,13,12,11
379,,,
3819,,,
3821,,,
4727,,,
4747,5,4,5
5527,4,4,4
2115,88,89,88
2187,,,
2167,,,
2735,16,873,11
1833,,,
1839,336,26,336
3615,242,238,219
4835,,,
1391,,,
4633,,,
3619,282,269,226
485,,,
3771,291,257,261
2119,33,241,33
1211,2759,2458,273
13119,,,
19149,,,
4723,,,
87,,,
3883,,,
2127,,,
2129,,,
2133,,,
1713,,,
1215,248,239,236
2717,12,89,12
31163,213,27,213
29141,,,
29145,36,21,36
4631,,,
3639,21,2,21
4783,,,
55133,229,156,167
219,,,
2925,,,
29211,17,16,17
48331,,,
48363,,,
3641,,,
3693,111,181,896
2877,,,
2289,,,
2293,,,
2187,,,
239,116,79,116
2749,77,71,67
13129,9,9,9
297,1,5,
4215,39,3,38
4629,,,
2897,,,
389,4,,4
3811,,,
29215,,,
29219,,,
1845,14,13,14
2765,78,67,78
2135,,,
2153,,,
28111,,,
2945,,,
2973,,,
5477,,,
3541,,,
445,235,26,231
3773,,,
3813,,,
1951,,,
535,51,38,51
5176,1368,1228,138
5323,,,
23,,,
247,,,
2119,,,
2157,,,
515,41,41,2
459,,,
3163,,,
4129,155,795,995
1611,,,
3869,,,
395,15,12,15
1795,,,
21157,,,
4139,26,18,26
48137,,,
48217,,,
48299,,,
1811,8,1,8
2121,3,2,3
31143,,,
325,3,2,3
3187,,,
31117,,,
4219,39,39,39
235,1141,13,991
1735,81,8,81
1739,,,
241,,,
2137,,,
4225,5,46,42
2179,,,
26151,11,8,11
1779,5,5,5
5121,,,
419,2968,2327,2741
483,,,
4137,,,
29123,3,3,3
29187,32,26,32
4141,95,95,95
17155,,,
1823,,,
1863,31,26,31
18145,,,
26161,1219,119,1114
3841,,,
463,,,
3523,,,
37157,139,139,118
37195,81,71,79
31181,,,
37151,35,35,35
1711,,,
123,,,
533,46,44,46
1911,,,
317,,,
425,,,
4147,,,
4153,114,98,114
5184,39,34,37
13175,87,63,87
8123,65,511,48
279,69,52,69
2757,16,18,16
2669,12,13,12
18135,15,,15
3127,,,
3143,21,3,21
5545,6,5,5
4625,,,
17117,21,21,21
569,5,,5
4277,789,657,725
4953,32,264,285
18153,,,
19123,31,26,31
21117,511,411,42
29186,,,
3199,,,
2115,,,
13247,19,13,19
1777,46,35,43
18183,36,13,36
277,496,56,464
1915,5,4,5
3145,9,6,9
29229,,,
341,25,11,25
315,,,
1243,,,
3915,,,
3525,,,
3831,,,
13147,5,2,5
597,,,
615,48,39,48
817,,,
1213,3924,3312,3922
1317,,,
51183,8,3,8
1371,81,81,81
4163,15,15,15
3929,196,175,196
4827,772,729,772
1965,,,
1993,,,
1333,,,
48375,736,543,736
48461,,,
48495,,,
19119,,,
1787,,,
5159,12,1,12
2779,1,,1
4287,54,35,54
27,,,
2117,,,
19121,,,
19151,,,
19179,,,
2739,,,
2763,2,2,2
48415,,,
27111,,,
27165,,,
1917,,,
227,,,
2161,,,
3879,,,
48193,,,
48433,,,
4855,,,
13297,11,112,11
155,,,
1933,128,97,123
1721,847,755,773
1959,1,8,1
19183,3,31,3
275,,,
111,,,
39113,221,2336,2141
18167,345,248,345
3767,924,763,837
1963,,,
27115,19,17,19
13231,,,
2621,234,18,234
39141,213,188,165
5182,194,151,154
4859,,,
5533,68,57,57
2845,29,29,29
27143,,,
239,,,
2715,32,28,32
19177,,,
211,,,
5587,287,262,282
3963,169,149,169
39149,55,37,55
2879,234,151,234
29155,5,5,5
5453,41,33,4
27149,,,
3623,87,87,87
13,51,28,51
119,,,
415,153,153,153
591,6,11,6
5517,77,65,77
5519,,,
3847,,,
3849,,,
47171,,,
2659,43,36,26
28139,,,
2629,6,6,6
26111,86,84,86
3559,,,
3985,281,258,281
3531,218,261,218
4171,264,263,264
2725,,,
1285,153,148,153
429,,,
289,,,
3311,1577,1435,1577
361,2116,1996,1766
2329,,,
523,528,444,416
1127,,,
2164,,,
2959,,,
2963,,,
367,548,546,546
28131,,,
2949,16,16,16
4899,24,16,24
2227,,,
2437,242,224,21
2647,32,26,32
29217,3,3,3
419,384,3223,3683
5643,,,
25,,,
4613,21,7,21
4617,,,
3149,,,
5519,148,14,13
55137,,,
5625,332,22,332
449,,,
518,33,37,251
1745,6,5,6
51,15,11,11
477,,,
26113,5,5,5
26129,,,
3637,52,47,52
513,,,
3873,,,
4669,,,
5621,242,243,242
31185,22,4,22
3319,168,157,168
19193,437,357,321
55115,2,14,2
5135,8,8,8
131,,,
1123,,,
3549,645,531,514
4711,43,29,43
3117,,,
21233,,,
5369,1,3,1
5595,16,1,14
55125,,,
4113,641,595,641
365,35391,3399,3538
3655,252,239,2451
48319,,,
48359,,,
48425,,,
5167,26,21,
5429,,,
28119,,,
5553,3,3,3
1939,,,
1291,416,34,374
3635,13,13,8
3919,17,94,11
3185,,,
31147,24,2,24
5153,,,
2857,,,
2937,,,
4751,,,
1617,42,4,42
299,,,
3117,,,
415,,,
1991,,,
2929,,,
2881,34,3,34
5547,1,1,
5555,38,29,37
587,,,
887,1,1,
3993,579,526,579
4653,,,
4612,15,8,15
48393,,,
3689,46,46,37
3825,,,
3535,,,
629,42,3486,41
671,438,4325,431
863,,,
549,,,
31135,,,
171,153,125,125
5171,4,4,4
3219,,,
4813,19,7,19
4823,,,
4833,,,
4871,,,
5541,12,6,12
3945,437,395,437
533,,,
29163,22,22,22
3683,971,944,898
5415,,,
4819,,,
5177,524,34,524
51775,143,131,141
13275,24,6,24
3179,179,125,179
845,35,3,1
2198,,,
13227,,,
48181,224,185,224
48195,,,
48211,,,
48295,,,
5162,,,
5513,17,4,17
5565,2,2,2
13281,,,
47137,,,
4683,,,
31129,,,
31157,63,51,63
48297,,,
4681,3,3,3
311,139,98,139
5578,42,39,33
5171,1146,146,139
51735,,,
29169,4,1,4
213,238,85,238
5166,198,157,142
3863,,,
3881,,,
3119,65,52,65
3111,,,
3115,,,
29175,,,
325,,,
4811,,,
48259,38,22,38
48463,,,
19145,,,
3111,,,
5513,15,14,14
363,6,46,59
2965,,,
559,775,68,641
4717,,,
5164,19,19,19
5561,,,
2197,,,
517,483,49,358
5563,183,15,143
521,238,176,146
4619,,,
48325,,,
48329,175,119,164
48335,,,
5177,,,
825,,,
55131,64,53,64
3417,1568,1474,1232
1737,222,182,218
29153,,,
311,,,
3169,,,
1217,261,24,261
2161,131,82,131
2159,245,233,245
39173,62,52,61
1793,5,33,
17127,36,28,36
3987,57,52,57
3543,47,57,47
3745,4,21,4
5535,239,27,235
5599,,,
3157,,,
3175,,,
3115,,,
2861,,,
17119,269,251,269
21121,66,59,66
21177,,,
5413,1,1,1
5517,19,18,11
48443,,,
48491,1,1,1
519,,,
5147,88,84,58
39145,31,3,31
43,,,
46119,,,
1931,,,
219,,,
279,57,42,53
217,,,
4611,,,
55117,72,63,61
55139,12,9,77
581,,,
1283,544,518,51
13127,246,22,246
29115,,,
51119,24,24,24
51139,,,
5173,26,17,26
37129,471,418,471
37167,33,21,33
3877,,,
4579,2324,1782,284
617,297,252,25
12125,,,
1985,,,
4715,,,
48159,,,
327,41,15,41
17163,475,424,475
3111,39,262,39
3125,,,
2219,16,128,16
47141,81,68,81
47175,,,
4839,55,49,55
48223,,,
48321,,,
48387,,,
46137,,,
4759,39,37,39
199,,,
42129,26,173,183
483,,,
48265,3,9,3
48293,,,
48437,,,
667,666,5677,5933
17143,816,57,816
179,,,
1969,,,
1667,,,
4257,,,
2737,539,551,539
5139,,,
2751,13,13,13
4875,,,
4531,,,
17169,,,
17171,,,
5491,,,
13173,,,
48237,,,
235,,,
13131,,,
2155,118,13,118
12117,55,442,55
1313,86,6,86
4549,,,
4863,,,
1677,,,
4915,,,
215,,,
2239,,,
5197,,,
67,894,63,856
13241,42,4,42
125,,,
867,188,112,182
13263,,,
2137,81,71,81
1647,,,
48255,,,
47111,,,
48153,,,
48169,,,
17199,125,98,125
4621,,,
2893,29,29,25
2989,,,
3611,3,285,195
3763,828,79,818
3529,,,
293,,,
2915,,,
5169,54,33,34
19129,,,
2123,,,
37135,151,14,13
3891,,,
895,,,
4827,,,
5475,,,
2515,877,823,825
21115,4,4,4
39161,32,31,32
2943,,,
1397,36,315,357
13155,,,
3875,,,
3893,8,4,8
393,145,13,145
3921,23,14,23
181,5,5,5
26127,119,119,119
26145,721,733,716
4939,2,2,2
55,48,4,38
51167,,,
51595,,,
51678,,,
4169,,,
4285,44,34,44
2261,14,12,14
2827,,,
5161,167,116,167
5529,,,
2195,28,28,1
4779,157,155,157
42125,444,4,444
615,9,65,77
163,,,
2117,15,15,15
1649,,,
3663,328,243,318
51117,12,6,12
13153,156,135,156
231,194,12,194
21185,34,2,34
2747,8,11,8
283,,,
28123,,,
4239,17,154,17
1825,,,
21161,,,
273,172,154,163
31155,,,
4575,,,
4821,8948,8166,8886
3911,,,
2115,,,
2165,,,
2617,78,62,78
451,5,34,5
477,,,
1881,24,11,2
2913,,,
29127,12,12,12
29161,35,24,
3949,58,4899,4736
227,34,29,34
559,,,
5143,179,17,179
411,6,6,6
29179,,,
497,,,
2649,788,661,72
2157,,,
39111,,,
4615,,,
4293,27,22,27
857,,,
339,64,49,63
3911,91,5,91
363,713,637,673
36111,578,56,274
2317,73,48,73
4513,49,29,44
3411,199,18,165
48345,,,
2527,339,2964,3297
47187,224,223,224
425,1263,1161,1249
879,,,
4167,1126,163,116
1813,,,
2681,2179,1892,2118
2685,37,29,37
5581,162,144,161
21149,,,
2971,,,
29213,37,34,37
391,,,
19155,385,377,341
1887,,,
18113,28,8,28
2911,65,65,65
18151,17,19,17
26157,16,15,16
29129,,,
3687,255,223,197
4767,,,
4733,,,
47159,,,
4873,,,
347,29,3,29
3159,,,
2213,,,
2285,,,
2413,184,179,149
2619,61,61,61
427,45,45,45
1315,,,
21223,2,2,2
3161,,,
4777,,,
4831,,,
1657,56,41,48
3711,,,
21225,,,
4851,,,
3777,19,16,19
13163,,,
13221,,,
2441,567,367,558
2683,,,
165,163,157,143
4913,38,36,38
511,35,35,35
5119,,,
51163,,,
5317,52,21,52
575,,,
5131,,,
665,3142,2358,387
169,4,35,4
1121,68,71,68
412,,,
1339,19,9,19
487,,,
2727,89,794,786
27113,31,14,31
2999,62,59,62
48117,,,
48147,5,4,5
1765,,,
4533,12,8,12
3173,,,
3975,2,17,2
48171,,,
5579,3376,2995,3131
26139,524,473,513
