COUNTYFP,BED_COUNT,POINT_IN_TIME,YEARLY_BED_COUNT
37161,45,28,45
37163,,,
37177,,,
385,,,
3833,,,
3853,,,
3859,,,
3867,,,
3871,3,25,3
2267,,,
2269,,,
2279,44,318,37
2297,,,
2217,,,
22113,,,
22117,2,2,2
22123,,,
237,16,7,16
865,,,
871,2,4,2
893,4,212,395
815,,,
8113,,,
91,29,278,2817
97,81,749,776
911,944,847,941
15,236,28,151
1233,998,78,872
1237,,,
1241,,,
1247,,,
1253,118,11,114
1271,862,851,862
199,,,
1927,,,
1975,,,
19113,63,5,57
19147,,,
19195,,,
269,,,
2143,,,
2181,,,
215,,,
2125,38,28,38
2129,,,
2133,,,
2143,,,
2149,171,14,171
2163,,,
2171,55,44,55
2185,,,
2197,,,
2119,,,
21119,,,
21125,14,2,14
21135,2,21,2
21139,,,
21153,,,
21159,,,
21167,,,
21181,,,
21183,,,
21193,152,136,152
21197,,,
2125,86,52,86
5419,,,
5523,5,4,4
5537,,,
5551,,,
5569,8,7,6
5575,14,12,13
55111,18,17,9
417,8,8,8
4117,745,535,61
4119,298,289,298
4165,125,116,112
423,3835,3682,3691
4227,157,1238,154
4233,185,154,185
4241,352,32,349
4245,126,916,126
4251,244,191,244
4261,3,21,3
4271,738,744,658
4289,385,285,342
4295,53,441,425
5163,,,
5187,63,655,63
5377,1363,837,1167
4527,,,
4547,122,88,112
143,,,
4529,19,,19
4571,32,16,32
4667,,,
133,,,
25,,,
47,2,2,11
539,,,
639,294,27,294
843,129,126,12
1213,,,
1269,2575,246,2549
12129,,,
13219,,,
1635,,,
1669,63,43,63
17153,,,
1871,66,59,46
1987,,,
213,,,
2151,14,3,
21165,,,
4685,,,
4757,,,
2195,,,
69,24,24,24
897,24,21,
137,,,
2155,,,
2217,796,699,792
22115,14,5,14
26137,53,48,53
2919,437,396,386
35,,,
3729,,,
489,,,
4123,1,1,1
46117,,,
4791,,,
3947,121,114,121
3961,4392,3988,429
3995,2368,21,2284
4555,68,44,68
4559,,,
4569,,,
4573,51,39,39
4583,197,175,157
4589,,,
469,,,
643,5,46,5
695,716,611,716
835,24,24,16
13,1449,1161,1373
1279,,,
12113,12,9,12
131,,,
1379,,,
13135,178,155,178
13311,,,
4717,,,
47117,14,14,14
47123,,,
47143,,,
47151,3,16,3
47155,12,2,12
47157,3125,2576,341
47165,,,
47167,1,12,1
47185,,,
47189,49,41,19
481,,,
485,9,9,86
4829,5547,4145,559
4837,198,123,198
4843,,,
4851,,,
4857,,,
4867,,,
4891,48,21,48
4819,,,
48119,,,
48173,,,
48187,,,
4825,,,
48215,84,84,84
48225,,,
48263,,,
48273,,,
48287,,,
4831,,,
48311,,,
48315,,,
48339,25,134,174
48343,,,
48349,,,
48373,,,
48377,,,
48383,,,
4845,,,
4847,,,
4641,139,91,139
4671,,,
4675,,,
4679,,,
46127,,,
4713,33,17,21
4721,,,
4731,12,12,12
4735,243,136,243
4737,3141,2795,2913
4741,,,
4765,548,495,388
4789,35,23,35
563,,,
5613,91,57,91
5631,4,4,4
5635,9,,9
141,,,
21,,,
41,184,184,184
51,,,
529,,,
557,1,5,1
39115,4,,4
4113,,,
4115,,,
4249,1141,993,166
4211,11962,192,11375
459,,,
4557,,,
4587,,,
4725,,,
4753,,,
47135,,,
47163,51,393,492
4889,,,
48135,132,86,132
4823,,,
48323,,,
48351,,,
48379,,,
4849,19,4,19
48465,,,
497,3,17,3
4919,1,3,1
515,16,7,16
5129,884,643,879
5189,,,
51141,,,
51193,,,
5311,144,1216,134
5345,22,162,185
5425,,,
551,2,2,
827,,,
851,,,
541,,,
13261,38,28,38
18179,,,
22111,,,
233,96,59,96
4133,,,
3519,,,
3715,1412,926,1391
37125,18,13,18
1935,,,
233,,,
2149,,,
2127,,,
21147,,,
21175,,,
225,,,
2215,236,236,236
2225,,,
2237,,,
2291,,,
2219,444,422,444
2429,,,
2447,1,96,87
2655,557,546,484
2715,14,3,14
27167,,,
2851,,,
2913,,,
2995,3758,273,3648
353,,,
3533,,,
3659,1854,176,1854
383,,,
3855,,,
455,,,
4117,,,
4243,751,649,668
4297,66,55,66
4515,,,
4567,,,
479,81,73,75
47129,,,
4865,,,
48157,,,
1257,3583,347,3583
1289,26,19,26
1325,,,
39167,86,72,86
423,,,
187,,,
1851,,,
18123,,,
283,,,
223,,,
2179,,,
21123,,,
2129,39,31,36
2265,,,
2215,75,73,75
2325,125,51,125
267,113,18,113
2817,,,
48419,,,
5483,41,25,41
663,99,9,99
48129,,,
48313,,,
5327,348,251,321
5459,48,24,48
5119,2378,1948,2358
693,91,74,71
217,,,
1375,,,
255,1776,1625,1696
1333,1,1,1
1717,,,
2243,,,
22127,,,
11,541,489,393
1275,,,
2721,133,121,129
2889,,,
29227,,,
343,,,
381,3,,3
3427,597,58,55
3675,24,21,232
3721,1217,172,1123
3717,53,27,53
37145,16,6,16
37193,44,38,44
4141,,,
4131,,,
4147,1252,133,127
2787,114,14,114
27173,,,
2819,,,
2927,27,28,27
39,,,
333,,,
3133,,,
3431,1311,185,1174
3517,2,2,2
369,121,13,114
3661,35511,33673,35342
