ZCTA,pop,minDist_OTP
36083,7542,30.41
35441,1089,23.46
35051,9000,9.67
35121,15426,25.1
35058,9234,8.06
35619,4428,19.92
35016,16112,22.82
36115,964,3.67
36353,1720,19.76
36728,287,68.56
35229,1219,3.72
36027,15496,39.61
35470,4676,37.25
86544,1175,52.67
35173,27371,6.15
35098,1068,10.92
71653,4506,75.93
81524,1817,19.86
93308,53702,11.18
20012,16351,2.56
83811,1255,58.42
04554,911,24.53
60034,2077,13.03
21529,457,2.44
02671,877,5.26
04019,23,11.64
49854,6194,109.17
56127,426,99.25
04766,395,126.01
39150,5730,54.64
59870,10121,22.96
59014,1733,40.16
02461,7404,3.27
88045,3450,62.69
85264,1388,17.48
86334,4351,27.92
85501,13020,51.88
85638,1871,17.25
85726,0,1.68
72756,41494,16.25
72950,335,55.54
71846,2810,36.12
93592,77,97.48
93060,34181,3.93
93960,26610,25.29
93235,4198,6.49
93622,10395,34.89
90018,53256,2.12
96057,1299,53.52
93666,952,16.29
94952,36184,15.83
94127,21423,2.48
96034,236,61.94
93620,8889,20.89
49934,882,162.91
28428,6533,10.87
39465,21187,66.43
65747,3785,41.94
64112,8352,1.7
39144,786,52.29
03076,13596,7.46
97368,3506,42.63
15316,109,17.26
19137,8482,1.14
29440,27897,32.92
69341,10614,106.81
11550,57652,3.88
78404,18376,2.01
84753,12,64.37
05450,5136,16.36
24171,8524,34.08
23092,690,18.17
24622,878,11.3
44123,16515,6.21
98382,28326,17.63
73505,48713,4.12
25425,13600,15.32
97630,5123,125.24
82225,2008,172.16
35079,9267,10.43
08073,203,4.12
87506,13209,10.94
88301,1185,78.75
87558,439,59.14
88042,198,60.12
88055,39,56.71
10171,0,1.04
10110,0,0.59
12758,3908,36.91
10282,5593,0.75
14212,10695,2.53
11956,212,10.57
14788,73,15.94
10040,44571,0.78
11501,19393,3.8
14035,77,21.47
13617,11034,56.09
13316,6179,19.54
34287,27532,20.48
33413,17473,3.32
32421,5256,37.47
30417,10777,20.52
30816,2024,16.55
30332,3115,4.22
30705,33460,3.51
31631,415,37.46
31038,566,18.69
30464,83,18.18
31018,2674,34.91
30428,2783,18.35
83553,1154,95.43
61414,937,32.6
13102,32,13.29
27893,39372,5.72
27295,38511,3.64
28504,21852,21.58
28787,21314,4.37
27825,41,19.86
28611,1162,13.38
28089,217,10.32
58205,338,79.02
43084,766,21.63
44493,29,19.24
44233,7927,12.04
43203,8368,1.45
44671,290,11.52
43330,119,21.28
01236,1140,2.11
01003,11238,7.5
49861,526,131.58
48625,13005,30.49
48233,0,1.99
48091,30031,2.18
49948,530,125.11
55029,84,36.77
56467,2561,54.13
56639,436,101.97
56671,3294,101.07
56001,48214,58.35
56313,92,34.33
39140,2368,41.01
39759,44145,67.2
38920,549,75.67
39170,10513,19.19
39069,5672,69.5
38945,46,85.06
39332,1509,18.1
64093,28045,26.5
90301,37291,0.6
95545,101,36.94
80023,21368,8.57
81227,6,79.98
80515,1069,19.55
06412,4268,12.73
06481,1214,4.4
19716,1159,2.71
34488,10499,12.11
34202,23739,10.9
62982,960,31.13
47708,329,0.79
51243,826,43.45
30660,1204,28.45
41073,5792,1.95
70357,2487,43.47
71254,6505,52.36
42464,1496,24.99
41083,1270,28.4
40444,14412,17.51
41035,11602,15.17
40057,3579,16.58
41612,160,13.03
40025,48,4.66
40313,3316,40.32
41725,241,11.19
40144,1446,26.41
71360,37527,7.28
71268,2433,39.66
70575,111,28.36
71479,684,37.4
04039,7562,14.23
04622,1101,37.62
04354,1462,15.81
04975,0,7.23
04920,1681,42.32
20899,260,3.52
21717,77,3.97
64125,1389,4.41
63653,1310,57.56
64066,38,23.25
65556,6247,64.87
65623,21,39.35
65612,1041,12.18
59456,413,136.67
59054,250,72.95
59735,255,34.38
59834,2718,18.47
68137,25984,1.62
69333,293,182.85
68841,482,78.68
68304,360,14.57
03280,1164,26.65
03753,2874,11.59
07621,27372,4.01
08740,1733,1.64
16244,284,19.75
15422,189,8.5
18444,13615,7.74
17576,271,6.63
15049,848,8.06
19102,4937,0.39
18617,1897,9.49
29108,20890,21.92
29030,1928,30.03
29483,81942,15.76
29591,5350,15.71
29117,1056,33.83
29368,96,8.94
57422,249,112.4
57054,495,47.15
37066,50328,19.51
38301,33168,5.77
37174,34873,12.38
60129,260,16.65
61839,610,18.3
61049,560,15.11
60144,69,11.12
60302,32048,2.14
60472,4870,3.46
47421,27370,20.86
47916,62,32.58
47860,384,18.37
46961,121,30.0
47281,1199,35.62
50230,1050,41.5
50227,22,61.84
50551,94,79.95
50105,955,27.65
52033,3172,30.11
50559,287,110.15
51230,331,25.47
67747,238,107.8
66621,689,2.08
67457,836,59.8
40372,2090,16.87
99109,5234,44.49
99166,3058,84.19
98304,634,39.17
98830,581,99.17
26405,1330,25.18
26554,42011,12.42
25271,9630,29.1
98638,1296,29.68
24844,1193,28.92
24845,285,28.57
24736,493,26.19
26250,5274,27.27
54521,7782,69.36
24847,286,22.41
54985,415,5.32
83116,672,65.86
26151,781,31.85
98305,310,46.59
24656,2812,20.69
19731,300,9.25
46376,263,17.39
54896,1406,76.36
33404,28717,0.73
35548,1704,13.98
36775,839,47.53
71651,97,58.81
53504,1982,33.46
03101,2701,0.17
21802,89,1.37
02141,14052,1.15
66019,380,11.71
61315,213,27.42
46987,978,4.03
48083,22981,1.59
04490,266,32.71
06059,0,12.01
80290,0,0.58
99124,315,75.08
05747,323,19.61
76483,1065,56.84
88134,57,71.41
07702,4088,4.28
17083,51,4.37
84629,2638,31.65
19103,24219,0.72
15015,1201,4.34
17250,95,12.27
43970,80,19.27
43529,328,28.45
12307,6115,0.55
36522,7685,29.94
30165,41961,8.74
85922,37,57.21
85620,639,24.47
84531,913,97.01
96120,1044,29.34
82063,214,54.12
93643,2960,35.09
96080,28487,27.79
95458,3019,47.85
74578,6138,22.79
97624,3459,64.21
97343,203,42.95
97148,3735,23.54
16616,122,19.5
97123,48770,10.0
97424,17854,21.1
17756,12242,11.63
97758,99,85.16
97494,36,8.45
19442,0,9.03
17887,232,1.08
15078,465,12.68
15737,64,19.94
15546,310,13.82
18428,11996,22.98
18814,210,20.53
17041,248,9.51
85019,26659,1.15
71665,5856,52.7
71671,8501,74.37
71998,384,46.67
72476,6607,19.7
71837,5312,15.78
71763,1604,51.83
71858,2285,45.79
93254,858,35.33
20520,0,0.17
