COUNTYFP,total,IntSub,IntNoSub,noInt,IntSubPct,IntNoSubPct,NoIntPct,year
1001,21397,17262,452,3683,80.67,2.11,17.21,2019
1003,80930,66600,3148,11182,82.29,3.89,13.82,2019
1005,9345,5709,589,3047,61.09,6.3,32.61,2019
1007,6891,4818,230,1843,69.92,3.34,26.75,2019
1009,20847,15331,533,4983,73.54,2.56,23.9,2019
1011,3521,2146,295,1080,60.95,8.38,30.67,2019
1013,6506,4279,210,2017,65.77,3.23,31,2019
1015,44605,33626,1512,9467,75.39,3.39,21.22,2019
1017,13448,9386,287,3775,69.79,2.13,28.07,2019
1019,10737,7661,395,2681,71.35,3.68,24.97,2019
1021,16927,11704,595,4628,69.14,3.52,27.34,2019
1023,5300,3297,275,1728,62.21,5.19,32.6,2019
1025,9090,5274,503,3313,58.02,5.53,36.45,2019
1027,5198,3660,181,1357,70.41,3.48,26.11,2019
1029,5680,3699,165,1816,65.12,2.9,31.97,2019
1031,19924,16130,404,3390,80.96,2.03,17.01,2019
1033,21880,15456,907,5517,70.64,4.15,25.21,2019
1035,4553,2401,144,2008,52.73,3.16,44.1,2019
1037,4032,2811,124,1097,69.72,3.08,27.21,2019
1039,14852,10615,336,3901,71.47,2.26,26.27,2019
1041,4943,3245,190,1508,65.65,3.84,30.51,2019
1043,31034,23198,1001,6835,74.75,3.23,22.02,2019
1045,18806,14577,760,3469,77.51,4.04,18.45,2019
1047,15910,11215,386,4309,70.49,2.43,27.08,2019
1049,26040,18876,628,6536,72.49,2.41,25.1,2019
1051,29708,24291,707,4710,81.77,2.38,15.85,2019
1053,13089,8055,158,4876,61.54,1.21,37.25,2019
1055,38942,29948,1409,7585,76.9,3.62,19.48,2019
1057,6802,4804,96,1902,70.63,1.41,27.96,2019
1059,11048,6862,505,3681,62.11,4.57,33.32,2019
1061,10383,7075,387,2921,68.14,3.73,28.13,2019
1063,2951,1518,13,1420,51.44,0.44,48.12,2019
1065,5650,3487,251,1912,61.72,4.44,33.84,2019
1067,6630,5013,132,1485,75.61,1.99,22.4,2019
1069,39311,29739,786,8786,75.65,2,22.35,2019
1071,20695,14767,711,5217,71.36,3.44,25.21,2019
1073,261231,208117,9036,44078,79.67,3.46,16.87,2019
1075,5856,3741,146,1969,63.88,2.49,33.62,2019
1077,38471,27953,1933,8585,72.66,5.02,22.32,2019
1079,12677,7981,799,3897,62.96,6.3,30.74,2019
1081,60237,49642,2561,8034,82.41,4.25,13.34,2019
1083,32143,25923,1409,4811,80.65,4.38,14.97,2019
1085,4251,2265,263,1723,53.28,6.19,40.53,2019
1087,7474,4546,497,2431,60.82,6.65,32.53,2019
1089,148189,128358,4108,15723,86.62,2.77,10.61,2019
1091,7361,4437,411,2513,60.28,5.58,34.14,2019
1093,11997,7942,556,3499,66.2,4.63,29.17,2019
1095,34883,27746,906,6231,79.54,2.6,17.86,2019
1097,156251,117995,4658,33598,75.52,2.98,21.5,2019
1099,8166,3344,594,4228,40.95,7.27,51.78,2019
1101,89527,71399,2989,15139,79.75,3.34,16.91,2019
1103,45918,34614,2075,9229,75.38,4.52,20.1,2019
1105,3070,1696,38,1336,55.24,1.24,43.52,2019
1107,7637,5094,153,2390,66.7,2,31.3,2019
1109,11601,7818,307,3476,67.39,2.65,29.96,2019
1111,8702,6244,182,2276,71.75,2.09,26.15,2019
1113,23262,16644,1181,5437,71.55,5.08,23.37,2019
1115,32036,25301,1163,5572,78.98,3.63,17.39,2019
1117,79630,70463,1792,7375,88.49,2.25,9.26,2019
1119,5202,3299,101,1802,63.42,1.94,34.64,2019
1121,31395,23122,1072,7201,73.65,3.41,22.94,2019
1123,16205,12163,401,3641,75.06,2.47,22.47,2019
1125,72461,58355,2445,11661,80.53,3.37,16.09,2019
1127,25019,18106,712,6201,72.37,2.85,24.79,2019
1129,5990,3747,394,1849,62.55,6.58,30.87,2019
1131,3854,2131,158,1565,55.29,4.1,40.61,2019
1133,9592,6405,358,2829,66.77,3.73,29.49,2019
2013,890,555,36,299,62.36,4.04,33.6,2019
2016,1187,919,52,216,77.42,4.38,18.2,2019
2020,106567,96100,2507,7960,90.18,2.35,7.47,2019
2050,4489,3294,143,1052,73.38,3.19,23.44,2019
2060,314,248,17,49,78.98,5.41,15.61,2019
2068,613,551,24,38,89.89,3.92,6.2,2019
2070,1427,1083,23,321,75.89,1.61,22.49,2019
2090,36188,31351,932,3905,86.63,2.58,10.79,2019
2100,1007,861,13,133,85.5,1.29,13.21,2019
2105,791,507,16,268,64.1,2.02,33.88,2019
2110,12676,11510,298,868,90.8,2.35,6.85,2019
2122,21630,17437,665,3528,80.61,3.07,16.31,2019
2130,5397,4587,220,590,84.99,4.08,10.93,2019
2150,4261,3569,128,564,83.76,3,13.24,2019
2158,1724,1126,23,575,65.31,1.33,33.35,2019
2164,421,275,11,135,65.32,2.61,32.07,2019
2170,31217,27195,773,3249,87.12,2.48,10.41,2019
2180,2844,2108,87,649,74.12,3.06,22.82,2019
2185,1979,1382,79,518,69.83,3.99,26.17,2019
2188,1795,1376,32,387,76.66,1.78,21.56,2019
2195,1187,976,26,185,82.22,2.19,15.59,2019
2198,2371,1560,91,720,65.8,3.84,30.37,2019
2220,3547,2999,87,461,84.55,2.45,13,2019
2230,375,316,12,47,84.27,3.2,12.53,2019
2240,2170,1562,100,508,71.98,4.61,23.41,2019
2261,3177,2555,82,540,80.42,2.58,17,2019
2275,1027,760,51,216,74,4.97,21.03,2019
2282,219,159,1,59,72.6,0.46,26.94,2019
2290,1856,800,73,983,43.1,3.93,52.96,2019
4001,20867,8105,537,12225,38.84,2.57,58.59,2019
4003,50163,40317,1102,8744,80.37,2.2,17.43,2019
4005,47447,37266,1676,8505,78.54,3.53,17.93,2019
4007,21945,14616,989,6340,66.6,4.51,28.89,2019
4009,11017,8366,274,2377,75.94,2.49,21.58,2019
4011,3132,2581,39,512,82.41,1.25,16.35,2019
4012,9346,5803,450,3093,62.09,4.81,33.09,2019
4013,1552096,1344552,41398,166146,86.63,2.67,10.7,2019
4015,86889,69995,2036,14858,80.56,2.34,17.1,2019
4017,34990,22099,845,12046,63.16,2.41,34.43,2019
4019,404739,347028,10800,46911,85.74,2.67,11.59,2019
4021,141300,119015,4909,17376,84.23,3.47,12.3,2019
4023,15853,11742,467,3644,74.07,2.95,22.99,2019
4025,98386,81482,2784,14120,82.82,2.83,14.35,2019
4027,73098,57478,2035,13585,78.63,2.78,18.58,2019
5001,7491,5102,300,2089,68.11,4,27.89,2019
5003,7757,4777,324,2656,61.58,4.18,34.24,2019
5005,18435,13989,1000,3446,75.88,5.42,18.69,2019
5007,97249,68427,14646,14176,70.36,15.06,14.58,2019
5009,15034,12302,243,2489,81.83,1.62,16.56,2019
5011,4419,2996,209,1214,67.8,4.73,27.47,2019
5013,1850,1189,85,576,64.27,4.59,31.14,2019
5015,11139,7787,572,2780,69.91,5.14,24.96,2019
5017,4068,2531,120,1417,62.22,2.95,34.83,2019
