"STATEFP","cntT","cntTimeDrive","avTimeDrive","pctTimeDrive"
"01",1181,972,17.21,0.82
"02",168,157,15.31,0.93
"04",1533,1434,12.04,0.94
"05",686,563,15.88,0.82
"06",8058,7881,6.61,0.98
"08",1249,1146,12.35,0.92
"09",833,829,6.41,1
"10",218,217,10.43,1
"11",179,179,2.17,1
"12",4245,4129,10.37,0.97
"13",1969,1834,14,0.93
"15",351,344,10.6,0.98
"16",298,249,17.12,0.84
"17",3123,2861,10.48,0.92
"18",1511,1320,13.69,0.87
"19",825,542,25.74,0.66
"20",770,607,18.79,0.79
"21",1115,1028,12.45,0.92
"22",1148,1062,10.35,0.93
"23",358,289,17.01,0.81
"24",1406,1338,11.32,0.95
"25",1478,1460,8.92,0.99
"26",2813,2495,14.33,0.89
"27",1338,824,34.81,0.62
"28",664,571,13.51,0.86
"29",1393,1277,12.05,0.92
"30",271,191,27.71,0.7
"31",532,363,24.3,0.68
"32",687,625,15.98,0.91
"33",295,230,18.86,0.78
"34",2010,1996,8.84,0.99
"35",499,459,10.25,0.92
"36",4931,4670,8.28,0.95
"37",2195,2007,15.01,0.91
"38",205,104,40.01,0.51
"39",2952,2831,10.82,0.96
"40",1046,868,16.92,0.83
"41",834,745,13.63,0.89
"42",3218,2915,12.94,0.91
"44",244,242,6.31,0.99
"45",1103,1048,13.66,0.95
"46",225,125,33.88,0.56
"47",1497,1297,15.49,0.87
"48",5265,4690,14.3,0.89
"49",588,524,14.49,0.89
"50",184,146,17.27,0.79
"51",1908,1681,14.52,0.88
"53",1458,1359,10.65,0.93
"54",484,458,9.3,0.95
"55",1409,1111,17.36,0.79
"56",132,68,47.57,0.52
"60",18,0,NA,0
"66",57,0,NA,0
"69",23,0,NA,0
"72",908,0,NA,0
"78",31,0,NA,0
