"ZCTA","minDisFQHC","timeDrive","countDrive"
1001,4.15,8.04,30
1002,3.92,0,6
1003,1.24,3.27,7
1005,16.2,29.7,1
1007,12.3,15.1,5
1008,6.74,18.59,4
1009,13.93,24.86,7
1010,12.37,17.61,7
1011,7.61,20.8,2
1012,6.84,13.27,4
1013,1.3,0,27
1020,3.45,8.18,29
1022,4.65,11.97,19
1026,4.72,16.65,1
1027,7.97,9.5,20
1028,4.72,6.58,39
1029,12.55,27.03,5
1030,4.24,11.33,27
1032,9.26,23.86,2
1033,8.81,13.72,17
1034,14.33,28.85,2
1035,4.02,8.62,6
1036,9.76,16.21,25
1038,6.03,13.51,9
1039,9.14,15.66,2
1040,1.29,0,29
1050,3.5,0,6
1053,6.3,8.64,8
1054,9.15,14.35,7
1056,6.48,11.91,26
1057,10.15,20.73,15
1060,0.27,0,23
1062,4.15,8.22,8
1063,0.43,1.19,20
1066,8.37,14.86,9
1068,16.01,27.42,1
1069,15.3,22.43,16
1070,9.79,27.47,1
1071,6.03,16.41,4
1072,10.17,20.48,3
1073,7.42,15.64,14
1075,5.04,7.19,19
1077,6.64,13.01,22
1079,13.91,24.1,14
1080,11.2,19.9,16
1081,6.64,16.87,7
1082,18.35,29.77,2
1083,15.92,25.92,2
1084,4.55,13.37,3
1085,3.4,0,19
1086,3.38,6.74,17
1088,6.67,11.64,9
1089,2.59,7.14,28
1092,17.75,29.33,2
1093,10.54,18.15,7
1095,6.02,10.36,24
1096,11.78,21.87,1
1097,5.28,9.78,12
1098,1.9,0,3
1103,0.4,0,31
1104,2.14,0,31
1105,0.57,0,31
1106,2.97,7.42,37
1107,0.72,0,31
1108,0.57,0,36
1109,1.21,0,31
1118,2.33,3.85,35
1119,1.25,0,26
1128,4.42,8.3,32
1129,2.49,6.29,24
1151,1.52,6.96,26
1199,0.76,1.19,31
1201,1.81,0,5
1220,0.11,0,2
1222,11.52,19.89,5
1223,10.97,24.07,1
1224,5.59,14.13,6
1225,6.25,12.66,6
1226,7.8,10.91,5
1229,5.5,11.97,10
1230,1.44,0,6
1235,9.41,21.6,5
1236,4.95,10.07,6
1237,8.42,15.63,5
1238,2.07,0,10
1240,3.5,9.81,10
1242,4.8,6.3,10
1243,8.35,28.22,2
1244,9.05,23.82,5
1245,9.07,17.41,6
1247,2.29,0,2
1253,11.5,26.09,1
1254,7.43,19.68,10
1255,17.36,29.5,3
1256,7.33,21.87,2
1257,7.62,14.11,5
1258,9.85,24.17,5
1260,6.52,10.87,10
1262,4.62,11.08,10
1264,5.82,14.1,6
1266,8.73,13.02,10
1267,9.48,14.31,2
1270,11.54,20.8,6
1301,2.77,0,5
1330,12.65,29.62,1
1331,10.4,12.24,2
1337,9.38,14.95,4
1340,11.78,23.68,3
1341,10.41,27.79,3
1342,4.04,10.43,7
1343,9.95,23.77,1
1344,7.02,15.52,5
1347,4.7,11.18,7
1349,6.5,9.7,7
1350,8.89,27.07,1
1351,5.69,9.86,7
1354,6.23,8.2,4
1355,13.07,13.26,3
1360,11.25,19.2,5
1364,3.22,0,1
1366,14.35,20.21,2
1368,12.96,20.61,2
1370,8.56,18.67,4
1373,10.78,15.85,10
1375,8.4,12.78,7
1376,1.55,0,4
1378,7.85,13.91,1
1379,6.26,19.6,2
1420,1.25,0,4
1430,9.64,15.24,3
1431,7.52,15.75,4
1432,13.45,21.68,10
1434,10.24,16.22,3
1436,7.01,11.8,2
1438,2.61,7.22,5
1440,1.54,0,4
1450,11.22,21.02,3
1451,12.97,20.7,4
1452,8.4,15.02,1
1453,0.66,0,10
1460,13.26,17.68,17
1462,5.09,12.58,3
1463,9.91,20.4,13
1464,8.84,17.48,3
1467,10.38,22.45,3
1468,5.34,9.97,5
1469,10.22,21.17,3
1473,6.85,11.05,4
1474,7.66,19.15,3
1475,9.5,14.99,1
1501,4.59,6.28,23
1503,11.8,17.4,21
1504,3.51,6.67,29
1505,5.74,9.64,17
1506,11.76,21.11,5
1507,7.48,12.32,20
1510,10.78,19.19,20
1515,11.84,19.6,9
1516,8.27,18.47,23
1518,6.89,11.3,2
1519,6.62,16.05,18
1520,4.12,8.49,17
1521,8.7,18.53,8
1522,7.25,21.19,17
1523,7,12.64,13
1524,3.89,8.34,20
1525,8.03,20.81,20
1527,4.91,7.46,24
1529,5.7,15.77,12
1532,8.51,13.82,20
1534,8.62,19.89,18
1535,14.98,28.68,5
1536,4.68,10.74,18
1537,7.97,12.04,23
1540,6.81,9.31,25
1541,10.68,21.97,21
1542,5.13,10.37,20
1543,13.12,20.51,17
1545,3.67,11.01,19
1550,1.58,0,12
1560,8.42,16.71,18
1561,9.15,19.77,9
1562,8.85,15.63,19
1564,7.95,12.87,20
1566,3.64,6.12,10
1568,7.49,13.66,22
1569,10.18,18.96,13
1570,1.66,0,26
1571,4.64,8.06,12
1581,10.17,19.38,20
1583,4.08,7.26,18
1585,17.5,27.7,2
1588,10.39,21.11,24
1590,10.2,15.92,23
1602,1.94,0,18
1603,1.35,0,20
1604,0.9,0,18
1605,0.76,0,18
1606,1.2,0,19
1607,2.37,4.43,18
1608,0.76,2.16,18
1609,1.62,0,18
1610,0.93,0,20
1611,1.08,5.2,20
1612,7.7,8.82,17
1701,2.63,0,8
1702,1.47,0,9
1718,12.96,20.96,9
1719,17,27.32,7
1720,15.82,25.87,11
1721,4.21,9.18,3
1730,11.65,20.09,23
1731,9.09,16.37,49
1740,13.39,21.72,21
1741,9.96,17.23,14
1742,13.22,22.6,13
1745,6.21,11.52,22
1746,7.7,15.2,3
1747,1.09,4.66,7
1748,9.25,12.2,18
1749,12.08,19.44,21
1752,10.54,16.97,20
1754,10.89,18.54,3
1756,3.88,10.69,6
1757,2.75,0,7
1760,4.48,10.04,23
1770,4.81,11.46,4
1772,8.38,14.66,21
1773,8.14,13.8,59
1775,13.01,24.52,6
1776,6.48,12.83,3
1778,4.77,10.1,37
1801,8.42,15.17,144
1803,10.41,17.33,116
1810,4.15,0,30
1821,6.34,11.11,28
1824,4.62,8.62,33
